date,angwiki (100+),angwiki (5+),angwiki (all)
2013/03/21,5,17,49
2013/03/22,5,17,49
2013/03/23,5,15,49
2013/03/24,5,15,48
2013/03/25,5,15,47
2013/03/26,5,15,47
2013/03/27,5,14,47
2013/03/28,4,14,45
2013/03/29,4,13,42
2013/03/30,4,12,39
2013/03/31,4,13,43
2013/04/01,4,13,41
2013/04/02,4,13,41
2013/04/03,4,12,40
2013/04/04,4,10,38
2013/04/05,3,9,34
2013/04/06,3,8,35
2013/04/07,3,8,35
2013/04/08,3,8,35
2013/04/09,3,8,34
2013/04/10,3,8,34
2013/04/11,1,8,36
2013/04/12,1,8,37
2013/04/13,1,9,37
2013/04/14,1,9,37
2013/04/15,1,10,39
2013/04/16,1,10,40
2013/04/17,1,10,41
2013/04/18,1,10,39
2013/04/19,1,10,39
2013/04/20,1,10,40
2013/04/21,1,10,41
2013/04/22,1,10,41
2013/04/23,1,10,41
2013/04/24,1,10,41
2013/04/25,1,10,41
2013/04/26,1,11,41
2013/04/27,1,12,41
2013/04/28,1,12,41
2013/04/29,1,12,40
2013/04/30,1,10,36
2013/05/01,1,11,37
2013/05/02,1,11,36
2013/05/03,1,10,35
2013/05/04,1,10,34
2013/05/05,1,10,35
2013/05/06,1,9,32
2013/05/07,1,9,31
2013/05/08,1,10,31
2013/05/09,1,10,31
2013/05/10,1,10,31
2013/05/11,1,10,28
2013/05/12,1,10,27
2013/05/13,1,9,27
2013/05/14,1,9,26
2013/05/15,1,9,25
2013/05/16,1,9,24
2013/05/17,1,9,24
2013/05/18,1,9,25
2013/05/19,1,9,24
2013/05/20,2,9,23
2013/05/21,2,9,25
2013/05/22,2,10,25
2013/05/23,2,10,26
2013/05/24,2,10,27
2013/05/25,2,9,27
2013/05/26,2,9,26
2013/05/27,2,10,25
2013/05/28,2,10,25
2013/05/29,2,10,25
2013/05/30,2,10,27
2013/05/31,2,10,26
2013/06/01,1,10,28
2013/06/02,1,10,27
2013/06/03,1,10,28
2013/06/04,1,10,29
2013/06/05,1,10,29
2013/06/06,1,10,30
2013/06/07,1,9,27
2013/06/08,1,9,27
2013/06/09,1,9,27
2013/06/10,1,9,26
2013/06/11,1,9,26
2013/06/12,2,7,26
2013/06/13,1,7,27
2013/06/14,2,7,26
2013/06/15,2,7,27
2013/06/16,1,7,28
2013/06/17,1,8,29
2013/06/18,1,9,29
2013/06/19,1,9,30
2013/06/20,1,8,28
2013/06/21,1,8,31
2013/06/22,1,7,30
2013/06/23,1,7,28
2013/06/24,1,7,29
2013/06/25,1,7,29
2013/06/26,1,7,29
2013/06/27,1,7,29
2013/06/28,1,6,29
2013/06/29,1,6,27
2013/06/30,1,6,27
2013/07/01,1,5,26
2013/07/02,1,5,26
2013/07/03,1,6,25
2013/07/04,1,6,28
2013/07/05,1,6,29
2013/07/06,1,7,27
2013/07/07,1,6,27
2013/07/08,1,5,28
2013/07/09,,5,28
2013/07/10,,6,30
2013/07/11,,5,30
2013/07/12,,6,29
2013/07/13,,6,29
2013/07/14,,7,30
2013/07/15,,6,29
2013/07/16,,6,29
2013/07/17,,6,29
2013/07/18,,7,30
2013/07/19,,7,33
2013/07/20,,8,34
2013/07/21,,8,34
2013/07/22,,8,34
2013/07/23,2,9,35
2013/07/24,2,9,35
2013/07/25,2,9,37
2013/07/26,2,9,37
2013/07/27,2,10,38
2013/07/28,2,10,38
2013/07/29,2,10,40
2013/07/30,2,11,40
2013/07/31,2,11,40
2013/08/01,2,11,40
2013/08/02,2,11,40
2013/08/03,2,11,38
2013/08/04,2,11,38
2013/08/05,3,11,37
2013/08/06,3,11,37
2013/08/07,3,11,37
2013/08/08,3,11,37
2013/08/09,3,10,37
2013/08/10,2,10,36
2013/08/11,3,10,36
2013/08/12,3,10,36
2013/08/13,2,10,35
2013/08/14,2,10,35
2013/08/15,2,11,35
2013/08/16,2,11,33
2013/08/17,2,11,32
2013/08/18,2,11,28
2013/08/19,2,10,28
2013/08/20,2,10,27
2013/08/21,2,10,27
2013/08/22,2,8,26
2013/08/23,2,10,28
2013/08/24,1,9,25
2013/08/25,1,7,25
2013/08/26,1,8,23
2013/08/27,1,7,24
2013/08/28,1,10,25
2013/08/29,1,11,25
2013/08/30,1,10,25
2013/08/31,1,10,26
2013/09/01,1,10,26
2013/09/02,1,10,27
2013/09/03,1,10,27
2013/09/04,2,10,27
2013/09/05,2,9,27
2013/09/06,2,9,26
2013/09/07,1,9,26
2013/09/08,1,9,24
2013/09/09,1,9,24
2013/09/10,1,9,25
2013/09/11,1,9,24
2013/09/12,1,9,25
2013/09/13,1,9,25
2013/09/14,1,8,22
2013/09/15,1,9,23
2013/09/16,1,9,25
2013/09/17,1,9,25
2013/09/18,1,10,25
2013/09/19,1,10,26
2013/09/20,1,10,25
2013/09/21,1,11,26
2013/09/22,1,11,26
2013/09/23,1,11,26
2013/09/24,1,12,28
2013/09/25,1,13,27
2013/09/26,1,13,27
2013/09/27,1,12,27
2013/09/28,1,10,27
2013/09/29,1,9,27
2013/09/30,,9,27
2013/10/01,2,9,27
2013/10/02,2,8,27
2013/10/03,2,8,26
2013/10/04,1,8,27
2013/10/05,2,7,28
2013/10/06,2,7,28
2013/10/07,2,8,32
2013/10/08,2,8,32
2013/10/09,2,8,32
2013/10/10,2,7,30
2013/10/11,2,7,31
2013/10/12,2,7,31
2013/10/13,2,7,31
2013/10/14,2,7,31
2013/10/15,2,7,30
2013/10/16,2,8,29
2013/10/17,2,8,30
2013/10/18,2,8,31
2013/10/19,2,9,31
2013/10/20,2,9,31
2013/10/21,2,9,30
2013/10/22,2,9,30
2013/10/23,2,9,29
2013/10/24,2,8,27
2013/10/25,2,7,27
2013/10/26,2,7,27
2013/10/27,2,7,26
2013/10/28,2,7,26
2013/10/29,2,7,26
2013/10/30,2,7,27
2013/10/31,2,7,27
2013/11/01,2,7,28
2013/11/02,2,6,27
2013/11/03,2,6,27
2013/11/04,2,6,28
2013/11/05,2,6,29
2013/11/06,2,5,26
2013/11/07,2,5,28
2013/11/08,3,6,31
2013/11/09,3,6,31
2013/11/10,3,6,30
2013/11/11,2,6,29
2013/11/12,2,7,29
2013/11/13,2,7,29
2013/11/14,2,7,29
2013/11/15,2,7,29
2013/11/16,2,7,28
2013/11/17,1,7,27
2013/11/18,1,7,23
2013/11/19,1,8,23
2013/11/20,1,7,23
2013/11/21,1,8,23
2013/11/22,1,8,25
2013/11/23,1,8,24
2013/11/24,1,8,24
2013/11/25,1,8,26
2013/11/26,1,8,26
2013/11/27,1,8,26
2013/11/28,1,8,28
2013/11/29,1,7,28
2013/11/30,1,7,27
2013/12/01,1,6,29
2013/12/02,1,6,29
2013/12/03,1,6,30
2013/12/04,1,6,29
2013/12/05,1,6,27
2013/12/06,1,6,27
2013/12/07,1,5,26
2013/12/08,,5,28
2013/12/09,,5,28
2013/12/10,,5,28
2013/12/11,,5,28
2013/12/12,,5,29
2013/12/13,,5,33
2013/12/14,,5,32
2013/12/15,,4,32
2013/12/16,,4,32
2013/12/17,,4,32
2013/12/18,,4,30
2013/12/19,,4,30
2013/12/20,,4,31
2013/12/21,,4,32
2013/12/22,,4,30
2013/12/23,,3,29
2013/12/24,,3,29
2013/12/25,,3,28
2013/12/26,,3,30
2013/12/27,,3,30
2013/12/28,,3,28
2013/12/29,,4,29
2013/12/30,,4,30
2013/12/31,,4,28
2014/01/01,,4,28
2014/01/02,,4,28
2014/01/03,,5,28
2014/01/04,,5,29
2014/01/05,,5,29
2014/01/06,,5,29
2014/01/07,,5,24
2014/01/08,,5,25
2014/01/09,,5,25
2014/01/10,,5,24
2014/01/11,,5,24
2014/01/12,,5,21
2014/01/13,,5,21
2014/01/14,,5,20
2014/01/15,,5,20
2014/01/16,,4,20
2014/01/17,,6,22
2014/01/18,,7,23
2014/01/19,,7,23
2014/01/20,,7,22
2014/01/21,,7,22
2014/01/22,,7,23
2014/01/23,,7,23
2014/01/24,,7,24
2014/01/25,,7,22
2014/01/26,,7,24
2014/01/27,,7,24
2014/01/28,,6,23
2014/01/29,,6,22
2014/01/30,,6,21
2014/01/31,,7,22
2014/02/01,,7,22
2014/02/02,,7,22
2014/02/03,,7,22
2014/02/04,,7,24
2014/02/05,,7,24
2014/02/06,,7,25
2014/02/07,,7,24
2014/02/08,,7,24
2014/02/09,,7,24
2014/02/10,,7,23
2014/02/11,,7,23
2014/02/12,,7,23
2014/02/13,,7,25
2014/02/14,,7,26
2014/02/15,,7,26
2014/02/16,,6,22
2014/02/17,,5,23
2014/02/18,,6,22
2014/02/19,,7,23
2014/02/20,,7,24
2014/02/21,,7,24
2014/02/22,,7,25
2014/02/23,,7,25
2014/02/24,,7,25
2014/02/25,,7,23
2014/02/26,,7,23
2014/02/27,,7,23
2014/02/28,,7,23
2014/03/01,,7,23
2014/03/02,,7,23
2014/03/03,,7,23
2014/03/04,,7,25
2014/03/05,,7,24
2014/03/06,,7,22
2014/03/07,,6,22
2014/03/08,,6,22
2014/03/09,,6,22
2014/03/10,,7,21
2014/03/11,,7,21
2014/03/12,,7,23
2014/03/13,,7,24
2014/03/14,,7,24
2014/03/15,,8,27
2014/03/16,,7,26
2014/03/17,,7,26
2014/03/18,,8,27
2014/03/19,,8,28
2014/03/20,,7,28
2014/03/21,,6,27
2014/03/22,,6,26
2014/03/23,,7,27
2014/03/24,,6,26
2014/03/25,,6,25
2014/03/26,,6,26
2014/03/27,,6,26
2014/03/28,,6,27
2014/03/29,,5,28
2014/03/30,,6,29
2014/03/31,,6,28
2014/04/01,,6,28
2014/04/02,,6,28
2014/04/03,,6,27
2014/04/04,,6,27
2014/04/05,,6,27
2014/04/06,,7,28
2014/04/07,,7,27
2014/04/08,,7,28
2014/04/09,,8,29
2014/04/10,,8,29
2014/04/11,,8,27
2014/04/12,,8,29
2014/04/13,,8,29
2014/04/14,,8,27
2014/04/15,,8,29
2014/04/16,,8,29
2014/04/17,,7,27
2014/04/18,,7,25
2014/04/19,,7,24
2014/04/20,,7,27
2014/04/21,,7,27
2014/04/22,,6,26
2014/04/23,,6,26
2014/04/24,,6,27
2014/04/25,,6,27
2014/04/26,,6,27
2014/04/27,,6,25
2014/04/28,,6,25
2014/04/29,,5,25
2014/04/30,,6,26
2014/05/01,,6,26
2014/05/02,,6,26
2014/05/03,,6,25
2014/05/04,,6,25
2014/05/05,,6,25
2014/05/06,,5,26
2014/05/07,,5,26
2014/05/08,,6,25
2014/05/09,,6,25
2014/05/10,,6,26
2014/05/11,,6,26
2014/05/12,,7,24
2014/05/13,,8,25
2014/05/14,,8,24
2014/05/15,,9,23
2014/05/16,,9,23
2014/05/17,1,9,23
2014/05/18,,9,23
2014/05/19,1,9,24
2014/05/20,1,9,22
2014/05/21,1,8,22
2014/05/22,1,8,23
2014/05/23,1,8,24
2014/05/24,1,8,23
2014/05/25,1,8,23
2014/05/26,1,8,23
2014/05/27,1,8,24
2014/05/28,1,8,24
2014/05/29,1,8,24
2014/05/30,1,7,23
2014/05/31,1,7,22
2014/06/01,1,7,24
2014/06/02,1,8,24
2014/06/03,1,8,24
2014/06/04,1,8,24
2014/06/05,1,8,20
2014/06/06,1,8,20
2014/06/07,1,8,19
2014/06/08,1,8,19
2014/06/09,1,8,19
2014/06/10,1,8,19
2014/06/11,1,7,18
2014/06/12,1,6,16
2014/06/13,1,6,16
2014/06/14,1,5,17
2014/06/15,1,5,17
2014/06/16,1,5,15
2014/06/17,1,5,18
2014/06/18,,5,18
2014/06/19,,5,18
2014/06/20,,5,19
2014/06/21,,5,19
2014/06/22,,5,18
2014/06/23,,5,19
2014/06/24,,5,19
2014/06/25,,5,20
2014/06/26,,3,20
2014/06/27,,3,20
2014/06/28,,3,21
2014/06/29,,3,21
2014/06/30,,3,22
2014/07/01,,3,21
2014/07/02,,3,21
2014/07/03,,3,21
2014/07/04,,4,22
2014/07/05,,4,23
2014/07/06,,4,24
2014/07/07,,4,23
2014/07/08,,4,22
2014/07/09,,4,23
2014/07/10,,4,23
2014/07/11,,4,22
2014/07/12,,4,22
2014/07/13,,4,22
2014/07/14,,4,21
2014/07/15,,5,21
2014/07/16,,5,21
2014/07/17,,5,18
2014/07/18,,5,17
2014/07/19,,5,17
2014/07/20,,6,16
2014/07/21,,7,15
2014/07/22,,7,17
2014/07/23,,7,16
2014/07/24,,7,17
2014/07/25,,7,16
2014/07/26,,7,15
2014/07/27,,7,15
2014/07/28,,7,15
2014/07/29,,7,15
2014/07/30,,7,14
2014/07/31,,7,14
2014/08/01,,7,15
2014/08/02,,7,15
2014/08/03,,6,14
2014/08/04,,6,13
2014/08/05,,6,13
2014/08/06,,6,13
2014/08/07,,6,13
2014/08/08,,6,12
2014/08/09,,6,12
2014/08/10,,6,12
2014/08/11,,6,12
2014/08/12,,6,12
2014/08/13,,6,13
2014/08/14,,5,13
2014/08/15,,5,13
2014/08/16,,6,14
2014/08/17,,6,15
2014/08/18,,6,18
2014/08/19,,6,18
2014/08/20,,5,19
2014/08/21,,4,21
2014/08/22,,4,22
2014/08/23,,4,25
2014/08/24,,4,23
2014/08/25,,4,23
2014/08/26,,4,25
2014/08/27,,4,25
2014/08/28,,4,26
2014/08/29,,5,31
2014/08/30,,5,31
2014/08/31,,5,30
2014/09/01,,5,30
2014/09/02,,5,31
2014/09/03,,5,31
2014/09/04,,6,32
2014/09/05,,6,32
2014/09/06,,7,32
2014/09/07,,7,32
2014/09/08,,7,32
2014/09/09,,7,32
2014/09/10,,7,32
2014/09/11,,6,32
2014/09/12,,6,31
2014/09/13,,6,31
2014/09/14,,6,31
2014/09/15,,6,31
2014/09/16,,6,30
2014/09/17,,6,28
2014/09/18,,6,27
2014/09/19,,6,26
2014/09/20,,5,24
2014/09/21,,5,23
2014/09/22,,5,20
2014/09/23,,5,20
2014/09/24,,5,20
2014/09/25,,5,18
2014/09/26,,4,18
2014/09/27,,5,17
2014/09/28,,4,11
2014/09/29,,4,11
2014/09/30,,4,13
2014/10/01,,4,13
2014/10/02,,4,12
2014/10/03,,4,12
2014/10/04,,3,12
2014/10/05,,3,11
2014/10/06,,3,10
2014/10/07,,4,10
2014/10/08,,4,10
2014/10/09,,4,13
2014/10/10,,4,13
2014/10/11,,4,13
2014/10/12,,4,13
2014/10/13,,4,14
2014/10/14,,4,14
2014/10/15,,4,15
2014/10/16,,4,15
2014/10/17,,3,15
2014/10/18,,3,16
2014/10/19,,3,16
2014/10/20,,3,18
2014/10/21,,3,19
2014/10/22,,3,19
2014/10/23,,3,20
2014/10/24,,3,21
2014/10/25,,3,22
2014/10/26,,3,23
2014/10/27,,3,23
2014/10/28,,3,24
2014/10/29,,3,23
2014/10/30,,3,22
2014/10/31,,3,23
2014/11/01,,3,23
2014/11/02,,3,23
2014/11/03,,3,23
2014/11/04,,3,23
2014/11/05,,3,23
2014/11/06,,4,24
2014/11/07,,4,24
2014/11/08,,4,23
2014/11/09,,4,23
2014/11/10,,3,23
2014/11/11,,3,24
2014/11/12,,3,23
2014/11/13,,3,23
2014/11/14,,3,22
2014/11/15,,3,22
2014/11/16,,3,23
2014/11/17,,3,23
2014/11/18,,4,22
2014/11/19,,4,20
2014/11/20,,4,18
2014/11/21,,4,19
2014/11/22,,3,19
2014/11/23,,3,19
2014/11/24,,4,20
2014/11/25,,4,19
2014/11/26,,5,19
2014/11/27,,5,19
2014/11/28,,5,19
2014/11/29,,5,19
2014/11/30,,5,18
2014/12/01,,5,17
2014/12/02,,5,18
2014/12/03,,5,17
2014/12/04,,5,17
2014/12/05,,5,17
2014/12/06,,5,18
2014/12/07,,5,19
2014/12/08,,5,19
2014/12/09,,5,19
2014/12/10,,5,20
2014/12/11,,5,21
2014/12/12,,6,21
2014/12/13,,6,21
2014/12/14,,6,21
2014/12/15,,6,21
2014/12/16,,6,20
2014/12/17,,6,20
2014/12/18,,6,20
2014/12/19,,6,20
2014/12/20,,6,20
2014/12/21,,6,19
2014/12/22,,6,19
2014/12/23,,6,18
2014/12/24,,5,17
2014/12/25,,5,18
2014/12/26,,5,18
2014/12/27,,5,17
2014/12/28,,5,16
2014/12/29,,5,16
2014/12/30,,5,16
2014/12/31,,5,17
2015/01/01,,5,16
2015/01/02,,5,16
2015/01/03,,5,16
2015/01/04,,5,16
2015/01/05,,3,14
2015/01/06,,3,15
2015/01/07,,3,15
2015/01/08,,3,14
2015/01/09,,3,13
2015/01/10,1,3,13
2015/01/11,1,3,13
2015/01/12,1,3,14
2015/01/13,1,3,14
2015/01/14,1,3,13
2015/01/15,1,3,14
2015/01/16,1,3,13
2015/01/17,1,3,13
2015/01/18,1,3,13
2015/01/19,1,3,13
2015/01/20,1,3,13
2015/01/21,,3,11
2015/01/22,,3,12
2015/01/23,,3,11
2015/01/24,1,3,12
2015/01/25,1,3,12
2015/01/26,1,3,14
2015/01/27,1,3,14
2015/01/28,1,3,14
2015/01/29,1,3,15
2015/01/30,1,3,15
2015/01/31,1,3,15
2015/02/01,1,4,17
2015/02/02,1,4,17
2015/02/03,1,4,17
2015/02/04,1,4,18
2015/02/05,1,4,19
2015/02/06,1,4,19
2015/02/07,1,4,22
2015/02/08,,4,22
2015/02/09,,4,22
2015/02/10,,4,21
2015/02/11,,4,20
2015/02/12,,4,21
2015/02/13,,5,21
2015/02/14,,5,21
2015/02/15,,5,21
2015/02/16,,5,22
2015/02/17,,5,23
2015/02/18,,5,23
2015/02/19,,5,23
2015/02/20,,6,24
2015/02/21,,6,24
2015/02/22,,6,24
2015/02/23,,6,23
2015/02/24,,6,23
2015/02/25,,6,21
2015/02/26,,6,21
2015/02/27,,6,21
2015/02/28,,5,20
2015/03/01,,5,20
2015/03/02,,5,20
2015/03/03,,4,19
2015/03/04,,4,20
2015/03/05,1,4,21
2015/03/06,1,4,22
2015/03/07,1,4,20
2015/03/08,1,4,20
2015/03/09,1,4,17
2015/03/10,1,4,17
2015/03/11,1,4,17
2015/03/12,1,4,17
2015/03/13,1,4,17
2015/03/14,1,4,16
2015/03/15,1,4,15
2015/03/16,1,3,15
2015/03/17,1,5,14
2015/03/18,1,5,13
2015/03/19,1,6,13
2015/03/20,1,6,13
2015/03/21,1,6,13
2015/03/22,1,7,15
2015/03/23,1,7,14
2015/03/24,1,7,14
2015/03/25,2,8,14
2015/03/26,2,8,15
2015/03/27,2,7,15
2015/03/28,2,7,15
2015/03/29,2,7,15
2015/03/30,2,7,15
2015/03/31,2,7,16
2015/04/01,2,7,16
2015/04/02,2,7,16
2015/04/03,2,7,15
2015/04/04,2,7,17
2015/04/05,2,6,18
2015/04/06,2,6,18
2015/04/07,2,6,19
2015/04/08,2,6,19
2015/04/09,2,6,20
2015/04/10,2,6,20
2015/04/11,2,6,21
2015/04/12,2,6,22
2015/04/13,2,6,22
2015/04/14,1,6,22
2015/04/15,1,6,22
2015/04/16,1,6,22
2015/04/17,1,6,22
2015/04/18,1,5,21
2015/04/19,1,5,20
2015/04/20,1,5,22
2015/04/21,1,5,21
2015/04/22,1,5,21
2015/04/23,1,5,22
2015/04/24,,4,21
2015/04/25,,3,21
2015/04/26,,2,20
2015/04/27,,2,20
2015/04/28,,2,20
2015/04/29,,2,21
2015/04/30,,2,20
2015/05/01,,2,20
2015/05/02,,2,20
2015/05/03,,3,21
2015/05/04,,3,20
2015/05/05,,3,18
2015/05/06,,3,18
2015/05/07,,3,17
2015/05/08,,3,19
2015/05/09,,3,20
2015/05/10,,3,20
2015/05/11,,3,18
2015/05/12,,3,17
2015/05/13,,3,19
2015/05/14,,3,19
2015/05/15,,3,19
2015/05/16,,3,19
2015/05/17,,3,19
2015/05/18,,3,19
2015/05/19,,3,20
2015/05/20,,4,20
2015/05/21,,4,19
2015/05/22,,4,18
2015/05/23,,4,18
2015/05/24,,4,19
2015/05/25,,4,19
2015/05/26,,4,19
2015/05/27,,4,19
2015/05/28,,4,21
2015/05/29,,4,20
2015/05/30,,4,20
2015/05/31,,4,20
2015/06/01,,5,21
2015/06/02,,4,20
2015/06/03,,4,20
2015/06/04,,4,20
2015/06/05,,4,21
2015/06/06,,4,21
2015/06/07,,4,19
2015/06/08,,4,18
2015/06/09,,4,17
2015/06/10,,4,17
2015/06/11,,4,19
2015/06/12,,4,18
2015/06/13,,4,17
2015/06/14,,4,17
2015/06/15,,4,17
2015/06/16,,4,16
2015/06/17,,4,17
2015/06/18,,4,18
2015/06/19,,3,16
2015/06/20,,4,16
2015/06/21,,4,16
2015/06/22,,4,18
2015/06/23,,4,17
2015/06/24,,4,19
2015/06/25,,4,19
2015/06/26,,4,20
2015/06/27,,4,18
2015/06/28,,4,19
2015/06/29,,4,19
2015/06/30,,3,20
2015/07/01,,3,21
2015/07/02,,3,22
2015/07/03,,3,22
2015/07/04,,3,22
2015/07/05,,3,21
2015/07/06,,3,22
2015/07/07,,3,22
2015/07/08,,3,24
2015/07/09,,3,23
2015/07/10,,3,24
2015/07/11,,3,23
2015/07/12,,3,23
2015/07/13,,3,23
2015/07/14,,3,24
2015/07/15,,3,26
2015/07/16,,3,26
2015/07/17,,3,25
2015/07/18,,3,25
2015/07/19,,2,26
2015/07/20,,2,26
2015/07/21,,2,27
2015/07/22,,2,24
2015/07/23,,2,24
2015/07/24,,2,22
2015/07/25,,2,22
2015/07/26,,2,22
2015/07/27,,2,21
2015/07/28,,2,20
2015/07/29,,2,20
2015/07/30,,2,18
2015/07/31,,1,16
2015/08/01,,1,15
2015/08/02,,1,18
2015/08/03,,1,18
2015/08/04,,1,19
2015/08/05,,2,19
2015/08/06,,2,19
2015/08/07,,2,20
2015/08/08,,2,20
2015/08/09,,2,19
2015/08/10,,3,18
2015/08/11,,3,17
2015/08/12,,3,18
2015/08/13,,3,19
2015/08/14,,3,19
2015/08/15,,3,19
2015/08/16,,3,19
2015/08/17,,4,19
2015/08/18,,3,18
2015/08/19,,2,19
2015/08/20,,2,20
2015/08/21,,2,20
2015/08/22,,2,21
2015/08/23,,3,21
2015/08/24,,3,22
2015/08/25,,3,23
2015/08/26,,4,24
2015/08/27,,4,24
2015/08/28,,4,24
2015/08/29,,4,24
2015/08/30,,4,24
2015/08/31,,4,24
2015/09/01,,4,21
2015/09/02,,4,22
2015/09/03,,4,21
2015/09/04,,3,21
2015/09/05,1,4,22
2015/09/06,1,4,21
