date,eewiki (100+),eewiki (5+),eewiki (all)
2012/12/10,,14,26
2012/12/11,,12,26
2012/12/12,,11,25
2012/12/13,,11,25
2012/12/14,,12,25
2012/12/15,,12,25
2012/12/16,,12,24
2012/12/17,,12,24
2012/12/18,,12,22
2012/12/19,,11,22
2012/12/20,,11,21
2012/12/21,,10,21
2012/12/22,,10,23
2012/12/23,,11,25
2012/12/24,,10,25
2012/12/25,,10,25
2012/12/26,,10,26
2012/12/27,,10,26
2012/12/28,,10,26
2012/12/29,,10,25
2012/12/30,,10,26
2012/12/31,,10,26
2013/01/01,,10,26
2013/01/02,,9,27
2013/01/03,,9,27
2013/01/04,,10,27
2013/01/05,,10,27
2013/01/06,,10,27
2013/01/07,,11,24
2013/01/08,,11,26
2013/01/09,,11,28
2013/01/10,,11,28
2013/01/11,,10,28
2013/01/12,,10,28
2013/01/13,,10,28
2013/01/14,,10,28
2013/01/15,,10,30
2013/01/16,,10,30
2013/01/17,,10,30
2013/01/18,,10,31
2013/01/19,,10,31
2013/01/20,,10,31
2013/01/21,,10,29
2013/01/22,,9,27
2013/01/23,,9,27
2013/01/24,,9,27
2013/01/25,,9,26
2013/01/26,,9,26
2013/01/27,,10,27
2013/01/28,,10,27
2013/01/29,,10,29
2013/01/30,,8,29
2013/01/31,,8,29
2013/02/01,,8,28
2013/02/02,,8,28
2013/02/03,,8,28
2013/02/04,,8,28
2013/02/05,,8,28
2013/02/06,,7,29
2013/02/07,,7,28
2013/02/08,,7,25
2013/02/09,,7,25
2013/02/10,,7,27
2013/02/11,,8,26
2013/02/12,,8,26
2013/02/13,,9,26
2013/02/14,1,8,26
2013/02/15,1,7,26
2013/02/16,1,7,28
2013/02/17,1,7,28
2013/02/18,1,7,27
2013/02/19,1,7,27
2013/02/20,1,7,28
2013/02/21,1,7,28
2013/02/22,1,7,28
2013/02/23,1,7,28
2013/02/24,1,7,28
2013/02/25,1,6,28
2013/02/26,1,6,25
2013/02/27,1,6,25
2013/02/28,1,6,24
2013/03/01,1,6,24
2013/03/02,1,6,22
2013/03/03,1,6,21
2013/03/04,1,6,22
2013/03/05,1,6,22
2013/03/06,1,6,23
2013/03/07,2,7,24
2013/03/08,2,7,25
2013/03/09,2,7,24
2013/03/10,2,7,24
2013/03/11,2,7,24
2013/03/12,1,8,23
2013/03/13,1,8,24
2013/03/14,1,8,23
2013/03/15,1,8,23
2013/03/16,1,8,22
2013/03/17,1,8,22
2013/03/18,1,8,20
2013/03/19,1,8,20
2013/03/20,1,8,20
2013/03/21,1,8,19
2013/03/22,1,8,18
2013/03/23,1,7,18
2013/03/24,1,7,18
2013/03/25,1,7,18
2013/03/26,1,7,18
2013/03/27,1,6,18
2013/03/28,1,6,17
2013/03/29,1,5,17
2013/03/30,1,5,15
2013/03/31,1,5,15
2013/04/01,1,5,16
2013/04/02,1,5,16
2013/04/03,1,4,15
2013/04/04,1,3,16
2013/04/05,1,3,13
2013/04/06,1,3,14
2013/04/07,,2,10
2013/04/08,,2,11
2013/04/09,,2,11
2013/04/10,,2,11
2013/04/11,,1,10
2013/04/12,,2,10
2013/04/13,,2,11
2013/04/14,,2,12
2013/04/15,,2,12
2013/04/16,,2,12
2013/04/17,,2,12
2013/04/18,,2,12
2013/04/19,,2,12
2013/04/20,,2,12
2013/04/21,,1,12
2013/04/22,,1,13
2013/04/23,,1,13
2013/04/24,,1,12
2013/04/25,,1,12
2013/04/26,,1,12
2013/04/27,,1,12
2013/04/28,,1,12
2013/04/29,,1,12
2013/04/30,,1,13
2013/05/01,,1,12
2013/05/02,,1,13
2013/05/03,,1,13
2013/05/04,,1,12
2013/05/05,,1,12
2013/05/06,,1,12
2013/05/07,,1,12
2013/05/08,,1,10
2013/05/09,,1,9
2013/05/10,,1,8
2013/05/11,,1,8
2013/05/12,,1,7
2013/05/13,,1,6
2013/05/14,,1,6
2013/05/15,,1,6
2013/05/16,,1,6
2013/05/17,,1,5
2013/05/18,,1,5
2013/05/19,,1,5
2013/05/20,,1,5
2013/05/21,,1,5
2013/05/22,,1,5
2013/05/23,,1,5
2013/05/24,,1,5
2013/05/25,,1,5
2013/05/26,,1,5
2013/05/27,,1,5
2013/05/28,,1,5
2013/05/29,,1,5
2013/05/30,,1,4
2013/05/31,,1,5
2013/06/01,,1,5
2013/06/02,,1,5
2013/06/03,,1,5
2013/06/04,,1,5
2013/06/05,,1,5
2013/06/06,,1,5
2013/06/07,,2,6
2013/06/08,,2,6
2013/06/09,,2,7
2013/06/10,,2,7
2013/06/11,,2,7
2013/06/12,,2,7
2013/06/13,,2,7
2013/06/14,,2,7
2013/06/15,,2,6
2013/06/16,,2,6
2013/06/17,,1,6
2013/06/18,,1,6
2013/06/19,,1,6
2013/06/20,,1,6
2013/06/21,,1,5
2013/06/22,,1,5
2013/06/23,,1,5
2013/06/24,,1,5
2013/06/25,,1,5
2013/06/26,,1,5
2013/06/27,,1,3
2013/06/28,,1,3
2013/06/29,,1,3
2013/06/30,,1,2
2013/07/01,,1,2
2013/07/02,,1,3
2013/07/03,,1,4
2013/07/04,,1,4
2013/07/05,,1,4
2013/07/06,,1,4
2013/07/07,,,3
2013/07/08,,,3
2013/07/09,,,2
2013/07/10,,,2
2013/07/11,,,2
2013/07/12,,,2
2013/07/13,,,2
2013/07/14,,,2
2013/07/15,,1,3
2013/07/16,,1,4
2013/07/17,,1,4
2013/07/18,,1,4
2013/07/19,,1,4
2013/07/20,,1,4
2013/07/21,,1,4
2013/07/22,,1,4
2013/07/23,,1,4
2013/07/24,,1,4
2013/07/25,,1,4
2013/07/26,,1,4
2013/07/27,,1,4
2013/07/28,,1,4
2013/07/29,,1,4
2013/07/30,,1,4
2013/07/31,,1,4
2013/08/01,,1,3
2013/08/02,,2,2
2013/08/03,,2,2
2013/08/04,,2,2
2013/08/05,,2,2
2013/08/06,,2,2
2013/08/07,,2,2
2013/08/08,,2,2
2013/08/09,,2,2
2013/08/10,,2,2
2013/08/11,,2,2
2013/08/12,,2,2
2013/08/13,,2,2
2013/08/14,,1,1
2013/08/15,,,1
2013/08/16,,,1
2013/08/17,,,1
2013/08/18,,,1
2013/08/19,,,1
2013/08/20,,,1
2013/08/21,,,1
2013/08/22,,2,2
2013/08/23,,2,3
2013/08/24,,2,3
2013/08/25,,2,3
2013/08/26,,2,3
2013/08/27,,2,3
2013/08/28,,2,3
2013/08/29,,2,3
2013/08/30,,2,3
2013/08/31,,2,3
2013/09/01,,2,3
2013/09/02,,2,3
2013/09/03,,2,3
2013/09/04,,2,3
2013/09/05,,2,3
2013/09/06,,2,3
2013/09/07,,2,3
2013/09/08,,2,3
2013/09/09,,2,3
2013/09/10,,2,3
2013/09/11,,2,3
2013/09/12,,2,3
2013/09/13,,2,3
2013/09/14,,2,3
2013/09/15,,2,3
2013/09/16,,2,3
2013/09/17,,2,3
2013/09/18,,2,3
2013/09/19,,2,3
2013/09/20,,2,3
2013/09/21,,,3
2013/09/22,,,3
2013/09/23,,,2
2013/09/24,,,1
2013/09/25,,,1
2013/09/26,,,1
2013/09/27,,,1
2013/09/28,,,1
2013/09/29,,,1
2013/09/30,,,1
2013/10/01,,,1
2013/10/02,,,1
2013/10/17,,,1
2013/10/18,,,1
2013/10/19,,,1
2013/10/20,,,1
2013/10/21,,,1
2013/10/22,,,1
2013/10/23,,,1
2013/10/24,,,1
2013/10/25,,,2
2013/10/26,,,2
2013/10/27,,,2
2013/10/28,,,2
2013/10/29,,,2
2013/10/30,,,2
2013/10/31,,,2
2013/11/01,,,2
2013/11/02,,,2
2013/11/03,,,2
2013/11/04,,,2
2013/11/05,,,3
2013/11/06,,,3
2013/11/07,,,3
2013/11/08,,,3
2013/11/09,,,3
2013/11/10,,,3
2013/11/11,,,3
2013/11/12,,,3
2013/11/13,,,3
2013/11/14,,,3
2013/11/15,,,3
2013/11/16,,,3
2013/11/17,,,2
2013/11/18,,,2
2013/11/19,,,2
2013/11/20,,,2
2013/11/21,,,2
2013/11/22,,,2
2013/11/23,,,2
2013/11/24,,,1
2013/11/25,,,1
2013/11/26,,,1
2013/11/27,,,1
2013/11/28,,,1
2013/11/29,,,1
2013/11/30,,,1
2013/12/01,,,1
2013/12/02,,,1
2013/12/03,,,1
2013/12/04,,,1
2013/12/07,,,1
2013/12/08,,,1
2013/12/09,,,1
2013/12/10,,,1
2013/12/11,,,1
2013/12/12,,,1
2013/12/13,,,1
2013/12/14,,,1
2013/12/15,,,1
2013/12/16,,,1
2013/12/17,,,1
2013/12/18,,,1
2013/12/19,,,1
2013/12/20,,,1
2013/12/21,,,1
2013/12/22,,,1
2013/12/23,,,1
2013/12/24,,,1
2013/12/25,,,1
2013/12/26,,,1
2013/12/27,,,1
2013/12/28,,,1
2013/12/29,,,2
2013/12/30,,,2
2013/12/31,,,2
2014/01/01,,,2
2014/01/02,,,2
2014/01/03,,,2
2014/01/04,,,2
2014/01/05,,,2
2014/01/06,,,1
2014/01/07,,,1
2014/01/08,,,2
2014/01/09,,,2
2014/01/10,,,2
2014/01/11,,,2
2014/01/12,,,2
2014/01/13,,,2
2014/01/14,,,2
2014/01/15,,,2
2014/01/16,,,2
2014/01/17,,,2
2014/01/18,,,2
2014/01/19,,,3
2014/01/20,,,3
2014/01/21,,,4
2014/01/22,,,5
2014/01/23,,,5
2014/01/24,,,5
2014/01/25,,,5
2014/01/26,,,5
2014/01/27,,,5
2014/01/28,,,5
2014/01/29,,,5
2014/01/30,,,5
2014/01/31,,,5
2014/02/01,,,5
2014/02/02,,,5
2014/02/03,,,5
2014/02/04,,,5
2014/02/05,,,5
2014/02/06,,,7
2014/02/07,,,6
2014/02/08,,,6
2014/02/09,,,7
2014/02/10,,,7
2014/02/11,,,7
2014/02/12,,,7
2014/02/13,,,7
2014/02/14,,,7
2014/02/15,,,7
2014/02/16,,,7
2014/02/17,,,7
2014/02/18,,,6
2014/02/19,,,6
2014/02/20,,,6
2014/02/21,,,5
2014/02/22,,,5
2014/02/23,,,5
2014/02/24,,,5
2014/02/25,,,4
2014/02/26,,,5
2014/02/27,,,5
2014/02/28,,,5
2014/03/01,,,5
2014/03/02,,,5
2014/03/03,,,5
2014/03/04,,,5
2014/03/05,,,5
2014/03/06,,,5
2014/03/07,,,5
2014/03/08,,,3
2014/03/09,,,3
2014/03/10,,,3
2014/03/11,,,2
2014/03/12,,,2
2014/03/13,,,2
2014/03/14,,,2
2014/03/15,,,2
2014/03/16,,,2
2014/03/17,,,2
2014/03/18,,,2
2014/03/19,,,2
2014/03/20,,,2
2014/03/21,,,2
2014/03/22,,,3
2014/03/23,,,3
2014/03/24,,,3
2014/03/25,,,3
2014/03/26,,,3
2014/03/27,,,3
2014/03/28,,,2
2014/03/29,,,2
2014/03/30,,,2
2014/03/31,,,2
2014/04/01,,,2
2014/04/02,,,2
2014/04/03,,,2
2014/04/04,,,3
2014/04/05,,,4
2014/04/06,,,4
2014/04/07,,,5
2014/04/08,,,5
2014/04/09,,,5
2014/04/10,,,5
2014/04/11,,,5
2014/04/12,,,5
2014/04/13,,,7
2014/04/14,,,7
2014/04/15,,,7
2014/04/16,,,8
2014/04/17,,,9
2014/04/18,,,9
2014/04/19,,,9
2014/04/20,,,9
2014/04/21,,,7
2014/04/22,,,8
2014/04/23,,1,8
2014/04/24,,1,8
2014/04/25,,1,8
2014/04/26,,1,8
2014/04/27,,1,8
2014/04/28,,1,8
2014/04/29,,1,8
2014/04/30,,1,8
2014/05/01,,1,8
2014/05/02,,1,8
2014/05/03,,1,8
2014/05/04,,1,7
2014/05/05,,1,6
2014/05/06,,1,6
2014/05/07,,1,5
2014/05/08,,1,5
2014/05/09,,1,5
2014/05/10,,1,5
2014/05/11,,1,5
2014/05/12,,1,5
2014/05/13,,1,3
2014/05/14,,1,3
2014/05/15,,1,3
2014/05/16,,1,3
2014/05/17,,1,2
2014/05/18,,1,2
2014/05/19,,1,2
2014/05/20,,1,2
2014/05/21,,1,2
2014/05/22,,1,2
2014/05/23,,,1
2014/05/24,,,1
2014/05/25,,,1
2014/05/26,,,1
2014/05/27,,,1
2014/05/28,,,1
2014/05/29,,,1
2014/05/30,,,1
2014/05/31,,,1
2014/06/01,,,3
2014/06/02,,,3
2014/06/03,,1,4
2014/06/04,,1,4
2014/06/05,,1,4
2014/06/06,,1,4
2014/06/07,,1,4
2014/06/08,,1,4
2014/06/09,,1,4
2014/06/10,,1,4
2014/06/11,,1,4
2014/06/12,,1,4
2014/06/13,,1,4
2014/06/14,,1,4
2014/06/15,,1,4
2014/06/16,,1,4
2014/06/17,,1,4
2014/06/18,,1,4
2014/06/19,,1,4
2014/06/20,,1,4
2014/06/21,,1,4
2014/06/22,,1,4
2014/06/23,,1,4
2014/06/24,,1,4
2014/06/25,,1,4
2014/06/26,,1,4
2014/06/27,,1,4
2014/06/28,,1,4
2014/06/29,,1,4
2014/06/30,,1,4
2014/07/01,,1,5
2014/07/02,,1,5
2014/07/03,,1,5
2014/07/04,,1,5
2014/07/05,,1,5
2014/07/06,,1,4
2014/07/07,,1,4
2014/07/08,,1,4
2014/07/09,,1,4
2014/07/10,,1,4
2014/07/11,,1,4
2014/07/12,,1,4
2014/07/13,,1,4
2014/07/14,,1,4
2014/07/15,,1,5
2014/07/16,,1,5
2014/07/17,,1,5
2014/07/18,,1,6
2014/07/19,,1,6
2014/07/20,,1,6
2014/07/21,,1,6
2014/07/22,,1,7
2014/07/23,,1,7
2014/07/24,,1,7
2014/07/25,,,7
2014/07/26,,,7
2014/07/27,,,7
2014/07/28,,,7
2014/07/29,,,7
2014/07/30,,,8
2014/07/31,,,6
2014/08/01,,,6
2014/08/02,,,5
2014/08/03,,,4
2014/08/04,,,4
2014/08/05,,,4
2014/08/06,,,4
2014/08/07,,,4
2014/08/08,,,5
2014/08/09,,,4
2014/08/10,,,4
2014/08/11,,,4
2014/08/12,,,4
2014/08/13,,,4
2014/08/14,,,4
2014/08/15,,,4
2014/08/16,,,4
2014/08/17,,,3
2014/08/18,,,3
2014/08/19,,,3
2014/08/20,,,3
2014/08/21,,,3
2014/08/22,,,3
2014/08/23,,1,5
2014/08/24,,1,6
2014/08/25,,1,6
2014/08/26,,1,6
2014/08/27,,1,6
2014/08/28,,2,7
2014/08/29,,2,6
2014/08/30,,2,8
2014/08/31,,2,8
2014/09/01,,2,8
2014/09/02,,2,8
2014/09/03,,2,7
2014/09/04,,2,7
2014/09/05,,2,7
2014/09/06,,2,8
2014/09/07,,2,8
2014/09/08,,2,8
2014/09/09,,2,8
2014/09/10,,2,8
2014/09/11,,2,8
2014/09/12,,2,8
2014/09/13,,2,8
2014/09/14,,2,8
2014/09/15,,2,8
2014/09/16,,2,8
2014/09/17,,2,8
2014/09/18,,2,9
2014/09/19,,2,9
2014/09/20,,2,9
2014/09/21,,2,10
2014/09/22,,2,9
2014/09/23,,1,8
2014/09/24,,1,8
2014/09/25,,1,8
2014/09/26,,1,8
2014/09/27,,,7
2014/09/28,,,7
2014/09/29,,,4
2014/09/30,,,3
2014/10/01,,,3
2014/10/02,,,4
2014/10/03,,,4
2014/10/04,,,4
2014/10/05,,,4
2014/10/06,,,3
2014/10/07,,,3
2014/10/08,,,4
2014/10/09,,,4
2014/10/10,,,4
2014/10/11,,,4
2014/10/12,,,4
2014/10/13,,,4
2014/10/14,,,4
2014/10/15,,,4
2014/10/16,,,4
2014/10/17,,,4
2014/10/18,,,3
2014/10/19,,,3
2014/10/20,,,3
2014/10/21,,,3
2014/10/22,,,3
2014/10/23,,,3
2014/10/24,,,3
2014/10/25,,,3
2014/10/26,,,3
2014/10/27,,,3
2014/10/28,,,3
2014/10/29,,,3
2014/10/30,,,3
2014/10/31,,,3
2014/11/01,,,2
2014/11/02,,,2
2014/11/03,,,2
2014/11/04,,,2
2014/11/05,,,2
2014/11/06,,,2
2014/11/07,,,1
2014/11/08,,,1
2014/11/09,,,1
2014/11/10,,,1
2014/11/11,,,1
2014/11/12,,,1
2014/11/13,,,1
2014/11/14,,,1
2014/11/15,,,1
2014/11/16,,,1
2014/11/17,,,1
2014/11/18,,,1
2014/11/19,,,1
2014/11/20,,,1
2014/11/21,,,1
2014/11/22,,,2
2014/11/23,,,2
2014/11/24,,,2
2014/11/25,,,2
2014/11/26,,,2
2014/11/27,,,2
2014/11/28,,,2
2014/11/29,,,2
2014/11/30,,,2
2014/12/01,,,2
2014/12/02,,,2
2014/12/03,,,2
2014/12/04,,,2
2014/12/05,,,3
2014/12/06,,,3
2014/12/07,,,2
2014/12/08,,,2
2014/12/09,,,2
2014/12/10,,,2
2014/12/11,,,2
2014/12/12,,,2
2014/12/13,,,2
2014/12/14,,,2
2014/12/15,,,2
2014/12/16,,,3
2014/12/17,,,3
2014/12/18,,,3
2014/12/19,,1,4
2014/12/20,,1,4
2014/12/21,,1,4
2014/12/22,,1,3
2014/12/23,,1,3
2014/12/24,,1,3
2014/12/25,,1,4
2014/12/26,,1,4
2014/12/27,,1,4
2014/12/28,,1,4
2014/12/29,,1,4
2014/12/30,,1,4
2014/12/31,,1,5
2015/01/01,,1,5
2015/01/02,,1,6
2015/01/03,,1,6
2015/01/04,,1,5
2015/01/05,,1,5
2015/01/06,,1,5
2015/01/07,,1,6
2015/01/08,,1,6
2015/01/09,,1,6
2015/01/10,,1,6
2015/01/11,,1,6
2015/01/12,,1,6
2015/01/13,,1,6
2015/01/14,,1,6
2015/01/15,,1,5
2015/01/16,,1,5
2015/01/17,,1,5
2015/01/18,,,4
2015/01/19,,,4
2015/01/20,,,4
2015/01/21,,,4
2015/01/22,,,4
2015/01/23,,,4
2015/01/24,,,4
2015/01/25,,,4
2015/01/26,,,4
2015/01/27,,,4
2015/01/28,,1,6
2015/01/29,,1,6
2015/01/30,,1,6
2015/01/31,,1,5
2015/02/01,,1,4
2015/02/02,,1,4
2015/02/03,,1,4
2015/02/04,,1,4
2015/02/05,,1,4
2015/02/06,,1,3
2015/02/07,,1,3
2015/02/08,,1,3
2015/02/09,,1,3
2015/02/10,,1,4
2015/02/11,,1,4
2015/02/12,,1,4
2015/02/13,,1,4
2015/02/14,,1,4
2015/02/15,,1,4
2015/02/16,,1,4
2015/02/17,,1,4
2015/02/18,,1,4
2015/02/19,,1,4
2015/02/20,,1,4
2015/02/21,,1,4
2015/02/22,,1,4
2015/02/23,,1,4
2015/02/24,,1,4
2015/02/25,,1,4
2015/02/26,,1,4
2015/02/27,,,2
2015/02/28,,,2
2015/03/01,,,2
2015/03/02,,,2
2015/03/03,,,2
2015/03/04,,,1
2015/03/05,,,1
2015/03/06,,,1
2015/03/07,,,1
2015/03/08,,,1
2015/03/09,,,1
2015/03/10,,,2
2015/03/11,,,2
2015/03/12,,,1
2015/03/13,,,1
2015/03/14,,,1
2015/03/15,,,1
2015/03/16,,,1
2015/03/17,,,1
2015/03/18,,,1
2015/03/19,,,1
2015/03/20,,1,3
2015/03/21,,1,4
2015/03/22,,1,4
2015/03/23,,1,4
2015/03/24,,1,4
2015/03/25,,1,4
2015/03/26,,1,4
2015/03/27,,1,4
2015/03/28,,1,4
2015/03/29,,1,4
2015/03/30,,1,5
2015/03/31,,1,5
2015/04/01,,1,5
2015/04/02,,1,6
2015/04/03,,1,6
2015/04/04,,1,6
2015/04/05,,1,6
2015/04/06,,1,6
2015/04/07,,1,6
2015/04/08,,1,6
2015/04/09,,1,5
2015/04/10,,1,5
2015/04/11,,1,5
2015/04/12,,1,5
2015/04/13,,1,5
2015/04/14,,1,5
2015/04/15,,1,5
2015/04/16,,1,5
2015/04/17,,1,5
2015/04/18,,1,5
2015/04/19,,,3
2015/04/20,,,2
2015/04/21,,,2
2015/04/22,,,2
2015/04/23,,,2
2015/04/24,,,2
2015/04/25,,,2
2015/04/26,,,2
2015/04/27,,,2
2015/04/28,,,2
2015/04/29,,,1
2015/04/30,,,1
2015/05/01,,,1
2015/05/12,,,1
2015/05/13,,,1
2015/05/14,,,1
2015/05/15,,,1
2015/05/16,,,1
2015/05/17,,,1
2015/05/18,,,1
2015/05/19,,,1
2015/05/20,,,1
2015/05/21,,,1
2015/05/22,,,1
2015/05/23,,,1
2015/05/24,,,1
2015/05/25,,,1
2015/05/26,,,1
2015/05/27,,,1
2015/05/28,,,2
2015/05/29,,,2
2015/05/30,,,2
2015/05/31,,,2
2015/06/01,,,2
2015/06/02,,,2
2015/06/03,,,2
2015/06/04,,,2
2015/06/05,,,2
2015/06/06,,,2
2015/06/07,,,3
2015/06/08,,,3
2015/06/09,,,3
2015/06/10,,,3
2015/06/11,,,2
2015/06/12,,,3
2015/06/13,,,3
2015/06/14,,,3
2015/06/15,,,3
2015/06/16,,,3
2015/06/17,,,3
2015/06/18,,,3
2015/06/19,,,3
2015/06/20,,,3
2015/06/21,,,3
2015/06/22,,,3
2015/06/23,,,3
2015/06/24,,,3
2015/06/25,,,3
2015/06/26,,,3
2015/06/27,,,2
2015/06/28,,,2
2015/06/29,,,2
2015/06/30,,,2
2015/07/01,,,2
2015/07/02,,,2
2015/07/03,,,2
2015/07/04,,,2
2015/07/05,,,2
2015/07/06,,,2
2015/07/07,,,2
2015/07/08,,,2
2015/07/09,,,2
2015/07/10,,,2
2015/07/11,,,2
2015/07/12,,,1
2015/07/13,,,1
2015/07/14,,,1
2015/07/15,,,1
2015/07/16,,,1
2015/07/17,,,1
2015/07/18,,,1
2015/07/19,,,1
2015/07/20,,,1
2015/07/21,,,1
2015/07/22,,,1
2015/07/23,,,1
2015/07/24,,,1
2015/07/25,,,1
2015/07/26,,,1
2015/07/27,,,1
2015/07/28,,,1
2015/07/29,,,1
2015/07/30,,,1
2015/07/31,,,1
2015/08/01,,,1
2015/08/02,,,1
2015/08/03,,,1
2015/08/04,,,1
2015/08/05,,,1
2015/08/07,,,1
2015/08/08,,,1
2015/08/09,,,1
2015/08/10,,,1
2015/08/11,,,1
2015/08/12,,,1
2015/08/13,,,1
2015/08/14,,,1
2015/08/15,,,1
2015/08/16,,,1
2015/08/17,,,1
2015/08/18,,,1
2015/08/19,,,1
2015/08/20,,,1
2015/08/21,,,1
2015/08/22,,,1
2015/08/23,,,1
2015/08/24,,,1
2015/08/25,,,1
2015/08/26,,,2
2015/08/27,,,2
2015/08/28,,,2
2015/08/29,,,2
2015/08/30,,,2
2015/08/31,,,2
2015/09/01,,,2
2015/09/02,,,2
2015/09/03,,,2
2015/09/04,,,2
2015/09/05,,,2
2015/09/06,,,2
2015/09/07,,,2
2015/09/08,,,2
2015/09/09,,,2
2015/09/10,,,2
2015/09/11,,,2
2015/09/12,,,2
2015/09/13,,,2
2015/09/14,,,2
2015/09/15,,,2
2015/09/16,,,2
2015/09/17,,,2
2015/09/18,,,2
2015/09/19,,,2
2015/09/20,,,3
2015/09/21,,,3
2015/09/22,,,3
2015/09/23,,,3
2015/09/24,,,3
2015/09/25,,,2
2015/09/26,,,2
2015/09/27,,,2
2015/09/28,,,2
2015/09/29,,1,4
2015/09/30,,1,4
2015/10/01,,1,4
2015/10/02,,1,4
2015/10/03,,1,4
2015/10/04,,1,4
2015/10/05,,1,4
2015/10/06,,1,4
2015/10/07,,1,4
2015/10/08,,1,4
2015/10/09,,1,4
2015/10/10,,1,4
2015/10/11,,1,4
2015/10/12,,1,4
2015/10/13,,1,4
2015/10/14,,1,5
2015/10/15,,1,5
2015/10/16,,1,5
2015/10/17,,1,5
2015/10/18,,1,6
2015/10/19,,1,6
2015/10/20,,1,5
2015/10/21,,1,5
2015/10/22,,1,5
2015/10/23,,1,5
2015/10/24,,1,5
2015/10/25,,1,5
2015/10/26,,1,5
2015/10/27,,1,6
2015/10/28,,1,6
2015/10/29,,,4
2015/10/30,,,4
2015/10/31,,,4
2015/11/01,,,4
2015/11/02,,,4
2015/11/03,,,4
2015/11/04,,,4
2015/11/05,,,4
2015/11/06,,,4
2015/11/07,,,4
2015/11/08,,,4
2015/11/09,,,4
2015/11/10,,,5
2015/11/11,,,5
2015/11/12,,,5
2015/11/13,,,4
2015/11/14,,,4
2015/11/15,,,4
2015/11/16,,,4
2015/11/17,,,3
2015/11/18,,,3
2015/11/19,,,3
2015/11/20,,,3
2015/11/21,,,3
2015/11/22,,,3
2015/11/23,,,3
2015/11/24,,,3
2015/11/25,,,3
2015/11/26,,,2
2015/11/27,,,2
2015/11/28,,,2
2015/11/29,,,2
2015/11/30,,,2
2015/12/01,,,2
2015/12/02,,,2
2015/12/03,,,2
2015/12/04,,,2
2015/12/05,,,2
2015/12/06,,,3
2015/12/07,,,3
2015/12/08,,,3
2015/12/09,,,3
2015/12/10,,,2
2015/12/11,,,2
2015/12/12,,,2
2015/12/13,,,2
2015/12/14,,,1
2015/12/15,,,1
2015/12/16,,,1
2015/12/17,,,1
2016/01/18,,2,6
2016/01/19,,2,6
2016/01/20,,2,6
2016/01/21,,2,6
2016/01/22,,2,6
2016/01/23,,2,5
2016/01/24,,2,5
2016/01/25,,2,5
2016/01/26,,2,5
2016/01/27,,2,5
2016/01/28,,2,5
2016/01/29,,2,4
2016/01/30,,2,4
2016/01/31,,2,4
2016/02/01,,2,4
2016/02/02,,2,4
