date,kuwiki (100+),kuwiki (5+),kuwiki (all)
2013/02/01,9,41,96
2013/02/02,9,43,98
2013/02/03,11,42,97
2013/02/04,11,40,92
2013/02/05,10,41,94
2013/02/06,10,41,94
2013/02/07,10,39,92
2013/02/08,10,39,92
2013/02/09,9,39,91
2013/02/10,9,39,92
2013/02/11,9,39,90
2013/02/12,9,39,89
2013/02/13,9,39,87
2013/02/14,9,38,85
2013/02/15,9,38,84
2013/02/16,9,37,83
2013/02/17,9,38,81
2013/02/18,9,38,80
2013/02/19,9,38,81
2013/02/20,10,36,83
2013/02/21,10,34,84
2013/02/22,10,33,83
2013/02/23,9,33,86
2013/02/24,9,33,84
2013/02/25,9,32,83
2013/02/26,9,31,80
2013/02/27,9,30,83
2013/02/28,9,29,81
2013/03/01,9,28,79
2013/03/02,9,28,78
2013/03/03,9,30,79
2013/03/04,11,30,77
2013/03/05,11,28,76
2013/03/06,11,28,75
2013/03/07,11,27,73
2013/03/08,13,30,73
2013/03/09,13,31,75
2013/03/10,13,31,76
2013/03/11,13,32,75
2013/03/12,13,30,73
2013/03/13,12,30,75
2013/03/14,11,29,75
2013/03/15,11,28,76
2013/03/16,11,28,74
2013/03/17,11,29,73
2013/03/18,11,29,72
2013/03/19,11,30,73
2013/03/20,10,29,73
2013/03/21,10,29,72
2013/03/22,10,28,72
2013/03/23,10,29,72
2013/03/24,9,29,75
2013/03/25,9,30,76
2013/03/26,9,30,76
2013/03/27,8,31,76
2013/03/28,8,29,76
2013/03/29,8,29,75
2013/03/30,7,29,74
2013/03/31,7,28,74
2013/04/01,7,26,74
2013/04/02,7,25,77
2013/04/03,6,25,75
2013/04/04,5,25,73
2013/04/05,5,21,75
2013/04/06,5,22,71
2013/04/07,6,21,72
2013/04/08,6,21,69
2013/04/09,6,21,68
2013/04/10,6,21,66
2013/04/11,5,22,67
2013/04/12,5,22,68
2013/04/13,5,23,68
2013/04/14,5,25,71
2013/04/15,5,26,72
2013/04/16,5,26,71
2013/04/17,5,26,68
2013/04/18,5,24,68
2013/04/19,5,24,69
2013/04/20,5,24,69
2013/04/21,5,23,72
2013/04/22,5,23,70
2013/04/23,5,23,67
2013/04/24,5,23,66
2013/04/25,5,23,67
2013/04/26,4,23,65
2013/04/27,4,22,62
2013/04/28,4,22,62
2013/04/29,4,21,61
2013/04/30,4,21,62
2013/05/01,4,22,65
2013/05/02,4,22,62
2013/05/03,4,21,63
2013/05/04,4,21,63
2013/05/05,4,22,60
2013/05/06,4,22,60
2013/05/07,4,23,61
2013/05/08,4,23,60
2013/05/09,4,22,59
2013/05/10,4,20,59
2013/05/11,4,20,60
2013/05/12,4,19,58
2013/05/13,4,19,57
2013/05/14,4,17,55
2013/05/15,4,16,53
2013/05/16,3,16,50
2013/05/17,3,15,50
2013/05/18,3,16,50
2013/05/19,3,17,47
2013/05/20,3,17,48
2013/05/21,3,17,46
2013/05/22,3,18,49
2013/05/23,3,20,52
2013/05/24,3,20,52
2013/05/25,3,20,49
2013/05/26,3,19,53
2013/05/27,3,18,56
2013/05/28,3,18,56
2013/05/29,3,19,59
2013/05/30,3,18,57
2013/05/31,3,17,55
2013/06/01,4,17,56
2013/06/02,4,16,56
2013/06/03,4,17,64
2013/06/04,4,16,63
2013/06/05,4,16,62
2013/06/06,4,16,63
2013/06/07,4,17,61
2013/06/08,4,19,62
2013/06/09,4,20,64
2013/06/10,4,20,62
2013/06/11,4,21,64
2013/06/12,4,21,65
2013/06/13,4,22,66
2013/06/14,4,22,66
2013/06/15,4,24,71
2013/06/16,4,24,73
2013/06/17,5,23,76
2013/06/18,5,24,80
2013/06/19,5,24,81
2013/06/20,5,25,81
2013/06/21,5,24,79
2013/06/22,5,24,75
2013/06/23,5,25,76
2013/06/24,5,24,80
2013/06/25,5,25,79
2013/06/26,5,25,78
2013/06/27,5,25,79
2013/06/28,5,25,77
2013/06/29,5,25,77
2013/06/30,5,25,78
2013/07/01,5,25,78
2013/07/02,5,25,79
2013/07/03,5,25,77
2013/07/04,6,25,81
2013/07/05,6,25,81
2013/07/06,5,25,82
2013/07/07,5,25,80
2013/07/08,5,26,80
2013/07/09,5,25,79
2013/07/10,4,25,77
2013/07/11,4,23,75
2013/07/12,4,21,73
2013/07/13,4,21,70
2013/07/14,4,20,71
2013/07/15,4,19,67
2013/07/16,4,20,66
2013/07/17,4,20,65
2013/07/18,4,21,63
2013/07/19,4,21,66
2013/07/20,4,21,65
2013/07/21,4,22,65
2013/07/22,4,22,67
2013/07/23,4,24,65
2013/07/24,4,25,65
2013/07/25,4,26,63
2013/07/26,4,26,60
2013/07/27,4,25,61
2013/07/28,4,24,63
2013/07/29,4,25,65
2013/07/30,4,25,66
2013/07/31,4,23,65
2013/08/01,4,23,63
2013/08/02,4,23,58
2013/08/03,4,23,54
2013/08/04,4,23,57
2013/08/05,4,22,55
2013/08/06,4,22,56
2013/08/07,4,21,57
2013/08/08,4,21,57
2013/08/09,4,22,58
2013/08/10,4,24,63
2013/08/11,4,24,64
2013/08/12,4,24,67
2013/08/13,4,25,68
2013/08/14,4,25,66
2013/08/15,4,24,65
2013/08/16,4,24,65
2013/08/17,4,24,64
2013/08/18,4,23,63
2013/08/19,4,23,68
2013/08/20,4,23,67
2013/08/21,4,23,65
2013/08/22,3,22,63
2013/08/23,4,21,61
2013/08/24,4,21,60
2013/08/25,4,22,61
2013/08/26,4,23,58
2013/08/27,4,23,57
2013/08/28,4,23,56
2013/08/29,4,24,55
2013/08/30,4,23,55
2013/08/31,4,23,55
2013/09/01,3,22,54
2013/09/02,3,23,52
2013/09/03,3,22,51
2013/09/04,3,22,54
2013/09/05,3,20,55
2013/09/06,3,21,56
2013/09/07,3,22,55
2013/09/08,3,20,54
2013/09/09,3,18,49
2013/09/10,3,17,47
2013/09/11,3,17,44
2013/09/12,3,16,42
2013/09/13,3,16,44
2013/09/14,3,16,43
2013/09/15,3,15,43
2013/09/16,3,13,44
2013/09/17,3,13,43
2013/09/18,3,12,41
2013/09/19,3,12,40
2013/09/20,3,12,40
2013/09/21,3,12,40
2013/09/22,3,12,39
2013/09/23,3,12,42
2013/09/24,3,12,43
2013/09/25,3,11,41
2013/09/26,3,10,40
2013/09/27,3,10,40
2013/09/28,3,10,40
2013/09/29,3,10,41
2013/09/30,3,9,41
2013/10/01,3,9,42
2013/10/02,3,9,42
2013/10/03,3,9,41
2013/10/04,3,9,41
2013/10/05,3,9,41
2013/10/06,3,9,39
2013/10/07,3,9,40
2013/10/08,3,9,41
2013/10/09,3,8,40
2013/10/10,3,8,41
2013/10/11,3,7,41
2013/10/12,3,7,43
2013/10/13,3,7,43
2013/10/14,3,7,45
2013/10/15,3,7,47
2013/10/16,3,8,46
2013/10/17,3,9,47
2013/10/18,3,9,47
2013/10/19,3,9,49
2013/10/20,3,10,46
2013/10/21,3,9,46
2013/10/22,3,9,46
2013/10/23,3,9,44
2013/10/24,3,9,46
2013/10/25,3,9,46
2013/10/26,3,9,47
2013/10/27,3,9,48
2013/10/28,3,10,48
2013/10/29,3,10,45
2013/10/30,3,10,45
2013/10/31,3,10,43
2013/11/01,3,11,45
2013/11/02,3,11,47
2013/11/03,3,11,45
2013/11/04,3,11,46
2013/11/05,3,11,47
2013/11/06,4,12,47
2013/11/07,4,12,48
2013/11/08,4,12,50
2013/11/09,4,12,51
2013/11/10,4,13,53
2013/11/11,4,14,49
2013/11/12,4,14,49
2013/11/13,4,14,47
2013/11/14,4,14,47
2013/11/15,4,13,48
2013/11/16,4,12,48
2013/11/17,4,12,47
2013/11/18,4,12,47
2013/11/19,4,12,48
2013/11/20,4,12,48
2013/11/21,4,12,48
2013/11/22,4,12,50
2013/11/23,4,12,47
2013/11/24,3,12,47
2013/11/25,3,13,49
2013/11/26,3,13,48
2013/11/27,3,13,48
2013/11/28,3,13,52
2013/11/29,3,13,53
2013/11/30,4,13,52
2013/12/01,3,12,51
2013/12/02,4,12,50
2013/12/03,4,12,51
2013/12/04,4,12,49
2013/12/05,4,12,49
2013/12/06,3,12,51
2013/12/07,3,12,51
2013/12/08,1,12,50
2013/12/09,1,12,51
2013/12/10,1,11,51
2013/12/11,,11,51
2013/12/12,,11,50
2013/12/13,,10,49
2013/12/14,,11,47
2013/12/15,,11,46
2013/12/16,,13,47
2013/12/17,,13,49
2013/12/18,,13,50
2013/12/19,,13,53
2013/12/20,,12,53
2013/12/21,,12,52
2013/12/22,,13,50
2013/12/23,,14,52
2013/12/24,,17,56
2013/12/25,,18,57
2013/12/26,,20,60
2013/12/27,,20,63
2013/12/28,,20,62
2013/12/29,,19,63
2013/12/30,,19,65
2013/12/31,,19,67
2014/01/01,,22,66
2014/01/02,1,22,71
2014/01/03,1,22,77
2014/01/04,1,21,79
2014/01/05,1,22,81
2014/01/06,2,23,85
2014/01/07,2,24,90
2014/01/08,2,24,89
2014/01/09,2,24,89
2014/01/10,2,25,93
2014/01/11,2,25,95
2014/01/12,2,25,94
2014/01/13,2,28,97
2014/01/14,2,28,98
2014/01/15,2,27,99
2014/01/16,2,27,96
2014/01/17,2,28,98
2014/01/18,2,27,98
2014/01/19,2,27,98
2014/01/20,2,27,99
2014/01/21,2,26,100
2014/01/22,2,26,101
2014/01/23,2,25,100
2014/01/24,2,25,97
2014/01/25,2,23,95
2014/01/26,3,23,93
2014/01/27,3,23,92
2014/01/28,3,23,92
2014/01/29,3,20,94
2014/01/30,3,20,90
2014/01/31,3,20,91
2014/02/01,3,20,86
2014/02/02,3,19,83
2014/02/03,3,20,82
2014/02/04,3,19,79
2014/02/05,3,18,78
2014/02/06,3,16,71
2014/02/07,3,16,71
2014/02/08,3,15,72
2014/02/09,3,14,67
2014/02/10,3,14,67
2014/02/11,3,17,68
2014/02/12,3,13,63
2014/02/13,3,13,63
2014/02/14,3,12,62
2014/02/15,3,11,59
2014/02/16,3,11,56
2014/02/17,3,11,53
2014/02/18,2,11,54
2014/02/19,2,11,56
2014/02/20,2,11,56
2014/02/21,2,12,55
2014/02/22,2,12,54
2014/02/23,2,12,54
2014/02/24,2,12,54
2014/02/25,2,12,55
2014/02/26,2,13,53
2014/02/27,2,13,51
2014/02/28,2,11,52
2014/03/01,2,11,52
2014/03/02,2,12,51
2014/03/03,2,13,49
2014/03/04,2,13,46
2014/03/05,2,12,47
2014/03/06,2,11,47
2014/03/07,2,11,47
2014/03/08,2,12,50
2014/03/09,2,12,50
2014/03/10,2,11,50
2014/03/11,2,11,46
2014/03/12,2,12,46
2014/03/13,2,14,48
2014/03/14,2,15,51
2014/03/15,2,14,49
2014/03/16,2,13,52
2014/03/17,2,13,54
2014/03/18,2,13,54
2014/03/19,2,13,53
2014/03/20,2,13,52
2014/03/21,2,13,48
2014/03/22,2,13,48
2014/03/23,2,12,50
2014/03/24,2,12,51
2014/03/25,2,12,50
2014/03/26,2,12,52
2014/03/27,2,12,51
2014/03/28,2,12,54
2014/03/29,2,13,57
2014/03/30,2,14,58
2014/03/31,2,14,58
2014/04/01,2,14,57
2014/04/02,2,14,58
2014/04/03,2,15,60
2014/04/04,2,15,59
2014/04/05,2,15,59
2014/04/06,2,14,62
2014/04/07,2,13,60
2014/04/08,2,13,62
2014/04/09,2,13,64
2014/04/10,2,12,64
2014/04/11,2,11,63
2014/04/12,2,10,62
2014/04/13,2,9,61
2014/04/14,2,9,60
2014/04/15,2,8,56
2014/04/16,2,8,55
2014/04/17,2,9,57
2014/04/18,2,9,59
2014/04/19,2,11,60
2014/04/20,2,11,60
2014/04/21,2,12,59
2014/04/22,2,12,59
2014/04/23,2,12,57
2014/04/24,2,12,57
2014/04/25,2,11,55
2014/04/26,2,11,57
2014/04/27,2,10,55
2014/04/28,2,10,54
2014/04/29,2,10,55
2014/04/30,2,10,55
2014/05/01,2,11,58
2014/05/02,2,11,58
2014/05/03,2,10,55
2014/05/04,2,10,54
2014/05/05,2,8,53
2014/05/06,2,8,49
2014/05/07,2,8,50
2014/05/08,2,8,48
2014/05/09,2,9,49
2014/05/10,2,10,50
2014/05/11,2,10,50
2014/05/12,2,11,49
2014/05/13,2,11,49
2014/05/14,2,11,47
2014/05/15,2,11,47
2014/05/16,2,12,48
2014/05/17,2,12,47
2014/05/18,2,11,46
2014/05/19,2,11,46
2014/05/20,2,12,46
2014/05/21,2,14,49
2014/05/22,2,14,47
2014/05/23,2,14,49
2014/05/24,2,14,50
2014/05/25,2,14,52
2014/05/26,2,14,50
2014/05/27,2,16,48
2014/05/28,2,16,47
2014/05/29,2,17,47
2014/05/30,2,18,48
2014/05/31,2,17,50
2014/06/01,2,17,49
2014/06/02,2,17,49
2014/06/03,2,17,49
2014/06/04,2,16,49
2014/06/05,2,16,50
2014/06/06,2,16,48
2014/06/07,2,16,47
2014/06/08,2,15,47
2014/06/09,2,14,46
2014/06/10,2,14,43
2014/06/11,2,14,45
2014/06/12,2,14,45
2014/06/13,2,14,47
2014/06/14,2,16,47
2014/06/15,2,16,48
2014/06/16,2,16,48
2014/06/17,2,16,49
2014/06/18,2,15,48
2014/06/19,2,15,48
2014/06/20,2,13,45
2014/06/21,2,14,46
2014/06/22,2,15,46
2014/06/23,2,16,48
2014/06/24,2,15,48
2014/06/25,2,15,51
2014/06/26,2,15,52
2014/06/27,2,15,52
2014/06/28,2,14,53
2014/06/29,2,14,54
2014/06/30,2,14,50
2014/07/01,2,14,50
2014/07/02,2,14,51
2014/07/03,2,14,52
2014/07/04,2,14,51
2014/07/05,2,15,51
2014/07/06,2,15,51
2014/07/07,2,15,53
2014/07/08,2,14,53
2014/07/09,2,14,54
2014/07/10,2,15,54
2014/07/11,2,15,54
2014/07/12,2,15,53
2014/07/13,2,15,53
2014/07/14,2,14,51
2014/07/15,2,13,51
2014/07/16,2,13,50
2014/07/17,2,13,48
2014/07/18,2,13,49
2014/07/19,2,14,51
2014/07/20,2,16,50
2014/07/21,2,15,48
2014/07/22,2,14,47
2014/07/23,2,14,46
2014/07/24,2,13,44
2014/07/25,2,13,43
2014/07/26,2,13,45
2014/07/27,2,13,45
2014/07/28,2,12,46
2014/07/29,2,12,44
2014/07/30,2,12,44
2014/07/31,2,12,45
2014/08/01,2,12,42
2014/08/02,2,11,41
2014/08/03,2,11,42
2014/08/04,2,11,43
2014/08/05,2,11,43
2014/08/06,2,11,41
2014/08/07,2,11,39
2014/08/08,2,11,38
2014/08/09,2,11,37
2014/08/10,2,11,35
2014/08/11,2,10,36
2014/08/12,2,11,37
2014/08/13,2,11,40
2014/08/14,2,12,39
2014/08/15,2,12,39
2014/08/16,2,12,39
2014/08/17,2,11,39
2014/08/18,2,12,39
2014/08/19,2,11,41
2014/08/20,2,11,40
2014/08/21,2,11,41
2014/08/22,2,11,42
2014/08/23,2,10,44
2014/08/24,2,10,46
2014/08/25,2,11,43
2014/08/26,2,11,44
2014/08/27,2,11,43
2014/08/28,2,11,42
2014/08/29,2,12,42
2014/08/30,2,12,42
2014/08/31,1,12,45
2014/09/01,1,12,45
2014/09/02,1,14,47
2014/09/03,1,14,46
2014/09/04,1,15,47
2014/09/05,1,15,47
2014/09/06,2,15,48
2014/09/07,2,16,48
2014/09/08,2,16,48
2014/09/09,2,17,49
2014/09/10,2,17,48
2014/09/11,2,17,49
2014/09/12,2,17,46
2014/09/13,2,18,46
2014/09/14,2,18,46
2014/09/15,2,18,45
2014/09/16,3,19,45
2014/09/17,3,20,44
2014/09/18,4,19,42
2014/09/19,4,19,42
2014/09/20,4,18,41
2014/09/21,4,19,41
2014/09/22,4,19,42
2014/09/23,4,19,40
2014/09/24,4,18,43
2014/09/25,4,18,44
2014/09/26,4,17,43
2014/09/27,4,18,45
2014/09/28,4,17,44
2014/09/29,4,17,45
