date,bewiki (100+),bewiki (5+),bewiki (all)
2013/04/25,15,65,219
2013/04/26,15,66,218
2013/04/27,15,68,218
2013/04/28,15,67,216
2013/04/29,15,65,208
2013/04/30,16,65,210
2013/05/01,16,66,205
2013/05/02,15,66,201
2013/05/03,14,68,198
2013/05/04,14,67,195
2013/05/05,14,67,188
2013/05/06,14,67,189
2013/05/07,14,66,184
2013/05/08,14,66,184
2013/05/09,14,69,187
2013/05/10,15,68,187
2013/05/11,15,67,189
2013/05/12,15,68,190
2013/05/13,14,68,192
2013/05/14,14,68,190
2013/05/15,14,65,192
2013/05/16,14,64,198
2013/05/17,14,66,200
2013/05/18,14,66,200
2013/05/19,14,66,196
2013/05/20,14,63,188
2013/05/21,14,64,184
2013/05/22,14,61,185
2013/05/23,14,59,184
2013/05/24,14,57,183
2013/05/25,14,55,192
2013/05/26,14,58,197
2013/05/27,12,60,198
2013/05/28,13,60,198
2013/05/29,14,60,199
2013/05/30,14,60,195
2013/05/31,14,61,199
2013/06/01,14,61,201
2013/06/02,14,60,200
2013/06/03,14,59,198
2013/06/04,13,59,199
2013/06/05,14,60,199
2013/06/06,14,60,199
2013/06/07,14,57,201
2013/06/08,15,54,199
2013/06/09,14,54,194
2013/06/10,14,53,193
2013/06/11,14,54,194
2013/06/12,15,54,192
2013/06/13,15,56,197
2013/06/14,14,56,196
2013/06/15,15,57,195
2013/06/16,14,55,193
2013/06/17,14,56,191
2013/06/18,14,56,191
2013/06/19,14,56,190
2013/06/20,14,57,193
2013/06/21,14,56,193
2013/06/22,14,57,193
2013/06/23,14,58,191
2013/06/24,14,60,186
2013/06/25,14,58,183
2013/06/26,14,55,184
2013/06/27,14,56,186
2013/06/28,14,55,184
2013/06/29,14,55,182
2013/06/30,14,57,181
2013/07/01,13,57,182
2013/07/02,14,57,181
2013/07/03,14,59,181
2013/07/04,13,59,183
2013/07/05,13,60,188
2013/07/06,13,60,187
2013/07/07,13,61,186
2013/07/08,14,61,191
2013/07/09,13,60,200
2013/07/10,13,62,198
2013/07/11,13,63,201
2013/07/12,13,64,202
2013/07/13,13,62,194
2013/07/14,13,61,196
2013/07/15,14,62,193
2013/07/16,14,63,195
2013/07/17,14,61,192
2013/07/18,14,62,189
2013/07/19,14,60,187
2013/07/20,14,60,184
2013/07/21,14,60,183
2013/07/22,14,56,184
2013/07/23,14,52,179
2013/07/24,14,52,175
2013/07/25,14,51,177
2013/07/26,14,49,179
2013/07/27,14,46,175
2013/07/28,14,46,174
2013/07/29,14,45,177
2013/07/30,14,45,176
2013/07/31,15,45,173
2013/08/01,15,46,175
2013/08/02,14,46,172
2013/08/03,14,48,168
2013/08/04,15,50,160
2013/08/05,15,49,166
2013/08/06,16,49,162
2013/08/07,15,49,158
2013/08/08,15,49,151
2013/08/09,14,46,149
2013/08/10,14,46,150
2013/08/11,14,48,151
2013/08/12,14,48,155
2013/08/13,14,47,152
2013/08/14,15,48,152
2013/08/15,15,47,152
2013/08/16,15,46,151
2013/08/17,15,47,149
2013/08/18,15,49,153
2013/08/19,15,48,156
2013/08/20,15,48,155
2013/08/21,15,48,153
2013/08/22,15,47,157
2013/08/23,15,47,157
2013/08/24,16,48,157
2013/08/25,16,46,157
2013/08/26,16,45,157
2013/08/27,16,46,154
2013/08/28,16,46,156
2013/08/29,17,46,158
2013/08/30,14,49,163
2013/08/31,14,50,155
2013/09/01,14,50,154
2013/09/02,13,50,159
2013/09/03,13,50,162
2013/09/04,13,50,155
2013/09/05,13,48,155
2013/09/06,12,48,158
2013/09/07,12,48,161
2013/09/08,12,49,160
2013/09/09,12,48,157
2013/09/10,12,47,153
2013/09/11,12,47,150
2013/09/12,12,47,146
2013/09/13,12,50,150
2013/09/14,12,51,148
2013/09/15,12,52,157
2013/09/16,12,53,158
2013/09/17,12,52,154
2013/09/18,12,53,154
2013/09/19,11,53,155
2013/09/20,11,53,158
2013/09/21,11,54,155
2013/09/22,11,54,153
2013/09/23,10,53,153
2013/09/24,10,54,154
2013/09/25,10,53,152
2013/09/26,11,54,152
2013/09/27,11,54,153
2013/09/28,11,53,150
2013/09/29,12,53,149
2013/09/30,12,53,152
2013/10/01,13,52,152
2013/10/02,13,51,150
2013/10/03,13,51,149
2013/10/04,13,50,156
2013/10/05,12,50,155
2013/10/06,12,51,156
2013/10/07,12,51,155
2013/10/08,12,50,156
2013/10/09,12,52,160
2013/10/10,12,55,159
2013/10/11,12,61,176
2013/10/12,13,61,177
2013/10/13,13,61,178
2013/10/14,14,62,180
2013/10/15,14,62,173
2013/10/16,14,63,175
2013/10/17,14,63,178
2013/10/18,15,64,177
2013/10/19,15,62,182
2013/10/20,14,62,180
2013/10/21,15,62,180
2013/10/22,15,61,180
2013/10/23,15,60,180
2013/10/24,15,61,180
2013/10/25,15,59,183
2013/10/26,15,59,186
2013/10/27,16,58,183
2013/10/28,16,57,182
2013/10/29,15,56,184
2013/10/30,15,57,182
2013/10/31,14,58,185
2013/11/01,14,60,187
2013/11/02,14,60,192
2013/11/03,14,60,194
2013/11/04,14,63,200
2013/11/05,14,63,200
2013/11/06,14,64,202
2013/11/07,14,64,203
2013/11/08,14,65,201
2013/11/09,13,64,203
2013/11/10,13,63,191
2013/11/11,13,65,199
2013/11/12,13,65,199
2013/11/13,13,63,198
2013/11/14,13,64,198
2013/11/15,13,63,199
2013/11/16,12,67,198
2013/11/17,11,66,197
2013/11/18,10,67,202
2013/11/19,10,68,201
2013/11/20,11,69,200
2013/11/21,11,68,203
2013/11/22,11,68,203
2013/11/23,11,67,203
2013/11/24,11,68,202
2013/11/25,11,68,202
2013/11/26,11,69,203
2013/11/27,12,69,205
2013/11/28,12,72,202
2013/11/29,12,68,200
2013/11/30,13,67,199
2013/12/01,13,68,199
2013/12/02,13,66,197
2013/12/03,13,65,189
2013/12/04,14,61,184
2013/12/05,14,61,181
2013/12/06,14,60,178
2013/12/07,15,61,172
2013/12/08,14,61,172
2013/12/09,14,63,171
2013/12/10,14,63,174
2013/12/11,13,60,167
2013/12/12,13,60,165
2013/12/13,14,61,166
2013/12/14,14,62,167
2013/12/15,15,62,169
2013/12/16,15,62,171
2013/12/17,15,62,173
2013/12/18,15,62,174
2013/12/19,15,61,172
2013/12/20,15,60,177
2013/12/21,14,59,177
2013/12/22,14,61,180
2013/12/23,14,62,182
2013/12/24,16,64,182
2013/12/25,16,63,180
2013/12/26,16,62,182
2013/12/27,16,60,179
2013/12/28,16,58,183
2013/12/29,16,58,183
2013/12/30,15,56,181
2013/12/31,14,55,178
2014/01/01,14,53,178
2014/01/02,14,54,182
2014/01/03,14,54,186
2014/01/04,14,54,185
2014/01/05,14,55,188
2014/01/06,14,55,186
2014/01/07,13,54,187
2014/01/08,13,54,189
2014/01/09,15,53,189
2014/01/10,16,55,185
2014/01/11,16,53,183
2014/01/12,16,55,184
2014/01/13,16,55,186
2014/01/14,16,55,187
2014/01/15,16,55,186
2014/01/16,16,58,185
2014/01/17,16,59,181
2014/01/18,15,58,183
2014/01/19,15,60,179
2014/01/20,15,60,178
2014/01/21,15,60,180
2014/01/22,15,60,181
2014/01/23,14,59,183
2014/01/24,15,60,188
2014/01/25,15,60,186
2014/01/26,14,59,186
2014/01/27,15,59,185
2014/01/28,15,58,183
2014/01/29,15,59,184
2014/01/30,15,59,188
2014/01/31,15,60,190
2014/02/01,15,60,192
2014/02/02,15,59,185
2014/02/03,16,60,187
2014/02/04,16,60,191
2014/02/05,17,59,188
2014/02/06,16,58,185
2014/02/07,17,58,190
2014/02/08,16,58,189
2014/02/09,16,56,189
2014/02/10,16,58,193
2014/02/11,16,56,192
2014/02/12,15,56,196
2014/02/13,16,57,194
2014/02/14,15,56,192
2014/02/15,16,55,191
2014/02/16,17,57,191
2014/02/17,17,58,190
2014/02/18,16,59,187
2014/02/19,15,60,190
2014/02/20,14,61,190
2014/02/21,15,61,191
2014/02/22,16,60,184
2014/02/23,16,60,180
2014/02/24,16,60,180
2014/02/25,17,60,183
2014/02/26,16,59,179
2014/02/27,15,60,177
2014/02/28,15,61,180
2014/03/01,15,61,180
2014/03/02,14,60,179
2014/03/03,15,60,180
2014/03/04,15,58,180
2014/03/05,14,57,179
2014/03/06,14,57,180
2014/03/07,14,57,178
2014/03/08,14,56,179
2014/03/09,13,54,175
2014/03/10,13,53,178
2014/03/11,14,53,175
2014/03/12,15,53,174
2014/03/13,15,53,171
2014/03/14,15,52,168
2014/03/15,16,51,173
2014/03/16,16,51,179
2014/03/17,16,52,178
2014/03/18,15,52,180
2014/03/19,14,53,178
2014/03/20,14,54,184
2014/03/21,14,56,179
2014/03/22,14,57,181
2014/03/23,14,58,179
2014/03/24,14,57,179
2014/03/25,13,58,181
2014/03/26,13,58,186
2014/03/27,12,56,187
2014/03/28,12,57,187
2014/03/29,12,57,189
2014/03/30,12,57,191
2014/03/31,13,56,187
2014/04/01,12,55,185
2014/04/02,12,56,184
2014/04/03,12,55,185
2014/04/04,13,56,188
2014/04/05,13,55,190
2014/04/06,14,56,193
2014/04/07,14,59,191
2014/04/08,14,61,196
2014/04/09,14,62,197
2014/04/10,14,65,200
2014/04/11,14,65,200
2014/04/12,14,67,201
2014/04/13,15,66,200
2014/04/14,15,66,195
2014/04/15,15,64,188
2014/04/16,15,63,191
2014/04/17,15,60,183
2014/04/18,15,61,180
2014/04/19,15,62,178
2014/04/20,17,62,177
2014/04/21,16,61,177
2014/04/22,16,60,176
2014/04/23,16,60,181
2014/04/24,16,62,181
2014/04/25,16,60,176
2014/04/26,16,59,178
2014/04/27,16,60,182
2014/04/28,16,64,189
2014/04/29,16,63,186
2014/04/30,17,63,187
2014/05/01,17,64,190
2014/05/02,17,66,192
2014/05/03,17,65,193
2014/05/04,17,65,192
2014/05/05,18,67,198
2014/05/06,18,67,203
2014/05/07,17,64,202
2014/05/08,16,63,201
2014/05/09,17,63,200
2014/05/10,18,61,202
2014/05/11,18,61,199
2014/05/12,19,60,198
2014/05/13,20,63,204
2014/05/14,20,63,206
2014/05/15,19,63,207
2014/05/16,19,63,205
2014/05/17,19,63,207
2014/05/18,19,64,207
2014/05/19,19,63,207
2014/05/20,19,63,206
2014/05/21,18,62,204
2014/05/22,18,61,204
2014/05/23,19,60,201
2014/05/24,20,61,196
2014/05/25,20,62,198
2014/05/26,20,62,200
2014/05/27,18,63,195
2014/05/28,18,59,192
2014/05/29,19,58,196
2014/05/30,19,59,196
2014/05/31,19,58,193
2014/06/01,19,56,190
2014/06/02,19,56,188
2014/06/03,18,57,191
2014/06/04,17,57,189
2014/06/05,18,57,183
2014/06/06,18,56,183
2014/06/07,18,56,182
2014/06/08,18,54,179
2014/06/09,18,56,175
2014/06/10,18,57,175
2014/06/11,18,55,176
2014/06/12,17,54,174
2014/06/13,17,53,169
2014/06/14,16,54,170
2014/06/15,16,54,168
2014/06/16,16,53,174
2014/06/17,16,53,178
2014/06/18,16,53,173
2014/06/19,17,52,175
2014/06/20,17,52,178
2014/06/21,17,51,183
2014/06/22,16,54,184
2014/06/23,16,54,189
2014/06/24,16,54,187
2014/06/25,17,54,189
2014/06/26,17,54,191
2014/06/27,17,54,192
2014/06/28,16,55,191
2014/06/29,16,57,191
2014/06/30,15,57,192
2014/07/01,15,57,190
2014/07/02,15,59,194
2014/07/03,16,58,193
2014/07/04,16,57,188
2014/07/05,16,59,188
2014/07/06,16,61,183
2014/07/07,16,62,187
2014/07/08,16,62,188
2014/07/09,14,61,192
2014/07/10,15,61,188
2014/07/11,15,62,189
2014/07/12,15,65,186
2014/07/13,15,65,186
2014/07/14,16,66,183
2014/07/15,17,66,184
2014/07/16,16,64,182
2014/07/17,16,64,175
2014/07/18,16,65,175
2014/07/19,16,64,171
2014/07/20,16,64,169
2014/07/21,15,60,162
2014/07/22,15,62,165
2014/07/23,15,61,160
2014/07/24,15,65,158
2014/07/25,15,64,156
2014/07/26,15,67,157
2014/07/27,15,66,157
2014/07/28,15,65,155
2014/07/29,17,65,161
2014/07/30,17,64,158
2014/07/31,17,64,161
2014/08/01,17,64,157
2014/08/02,16,64,154
2014/08/03,16,62,153
2014/08/04,18,59,154
2014/08/05,18,59,158
2014/08/06,17,56,157
2014/08/07,16,57,159
2014/08/08,16,61,161
2014/08/09,16,60,163
2014/08/10,15,59,162
2014/08/11,15,60,170
2014/08/12,15,61,175
2014/08/13,16,64,176
2014/08/14,17,62,175
2014/08/15,17,61,175
2014/08/16,17,61,176
2014/08/17,16,62,180
2014/08/18,17,66,186
2014/08/19,17,68,190
