date,bnwiki (100+),bnwiki (5+),bnwiki (all)
2013/05/09,7,76,240
2013/05/10,7,76,236
2013/05/11,7,74,233
2013/05/12,7,75,231
2013/05/13,8,75,228
2013/05/14,8,76,229
2013/05/15,8,74,228
2013/05/16,9,72,221
2013/05/17,8,71,217
2013/05/18,8,69,217
2013/05/19,9,69,212
2013/05/20,10,69,212
2013/05/21,10,71,206
2013/05/22,10,75,206
2013/05/23,10,73,208
2013/05/24,10,69,204
2013/05/25,11,67,205
2013/05/26,11,66,206
2013/05/27,11,67,208
2013/05/28,11,68,207
2013/05/29,11,69,210
2013/05/30,11,70,208
2013/05/31,11,65,205
2013/06/01,11,66,204
2013/06/02,11,65,202
2013/06/03,11,69,201
2013/06/04,11,69,200
2013/06/05,11,69,202
2013/06/06,10,71,197
2013/06/07,9,70,195
2013/06/08,10,70,191
2013/06/09,10,71,193
2013/06/10,11,71,194
2013/06/11,12,71,194
2013/06/12,12,72,192
2013/06/13,12,72,192
2013/06/14,13,72,187
2013/06/15,13,72,190
2013/06/16,12,72,194
2013/06/17,12,73,194
2013/06/18,12,73,196
2013/06/19,12,71,196
2013/06/20,13,73,199
2013/06/21,13,73,195
2013/06/22,13,75,195
2013/06/23,13,74,198
2013/06/24,14,72,196
2013/06/25,14,69,191
2013/06/26,14,70,189
2013/06/27,14,69,183
2013/06/28,14,67,181
2013/06/29,14,70,184
2013/06/30,14,69,185
2013/07/01,14,70,184
2013/07/02,14,72,189
2013/07/03,14,70,185
2013/07/04,16,69,186
2013/07/05,17,72,186
2013/07/06,17,72,189
2013/07/07,17,72,190
2013/07/08,17,72,189
2013/07/09,17,71,189
2013/07/10,16,73,195
2013/07/11,16,73,192
2013/07/12,16,72,198
2013/07/13,16,72,201
2013/07/14,15,72,199
2013/07/15,15,72,201
2013/07/16,15,73,200
2013/07/17,18,75,209
2013/07/18,17,78,210
2013/07/19,17,77,209
2013/07/20,16,76,209
2013/07/21,16,81,207
2013/07/22,17,81,215
2013/07/23,17,80,217
2013/07/24,17,77,224
2013/07/25,16,75,226
2013/07/26,16,74,226
2013/07/27,17,75,224
2013/07/28,16,75,224
2013/07/29,16,73,221
2013/07/30,16,73,220
2013/07/31,17,72,224
2013/08/01,16,70,221
2013/08/02,15,70,217
2013/08/03,14,70,218
2013/08/04,13,67,218
2013/08/05,13,70,218
2013/08/06,13,69,217
2013/08/07,13,69,224
2013/08/08,13,70,223
2013/08/09,13,68,218
2013/08/10,13,68,218
2013/08/11,13,67,214
2013/08/12,13,64,209
2013/08/13,13,65,207
2013/08/14,12,63,206
2013/08/15,12,63,210
2013/08/16,13,60,199
2013/08/17,12,57,200
2013/08/18,12,56,199
2013/08/19,14,55,198
2013/08/20,15,55,197
2013/08/21,13,54,194
2013/08/22,13,55,192
2013/08/23,13,56,193
2013/08/24,13,56,189
2013/08/25,13,55,187
2013/08/26,13,56,191
2013/08/27,13,57,193
2013/08/28,12,59,195
2013/08/29,12,62,193
2013/08/30,12,62,196
2013/08/31,12,63,194
2013/09/01,12,62,194
2013/09/02,13,62,194
2013/09/03,12,65,198
2013/09/04,13,65,202
2013/09/05,13,66,205
2013/09/06,13,69,202
2013/09/07,12,68,201
2013/09/08,11,68,196
2013/09/09,11,70,194
2013/09/10,11,70,198
2013/09/11,11,70,194
2013/09/12,12,71,195
2013/09/13,13,68,197
2013/09/14,13,66,198
2013/09/15,12,69,198
2013/09/16,12,70,198
2013/09/17,12,70,199
2013/09/18,12,70,200
2013/09/19,12,71,201
2013/09/20,12,71,199
2013/09/21,11,71,197
2013/09/22,11,69,194
2013/09/23,11,71,195
2013/09/24,11,70,195
2013/09/25,11,71,195
2013/09/26,11,74,191
2013/09/27,11,75,191
2013/09/28,11,73,189
2013/09/29,12,73,192
2013/09/30,12,74,190
2013/10/01,13,74,191
2013/10/02,13,73,190
2013/10/03,13,73,190
2013/10/04,14,73,187
2013/10/05,14,72,183
2013/10/06,13,69,184
2013/10/07,14,69,191
2013/10/08,15,70,192
2013/10/09,15,71,194
2013/10/10,15,73,196
2013/10/11,15,73,196
2013/10/12,14,76,198
2013/10/13,12,74,197
2013/10/14,12,71,195
2013/10/15,11,71,196
2013/10/16,12,70,192
2013/10/17,12,71,199
2013/10/18,13,72,199
2013/10/19,13,72,201
2013/10/20,12,73,201
2013/10/21,12,74,209
2013/10/22,13,77,214
2013/10/23,13,76,216
2013/10/24,14,75,218
2013/10/25,14,78,222
2013/10/26,12,80,223
2013/10/27,12,82,221
2013/10/28,13,90,230
2013/10/29,14,94,229
2013/10/30,14,95,232
2013/10/31,14,95,229
2013/11/01,14,92,229
2013/11/02,14,88,227
2013/11/03,14,89,225
2013/11/04,13,90,225
2013/11/05,14,92,225
2013/11/06,14,90,225
2013/11/07,13,91,227
2013/11/08,14,92,232
2013/11/09,13,89,228
2013/11/10,14,88,233
2013/11/11,14,89,238
2013/11/12,16,90,248
2013/11/13,16,93,247
2013/11/14,15,91,251
2013/11/15,16,90,254
2013/11/16,17,87,247
2013/11/17,17,86,243
2013/11/18,17,89,243
2013/11/19,17,86,241
2013/11/20,15,85,237
2013/11/21,16,84,231
2013/11/22,17,83,235
2013/11/23,15,82,232
2013/11/24,15,81,236
2013/11/25,15,81,234
2013/11/26,15,84,242
2013/11/27,15,80,236
2013/11/28,15,76,239
2013/11/29,15,78,239
2013/11/30,14,77,244
2013/12/01,14,79,247
2013/12/02,14,85,256
2013/12/03,14,88,260
2013/12/04,14,87,261
2013/12/05,13,85,259
2013/12/06,14,86,258
2013/12/07,14,85,259
2013/12/08,14,83,252
2013/12/09,13,85,256
2013/12/10,13,86,255
2013/12/11,13,86,250
2013/12/12,13,85,247
2013/12/13,13,85,247
2013/12/14,13,86,243
2013/12/15,12,84,243
2013/12/16,12,88,246
2013/12/17,12,87,257
2013/12/18,12,86,257
2013/12/19,12,86,259
2013/12/20,12,88,263
2013/12/21,12,86,267
2013/12/22,13,89,269
2013/12/23,13,89,267
2013/12/24,12,89,263
2013/12/25,12,88,263
2013/12/26,13,89,267
2013/12/27,14,91,266
2013/12/28,15,87,260
2013/12/29,15,87,257
2013/12/30,13,86,258
2013/12/31,13,86,258
2014/01/01,13,83,258
2014/01/02,13,79,258
2014/01/03,13,79,261
2014/01/04,14,81,263
2014/01/05,14,80,263
2014/01/06,13,82,263
2014/01/07,15,83,268
2014/01/08,16,83,273
2014/01/09,16,83,274
2014/01/10,16,85,273
2014/01/11,14,86,272
2014/01/12,14,84,275
2014/01/13,14,82,275
2014/01/14,14,82,273
2014/01/15,16,82,272
2014/01/16,16,81,260
2014/01/17,16,83,268
2014/01/18,16,84,268
2014/01/19,16,85,268
2014/01/20,16,83,268
2014/01/21,16,81,268
2014/01/22,16,86,271
2014/01/23,16,87,267
2014/01/24,16,88,270
2014/01/25,15,88,262
2014/01/26,13,90,262
2014/01/27,13,90,254
2014/01/28,13,92,257
2014/01/29,13,90,261
2014/01/30,13,94,263
2014/01/31,12,95,259
2014/02/01,12,95,257
2014/02/02,11,92,255
2014/02/03,11,93,253
2014/02/04,11,92,248
2014/02/05,11,91,251
2014/02/06,10,90,247
2014/02/07,11,85,245
2014/02/08,12,85,245
2014/02/09,12,84,246
2014/02/10,12,82,247
2014/02/11,12,81,241
2014/02/12,12,80,240
2014/02/13,12,81,239
2014/02/14,12,80,242
2014/02/15,12,81,246
2014/02/16,12,82,239
2014/02/17,10,84,240
2014/02/18,10,83,239
2014/02/19,10,86,245
2014/02/20,10,91,247
2014/02/21,10,89,244
2014/02/22,10,87,243
2014/02/23,10,87,244
2014/02/24,11,88,248
2014/02/25,11,87,249
2014/02/26,11,88,254
2014/02/27,11,87,251
2014/02/28,11,89,251
2014/03/01,11,88,249
2014/03/02,12,90,251
2014/03/03,13,87,253
2014/03/04,13,87,258
2014/03/05,13,86,252
2014/03/06,13,88,259
2014/03/07,14,90,253
2014/03/08,14,90,262
2014/03/09,14,92,264
2014/03/10,15,92,265
2014/03/11,15,97,268
2014/03/12,14,94,271
2014/03/13,15,93,277
2014/03/14,16,92,274
2014/03/15,17,92,276
2014/03/16,16,92,276
2014/03/17,17,93,280
2014/03/18,17,94,282
2014/03/19,17,94,287
2014/03/20,18,95,286
2014/03/21,18,96,279
2014/03/22,17,95,282
2014/03/23,18,94,283
2014/03/24,17,97,283
2014/03/25,17,96,280
2014/03/26,17,97,279
2014/03/27,16,100,279
2014/03/28,16,100,283
2014/03/29,17,99,281
2014/03/30,17,98,277
2014/03/31,16,95,281
2014/04/01,16,94,280
2014/04/02,17,94,277
2014/04/03,15,93,276
2014/04/04,16,95,275
2014/04/05,18,96,277
2014/04/06,18,94,274
2014/04/07,17,93,269
2014/04/08,18,92,268
2014/04/09,18,95,274
2014/04/10,17,95,272
2014/04/11,17,93,267
2014/04/12,16,94,261
2014/04/13,16,96,261
2014/04/14,15,96,256
2014/04/15,16,96,254
2014/04/16,15,97,250
2014/04/17,16,94,251
2014/04/18,16,90,241
2014/04/19,16,92,241
2014/04/20,16,92,242
2014/04/21,16,92,239
2014/04/22,17,92,242
2014/04/23,17,92,243
2014/04/24,18,94,248
2014/04/25,17,94,254
2014/04/26,18,94,261
2014/04/27,18,93,260
2014/04/28,18,93,255
2014/04/29,18,95,261
2014/04/30,18,96,258
2014/05/01,18,97,260
2014/05/02,18,96,263
2014/05/03,18,98,261
2014/05/04,18,96,261
2014/05/05,18,94,264
2014/05/06,18,95,263
2014/05/07,18,97,267
2014/05/08,18,97,266
2014/05/09,18,95,255
2014/05/10,18,94,251
2014/05/11,17,94,252
2014/05/12,18,95,255
2014/05/13,18,96,255
2014/05/14,18,97,249
2014/05/15,18,96,254
2014/05/16,19,95,257
2014/05/17,19,98,251
2014/05/18,20,94,251
2014/05/19,20,96,252
2014/05/20,21,96,251
2014/05/21,20,96,251
2014/05/22,20,95,256
2014/05/23,20,96,255
2014/05/24,20,96,259
2014/05/25,20,96,257
2014/05/26,20,92,255
2014/05/27,20,91,250
2014/05/28,21,90,250
2014/05/29,20,91,247
2014/05/30,21,91,254
2014/05/31,20,91,253
2014/06/01,20,91,248
2014/06/02,20,93,253
2014/06/03,20,92,256
2014/06/04,20,94,247
2014/06/05,20,95,253
2014/06/06,20,98,247
2014/06/07,20,97,244
2014/06/08,19,98,246
2014/06/09,20,98,243
2014/06/10,20,97,240
2014/06/11,20,96,238
2014/06/12,20,96,245
2014/06/13,20,96,247
2014/06/14,20,97,243
2014/06/15,19,97,245
2014/06/16,18,96,243
2014/06/17,19,95,241
2014/06/18,19,90,234
2014/06/19,20,87,234
2014/06/20,20,86,234
2014/06/21,21,88,233
2014/06/22,21,86,233
2014/06/23,21,87,232
2014/06/24,21,91,233
2014/06/25,21,89,240
2014/06/26,20,88,239
2014/06/27,20,90,243
2014/06/28,20,91,241
2014/06/29,20,92,239
2014/06/30,20,93,239
2014/07/01,19,92,237
2014/07/02,19,88,233
2014/07/03,19,86,234
2014/07/04,18,84,233
2014/07/05,19,82,232
2014/07/06,19,75,220
2014/07/07,17,78,226
2014/07/08,17,82,227
2014/07/09,16,80,222
2014/07/10,16,79,223
2014/07/11,16,76,222
2014/07/12,16,76,217
2014/07/13,16,75,220
2014/07/14,16,73,220
2014/07/15,16,74,226
2014/07/16,16,74,227
2014/07/17,18,72,221
2014/07/18,18,78,227
2014/07/19,18,78,227
2014/07/20,18,76,223
2014/07/21,18,75,222
2014/07/22,17,75,223
2014/07/23,17,76,218
2014/07/24,17,73,213
2014/07/25,17,72,208
2014/07/26,17,73,214
2014/07/27,16,69,211
2014/07/28,16,68,207
2014/07/29,16,69,205
2014/07/30,16,69,203
2014/07/31,16,71,203
2014/08/01,16,69,201
2014/08/02,16,71,203
2014/08/03,15,70,205
2014/08/04,16,71,207
2014/08/05,15,73,209
2014/08/06,15,75,210
2014/08/07,15,74,207
2014/08/08,15,74,209
2014/08/09,14,77,216
2014/08/10,14,81,215
2014/08/11,13,83,219
2014/08/12,13,83,226
2014/08/13,13,85,233
2014/08/14,13,84,229
2014/08/15,13,86,230
2014/08/16,13,86,234
2014/08/17,13,86,230
2014/08/18,12,88,233
2014/08/19,13,88,237
2014/08/20,13,87,241
2014/08/21,13,85,237
2014/08/22,12,91,244
2014/08/23,13,93,251
2014/08/24,13,94,255
2014/08/25,13,91,248
2014/08/26,13,96,256
2014/08/27,15,101,262
2014/08/28,14,102,265
2014/08/29,16,102,268
2014/08/30,16,105,271
2014/08/31,17,108,277
2014/09/01,15,108,283
2014/09/02,15,109,289
2014/09/03,16,110,288
2014/09/04,16,109,294
2014/09/05,17,111,292
2014/09/06,17,110,292
2014/09/07,17,113,300
2014/09/08,17,114,299
2014/09/09,17,112,299
2014/09/10,16,113,303
2014/09/11,15,115,302
2014/09/12,15,117,298
2014/09/13,15,117,298
2014/09/14,13,116,294
2014/09/15,12,117,293
2014/09/16,13,123,301
2014/09/17,13,124,297
2014/09/18,14,126,295
2014/09/19,13,127,297
2014/09/20,14,128,303
2014/09/21,13,127,300
2014/09/22,12,120,295
2014/09/23,12,123,293
2014/09/24,12,122,297
2014/09/25,12,122,295
2014/09/26,11,117,285
2014/09/27,12,117,286
2014/09/28,12,118,282
2014/09/29,12,117,279
2014/09/30,11,119,280
2014/10/01,11,114,277
2014/10/02,11,114,281
2014/10/03,10,117,281
2014/10/04,10,115,278
2014/10/05,10,112,285
2014/10/06,10,109,282
2014/10/07,10,107,283
2014/10/08,10,107,285
2014/10/09,11,109,283
2014/10/10,11,101,278
2014/10/11,11,100,269
2014/10/12,10,96,264
2014/10/13,10,94,266
2014/10/14,10,95,264
2014/10/15,10,94,259
2014/10/16,12,94,256
2014/10/17,11,90,254
2014/10/18,13,90,257
2014/10/19,13,89,259
2014/10/20,13,86,256
2014/10/21,13,90,270
2014/10/22,12,92,267
2014/10/23,13,91,263
2014/10/24,13,90,261
2014/10/25,14,92,259
2014/10/26,13,95,262
2014/10/27,14,95,259
2014/10/28,14,92,257
2014/10/29,14,92,258
2014/10/30,14,92,258
2014/10/31,13,94,260
2014/11/01,13,94,255
2014/11/02,13,96,252
2014/11/03,13,99,259
2014/11/04,13,99,263
2014/11/05,14,101,267
2014/11/06,14,101,270
2014/11/07,14,102,266
2014/11/08,14,103,266
2014/11/09,13,103,265
2014/11/10,12,104,273
2014/11/11,12,103,279
2014/11/12,12,103,278
2014/11/13,11,102,279
2014/11/14,11,100,278
2014/11/15,11,99,282
2014/11/16,12,99,286
2014/11/17,12,99,286
2014/11/18,12,100,281
2014/11/19,12,100,278
2014/11/20,12,98,273
2014/11/21,12,97,275
2014/11/22,12,94,279
2014/11/23,12,95,282
2014/11/24,12,101,285
2014/11/25,13,103,282
2014/11/26,14,99,280
2014/11/27,13,104,285
2014/11/28,14,104,287
2014/11/29,13,104,294
2014/11/30,12,106,300
2014/12/01,12,107,300
2014/12/02,12,106,307
2014/12/03,12,105,307
2014/12/04,12,107,318
2014/12/05,13,107,315
2014/12/06,13,108,318
2014/12/07,13,108,316
2014/12/08,13,109,316
2014/12/09,12,107,324
2014/12/10,13,108,314
2014/12/11,13,105,311
2014/12/12,13,110,314
2014/12/13,13,111,319
2014/12/14,14,113,327
2014/12/15,13,114,332
2014/12/16,13,120,337
2014/12/17,13,122,341
2014/12/18,13,119,338
2014/12/19,13,119,345
2014/12/20,13,115,346
2014/12/21,12,115,339
2014/12/22,12,114,338
2014/12/23,12,112,333
2014/12/24,12,116,337
2014/12/25,12,114,335
2014/12/26,12,116,333
2014/12/27,12,117,330
2014/12/28,12,119,329
2014/12/29,12,115,323
2014/12/30,12,114,316
2014/12/31,11,115,309
2015/01/01,10,113,312
2015/01/02,9,113,313
2015/01/03,10,111,306
2015/01/04,11,109,304
2015/01/05,10,106,309
2015/01/06,10,106,310
2015/01/07,10,111,315
2015/01/08,10,111,307
2015/01/09,10,106,303
2015/01/10,10,106,308
2015/01/11,11,108,311
2015/01/12,12,112,307
2015/01/13,13,112,304
2015/01/14,13,111,303
2015/01/15,13,112,308
2015/01/16,12,111,303
2015/01/17,15,112,307
2015/01/18,15,113,306
2015/01/19,15,120,315
2015/01/20,14,121,318
2015/01/21,14,120,320
2015/01/22,14,122,322
2015/01/23,14,120,321
2015/01/24,14,117,321
2015/01/25,14,117,324
2015/01/26,16,118,323
2015/01/27,17,118,326
2015/01/28,18,121,327
2015/01/29,16,125,332
2015/01/30,17,124,336
2015/01/31,17,125,336
2015/02/01,17,128,336
2015/02/02,15,128,342
2015/02/03,14,130,345
2015/02/04,14,130,343
