date,arcwiki (100+),arcwiki (5+),arcwiki (all)
2012/11/30,2,23,39
2012/12/01,2,23,40
2012/12/02,2,23,40
2012/12/03,2,23,39
2012/12/04,2,23,40
2012/12/05,2,23,40
2012/12/06,2,22,40
2012/12/07,2,22,38
2012/12/08,2,22,38
2012/12/09,2,23,39
2012/12/10,2,23,39
2012/12/11,2,21,39
2012/12/12,2,21,39
2012/12/13,2,21,39
2012/12/14,2,22,38
2012/12/15,3,21,39
2012/12/16,3,20,38
2012/12/17,3,24,38
2012/12/18,3,24,37
2012/12/19,3,23,35
2012/12/20,3,23,35
2012/12/21,3,24,35
2012/12/22,3,24,35
2012/12/23,3,24,35
2012/12/24,3,24,34
2012/12/25,3,24,33
2012/12/26,3,24,32
2012/12/27,3,24,32
2012/12/28,3,23,31
2012/12/29,3,24,31
2012/12/30,4,25,33
2012/12/31,4,25,36
2013/01/01,4,25,38
2013/01/02,4,25,38
2013/01/03,4,25,38
2013/01/04,4,25,39
2013/01/05,4,24,41
2013/01/06,4,24,41
2013/01/07,4,23,43
2013/01/08,4,21,43
2013/01/09,4,21,44
2013/01/10,4,21,45
2013/01/11,4,20,45
2013/01/12,4,20,46
2013/01/13,4,19,47
2013/01/14,3,19,48
2013/01/15,2,17,49
2013/01/16,2,18,50
2013/01/17,2,19,50
2013/01/18,3,20,50
2013/01/19,3,20,50
2013/01/20,3,21,50
2013/01/21,3,21,49
2013/01/22,3,21,48
2013/01/23,3,20,50
2013/01/24,3,20,50
2013/01/25,3,20,50
2013/01/26,3,22,51
2013/01/27,3,20,51
2013/01/28,3,20,51
2013/01/29,3,20,51
2013/01/30,3,20,47
2013/01/31,3,20,47
2013/02/01,3,21,47
2013/02/02,3,22,46
2013/02/03,3,22,46
2013/02/04,3,22,45
2013/02/05,3,22,46
2013/02/06,3,21,44
2013/02/07,3,23,44
2013/02/08,3,23,43
2013/02/09,3,23,42
2013/02/10,3,24,41
2013/02/11,3,26,40
2013/02/12,3,26,40
2013/02/13,3,26,40
2013/02/14,3,26,40
2013/02/15,3,25,39
2013/02/16,3,26,40
2013/02/17,4,25,42
2013/02/18,4,24,41
2013/02/19,4,24,41
2013/02/20,4,25,41
2013/02/21,4,24,40
2013/02/22,4,24,37
2013/02/23,3,24,38
2013/02/24,3,24,38
2013/02/25,3,22,37
2013/02/26,3,22,36
2013/02/27,4,20,36
2013/02/28,4,20,36
2013/03/01,3,20,36
2013/03/02,3,18,37
2013/03/03,3,17,35
2013/03/04,3,16,35
2013/03/05,3,16,37
2013/03/06,4,16,37
2013/03/07,5,16,37
2013/03/08,5,16,37
2013/03/09,6,16,38
2013/03/10,6,16,38
2013/03/11,5,15,38
2013/03/12,5,15,37
2013/03/13,4,15,37
2013/03/14,4,14,35
2013/03/15,4,13,33
2013/03/16,4,13,32
2013/03/17,4,13,31
2013/03/18,4,12,27
2013/03/19,4,11,26
2013/03/20,3,11,27
2013/03/21,3,12,28
2013/03/22,3,12,27
2013/03/23,3,12,27
2013/03/24,3,12,27
2013/03/25,3,12,27
2013/03/26,3,12,27
2013/03/27,2,12,27
2013/03/28,2,12,27
2013/03/29,2,13,27
2013/03/30,2,14,26
2013/03/31,2,13,24
2013/04/01,2,13,25
2013/04/02,2,13,25
2013/04/03,2,12,22
2013/04/04,2,11,19
2013/04/05,2,8,17
2013/04/06,2,8,15
2013/04/07,2,7,13
2013/04/08,1,6,14
2013/04/09,1,6,14
2013/04/10,,5,14
2013/04/11,,5,15
2013/04/12,,5,15
2013/04/13,,5,16
2013/04/14,,5,16
2013/04/15,,5,16
2013/04/16,,5,16
2013/04/17,,5,16
2013/04/18,,5,16
2013/04/19,,5,15
2013/04/20,,5,16
2013/04/21,,5,16
2013/04/22,,4,17
2013/04/23,,5,17
2013/04/24,,5,17
2013/04/25,,5,17
2013/04/26,,5,17
2013/04/27,,5,17
2013/04/28,,4,17
2013/04/29,,3,17
2013/04/30,,2,17
2013/05/01,,2,16
2013/05/02,,2,16
2013/05/03,,2,16
2013/05/04,,2,16
2013/05/05,,2,16
2013/05/06,,2,15
2013/05/07,,2,14
2013/05/08,,1,13
2013/05/09,,1,12
2013/05/10,,2,12
2013/05/11,,2,11
2013/05/12,,2,11
2013/05/13,,2,10
2013/05/14,,2,10
2013/05/15,,2,11
2013/05/16,,2,11
2013/05/17,,2,10
2013/05/18,,2,12
2013/05/19,,2,12
2013/05/20,,2,11
2013/05/21,,2,11
2013/05/22,,2,8
2013/05/23,,2,9
2013/05/24,,1,9
2013/05/25,,1,9
2013/05/26,,1,11
2013/05/27,,1,11
2013/05/28,,2,11
2013/05/29,,2,11
2013/05/30,,2,10
2013/05/31,,2,9
2013/06/01,,3,9
2013/06/02,,3,9
2013/06/03,,3,10
2013/06/04,,3,9
2013/06/05,,2,9
2013/06/06,,2,10
2013/06/07,,2,10
2013/06/08,,2,10
2013/06/09,,4,10
2013/06/10,,4,12
2013/06/11,,4,12
2013/06/12,,4,12
2013/06/13,,4,12
2013/06/14,,4,11
2013/06/15,,4,12
2013/06/16,,3,12
2013/06/17,,2,12
2013/06/18,,2,13
2013/06/19,,2,13
2013/06/20,,2,13
2013/06/21,,4,13
2013/06/22,,4,13
2013/06/23,,4,13
2013/06/24,,5,14
2013/06/25,,5,13
2013/06/26,,5,13
2013/06/27,,5,13
2013/06/28,,5,13
2013/06/29,,5,13
2013/06/30,,5,13
2013/07/01,,4,13
2013/07/02,,4,13
2013/07/03,,3,14
2013/07/04,,3,15
2013/07/05,,3,15
2013/07/06,,3,14
2013/07/07,,4,14
2013/07/08,,4,14
2013/07/09,,4,14
2013/07/10,,5,12
2013/07/11,,5,12
2013/07/12,,5,12
2013/07/13,,5,12
2013/07/14,,5,12
2013/07/15,,5,11
2013/07/16,,5,12
2013/07/17,,4,12
2013/07/18,,4,11
2013/07/19,,4,11
2013/07/20,,4,11
2013/07/21,,4,11
2013/07/22,,4,11
2013/07/23,,4,11
2013/07/24,,3,10
2013/07/25,,3,10
2013/07/26,,3,10
2013/07/27,,3,10
2013/07/28,,3,10
2013/07/29,,2,10
2013/07/30,,2,10
2013/07/31,,2,10
2013/08/01,,3,10
2013/08/02,,3,8
2013/08/03,,3,7
2013/08/04,,3,7
2013/08/05,,3,7
2013/08/06,,3,7
2013/08/07,,3,7
2013/08/08,,2,7
2013/08/09,,2,7
2013/08/10,,2,7
2013/08/11,,2,7
2013/08/12,,2,8
2013/08/13,,3,9
2013/08/14,,3,9
2013/08/15,,3,8
2013/08/16,,3,8
2013/08/17,,3,8
2013/08/18,,3,7
2013/08/19,,3,7
2013/08/20,,3,6
2013/08/21,,3,6
2013/08/22,,3,6
2013/08/23,,3,6
2013/08/24,,3,6
2013/08/25,,3,6
2013/08/26,,3,7
2013/08/27,,3,7
2013/08/28,,3,7
2013/08/29,,4,8
2013/08/30,,3,7
2013/08/31,,2,7
2013/09/01,,2,7
2013/09/02,,2,7
2013/09/03,,2,7
2013/09/04,,1,7
2013/09/05,,1,7
2013/09/06,,1,7
2013/09/07,,1,7
2013/09/08,,1,6
2013/09/09,,1,6
2013/09/10,,1,6
2013/09/11,,1,5
2013/09/12,,1,4
2013/09/13,,1,4
2013/09/14,,1,4
2013/09/15,,1,4
2013/09/16,,1,3
2013/09/17,,1,3
2013/09/18,,,3
2013/09/19,,,3
2013/09/20,,,3
2013/09/21,,,3
2013/09/22,,,4
2013/09/23,,,3
2013/09/24,,,3
2013/09/25,,,3
2013/09/26,,,4
2013/09/27,,,4
2013/09/28,,,5
2013/09/29,,,5
2013/09/30,,,5
2013/10/01,,,5
2013/10/02,,,5
2013/10/03,,,5
2013/10/04,,,5
2013/10/05,,,5
2013/10/06,,,5
2013/10/07,,,5
2013/10/08,,,5
2013/10/09,,,5
2013/10/10,,,5
2013/10/11,,,5
2013/10/12,,,5
2013/10/13,,,5
2013/10/14,,,5
2013/10/15,,,5
2013/10/16,,,5
2013/10/17,,,6
2013/10/18,,,7
2013/10/19,,,7
2013/10/20,,,7
2013/10/21,,,7
2013/10/22,,,7
2013/10/23,,,6
2013/10/24,,,6
2013/10/25,,,5
2013/10/26,,,5
2013/10/27,,,5
2013/10/28,,,4
2013/10/29,,,5
2013/10/30,,,5
2013/10/31,,,5
2013/11/01,,,5
2013/11/02,,,5
2013/11/03,,,5
2013/11/04,,,5
2013/11/05,,,5
2013/11/06,,,5
2013/11/07,,,6
2013/11/08,,,6
2013/11/09,,,6
2013/11/10,,,6
2013/11/11,,,6
2013/11/12,,,6
2013/11/13,,,5
2013/11/14,,,5
2013/11/15,,,6
2013/11/16,,,7
2013/11/17,,,6
2013/11/18,,,7
2013/11/19,,,7
2013/11/20,,,7
2013/11/21,,,7
2013/11/22,,,8
2013/11/23,,,8
2013/11/24,,,9
2013/11/25,,,9
2013/11/26,,1,9
2013/11/27,,2,10
2013/11/28,,2,9
2013/11/29,,2,9
2013/11/30,,2,9
2013/12/01,,2,9
2013/12/02,,2,9
2013/12/03,,2,10
2013/12/04,,2,10
2013/12/05,,2,10
2013/12/06,,2,11
2013/12/07,,2,10
2013/12/08,,2,11
2013/12/09,,2,11
2013/12/10,,2,11
2013/12/11,,2,11
2013/12/12,,2,11
2013/12/13,,2,11
2013/12/14,,2,11
2013/12/15,,2,10
2013/12/16,,2,10
2013/12/17,,2,10
2013/12/18,,2,9
2013/12/19,,2,9
2013/12/20,,2,9
2013/12/21,,2,9
2013/12/22,,2,8
2013/12/23,,2,8
2013/12/24,,2,7
2013/12/25,,2,7
2013/12/26,,2,7
2013/12/27,,1,6
2013/12/28,,1,6
2013/12/29,,1,6
2013/12/30,,1,6
2013/12/31,,1,6
2014/01/01,,1,6
2014/01/02,,1,5
2014/01/03,,1,5
2014/01/04,,1,6
2014/01/05,,1,6
2014/01/06,,1,5
2014/01/07,,,4
2014/01/08,,,4
2014/01/09,,,4
2014/01/10,,,4
2014/01/11,,,4
2014/01/12,,,5
2014/01/13,,,5
2014/01/14,,,6
2014/01/15,,,5
2014/01/16,,,5
2014/01/17,,,6
2014/01/18,,,6
2014/01/19,,,6
2014/01/20,,,6
2014/01/21,,,6
2014/01/22,,,6
2014/01/23,,,8
2014/01/24,,,8
2014/01/25,,,9
2014/01/26,,,9
2014/01/27,,,9
2014/01/28,,,9
2014/01/29,,,9
2014/01/30,,,9
2014/01/31,,,9
2014/02/01,,,9
2014/02/02,,,9
2014/02/03,,,8
2014/02/04,,,9
2014/02/05,,,9
2014/02/06,,,9
2014/02/07,,,9
2014/02/08,,,9
2014/02/09,,,9
2014/02/10,,,9
2014/02/11,,,10
2014/02/12,,,10
2014/02/13,,,10
2014/02/14,,1,10
2014/02/15,,1,10
2014/02/16,,1,9
2014/02/17,,1,8
2014/02/18,,1,8
2014/02/19,,1,8
2014/02/20,,1,9
2014/02/21,,1,9
2014/02/22,,1,7
2014/02/23,,,7
2014/02/24,,,6
2014/02/25,,,6
2014/02/26,,,6
2014/02/27,,,6
2014/02/28,,,6
2014/03/01,,,6
2014/03/02,,,6
2014/03/03,,,6
2014/03/04,,,6
2014/03/05,,,6
2014/03/06,,,5
2014/03/07,,,5
2014/03/08,,,5
2014/03/09,,,5
2014/03/10,,,5
2014/03/11,,,5
2014/03/12,,,5
2014/03/13,,,3
2014/03/14,,,3
2014/03/15,,,5
2014/03/16,,,4
2014/03/17,,,5
2014/03/18,,,5
2014/03/19,,,5
2014/03/20,,,5
2014/03/21,,,6
2014/03/22,,,6
2014/03/23,,,6
2014/03/24,,,6
2014/03/25,,,7
2014/03/26,,1,7
2014/03/27,,1,7
2014/03/28,,1,8
2014/03/29,,1,8
2014/03/30,,1,9
2014/03/31,,1,9
2014/04/01,,1,9
2014/04/02,,1,9
2014/04/03,,1,9
2014/04/04,,1,9
2014/04/05,,1,9
2014/04/06,,1,9
2014/04/07,,1,11
2014/04/08,,1,11
2014/04/09,,1,13
2014/04/10,,1,13
2014/04/11,,1,13
2014/04/12,,1,13
2014/04/13,,1,14
2014/04/14,,1,13
2014/04/15,,1,13
2014/04/16,,1,12
2014/04/17,,1,12
2014/04/18,,1,12
2014/04/19,,1,12
2014/04/20,,1,12
2014/04/21,,1,10
2014/04/22,,1,10
2014/04/23,,1,10
2014/04/24,,1,9
2014/04/25,,,9
2014/04/26,,,9
2014/04/27,,,9
2014/04/28,,,9
2014/04/29,,,8
2014/04/30,,,8
2014/05/01,,,8
2014/05/02,,,8
2014/05/03,,,8
2014/05/04,,,8
2014/05/05,,,8
2014/05/06,,,8
2014/05/07,,,7
2014/05/08,,,8
2014/05/09,,,6
2014/05/10,,,5
2014/05/11,,,5
2014/05/12,,1,6
2014/05/13,,1,5
2014/05/14,,1,5
2014/05/15,,1,5
2014/05/16,,1,5
2014/05/17,,1,5
2014/05/18,,1,6
2014/05/19,,1,7
2014/05/20,,1,6
2014/05/21,,1,6
2014/05/22,,1,7
2014/05/23,,1,7
2014/05/24,,1,7
2014/05/25,,2,7
2014/05/26,,2,7
2014/05/27,,2,6
2014/05/28,,2,6
2014/05/29,,2,6
2014/05/30,,2,6
2014/05/31,,2,6
2014/06/01,,2,7
2014/06/02,,2,7
2014/06/03,,2,7
2014/06/04,,2,7
2014/06/05,,2,7
2014/06/06,,2,7
2014/06/07,,2,7
2014/06/08,,2,7
2014/06/09,,2,7
2014/06/10,,2,7
2014/06/11,,1,7
2014/06/12,,1,7
2014/06/13,,1,7
2014/06/14,,1,7
2014/06/15,,1,7
2014/06/16,,2,9
2014/06/17,,2,10
2014/06/18,,2,9
2014/06/19,,2,9
2014/06/20,,1,9
2014/06/21,,1,8
2014/06/22,,1,9
2014/06/23,,1,9
2014/06/24,,1,9
2014/06/25,,1,8
2014/06/26,,1,8
2014/06/27,,1,8
2014/06/28,,1,8
2014/06/29,,1,8
2014/06/30,,1,8
2014/07/01,,1,6
2014/07/02,,1,6
2014/07/03,,1,6
2014/07/04,,1,6
2014/07/05,,1,6
2014/07/06,,1,7
2014/07/07,,1,6
2014/07/08,,1,6
2014/07/09,,1,7
2014/07/10,,1,7
2014/07/11,,1,6
2014/07/12,,1,6
2014/07/13,,1,6
2014/07/14,,1,6
2014/07/15,,1,6
2014/07/16,,,5
2014/07/17,,,4
2014/07/18,,,4
2014/07/19,,,4
2014/07/20,,,4
2014/07/21,,,4
2014/07/22,,,4
2014/07/23,,,4
2014/07/24,,,4
2014/07/25,,,4
2014/07/26,,,4
2014/07/27,,,4
2014/07/28,,1,4
2014/07/29,,1,4
2014/07/30,,1,4
2014/07/31,,1,4
2014/08/01,,1,4
2014/08/02,,1,4
2014/08/03,,1,4
2014/08/04,,1,4
2014/08/05,,,4
2014/08/06,,,4
2014/08/07,,,4
2014/08/08,,,3
2014/08/09,,,3
2014/08/10,,,3
2014/08/11,,,4
2014/08/12,,,4
2014/08/13,,,5
2014/08/14,,,5
2014/08/15,,,5
2014/08/16,,,5
2014/08/17,,,5
2014/08/18,,,5
2014/08/19,,,5
2014/08/20,,1,5
2014/08/21,,1,5
2014/08/22,,1,5
2014/08/23,,1,5
2014/08/24,,1,5
2014/08/25,,1,6
2014/08/26,,1,6
2014/08/27,,1,5
2014/08/28,,1,5
2014/08/29,,1,5
2014/08/30,,1,5
2014/08/31,,1,5
2014/09/01,,1,5
2014/09/02,,1,6
2014/09/03,,1,6
2014/09/04,,1,6
2014/09/05,,1,6
2014/09/06,,1,6
2014/09/07,,1,8
2014/09/08,,1,8
2014/09/09,,1,8
2014/09/10,,1,7
2014/09/11,,1,7
2014/09/12,,1,6
2014/09/13,,1,6
2014/09/14,,1,6
2014/09/15,,1,6
2014/09/16,,1,7
2014/09/17,,1,7
2014/09/18,,1,7
2014/09/19,,1,7
2014/09/20,,1,6
2014/09/21,,1,6
2014/09/22,,1,6
2014/09/23,,1,7
2014/09/24,,1,7
2014/09/25,,1,7
2014/09/26,,1,7
2014/09/27,,1,7
2014/09/28,,1,7
2014/09/29,,1,7
2014/09/30,,1,7
2014/10/01,,1,7
2014/10/02,,1,6
2014/10/03,,1,6
2014/10/04,,1,7
2014/10/05,,1,7
2014/10/06,,1,7
2014/10/07,,1,5
2014/10/08,,1,5
2014/10/09,,1,5
2014/10/10,,1,5
2014/10/11,,1,5
2014/10/12,,1,5
2014/10/13,,1,5
2014/10/14,,1,5
2014/10/15,,1,5
2014/10/16,,1,4
2014/10/17,,1,4
2014/10/18,,,4
2014/10/19,,,4
2014/10/20,,,4
2014/10/21,,,5
2014/10/22,,,5
2014/10/23,,1,5
2014/10/24,,1,5
2014/10/25,,1,5
2014/10/26,,1,5
2014/10/27,,1,7
2014/10/28,,1,7
2014/10/29,,1,7
2014/10/30,,2,7
2014/10/31,,2,7
2014/11/01,,2,7
2014/11/02,,2,7
2014/11/03,,2,6
2014/11/04,,2,6
2014/11/05,,2,6
2014/11/06,,2,5
2014/11/07,,2,5
2014/11/08,,2,5
2014/11/09,,2,5
2014/11/10,,2,5
2014/11/11,,2,5
2014/11/12,,2,5
2014/11/13,,2,5
2014/11/14,,2,6
2014/11/15,,2,6
2014/11/16,,2,6
2014/11/17,,2,6
2014/11/18,,2,6
2014/11/19,,2,6
2014/11/20,,2,5
2014/11/21,,2,5
2014/11/22,,1,4
2014/11/23,,1,4
2014/11/24,,1,4
2014/11/25,,1,4
2014/11/26,,,4
2014/11/27,,,4
2014/11/28,,,4
2014/11/29,,,4
2014/11/30,,,4
2014/12/01,,,4
2014/12/02,,,4
2014/12/03,,,4
2014/12/04,,,4
2014/12/05,,,4
2014/12/06,,,4
2014/12/07,,,4
2014/12/08,,,4
2014/12/09,,,5
2014/12/10,,,5
2014/12/11,,,4
2014/12/12,,,4
2014/12/13,,,4
2014/12/14,,,3
2014/12/15,,,4
2014/12/16,,,4
2014/12/17,,,4
2014/12/18,,,4
2014/12/19,,,4
2014/12/20,,,4
2014/12/21,,,4
2014/12/22,,,4
2014/12/23,,,4
2014/12/24,,,4
2014/12/25,,,4
2014/12/26,,,4
2014/12/27,,,4
2014/12/28,,,4
2014/12/29,,,3
2014/12/30,,,3
2014/12/31,,,3
2015/01/01,,,3
2015/01/02,,,3
2015/01/03,,,4
2015/01/04,,,4
2015/01/05,,,4
2015/01/06,,,4
2015/01/07,,,4
2015/01/08,,,3
2015/01/09,,,3
2015/01/10,,,3
2015/01/11,,,3
2015/01/12,,,3
2015/01/13,,,3
2015/01/14,,,3
2015/01/15,,,3
2015/01/16,,,3
2015/01/17,,,3
2015/01/18,,,3
2015/01/19,,,3
2015/01/20,,,3
2015/01/21,,,3
2015/01/22,,,3
2015/01/23,,,3
2015/01/24,,,3
2015/01/25,,,4
2015/01/26,,,4
2015/01/27,,,4
2015/01/28,,,4
2015/01/29,,,5
2015/01/30,,,5
2015/01/31,,,5
2015/02/01,,,5
2015/02/02,,,4
2015/02/03,,,4
2015/02/04,,,4
2015/02/05,,,5
2015/02/06,,,6
2015/02/07,,,6
2015/02/08,,,6
2015/02/09,,,6
2015/02/10,,,6
2015/02/11,,,6
2015/02/12,,,6
2015/02/13,,,5
2015/02/14,,,5
2015/02/15,,,5
2015/02/16,,,5
2015/02/17,,,5
2015/02/18,,,5
2015/02/19,,,6
2015/02/20,,,7
2015/02/21,,,7
2015/02/22,,,7
2015/02/23,,,6
2015/02/24,,,6
2015/02/25,,,6
2015/02/26,,,6
2015/02/27,,,6
2015/02/28,,,7
2015/03/01,,,7
2015/03/02,,,6
2015/03/03,,,6
2015/03/04,,,6
2015/03/05,,,6
2015/03/06,,,6
2015/03/07,,,5
2015/03/08,,,4
2015/03/09,,,4
2015/03/10,,,4
2015/03/11,,,4
2015/03/12,,,4
2015/03/13,,,4
2015/03/14,,,5
2015/03/15,,,5
2015/03/16,,,5
2015/03/17,,,5
2015/03/18,,,5
2015/03/19,,,5
2015/03/20,,,5
2015/03/21,,,4
2015/03/22,,,4
2015/03/23,,,4
2015/03/24,,,4
2015/03/25,,,4
2015/03/26,,,4
2015/03/27,,,4
2015/03/28,,,4
2015/03/29,,,4
2015/03/30,,,3
2015/03/31,,,3
2015/04/01,,,3
2015/04/02,,1,3
2015/04/03,,1,3
2015/04/04,,1,4
2015/04/05,,1,4
2015/04/06,,1,4
2015/04/07,,1,4
2015/04/08,,1,5
2015/04/09,,2,5
2015/04/10,,2,5
2015/04/11,,2,5
2015/04/12,,2,6
2015/04/13,,2,6
2015/04/14,,2,6
2015/04/15,,2,6
2015/04/16,,2,6
2015/04/17,,2,6
2015/04/18,,2,7
2015/04/19,,2,7
2015/04/20,,2,7
2015/04/21,,2,6
2015/04/22,,2,6
2015/04/23,,2,6
2015/04/24,,2,6
2015/04/25,,2,6
2015/04/26,,2,6
2015/04/27,,2,6
2015/04/28,,2,6
2015/04/29,,2,6
2015/04/30,,2,6
2015/05/01,,2,6
2015/05/02,,2,6
2015/05/03,,2,6
2015/05/04,,2,5
2015/05/05,,2,6
2015/05/06,,2,6
2015/05/07,,2,6
2015/05/08,,2,6
2015/05/09,,1,6
2015/05/10,,1,5
2015/05/11,,1,5
2015/05/12,,1,4
2015/05/13,,1,3
2015/05/14,,1,3
2015/05/15,,1,4
2015/05/16,,1,4
2015/05/17,,1,4
2015/05/18,,1,4
2015/05/19,,1,4
2015/05/20,,1,4
2015/05/21,,1,5
2015/05/22,,1,5
2015/05/23,,1,5
2015/05/24,,1,5
2015/05/25,,1,5
2015/05/26,,2,6
2015/05/27,,2,6
2015/05/28,,2,6
2015/05/29,,2,6
2015/05/30,,2,6
2015/05/31,,2,6
2015/06/01,,2,6
2015/06/02,,2,6
2015/06/03,,2,6
2015/06/04,,2,5
2015/06/05,,2,6
2015/06/06,,1,6
2015/06/07,,1,6
2015/06/08,,1,6
2015/06/09,,1,6
2015/06/10,,1,6
2015/06/11,,1,6
2015/06/12,,1,6
2015/06/13,,1,5
2015/06/14,,1,4
2015/06/15,,1,4
2015/06/16,,1,4
2015/06/17,,1,3
2015/06/18,,1,3
2015/06/19,,1,3
2015/06/20,,1,3
2015/06/21,,1,3
2015/06/22,,1,3
2015/06/23,,1,3
2015/06/24,,1,3
2015/06/25,,,2
2015/06/26,,,4
2015/06/27,,,4
2015/06/28,,,5
2015/06/29,,,5
2015/06/30,,,6
2015/07/01,,,6
2015/07/02,,,6
2015/07/03,,,7
2015/07/04,,,9
2015/07/05,,,8
2015/07/06,,,8
2015/07/07,,,8
2015/07/08,,,9
2015/07/09,,,9
2015/07/10,,,9
2015/07/11,,1,9
2015/07/12,,1,9
2015/07/13,,1,9
2015/07/14,,1,9
2015/07/15,,1,9
2015/07/16,,1,9
2015/07/17,,1,10
2015/07/18,,1,10
2015/07/19,,1,10
2015/07/20,,1,9
2015/07/21,,1,9
2015/07/22,,1,9
2015/07/23,,1,9
2015/07/24,,1,9
2015/07/25,,1,9
2015/07/26,,1,8
2015/07/27,,1,8
2015/07/28,,1,7
2015/07/29,,1,7
2015/07/30,,1,8
2015/07/31,,1,8
2015/08/01,,1,8
2015/08/02,,1,7
2015/08/03,,1,6
2015/08/04,,1,6
2015/08/05,,1,6
2015/08/06,,1,6
2015/08/07,,2,6
2015/08/08,,2,7
2015/08/09,,2,7
2015/08/10,,2,7
2015/08/11,,2,8
2015/08/12,,2,8
2015/08/13,,2,7
2015/08/14,,2,7
2015/08/15,,2,7
2015/08/16,,2,6
2015/08/17,,2,7
2015/08/18,,2,7
2015/08/19,,2,8
2015/08/20,,2,8
2015/08/21,,2,8
2015/08/22,,2,8
2015/08/23,,2,8
2015/08/24,,2,8
2015/08/25,,2,8
2015/08/26,,2,9
2015/08/27,,2,9
2015/08/28,,2,9
2015/08/29,,2,8
2015/08/30,,2,8
2015/08/31,,1,8
2015/09/01,,1,7
2015/09/02,,2,8
2015/09/03,,2,8
2015/09/04,,2,8
2015/09/05,,2,9
2015/09/06,,1,9
2015/09/07,,1,7
2015/09/08,,1,7
2015/09/09,,1,7
2015/09/10,,1,7
2015/09/11,,1,7
2015/09/12,,1,7
2015/09/13,,1,7
2015/09/14,,1,7
2015/09/15,,1,7
2015/09/16,,1,6
2015/09/17,,1,6
2015/09/18,,1,5
