date,sswiki (100+),sswiki (5+),sswiki (all)
2013/02/28,1,7,23
2013/03/01,1,6,23
2013/03/02,1,6,23
2013/03/03,1,6,23
2013/03/04,1,6,24
2013/03/05,1,6,24
2013/03/06,1,6,24
2013/03/07,1,6,23
2013/03/08,2,7,22
2013/03/09,2,7,20
2013/03/10,2,7,17
2013/03/11,2,7,17
2013/03/12,2,7,15
2013/03/13,2,7,15
2013/03/14,2,7,14
2013/03/15,2,7,14
2013/03/16,1,7,13
2013/03/17,1,7,13
2013/03/18,1,7,11
2013/03/19,1,7,11
2013/03/20,1,7,11
2013/03/21,1,7,11
2013/03/22,1,7,11
2013/03/23,1,6,11
2013/03/24,1,6,10
2013/03/25,1,6,10
2013/03/26,1,6,10
2013/03/27,1,5,10
2013/03/28,1,5,10
2013/03/29,1,4,9
2013/03/30,1,4,9
2013/03/31,1,4,9
2013/04/01,1,4,8
2013/04/02,1,4,8
2013/04/03,1,4,7
2013/04/04,1,1,7
2013/04/05,1,1,7
2013/04/06,1,1,6
2013/04/07,1,1,4
2013/04/08,,1,5
2013/04/09,,1,5
2013/04/10,,1,5
2013/04/11,,1,6
2013/04/12,,1,6
2013/04/13,,1,6
2013/04/14,,1,6
2013/04/15,,1,6
2013/04/16,,1,6
2013/04/17,,1,6
2013/04/18,,1,6
2013/04/19,,1,6
2013/04/20,,1,6
2013/04/21,,1,6
2013/04/22,,1,6
2013/04/23,,2,7
2013/04/24,,2,7
2013/04/25,,2,7
2013/04/26,,2,7
2013/04/27,,2,7
2013/04/28,,2,7
2013/04/29,,2,7
2013/04/30,,3,7
2013/05/01,,3,7
2013/05/02,,3,6
2013/05/03,,3,7
2013/05/04,,3,7
2013/05/05,,2,7
2013/05/06,,3,7
2013/05/07,,3,7
2013/05/08,,2,7
2013/05/09,,2,7
2013/05/10,,2,7
2013/05/11,,2,6
2013/05/12,,2,6
2013/05/13,,2,6
2013/05/14,,1,6
2013/05/15,,1,6
2013/05/16,,1,6
2013/05/17,,1,6
2013/05/18,,1,6
2013/05/19,,1,6
2013/05/20,,1,6
2013/05/21,,1,7
2013/05/22,,1,8
2013/05/23,,,7
2013/05/24,,,8
2013/05/25,,,9
2013/05/26,,,9
2013/05/27,,,10
2013/05/28,,,10
2013/05/29,,,10
2013/05/30,,,9
2013/05/31,,,9
2013/06/01,,,9
2013/06/02,,,8
2013/06/03,,,8
2013/06/04,,,8
2013/06/05,,,8
2013/06/06,,,8
2013/06/07,,,7
2013/06/08,,,7
2013/06/09,,,8
2013/06/10,,,8
2013/06/11,,,8
2013/06/12,,,8
2013/06/13,,,8
2013/06/14,,,8
2013/06/15,,,8
2013/06/16,,,8
2013/06/17,,,8
2013/06/18,,,8
2013/06/19,,,8
2013/06/20,,,7
2013/06/21,,,8
2013/06/22,,,8
2013/06/23,,,7
2013/06/24,,,6
2013/06/25,,,6
2013/06/26,,,5
2013/06/27,,,5
2013/06/28,,1,5
2013/06/29,,2,5
2013/06/30,,2,5
2013/07/01,,2,5
2013/07/02,,2,5
2013/07/03,,2,5
2013/07/04,,2,5
2013/07/05,,2,5
2013/07/06,,2,5
2013/07/07,,2,5
2013/07/08,,2,5
2013/07/09,,2,4
2013/07/10,,2,4
2013/07/11,,2,4
2013/07/12,,2,4
2013/07/13,,2,4
2013/07/14,,2,4
2013/07/15,,2,4
2013/07/16,,2,4
2013/07/17,,2,4
2013/07/18,,2,4
2013/07/19,,2,4
2013/07/20,,2,4
2013/07/21,,1,5
2013/07/22,,1,4
2013/07/23,,1,4
2013/07/24,,1,4
2013/07/25,,1,4
2013/07/26,,1,4
2013/07/27,,1,4
2013/07/28,,,4
2013/07/29,,,3
2013/07/30,,,3
2013/07/31,,,3
2013/08/01,,,2
2013/08/02,,,1
2013/08/03,,,1
2013/08/04,,,1
2013/08/05,,,1
2013/08/06,,,2
2013/08/07,,,2
2013/08/08,,,2
2013/08/09,,,2
2013/08/10,,,2
2013/08/11,,,2
2013/08/12,,,2
2013/08/13,,,2
2013/08/14,,,2
2013/08/15,,,2
2013/08/16,,,2
2013/08/17,,,2
2013/08/18,,,2
2013/08/19,,,2
2013/08/20,,,1
2013/08/21,,,1
2013/08/22,,,1
2013/08/23,,,2
2013/08/24,,,2
2013/08/25,,,2
2013/08/26,,,2
2013/08/27,,,2
2013/08/28,,,2
2013/08/29,,,2
2013/08/30,,,2
2013/08/31,,,2
2013/09/01,,,2
2013/09/02,,,2
2013/09/03,,,2
2013/09/04,,,2
2013/09/05,,,1
2013/09/06,,,1
2013/09/07,,,1
2013/09/08,,,1
2013/09/09,,,1
2013/09/10,,,1
2013/09/11,,,1
2013/09/12,,,1
2013/09/13,,,1
2013/09/14,,,1
2013/09/15,,,1
2013/09/16,,,1
2013/09/17,,,1
2013/09/18,,,1
2013/09/19,,,1
2013/09/20,,,1
2013/09/21,,,3
2013/09/22,,,2
2013/09/23,,,2
2013/09/24,,,2
2013/09/25,,,2
2013/09/26,,,2
2013/09/27,,,2
2013/09/28,,,2
2013/09/29,,,3
2013/09/30,,,3
2013/10/01,,,5
2013/10/02,,,5
2013/10/03,,,5
2013/10/04,,,5
2013/10/05,,,5
2013/10/06,,,6
2013/10/07,,1,6
2013/10/08,,1,6
2013/10/09,,1,6
2013/10/10,,1,6
2013/10/11,,1,6
2013/10/12,,1,6
2013/10/13,,1,6
2013/10/14,,1,6
2013/10/15,,1,6
2013/10/16,,1,6
2013/10/17,,1,6
2013/10/18,,2,6
2013/10/19,,2,6
2013/10/20,,2,6
2013/10/21,,2,6
2013/10/22,,2,6
2013/10/23,,2,6
2013/10/24,,2,6
2013/10/25,,2,6
2013/10/26,,2,6
2013/10/27,,2,6
2013/10/28,,2,6
2013/10/29,,2,5
2013/10/30,,2,5
2013/10/31,,2,4
2013/11/01,,2,4
2013/11/02,,2,4
2013/11/03,,2,4
2013/11/04,,2,5
2013/11/05,,2,5
2013/11/06,,2,5
2013/11/07,,2,5
2013/11/08,,1,6
2013/11/09,,1,6
2013/11/10,,1,7
2013/11/11,,1,7
2013/11/12,,1,8
2013/11/13,,1,8
2013/11/14,,1,8
2013/11/15,,1,8
2013/11/16,,1,8
2013/11/17,,1,8
2013/11/18,,1,7
2013/11/19,,1,7
2013/11/20,,2,7
2013/11/21,,2,7
2013/11/22,,2,7
2013/11/23,,2,7
2013/11/24,,2,7
2013/11/25,,2,7
2013/11/26,,2,7
2013/11/27,,2,7
2013/11/28,,2,7
2013/11/29,,2,7
2013/11/30,,2,7
2013/12/01,,2,7
2013/12/02,,2,7
2013/12/03,,2,7
2013/12/04,,2,7
2013/12/05,,2,7
2013/12/06,,2,7
2013/12/07,,2,7
2013/12/08,,3,6
2013/12/09,,3,6
2013/12/10,,3,5
2013/12/11,,3,5
2013/12/12,,3,4
2013/12/13,,3,5
2013/12/14,,3,5
2013/12/15,,3,5
2013/12/16,,3,5
2013/12/17,,3,5
2013/12/18,,3,5
2013/12/19,,3,5
2013/12/20,,3,5
2013/12/21,,2,4
2013/12/22,,2,4
2013/12/23,,2,4
2013/12/24,,2,4
2013/12/25,,2,4
2013/12/26,,2,4
2013/12/27,,2,4
2013/12/28,,2,4
2013/12/29,,2,4
2013/12/30,,2,3
2013/12/31,,2,3
2014/01/01,,2,3
2014/01/02,,2,3
2014/01/03,,2,3
2014/01/04,,2,3
2014/01/05,,1,4
2014/01/06,,1,4
2014/01/07,,,4
2014/01/08,,,2
2014/01/09,,,2
2014/01/10,,,2
2014/01/11,,,2
2014/01/12,,,1
2014/01/13,,,1
2014/01/14,,,1
2014/01/15,,,1
2014/01/16,,,1
2014/01/17,,,1
2014/01/18,,,1
2014/01/19,,,1
2014/01/20,,1,2
2014/01/21,,1,2
2014/01/22,,1,3
2014/01/23,,1,3
2014/01/24,,1,3
2014/01/25,,1,3
2014/01/26,,1,3
2014/01/27,,2,3
2014/01/28,,2,4
2014/01/29,,2,4
2014/01/30,,2,4
2014/01/31,,2,4
2014/02/01,,3,5
2014/02/02,,3,5
2014/02/03,,3,5
2014/02/04,,3,4
2014/02/05,,3,4
2014/02/06,,3,5
2014/02/07,,3,6
2014/02/08,,3,6
2014/02/09,,3,7
2014/02/10,,3,7
2014/02/11,,3,7
2014/02/12,,3,7
2014/02/13,,3,7
2014/02/14,,3,7
2014/02/15,,3,7
2014/02/16,,3,8
2014/02/17,,3,9
2014/02/18,,3,9
2014/02/19,,2,9
2014/02/20,,2,10
2014/02/21,,2,10
2014/02/22,,2,10
2014/02/23,,2,10
2014/02/24,,2,10
2014/02/25,,2,10
2014/02/26,,2,10
2014/02/27,,2,10
2014/02/28,,2,11
2014/03/01,,2,11
2014/03/02,,2,11
2014/03/03,,1,10
2014/03/04,,1,10
2014/03/05,,1,10
2014/03/06,,1,10
2014/03/07,,1,10
2014/03/08,,1,9
2014/03/09,,1,9
2014/03/10,,1,9
2014/03/11,,1,8
2014/03/12,,1,8
2014/03/13,,1,8
2014/03/14,,1,8
2014/03/15,,1,8
2014/03/16,,1,8
2014/03/17,,1,8
2014/03/18,,1,8
2014/03/19,,1,7
2014/03/20,,1,7
2014/03/21,,1,5
2014/03/22,,1,5
2014/03/23,,1,5
2014/03/24,,1,4
2014/03/25,,1,4
2014/03/26,,1,4
2014/03/27,,1,4
2014/03/28,,1,4
2014/03/29,,1,4
2014/03/30,,1,4
2014/03/31,,1,4
2014/04/01,,1,4
2014/04/02,,1,4
2014/04/03,,1,5
2014/04/04,,1,5
2014/04/05,,1,5
2014/04/06,,1,5
2014/04/07,,1,5
2014/04/08,,1,5
2014/04/09,,1,5
2014/04/10,,1,5
2014/04/11,,1,5
2014/04/12,,1,5
2014/04/13,,1,5
2014/04/14,,1,5
2014/04/15,,1,5
2014/04/16,,1,5
2014/04/17,,1,5
2014/04/18,,1,5
2014/04/19,,1,5
2014/04/20,,1,5
2014/04/21,,1,5
2014/04/22,,1,5
2014/04/23,,1,6
2014/04/24,,1,6
2014/04/25,,1,7
2014/04/26,,1,7
2014/04/27,,1,7
2014/04/28,,1,6
2014/04/29,,1,6
2014/04/30,,1,6
2014/05/01,,1,6
2014/05/02,,1,7
2014/05/03,,1,5
2014/05/04,,1,5
2014/05/05,,1,6
2014/05/06,,1,6
2014/05/07,,2,6
2014/05/08,,2,6
2014/05/09,,2,6
2014/05/10,,2,7
2014/05/11,,2,7
2014/05/12,,2,7
2014/05/13,,2,7
2014/05/14,,2,7
2014/05/15,,2,7
2014/05/16,,2,7
2014/05/17,,2,7
2014/05/18,,2,7
2014/05/19,,2,8
2014/05/20,,2,8
2014/05/21,,2,8
2014/05/22,,2,8
2014/05/23,,2,8
2014/05/24,,2,7
2014/05/25,,2,6
2014/05/26,,2,6
2014/05/27,,2,6
2014/05/28,,2,6
2014/05/29,,2,6
2014/05/30,,2,6
2014/05/31,,2,6
2014/06/01,,2,6
2014/06/02,,2,8
2014/06/03,,2,9
2014/06/04,,2,7
2014/06/05,,2,7
2014/06/06,,2,7
2014/06/07,,2,7
2014/06/08,,2,8
2014/06/09,,2,8
2014/06/10,,2,8
2014/06/11,,2,8
2014/06/12,,2,8
2014/06/13,,2,8
2014/06/14,,2,8
2014/06/15,,2,8
2014/06/16,,1,9
2014/06/17,,1,9
2014/06/18,,1,8
2014/06/19,,1,8
2014/06/20,,1,8
2014/06/21,,1,8
2014/06/22,,1,9
2014/06/23,,1,9
2014/06/24,,1,9
2014/06/25,,1,9
2014/06/26,,1,9
2014/06/27,,1,9
2014/06/28,,1,9
2014/06/29,,,9
2014/06/30,,,9
2014/07/01,,,10
2014/07/02,,,9
2014/07/03,,,8
2014/07/04,,,7
2014/07/05,,,7
2014/07/06,,,7
2014/07/07,,,7
2014/07/08,,,6
2014/07/09,,,5
2014/07/10,,,5
2014/07/11,,,5
2014/07/12,,,5
2014/07/13,,,5
2014/07/14,,,5
2014/07/15,,,6
2014/07/16,,,5
2014/07/17,,,5
2014/07/18,,,5
2014/07/19,,,5
2014/07/20,,,5
2014/07/21,,,5
2014/07/22,,1,4
2014/07/23,,1,4
2014/07/24,,1,4
2014/07/25,,1,4
2014/07/26,,1,4
2014/07/27,,1,5
2014/07/28,,1,5
2014/07/29,,1,5
2014/07/30,,1,5
2014/07/31,,1,4
2014/08/01,,1,3
2014/08/02,,1,4
2014/08/03,,1,4
2014/08/04,,1,4
2014/08/05,,1,4
2014/08/06,,1,4
2014/08/07,,1,4
2014/08/08,,1,4
2014/08/09,,1,5
2014/08/10,,1,5
2014/08/11,,1,5
2014/08/12,,1,5
2014/08/13,,1,5
2014/08/14,,1,6
2014/08/15,,1,6
2014/08/16,,1,6
2014/08/17,,1,7
2014/08/18,,1,7
2014/08/19,,2,7
2014/08/20,,2,7
2014/08/21,,2,7
2014/08/22,,2,8
2014/08/23,,2,8
2014/08/24,,3,9
2014/08/25,,3,9
2014/08/26,,4,10
2014/08/27,,4,10
2014/08/28,,4,10
2014/08/29,,4,10
2014/08/30,,4,10
2014/08/31,,4,10
2014/09/01,,4,10
2014/09/02,,4,10
2014/09/03,,4,11
2014/09/04,,4,11
2014/09/05,,4,11
2014/09/06,,4,10
2014/09/07,,4,11
2014/09/08,,4,10
2014/09/09,,4,10
2014/09/10,,4,10
2014/09/11,,4,10
2014/09/12,,4,10
2014/09/13,,4,10
2014/09/14,,4,9
2014/09/15,,4,10
2014/09/16,,4,10
2014/09/17,,4,10
2014/09/18,,4,10
2014/09/19,,4,10
2014/09/20,,3,11
2014/09/21,,3,10
2014/09/22,,2,10
2014/09/23,,1,9
2014/09/24,,1,9
2014/09/25,,1,8
2014/09/26,,1,8
2014/09/27,,1,7
2014/09/28,,,8
2014/09/29,,,8
2014/09/30,,,8
2014/10/01,,,8
2014/10/02,,,8
2014/10/03,,,6
2014/10/04,,,6
2014/10/05,,,5
2014/10/06,,,5
2014/10/07,,,5
2014/10/08,,,5
2014/10/09,,,5
2014/10/10,,,5
2014/10/11,,,5
2014/10/12,,,5
2014/10/13,,,6
2014/10/14,,,6
2014/10/15,,,6
2014/10/16,,,7
2014/10/17,,,7
2014/10/18,,,7
2014/10/19,,,7
2014/10/20,,,6
2014/10/21,,,7
2014/10/22,,,8
2014/10/23,,,8
2014/10/24,,,8
2014/10/25,,,8
2014/10/26,,,8
2014/10/27,,,8
2014/10/28,,,7
2014/10/29,,,7
2014/10/30,,,7
2014/10/31,,,8
2014/11/01,,,8
2014/11/02,,,8
2014/11/03,,,7
2014/11/04,,,7
2014/11/05,,,7
2014/11/06,,,7
2014/11/07,,,7
2014/11/08,,,7
2014/11/09,,,7
2014/11/10,,,7
2014/11/11,,,7
2014/11/12,,,6
2014/11/13,,,6
2014/11/14,,,5
2014/11/15,,,5
2014/11/16,,,5
2014/11/17,,,5
2014/11/18,,,5
2014/11/19,,,5
2014/11/20,,,3
2014/11/21,,,3
2014/11/22,,,3
2014/11/23,,,5
2014/11/24,,,5
2014/11/25,,,5
2014/11/26,,,5
2014/11/27,,,5
2014/11/28,,,5
2014/11/29,,,5
2014/11/30,,,4
2014/12/01,,,3
2014/12/02,,,3
2014/12/03,,,4
2014/12/04,,,4
2014/12/05,,,5
2014/12/06,,,5
2014/12/07,,,5
2014/12/08,,,5
2014/12/09,,,5
2014/12/10,,,4
2014/12/11,,,4
2014/12/12,,,4
2014/12/13,,,4
2014/12/14,,,4
2014/12/15,,,4
2014/12/16,,,4
2014/12/17,,,4
2014/12/18,,,4
2014/12/19,,,4
2014/12/20,,,4
2014/12/21,,,4
2014/12/22,,,4
2014/12/23,,,2
2014/12/24,,,2
2014/12/25,,,2
2014/12/26,,,2
2014/12/27,,,2
2014/12/28,,,2
2014/12/29,,,2
2014/12/30,,,2
2014/12/31,,,2
2015/01/01,,,2
2015/01/02,,,1
2015/01/03,,,1
2015/01/04,,,1
2015/01/05,,,1
2015/01/06,,,1
2015/01/07,,,1
2015/01/08,,,1
2015/01/09,,,1
2015/01/10,,,1
2015/01/11,,,1
2015/01/12,,,1
2015/01/13,,,1
2015/01/14,,,1
2015/01/15,,,1
2015/01/16,,,1
2015/01/17,,,1
2015/02/01,,,1
2015/02/02,,,1
2015/02/03,,,1
2015/02/04,,,1
2015/02/05,,,1
2015/02/06,,,1
2015/02/07,,,1
2015/02/08,,,3
2015/02/09,,,3
2015/02/10,,,4
2015/02/11,,,4
2015/02/12,,,4
2015/02/13,,,4
2015/02/14,,,4
2015/02/15,,,4
2015/02/16,,,4
2015/02/17,,,4
2015/02/18,,,4
2015/02/19,,,4
2015/02/20,,,4
2015/02/21,,,4
2015/02/22,,,4
2015/02/23,,,4
2015/02/24,,,4
2015/02/25,,,4
2015/02/26,,,4
2015/02/27,,,4
2015/02/28,,,4
2015/03/01,,,4
2015/03/02,,,4
2015/03/03,,,3
2015/03/04,,,3
2015/03/05,,,3
2015/03/06,,,3
2015/03/07,,,3
2015/03/08,,,4
2015/03/09,,1,4
2015/03/10,,1,2
2015/03/11,,1,2
2015/03/12,,1,1
2015/03/13,,1,1
2015/03/14,,1,3
2015/03/15,,1,3
2015/03/16,,1,5
2015/03/17,,1,5
2015/03/18,,1,5
2015/03/19,,1,5
2015/03/20,,1,5
2015/03/21,,1,5
2015/03/22,,1,5
2015/03/23,,1,5
2015/03/24,,1,5
2015/03/25,,1,5
2015/03/26,,1,5
2015/03/27,,1,5
2015/03/28,,1,5
2015/03/29,,1,5
2015/03/30,,1,5
2015/03/31,,1,5
2015/04/01,,1,5
2015/04/02,,1,5
2015/04/03,,1,5
2015/04/04,,1,5
2015/04/05,,1,5
2015/04/06,,1,5
2015/04/07,,1,5
2015/04/08,,,4
2015/04/09,,,4
2015/04/10,,,4
2015/04/11,,,4
2015/04/12,,,4
2015/04/13,,,2
2015/04/14,,,2
2015/04/15,,,1
2015/04/16,,,1
2015/04/17,,,1
2015/04/18,,,1
2015/04/19,,,2
2015/04/20,,,2
2015/04/21,,,2
2015/04/22,,,2
2015/04/23,,,2
2015/04/24,,,2
2015/04/25,,,2
2015/04/26,,,2
2015/04/27,,,3
2015/04/28,,,3
2015/04/29,,,4
2015/04/30,,,4
2015/05/01,,,4
2015/05/02,,,4
2015/05/03,,,4
2015/05/04,,,4
2015/05/05,,,4
2015/05/06,,,4
2015/05/07,,,3
2015/05/08,,,3
2015/05/09,,,3
2015/05/10,,,3
2015/05/11,,,3
2015/05/12,,,3
2015/05/13,,,3
2015/05/14,,,3
2015/05/15,,,3
2015/05/16,,,3
2015/05/17,,,3
2015/05/18,,,3
2015/05/19,,,2
2015/05/20,,,2
2015/05/21,,,2
2015/05/22,,,2
2015/05/23,,,2
2015/05/24,,,2
2015/05/25,,,2
2015/05/26,,,2
2015/05/27,,,1
2015/05/28,,,1
2015/05/31,,,1
2015/06/01,,,1
2015/06/02,,,1
2015/06/03,,,1
2015/06/04,,,1
2015/06/05,,,1
2015/06/06,,,1
2015/06/07,,,1
2015/06/08,,,1
2015/06/09,,,1
2015/06/10,,,1
2015/06/11,,,1
2015/06/12,,,1
2015/06/13,,,1
2015/06/14,,,1
2015/06/15,,,1
2015/06/16,,,1
2015/06/17,,,1
2015/06/18,,,1
2015/06/19,,,1
2015/06/20,,,1
2015/06/21,,,1
2015/06/22,,,1
2015/06/23,,,1
2015/06/24,,,1
2015/06/25,,,2
2015/06/26,,,2
2015/06/27,,,2
2015/06/28,,,2
2015/06/29,,,2
2015/06/30,,,1
2015/07/01,,,1
2015/07/02,,,1
2015/07/03,,,1
2015/07/04,,,1
2015/07/05,,,1
2015/07/06,,,1
2015/07/07,,,1
2015/07/08,,,1
2015/07/09,,,1
2015/07/10,,,1
2015/07/11,,,2
2015/07/12,,,2
2015/07/13,,,3
2015/07/14,,,3
2015/07/15,,,3
2015/07/16,,,4
2015/07/17,,,4
2015/07/18,,,4
2015/07/19,,,4
2015/07/20,,,4
2015/07/21,,,4
2015/07/22,,,5
2015/07/23,,,5
2015/07/24,,,5
2015/07/25,,,4
2015/07/26,,,4
2015/07/27,,,4
2015/07/28,,,4
2015/07/29,,,4
2015/07/30,,,4
2015/07/31,,,4
2015/08/01,,,4
2015/08/02,,,4
2015/08/03,,,4
2015/08/04,,,4
2015/08/05,,,6
2015/08/06,,,6
2015/08/07,,,6
2015/08/08,,,6
2015/08/09,,,7
2015/08/10,,,7
2015/08/11,,,7
2015/08/12,,,7
2015/08/13,,,7
2015/08/14,,,7
2015/08/15,,,7
2015/08/16,,,7
2015/08/17,,,7
2015/08/18,,1,6
2015/08/19,,1,6
2015/08/20,,1,6
2015/08/21,,1,5
2015/08/22,,1,5
2015/08/23,,1,5
2015/08/24,,1,5
2015/08/25,,1,5
2015/08/26,,1,5
2015/08/27,,1,5
2015/08/28,,1,5
2015/08/29,,1,6
2015/08/30,,1,6
2015/08/31,,1,6
2015/09/01,,1,6
2015/09/02,,1,6
2015/09/03,,1,6
2015/09/04,,1,4
2015/09/05,,1,5
2015/09/06,,1,7
2015/09/07,,1,7
2015/09/08,,1,6
2015/09/09,,1,6
2015/09/10,,1,6
2015/09/11,,,5
2015/09/12,,,5
2015/09/13,,,6
2015/09/14,,,6
2015/09/15,,,6
2015/09/16,,,6
2015/09/17,,,5
2015/09/18,,,5
2015/09/19,,,5
2015/09/20,,,5
2015/09/21,,,6
2015/09/22,,,7
2015/09/23,,,7
2015/09/24,,,7
2015/09/25,,,8
2015/09/26,,,8
2015/09/27,,,8
2015/09/28,,,8
2015/09/29,,,8
2015/09/30,,,8
2015/10/01,,,8
2015/10/02,,,8
2015/10/03,,,7
2015/10/04,,,8
2015/10/05,,,7
2015/10/06,,,5
2015/10/07,,,5
2015/10/08,,,5
2015/10/09,,,5
2015/10/10,,,5
2015/10/11,,,5
2015/10/12,,,6
2015/10/13,,,5
2015/10/14,,,5
2015/10/15,,,6
2015/10/16,,,7
2015/10/17,,,8
2015/10/18,,,8
2015/10/19,,,8
2015/10/20,,,8
2015/10/21,,,7
2015/10/22,,,6
2015/10/23,,,6
2015/10/24,,,8
2015/10/25,,,7
2015/10/26,,1,10
2015/10/27,,2,10
2015/10/28,,2,10
2015/10/29,,2,10
2015/10/30,,2,10
2015/10/31,,2,10
2015/11/01,,2,10
2015/11/02,,2,10
2015/11/03,,2,10
2015/11/04,,2,10
2015/11/05,,2,10
2015/11/06,,2,10
2015/11/07,,2,10
2015/11/08,,2,10
2015/11/09,,2,10
2015/11/10,,2,10
2015/11/11,,2,10
2015/11/12,,3,10
2015/11/13,,3,11
2015/11/14,,3,10
2015/11/15,,3,9
2015/11/16,,1,9
2015/11/17,,1,9
2015/11/18,,1,9
2015/11/19,,,9
2015/11/20,,,9
2015/11/21,,1,9
2015/11/22,,1,9
2015/11/23,,1,8
2015/11/24,,1,9
2015/11/25,,,6
2015/11/26,,,6
2015/11/27,,,6
2015/11/28,,,6
2015/11/29,,,6
2015/11/30,,,6
2015/12/01,,,6
2015/12/02,,,6
2015/12/03,,,6
2015/12/04,,,6
2015/12/05,,,6
2015/12/06,,,7
2015/12/07,,,6
2015/12/08,,,6
2015/12/09,,,6
2015/12/10,,,6
2015/12/11,,,6
2015/12/12,,,5
2015/12/13,,,4
2015/12/14,,,4
