date,be_x_oldwiki (100+),be_x_oldwiki (5+),be_x_oldwiki (all)
2013/04/02,12,43,159
2013/04/03,12,40,159
2013/04/04,12,40,162
2013/04/05,12,40,159
2013/04/06,11,41,154
2013/04/07,10,42,154
2013/04/08,10,42,154
2013/04/09,10,43,156
2013/04/10,10,43,154
2013/04/11,9,44,156
2013/04/12,9,43,155
2013/04/13,9,41,152
2013/04/14,9,39,152
2013/04/15,10,38,150
2013/04/16,10,38,153
2013/04/17,9,39,149
2013/04/18,9,39,147
2013/04/19,9,36,147
2013/04/20,9,35,148
2013/04/21,9,36,150
2013/04/22,9,35,150
2013/04/23,9,35,147
2013/04/24,8,36,148
2013/04/25,8,36,151
2013/04/26,8,36,146
2013/04/27,9,35,145
2013/04/28,10,35,146
2013/04/29,9,34,146
2013/04/30,9,36,145
2013/05/01,9,35,143
2013/05/02,9,37,140
2013/05/03,7,36,137
2013/05/04,7,36,136
2013/05/05,7,35,129
2013/05/06,8,35,131
2013/05/07,8,34,130
2013/05/08,8,33,124
2013/05/09,8,33,123
2013/05/10,8,33,120
2013/05/11,8,33,122
2013/05/12,7,34,120
2013/05/13,6,36,120
2013/05/14,7,36,124
2013/05/15,7,36,125
2013/05/16,7,34,123
2013/05/17,7,35,124
2013/05/18,7,34,124
2013/05/19,7,34,126
2013/05/20,7,32,125
2013/05/21,7,31,122
2013/05/22,7,30,120
2013/05/23,7,30,123
2013/05/24,7,29,123
2013/05/25,7,29,123
2013/05/26,7,30,125
2013/05/27,7,31,123
2013/05/28,7,32,124
2013/05/29,7,32,123
2013/05/30,7,30,124
2013/05/31,7,30,121
2013/06/01,7,29,121
2013/06/02,7,28,125
2013/06/03,7,29,126
2013/06/04,7,30,121
2013/06/05,6,30,120
2013/06/06,6,30,121
2013/06/07,6,31,118
2013/06/08,6,31,118
2013/06/09,6,30,121
2013/06/10,6,30,124
2013/06/11,6,31,124
2013/06/12,6,32,119
2013/06/13,6,31,117
2013/06/14,6,31,116
2013/06/15,6,31,115
2013/06/16,6,31,118
2013/06/17,6,32,119
2013/06/18,6,33,119
2013/06/19,6,35,121
2013/06/20,6,36,123
2013/06/21,6,36,125
2013/06/22,6,35,120
2013/06/23,6,35,117
2013/06/24,6,36,114
2013/06/25,6,37,117
2013/06/26,7,36,116
2013/06/27,6,36,115
2013/06/28,7,35,119
2013/06/29,7,35,116
2013/06/30,7,36,117
2013/07/01,7,36,119
2013/07/02,7,36,118
2013/07/03,7,34,117
2013/07/04,7,34,120
2013/07/05,7,34,120
2013/07/06,7,35,121
2013/07/07,7,35,124
2013/07/08,7,35,125
2013/07/09,7,35,126
2013/07/10,7,36,125
2013/07/11,7,34,126
2013/07/12,7,33,125
2013/07/13,7,32,123
2013/07/14,7,33,123
2013/07/15,7,32,122
2013/07/16,7,31,122
2013/07/17,8,31,120
2013/07/18,8,32,126
2013/07/19,8,30,121
2013/07/20,9,29,119
2013/07/21,9,26,115
2013/07/22,10,24,116
2013/07/23,10,24,117
2013/07/24,10,25,119
2013/07/25,10,26,116
2013/07/26,10,26,116
2013/07/27,10,26,114
2013/07/28,9,26,111
2013/07/29,9,27,112
2013/07/30,9,28,114
2013/07/31,9,28,113
2013/08/01,9,28,115
2013/08/02,9,27,113
2013/08/03,9,28,113
2013/08/04,9,30,112
2013/08/05,9,32,120
2013/08/06,9,32,116
2013/08/07,8,33,112
2013/08/08,8,32,109
2013/08/09,8,33,110
2013/08/10,8,33,110
2013/08/11,8,32,111
2013/08/12,8,32,112
2013/08/13,8,33,111
2013/08/14,8,32,112
2013/08/15,8,31,110
2013/08/16,8,31,110
2013/08/17,9,33,105
2013/08/18,9,33,112
2013/08/19,9,34,112
2013/08/20,9,34,113
2013/08/21,8,34,113
2013/08/22,7,35,110
2013/08/23,7,33,112
2013/08/24,7,35,110
2013/08/25,7,36,109
2013/08/26,7,36,108
2013/08/27,7,35,111
2013/08/28,7,34,112
2013/08/29,7,34,114
2013/08/30,7,32,113
2013/08/31,7,33,111
2013/09/01,8,34,110
2013/09/02,8,32,108
2013/09/03,8,30,109
2013/09/04,8,31,104
2013/09/05,8,31,106
2013/09/06,8,29,106
2013/09/07,8,29,106
2013/09/08,8,28,107
2013/09/09,8,27,106
2013/09/10,8,28,102
2013/09/11,8,27,103
2013/09/12,8,26,105
2013/09/13,8,26,104
2013/09/14,8,27,104
2013/09/15,7,26,110
2013/09/16,8,28,111
2013/09/17,8,27,106
2013/09/18,8,30,106
2013/09/19,8,34,104
2013/09/20,8,35,105
2013/09/21,8,35,110
2013/09/22,8,36,107
2013/09/23,8,35,106
2013/09/24,8,34,105
2013/09/25,7,33,104
2013/09/26,7,32,99
2013/09/27,7,33,103
2013/09/28,7,33,102
2013/09/29,7,34,102
2013/09/30,7,33,106
2013/10/01,7,34,106
2013/10/02,7,35,107
2013/10/03,7,35,106
2013/10/04,7,34,103
2013/10/05,7,34,99
2013/10/06,7,33,99
2013/10/07,7,33,103
2013/10/08,7,33,104
2013/10/09,6,34,108
2013/10/10,6,34,111
2013/10/11,6,33,114
2013/10/12,6,33,115
2013/10/13,6,34,117
2013/10/14,7,34,118
2013/10/15,7,33,110
2013/10/16,7,32,111
2013/10/17,7,31,109
2013/10/18,8,29,109
2013/10/19,8,29,108
2013/10/20,8,30,106
2013/10/21,8,29,101
2013/10/22,8,30,103
2013/10/23,8,30,104
2013/10/24,8,29,105
2013/10/25,7,29,106
2013/10/26,7,29,109
2013/10/27,6,29,108
2013/10/28,6,28,104
2013/10/29,6,27,108
2013/10/30,6,27,107
2013/10/31,6,26,108
2013/11/01,6,26,109
2013/11/02,6,26,109
2013/11/03,6,27,110
2013/11/04,6,27,109
2013/11/05,6,30,111
2013/11/06,6,31,109
2013/11/07,7,31,110
2013/11/08,6,31,111
2013/11/09,6,31,111
2013/11/10,6,32,112
2013/11/11,6,33,119
2013/11/12,7,32,118
2013/11/13,7,34,120
2013/11/14,7,35,119
2013/11/15,7,34,125
2013/11/16,7,34,127
2013/11/17,6,35,131
2013/11/18,6,35,131
2013/11/19,6,34,129
2013/11/20,6,34,128
2013/11/21,6,33,126
2013/11/22,6,33,130
2013/11/23,6,33,132
2013/11/24,7,33,133
2013/11/25,7,33,132
2013/11/26,7,34,132
2013/11/27,7,34,135
2013/11/28,7,37,132
2013/11/29,7,36,129
2013/11/30,7,35,129
2013/12/01,7,35,128
2013/12/02,8,37,127
2013/12/03,8,36,129
2013/12/04,8,36,127
2013/12/05,8,33,125
2013/12/06,8,34,125
2013/12/07,8,34,120
2013/12/08,8,32,122
2013/12/09,8,34,126
2013/12/10,8,34,124
2013/12/11,8,32,119
2013/12/12,8,33,117
2013/12/13,8,32,117
2013/12/14,8,33,120
2013/12/15,8,34,117
2013/12/16,8,35,118
2013/12/17,8,34,116
2013/12/18,7,34,116
2013/12/19,7,35,113
2013/12/20,7,35,114
2013/12/21,7,37,110
2013/12/22,7,35,111
2013/12/23,7,37,113
2013/12/24,7,38,113
2013/12/25,7,38,112
2013/12/26,7,39,114
2013/12/27,7,41,113
2013/12/28,7,40,110
2013/12/29,6,40,112
2013/12/30,6,42,107
2013/12/31,6,39,109
2014/01/01,6,39,108
2014/01/02,6,41,106
2014/01/03,6,42,106
2014/01/04,6,42,108
2014/01/05,6,40,108
2014/01/06,7,40,111
2014/01/07,8,39,108
2014/01/08,9,40,111
2014/01/09,9,39,111
2014/01/10,10,40,113
2014/01/11,10,40,113
2014/01/12,10,39,115
2014/01/13,10,38,115
2014/01/14,10,39,117
2014/01/15,10,38,120
2014/01/16,10,39,121
2014/01/17,10,39,118
2014/01/18,10,39,119
2014/01/19,10,37,121
2014/01/20,9,35,121
2014/01/21,9,34,123
2014/01/22,9,32,124
2014/01/23,9,33,125
2014/01/24,9,33,128
2014/01/25,8,33,127
2014/01/26,8,33,130
2014/01/27,8,33,131
2014/01/28,8,33,127
2014/01/29,8,33,126
2014/01/30,8,33,126
2014/01/31,8,33,124
2014/02/01,9,33,125
2014/02/02,8,32,128
2014/02/03,10,31,127
2014/02/04,8,32,130
2014/02/05,9,34,134
2014/02/06,8,34,135
2014/02/07,8,33,132
2014/02/08,8,31,131
2014/02/09,9,33,133
2014/02/10,8,34,133
2014/02/11,8,32,129
2014/02/12,8,32,124
2014/02/13,8,34,124
2014/02/14,8,34,125
2014/02/15,8,33,122
2014/02/16,9,32,126
2014/02/17,8,32,122
2014/02/18,8,32,120
2014/02/19,8,32,122
2014/02/20,8,32,122
2014/02/21,8,33,119
2014/02/22,8,33,115
2014/02/23,8,34,114
2014/02/24,8,37,115
2014/02/25,8,38,113
2014/02/26,8,38,111
2014/02/27,8,37,110
2014/02/28,7,37,109
2014/03/01,7,37,110
2014/03/02,7,35,109
2014/03/03,8,36,105
2014/03/04,8,37,102
2014/03/05,8,36,100
2014/03/06,8,36,100
2014/03/07,8,38,99
2014/03/08,8,37,101
2014/03/09,8,37,99
2014/03/10,8,39,100
2014/03/11,8,39,97
2014/03/12,7,38,103
2014/03/13,7,38,104
2014/03/14,7,36,103
2014/03/15,7,34,102
2014/03/16,7,35,110
2014/03/17,7,34,113
2014/03/18,7,35,111
2014/03/19,7,36,114
2014/03/20,7,37,114
2014/03/21,7,36,114
2014/03/22,7,35,112
2014/03/23,7,34,111
2014/03/24,7,37,113
2014/03/25,6,35,113
2014/03/26,6,34,114
2014/03/27,6,35,113
2014/03/28,6,35,115
2014/03/29,6,35,115
2014/03/30,5,35,112
2014/03/31,6,35,113
2014/04/01,6,33,113
2014/04/02,6,32,114
2014/04/03,6,32,115
2014/04/04,5,33,120
2014/04/05,5,32,121
2014/04/06,5,31,117
2014/04/07,5,31,113
2014/04/08,6,31,113
2014/04/09,6,30,115
2014/04/10,6,30,120
2014/04/11,6,31,119
2014/04/12,6,30,119
2014/04/13,6,30,119
2014/04/14,6,30,121
2014/04/15,6,29,113
2014/04/16,6,29,115
2014/04/17,6,29,112
2014/04/18,6,30,112
2014/04/19,7,30,114
2014/04/20,7,30,114
2014/04/21,7,29,113
2014/04/22,7,33,118
2014/04/23,7,32,121
2014/04/24,6,32,118
2014/04/25,6,32,119
2014/04/26,6,32,121
2014/04/27,7,32,128
2014/04/28,7,33,130
2014/04/29,7,35,132
2014/04/30,7,34,133
2014/05/01,7,34,135
2014/05/02,7,35,138
2014/05/03,7,36,137
2014/05/04,7,35,136
2014/05/05,8,35,135
2014/05/06,8,34,136
2014/05/07,8,34,137
2014/05/08,8,34,137
2014/05/09,8,35,137
2014/05/10,8,33,139
2014/05/11,8,33,139
2014/05/12,7,33,139
2014/05/13,8,33,139
2014/05/14,9,33,135
2014/05/15,8,32,133
2014/05/16,7,33,131
2014/05/17,8,36,133
2014/05/18,8,36,130
2014/05/19,9,34,129
2014/05/20,9,34,132
2014/05/21,9,34,132
2014/05/22,9,34,129
2014/05/23,9,34,126
2014/05/24,9,34,124
2014/05/25,10,34,122
2014/05/26,9,32,121
2014/05/27,10,32,112
2014/05/28,9,32,110
2014/05/29,8,32,114
2014/05/30,8,32,113
2014/05/31,8,33,113
2014/06/01,8,34,115
2014/06/02,8,34,115
2014/06/03,8,35,111
2014/06/04,8,33,111
2014/06/05,8,33,109
2014/06/06,8,33,108
2014/06/07,8,33,112
2014/06/08,8,33,110
2014/06/09,8,35,108
2014/06/10,8,35,109
2014/06/11,8,36,107
2014/06/12,8,36,108
2014/06/13,8,35,106
2014/06/14,8,36,106
2014/06/15,7,36,106
2014/06/16,7,34,107
2014/06/17,7,33,110
2014/06/18,7,31,115
2014/06/19,7,30,112
2014/06/20,7,29,112
2014/06/21,7,30,114
2014/06/22,7,31,113
2014/06/23,7,31,117
2014/06/24,7,30,115
2014/06/25,8,30,117
2014/06/26,8,30,120
2014/06/27,8,30,122
2014/06/28,8,31,119
2014/06/29,8,31,118
2014/06/30,8,30,118
2014/07/01,8,29,115
2014/07/02,8,30,118
2014/07/03,8,28,115
2014/07/04,8,28,111
2014/07/05,8,30,110
2014/07/06,8,28,109
2014/07/07,8,28,111
2014/07/08,8,30,111
2014/07/09,8,29,111
2014/07/10,8,28,110
2014/07/11,8,29,110
2014/07/12,8,30,111
2014/07/13,8,31,115
2014/07/14,8,30,115
2014/07/15,8,29,115
2014/07/16,8,29,114
2014/07/17,8,30,110
2014/07/18,8,30,108
2014/07/19,8,30,107
2014/07/20,7,31,112
2014/07/21,7,30,111
2014/07/22,7,31,113
2014/07/23,6,30,110
2014/07/24,6,30,111
2014/07/25,6,30,108
2014/07/26,5,30,106
2014/07/27,6,32,103
2014/07/28,6,29,104
2014/07/29,6,29,106
2014/07/30,6,29,103
2014/07/31,6,29,101
2014/08/01,6,29,99
2014/08/02,6,29,100
2014/08/03,6,29,102
2014/08/04,6,30,103
2014/08/05,5,31,104
2014/08/06,5,31,100
2014/08/07,5,31,99
2014/08/08,5,31,99
2014/08/09,5,31,96
2014/08/10,6,30,96
2014/08/11,6,29,98
2014/08/12,5,27,101
2014/08/13,5,27,102
2014/08/14,5,27,107
2014/08/15,6,27,107
2014/08/16,6,27,110
2014/08/17,5,25,111
2014/08/18,6,24,110
2014/08/19,6,23,111
2014/08/20,6,27,111
2014/08/21,6,27,112
2014/08/22,6,28,114
2014/08/23,6,28,112
2014/08/24,6,28,112
2014/08/25,6,28,111
2014/08/26,6,29,111
2014/08/27,6,30,112
2014/08/28,6,30,112
2014/08/29,6,28,114
2014/08/30,6,28,117
2014/08/31,6,27,116
2014/09/01,6,27,113
2014/09/02,6,27,112
2014/09/03,6,27,111
2014/09/04,7,27,108
2014/09/05,7,27,110
2014/09/06,7,28,110
2014/09/07,7,28,114
2014/09/08,7,29,114
2014/09/09,7,30,114
2014/09/10,7,30,109
2014/09/11,7,29,106
2014/09/12,7,30,103
2014/09/13,7,28,100
2014/09/14,7,26,100
2014/09/15,7,26,98
2014/09/16,7,27,99
2014/09/17,7,28,99
2014/09/18,6,28,100
2014/09/19,6,29,103
2014/09/20,6,26,103
2014/09/21,6,24,101
2014/09/22,6,24,104
2014/09/23,6,24,105
2014/09/24,6,24,107
2014/09/25,6,24,108
2014/09/26,6,25,105
2014/09/27,6,25,102
2014/09/28,5,23,103
2014/09/29,5,23,101
2014/09/30,5,23,102
2014/10/01,5,25,101
2014/10/02,5,24,100
2014/10/03,5,24,101
2014/10/04,5,25,108
2014/10/05,5,25,106
2014/10/06,5,24,105
2014/10/07,5,24,103
2014/10/08,5,24,101
2014/10/09,6,24,104
2014/10/10,6,24,105
2014/10/11,6,24,102
2014/10/12,6,24,104
2014/10/13,6,24,101
2014/10/14,6,26,103
2014/10/15,6,27,102
2014/10/16,6,27,103
2014/10/17,6,26,103
2014/10/18,6,27,102
2014/10/19,6,27,102
2014/10/20,6,28,107
2014/10/21,6,28,109
2014/10/22,6,27,109
2014/10/23,6,26,106
2014/10/24,6,25,103
2014/10/25,6,25,105
2014/10/26,6,26,106
2014/10/27,8,26,108
2014/10/28,8,26,107
2014/10/29,7,26,107
2014/10/30,7,26,106
2014/10/31,7,25,107
2014/11/01,7,27,109
2014/11/02,7,27,107
2014/11/03,7,29,104
2014/11/04,7,28,106
2014/11/05,8,28,106
2014/11/06,9,29,109
2014/11/07,9,30,110
2014/11/08,9,30,109
2014/11/09,9,28,107
2014/11/10,9,28,110
2014/11/11,9,27,108
2014/11/12,10,28,111
2014/11/13,10,27,111
2014/11/14,9,26,112
2014/11/15,9,26,112
2014/11/16,9,27,111
2014/11/17,9,27,114
2014/11/18,8,28,113
2014/11/19,8,27,108
2014/11/20,8,29,111
2014/11/21,8,30,108
2014/11/22,8,31,111
2014/11/23,8,32,115
2014/11/24,8,34,116
2014/11/25,8,33,117
2014/11/26,8,34,115
2014/11/27,8,34,113
2014/11/28,7,34,113
2014/11/29,6,34,115
2014/11/30,6,34,118
2014/12/01,6,32,117
2014/12/02,6,32,115
2014/12/03,6,32,117
2014/12/04,6,31,118
2014/12/05,6,31,117
2014/12/06,6,29,116
2014/12/07,6,29,116
2014/12/08,6,28,116
2014/12/09,6,28,114
2014/12/10,5,27,117
2014/12/11,5,26,119
2014/12/12,5,26,117
2014/12/13,5,26,115
2014/12/14,5,26,113
2014/12/15,5,25,112
2014/12/16,5,26,114
2014/12/17,5,26,112
2014/12/18,5,26,112
2014/12/19,5,27,110
2014/12/20,5,26,109
2014/12/21,5,27,110
2014/12/22,5,24,109
2014/12/23,5,24,109
2014/12/24,5,26,108
2014/12/25,5,26,106
2014/12/26,5,28,105
2014/12/27,5,28,105
2014/12/28,5,29,108
2014/12/29,5,29,106
2014/12/30,5,29,103
2014/12/31,5,31,97
2015/01/01,5,32,99
2015/01/02,5,31,100
2015/01/03,5,33,98
2015/01/04,5,33,100
2015/01/05,5,34,100
2015/01/06,5,34,99
2015/01/07,5,32,96
2015/01/08,5,33,95
2015/01/09,5,32,97
2015/01/10,5,33,95
2015/01/11,4,35,96
2015/01/12,4,35,101
2015/01/13,4,35,101
2015/01/14,4,35,103
2015/01/15,4,35,104
2015/01/16,4,33,104
2015/01/17,4,32,104
2015/01/18,4,32,106
2015/01/19,4,33,109
2015/01/20,5,36,112
2015/01/21,5,35,113
2015/01/22,5,34,114
2015/01/23,5,34,115
2015/01/24,5,34,115
2015/01/25,5,33,116
2015/01/26,5,34,120
2015/01/27,5,34,121
2015/01/28,5,35,124
2015/01/29,5,36,126
2015/01/30,5,34,124
2015/01/31,5,33,124
2015/02/01,5,33,123
2015/02/02,6,34,125
2015/02/03,6,33,122
2015/02/04,6,36,126
2015/02/05,6,36,130
2015/02/06,6,35,130
2015/02/07,6,35,130
2015/02/08,6,36,130
2015/02/09,6,35,132
2015/02/10,6,34,131
2015/02/11,6,37,132
2015/02/12,6,38,132
2015/02/13,6,37,135
2015/02/14,6,40,137
2015/02/15,6,38,146
2015/02/16,6,37,145
2015/02/17,6,36,144
2015/02/18,6,35,141
2015/02/19,5,33,138
2015/02/20,5,33,138
2015/02/21,5,35,138
2015/02/22,5,32,134
2015/02/23,5,32,134
2015/02/24,5,32,131
2015/02/25,5,29,131
2015/02/26,5,29,131
2015/02/27,5,30,128
2015/02/28,5,30,130
2015/03/01,5,31,130
2015/03/02,5,31,131
2015/03/03,5,30,133
2015/03/04,5,30,131
2015/03/05,5,30,130
2015/03/06,5,27,128
2015/03/07,5,27,126
2015/03/08,5,25,124
2015/03/09,5,26,128
2015/03/10,5,26,130
2015/03/11,5,25,127
2015/03/12,5,24,121
2015/03/13,5,22,119
2015/03/14,5,24,115
2015/03/15,6,26,117
2015/03/16,6,26,113
2015/03/17,5,27,107
2015/03/18,5,27,103
2015/03/19,6,28,105
2015/03/20,6,28,103
2015/03/21,6,28,100
2015/03/22,6,27,99
2015/03/23,6,27,102
2015/03/24,6,27,104
2015/03/25,6,28,102
2015/03/26,6,28,106
2015/03/27,7,28,104
2015/03/28,6,27,104
2015/03/29,6,26,109
2015/03/30,6,26,106
2015/03/31,6,26,110
2015/04/01,5,26,112
2015/04/02,6,25,115
2015/04/03,6,24,116
2015/04/04,6,24,115
2015/04/05,5,24,118
2015/04/06,6,23,120
2015/04/07,6,23,123
2015/04/08,7,24,120
2015/04/09,7,24,116
2015/04/10,7,23,115
2015/04/11,7,23,116
2015/04/12,6,23,114
2015/04/13,6,24,118
2015/04/14,6,23,118
2015/04/15,6,24,120
2015/04/16,6,23,121
2015/04/17,6,23,123
2015/04/18,7,24,122
2015/04/19,7,25,122
2015/04/20,7,25,123
2015/04/21,7,23,123
2015/04/22,7,22,120
2015/04/23,8,23,121
2015/04/24,7,23,121
2015/04/25,7,23,120
2015/04/26,7,22,120
2015/04/27,7,22,120
2015/04/28,7,22,119
2015/04/29,7,23,115
2015/04/30,7,23,112
2015/05/01,7,23,111
2015/05/02,7,23,109
2015/05/03,7,26,113
2015/05/04,7,28,113
2015/05/05,7,28,109
2015/05/06,7,27,110
2015/05/07,7,26,110
2015/05/08,7,27,112
2015/05/09,7,27,116
2015/05/10,7,28,118
2015/05/11,7,26,120
2015/05/12,7,28,121
2015/05/13,7,27,122
2015/05/14,7,28,120
2015/05/15,7,27,121
2015/05/16,7,27,119
2015/05/17,6,28,121
2015/05/18,6,28,119
2015/05/19,6,26,119
2015/05/20,5,25,115
2015/05/21,5,26,115
2015/05/22,5,25,114
2015/05/23,5,26,111
2015/05/24,5,25,110
2015/05/25,5,26,115
2015/05/26,5,26,117
2015/05/27,5,26,116
2015/05/28,4,27,114
2015/05/29,4,26,115
2015/05/30,4,25,116
2015/05/31,4,26,114
2015/06/01,4,26,117
2015/06/02,4,24,120
2015/06/03,4,26,118
2015/06/04,4,26,117
2015/06/05,3,27,118
2015/06/06,3,27,118
2015/06/07,3,28,116
2015/06/08,4,27,117
2015/06/09,4,27,118
2015/06/10,4,27,117
2015/06/11,5,26,117
2015/06/12,5,28,110
2015/06/13,6,27,109
2015/06/14,7,27,110
2015/06/15,7,27,113
2015/06/16,7,27,112
2015/06/17,7,27,114
2015/06/18,7,27,117
2015/06/19,7,28,118
2015/06/20,7,28,121
2015/06/21,7,28,120
2015/06/22,7,26,122
2015/06/23,7,28,124
2015/06/24,7,27,120
2015/06/25,7,29,121
2015/06/26,7,30,121
2015/06/27,7,29,118
2015/06/28,8,28,116
2015/06/29,8,28,118
2015/06/30,8,27,114
2015/07/01,8,27,113
2015/07/02,8,28,109
2015/07/03,8,26,108
2015/07/04,8,26,113
2015/07/05,8,26,112
2015/07/06,8,26,110
2015/07/07,9,26,108
2015/07/08,9,26,107
2015/07/09,9,26,108
2015/07/10,7,26,107
2015/07/11,7,25,104
2015/07/12,7,24,108
2015/07/13,7,25,106
2015/07/14,7,25,107
2015/07/15,6,25,109
2015/07/16,6,28,109
2015/07/17,6,27,110
2015/07/18,6,27,108
2015/07/19,6,26,109
2015/07/20,6,26,105
2015/07/21,6,26,106
2015/07/22,6,26,104
2015/07/23,6,25,101
2015/07/24,6,24,103
