date,nawiki (100+),nawiki (5+),nawiki (all)
2013/03/17,1,11,25
2013/03/18,1,11,22
2013/03/19,1,11,20
2013/03/20,1,11,20
2013/03/21,1,11,19
2013/03/22,1,11,20
2013/03/23,1,10,20
2013/03/24,1,10,20
2013/03/25,1,10,20
2013/03/26,1,10,20
2013/03/27,1,10,19
2013/03/28,1,10,19
2013/03/29,1,8,19
2013/03/30,1,8,18
2013/03/31,1,6,17
2013/04/01,1,6,18
2013/04/02,1,5,19
2013/04/03,1,5,18
2013/04/04,1,3,15
2013/04/05,1,2,13
2013/04/06,1,2,13
2013/04/07,1,2,12
2013/04/08,,2,13
2013/04/09,,2,12
2013/04/10,,2,12
2013/04/11,,2,13
2013/04/12,,2,11
2013/04/13,,2,8
2013/04/14,,2,8
2013/04/15,,2,8
2013/04/16,,2,9
2013/04/17,,2,9
2013/04/18,,2,9
2013/04/19,,2,9
2013/04/20,,2,9
2013/04/21,,2,8
2013/04/22,,2,8
2013/04/23,,2,9
2013/04/24,,2,9
2013/04/25,,2,11
2013/04/26,,2,12
2013/04/27,,2,12
2013/04/28,,2,12
2013/04/29,,2,12
2013/04/30,,2,12
2013/05/01,,2,12
2013/05/02,,2,11
2013/05/03,,1,10
2013/05/04,,1,10
2013/05/05,,1,9
2013/05/06,,1,9
2013/05/07,,1,9
2013/05/08,,1,7
2013/05/09,,1,8
2013/05/10,,1,8
2013/05/11,,1,8
2013/05/12,,1,8
2013/05/13,,1,8
2013/05/14,,1,9
2013/05/15,,1,9
2013/05/16,,,9
2013/05/17,,,9
2013/05/18,,,8
2013/05/19,,,9
2013/05/20,,,9
2013/05/21,,,9
2013/05/22,,,11
2013/05/23,,,10
2013/05/24,,,10
2013/05/25,,,8
2013/05/26,,,7
2013/05/27,,,7
2013/05/28,,,7
2013/05/29,,,7
2013/05/30,,,7
2013/05/31,,,7
2013/06/01,,,7
2013/06/02,,,7
2013/06/03,,,7
2013/06/04,,,7
2013/06/05,,,6
2013/06/06,,,6
2013/06/07,,,7
2013/06/08,,,6
2013/06/09,,,6
2013/06/10,,,5
2013/06/11,,,5
2013/06/12,,,5
2013/06/13,,,4
2013/06/14,,,4
2013/06/15,,,4
2013/06/16,,,4
2013/06/17,,,4
2013/06/18,,,3
2013/06/19,,,3
2013/06/20,,,3
2013/06/21,,,2
2013/06/22,,1,3
2013/06/23,,1,3
2013/06/24,,1,3
2013/06/25,,1,3
2013/06/26,,1,3
2013/06/27,,1,3
2013/06/28,,1,3
2013/06/29,,1,3
2013/06/30,,1,3
2013/07/01,,1,3
2013/07/02,,1,3
2013/07/03,,1,5
2013/07/04,,1,5
2013/07/05,,1,5
2013/07/06,,1,5
2013/07/07,,1,4
2013/07/08,,1,4
2013/07/09,,1,4
2013/07/10,,1,4
2013/07/11,,1,4
2013/07/12,,1,4
2013/07/13,,1,4
2013/07/14,,1,4
2013/07/15,,1,4
2013/07/16,,1,4
2013/07/17,,1,4
2013/07/18,,1,4
2013/07/19,,1,4
2013/07/20,,1,4
2013/07/21,,1,3
2013/07/22,,1,3
2013/07/23,,1,3
2013/07/24,,1,3
2013/07/25,,1,4
2013/07/26,,1,5
2013/07/27,,1,6
2013/07/28,,1,6
2013/07/29,,1,6
2013/07/30,,1,6
2013/07/31,,1,6
2013/08/01,,1,6
2013/08/02,,1,4
2013/08/03,,1,4
2013/08/04,,1,4
2013/08/05,,1,4
2013/08/06,,1,5
2013/08/07,,,5
2013/08/08,,,5
2013/08/09,,,5
2013/08/10,,,5
2013/08/11,,,5
2013/08/12,,,5
2013/08/13,,,5
2013/08/14,,,5
2013/08/15,,,5
2013/08/16,,,5
2013/08/17,,1,6
2013/08/18,,1,6
2013/08/19,,1,6
2013/08/20,,1,6
2013/08/21,,1,6
2013/08/22,,2,7
2013/08/23,,2,7
2013/08/24,,2,7
2013/08/25,,2,6
2013/08/26,,2,5
2013/08/27,,2,5
2013/08/28,,2,5
2013/08/29,,2,6
2013/08/30,,2,5
2013/08/31,,2,5
2013/09/01,,2,5
2013/09/02,,2,6
2013/09/03,,2,7
2013/09/04,,2,7
2013/09/05,,2,7
2013/09/06,,2,6
2013/09/07,,2,7
2013/09/08,,2,7
2013/09/09,,4,7
2013/09/10,,4,7
2013/09/11,,4,7
2013/09/12,,4,7
2013/09/13,,4,7
2013/09/14,,4,6
2013/09/15,,4,6
2013/09/16,,3,6
2013/09/17,,3,6
2013/09/18,,3,6
2013/09/19,,3,6
2013/09/20,,3,7
2013/09/21,,2,6
2013/09/22,,2,7
2013/09/23,,2,6
2013/09/24,,2,6
2013/09/25,,2,6
2013/09/26,,2,6
2013/09/27,,2,6
2013/09/28,,2,6
2013/09/29,,2,6
2013/09/30,,2,6
2013/10/01,,2,6
2013/10/02,,2,6
2013/10/03,,1,6
2013/10/04,,1,6
2013/10/05,,1,6
2013/10/06,,1,6
2013/10/07,,1,6
2013/10/08,1,1,6
2013/10/09,,1,5
2013/10/10,,1,5
2013/10/11,,1,5
2013/10/12,,1,5
2013/10/13,,1,5
2013/10/14,,1,5
2013/10/15,,1,6
2013/10/16,,1,5
2013/10/17,,1,5
2013/10/18,,1,5
2013/10/19,,1,5
2013/10/20,,2,5
2013/10/21,,2,5
2013/10/22,,2,5
2013/10/23,,2,5
2013/10/24,,2,5
2013/10/25,,2,5
2013/10/26,,2,5
2013/10/27,,2,5
2013/10/28,,2,5
2013/10/29,,2,6
2013/10/30,,2,7
2013/10/31,,2,6
2013/11/01,,2,6
2013/11/02,,2,6
2013/11/03,,2,6
2013/11/04,,3,7
2013/11/05,,3,7
2013/11/06,,3,7
2013/11/07,,3,7
2013/11/08,,3,7
2013/11/09,,2,7
2013/11/10,,2,7
2013/11/11,,2,8
2013/11/12,,2,8
2013/11/13,,2,8
2013/11/14,,2,7
2013/11/15,,2,7
2013/11/16,,2,7
2013/11/17,,2,7
2013/11/18,,2,7
2013/11/19,,2,7
2013/11/20,,1,7
2013/11/21,,1,8
2013/11/22,,1,8
2013/11/23,,1,8
2013/11/24,,1,8
2013/11/25,,1,8
2013/11/26,,1,8
2013/11/27,,1,8
2013/11/28,,1,7
2013/11/29,,1,7
2013/11/30,,1,7
2013/12/01,,1,8
2013/12/02,,1,8
2013/12/03,,1,8
2013/12/04,,,7
2013/12/05,,,7
2013/12/06,,,6
2013/12/07,,,6
2013/12/08,,,6
2013/12/09,,,5
2013/12/10,,,5
2013/12/11,,,4
2013/12/12,,,4
2013/12/13,,,6
2013/12/14,,,6
2013/12/15,,,6
2013/12/16,,,6
2013/12/17,,,6
2013/12/18,,,6
2013/12/19,,,6
2013/12/20,,,5
2013/12/21,,,4
2013/12/22,,,4
2013/12/23,,,4
2013/12/24,,,4
2013/12/25,,,4
2013/12/26,,,4
2013/12/27,,,4
2013/12/28,,,4
2013/12/29,,,3
2013/12/30,,,3
2013/12/31,,,2
2014/01/01,,,2
2014/01/02,,,2
2014/01/03,,,2
2014/01/04,,,2
2014/01/05,,,2
2014/01/06,,,2
2014/01/07,,,2
2014/01/08,,,2
2014/01/09,,,2
2014/01/10,,,2
2014/01/11,,,2
2014/01/19,,1,1
2014/01/20,,1,1
2014/01/21,,1,1
2014/01/22,,1,1
2014/01/23,,1,1
2014/01/24,,1,1
2014/01/25,,1,1
2014/01/26,,1,1
2014/01/27,,1,1
2014/01/28,,1,1
2014/01/29,,1,1
2014/01/30,,1,1
2014/01/31,,1,1
2014/02/01,,1,1
2014/02/02,,1,1
2014/02/03,,1,1
2014/02/04,,1,1
2014/02/05,,1,1
2014/02/06,,1,1
2014/02/07,,1,1
2014/02/08,,1,2
2014/02/09,,1,2
2014/02/10,,1,3
2014/02/11,,1,3
2014/02/12,,1,3
2014/02/13,,1,3
2014/02/14,,1,3
2014/02/15,,1,3
2014/02/16,,1,4
2014/02/17,,1,4
2014/02/18,,,3
2014/02/19,,,4
2014/02/20,,,4
2014/02/21,,,4
2014/02/22,,,4
2014/02/23,,,4
2014/02/24,,,4
2014/02/25,,,4
2014/02/26,,,4
2014/02/27,,,4
2014/02/28,,,5
2014/03/01,,,5
2014/03/02,,,5
2014/03/03,,,5
2014/03/04,,,5
2014/03/05,,,5
2014/03/06,,,5
2014/03/07,,,5
2014/03/08,,,5
2014/03/09,,,5
2014/03/10,,,4
2014/03/11,,,4
2014/03/12,,,3
2014/03/13,,,3
2014/03/14,,,4
2014/03/15,,,5
2014/03/16,,,5
2014/03/17,,,5
2014/03/18,,,4
2014/03/19,,,4
2014/03/20,,,4
2014/03/21,,,3
2014/03/22,,,3
2014/03/23,,,3
2014/03/24,,,3
2014/03/25,,1,4
2014/03/26,,1,5
2014/03/27,,1,5
2014/03/28,,1,5
2014/03/29,,1,5
2014/03/30,,1,5
2014/03/31,,1,5
2014/04/01,,1,5
2014/04/02,,1,5
2014/04/03,,1,5
2014/04/04,,1,6
2014/04/05,,1,6
2014/04/06,,1,6
2014/04/07,,1,6
2014/04/08,,1,6
2014/04/09,,1,7
2014/04/10,,1,8
2014/04/11,,2,8
2014/04/12,,2,8
2014/04/13,,2,7
2014/04/14,,2,6
2014/04/15,,2,6
2014/04/16,,2,5
2014/04/17,,2,5
2014/04/18,,2,5
2014/04/19,,2,5
2014/04/20,,2,6
2014/04/21,,2,6
2014/04/22,,2,6
2014/04/23,,2,7
2014/04/24,,1,6
2014/04/25,,1,5
2014/04/26,,1,5
2014/04/27,,1,6
2014/04/28,,1,6
2014/04/29,,1,6
2014/04/30,,1,6
2014/05/01,1,1,6
2014/05/02,1,1,6
2014/05/03,1,1,6
2014/05/04,1,1,5
2014/05/05,1,1,6
2014/05/06,1,1,6
2014/05/07,1,1,6
2014/05/08,1,1,6
2014/05/09,1,1,6
2014/05/10,1,1,6
2014/05/11,1,1,6
2014/05/12,1,2,7
2014/05/13,1,2,7
2014/05/14,1,2,7
2014/05/15,1,2,7
2014/05/16,1,2,7
2014/05/17,1,2,7
2014/05/18,1,2,7
2014/05/19,1,2,7
2014/05/20,1,2,6
2014/05/21,1,2,6
2014/05/22,1,2,6
2014/05/23,1,2,5
2014/05/24,1,2,5
2014/05/25,1,2,5
2014/05/26,1,2,6
2014/05/27,1,2,5
2014/05/28,1,2,5
2014/05/29,1,2,5
2014/05/30,1,2,5
2014/05/31,1,2,5
2014/06/01,1,3,6
2014/06/02,1,3,7
2014/06/03,1,3,8
2014/06/04,1,3,7
2014/06/05,1,3,7
2014/06/06,1,4,8
2014/06/07,1,4,8
2014/06/08,1,4,7
2014/06/09,1,4,8
2014/06/10,1,4,8
2014/06/11,1,3,7
2014/06/12,1,3,7
2014/06/13,1,3,7
2014/06/14,1,3,8
2014/06/15,1,3,8
2014/06/16,1,3,8
2014/06/17,1,3,8
2014/06/18,1,3,8
2014/06/19,1,3,8
2014/06/20,1,3,8
2014/06/21,1,3,8
2014/06/22,1,3,8
2014/06/23,1,3,9
2014/06/24,1,3,10
2014/06/25,1,3,9
2014/06/26,1,4,9
2014/06/27,1,4,9
2014/06/28,1,4,9
2014/06/29,1,4,9
2014/06/30,1,4,9
2014/07/01,1,3,8
2014/07/02,1,3,7
2014/07/03,1,3,7
2014/07/04,1,4,8
2014/07/05,1,4,8
2014/07/06,1,3,7
2014/07/07,1,3,7
2014/07/08,1,3,7
2014/07/09,1,3,7
2014/07/10,1,3,7
2014/07/11,1,3,7
2014/07/12,1,3,7
2014/07/13,1,3,7
2014/07/14,1,3,6
2014/07/15,1,3,6
2014/07/16,1,3,6
2014/07/17,1,3,6
2014/07/18,1,3,6
2014/07/19,1,3,6
2014/07/20,1,3,6
2014/07/21,1,3,6
2014/07/22,1,3,6
2014/07/23,1,3,5
2014/07/24,1,3,4
2014/07/25,1,3,4
2014/07/26,1,3,4
2014/07/27,1,3,4
2014/07/28,1,3,4
2014/07/29,1,3,4
2014/07/30,1,3,4
2014/07/31,1,3,4
2014/08/01,1,3,4
2014/08/02,1,3,4
2014/08/03,1,2,4
2014/08/04,1,2,5
2014/08/05,1,2,5
2014/08/06,1,2,5
2014/08/07,1,2,5
2014/08/08,1,1,6
2014/08/09,1,1,6
2014/08/10,1,1,7
2014/08/11,1,1,7
2014/08/12,1,1,7
2014/08/13,1,1,7
