date,scnwiki (100+),scnwiki (5+),scnwiki (all)
2012/11/11,6,25,67
2012/11/12,6,25,67
2012/11/13,6,24,68
2012/11/14,7,24,67
2012/11/15,6,24,67
2012/11/16,6,23,63
2012/11/17,6,24,61
2012/11/18,6,24,62
2012/11/19,6,22,59
2012/11/20,7,22,58
2012/11/21,6,22,61
2012/11/22,6,23,62
2012/11/23,6,23,62
2012/11/24,6,23,62
2012/11/25,6,23,61
2012/11/26,6,24,62
2012/11/27,6,25,60
2012/11/28,6,24,59
2012/11/29,6,24,61
2012/11/30,7,24,59
2012/12/01,7,24,62
2012/12/02,7,25,61
2012/12/03,7,25,59
2012/12/04,7,25,61
2012/12/05,8,24,60
2012/12/06,8,24,59
2012/12/07,9,24,59
2012/12/08,9,26,59
2012/12/09,10,27,59
2012/12/10,11,26,58
2012/12/11,11,26,58
2012/12/12,11,26,59
2012/12/13,11,26,59
2012/12/14,11,24,60
2012/12/15,11,25,58
2012/12/16,11,25,60
2012/12/17,11,25,61
2012/12/18,11,24,62
2012/12/19,11,25,65
2012/12/20,11,25,65
2012/12/21,10,25,66
2012/12/22,10,26,65
2012/12/23,10,26,65
2012/12/24,11,26,65
2012/12/25,10,26,63
2012/12/26,10,26,64
2012/12/27,9,26,65
2012/12/28,10,26,63
2012/12/29,10,26,62
2012/12/30,8,26,66
2012/12/31,8,25,68
2013/01/01,8,25,66
2013/01/02,8,25,67
2013/01/03,6,25,67
2013/01/04,6,25,65
2013/01/05,7,26,64
2013/01/06,7,26,66
2013/01/07,7,26,66
2013/01/08,8,24,69
2013/01/09,8,24,70
2013/01/10,8,24,69
2013/01/11,8,24,68
2013/01/12,8,25,70
2013/01/13,8,25,71
2013/01/14,8,26,71
2013/01/15,8,25,70
2013/01/16,8,26,72
2013/01/17,8,26,74
2013/01/18,8,25,71
2013/01/19,8,25,74
2013/01/20,9,25,71
2013/01/21,9,25,72
2013/01/22,9,24,72
2013/01/23,9,25,72
2013/01/24,9,25,72
2013/01/25,9,25,73
2013/01/26,9,25,74
2013/01/27,8,24,75
2013/01/28,8,24,77
2013/01/29,7,24,75
2013/01/30,7,24,73
2013/01/31,8,24,73
2013/02/01,8,25,73
2013/02/02,7,23,73
2013/02/03,7,23,73
2013/02/04,7,22,73
2013/02/05,8,22,76
2013/02/06,10,23,76
2013/02/07,8,24,74
2013/02/08,9,24,69
2013/02/09,9,24,71
2013/02/10,9,26,72
2013/02/11,9,26,72
2013/02/12,9,26,70
2013/02/13,9,26,72
2013/02/14,9,25,73
2013/02/15,9,25,73
2013/02/16,9,25,75
2013/02/17,9,26,74
2013/02/18,9,26,75
2013/02/19,9,27,78
2013/02/20,9,27,77
2013/02/21,9,27,77
2013/02/22,9,27,77
2013/02/23,8,27,75
2013/02/24,9,27,73
2013/02/25,9,27,70
2013/02/26,9,25,69
2013/02/27,8,24,69
2013/02/28,7,24,68
2013/03/01,7,26,67
2013/03/02,7,26,68
2013/03/03,6,26,67
2013/03/04,6,27,65
2013/03/05,6,27,65
2013/03/06,6,26,66
2013/03/07,6,27,61
2013/03/08,7,26,61
2013/03/09,6,25,61
2013/03/10,7,25,62
2013/03/11,8,25,61
2013/03/12,9,26,63
2013/03/13,8,24,62
2013/03/14,8,24,62
2013/03/15,8,23,58
2013/03/16,8,22,58
2013/03/17,8,21,57
2013/03/18,8,22,55
2013/03/19,8,20,55
2013/03/20,8,19,54
2013/03/21,8,19,51
2013/03/22,8,19,49
2013/03/23,8,19,50
2013/03/24,8,19,49
2013/03/25,8,19,50
2013/03/26,8,19,51
2013/03/27,7,18,51
2013/03/28,7,17,51
2013/03/29,7,17,50
2013/03/30,6,16,48
2013/03/31,5,15,46
2013/04/01,5,15,46
2013/04/02,5,15,46
2013/04/03,5,13,46
2013/04/04,4,12,44
2013/04/05,4,12,43
2013/04/06,4,9,37
2013/04/07,4,10,34
2013/04/08,4,10,35
2013/04/09,4,8,35
2013/04/10,3,8,35
2013/04/11,2,8,34
2013/04/12,2,8,32
2013/04/13,2,8,33
2013/04/14,2,10,36
2013/04/15,2,10,35
2013/04/16,2,10,34
2013/04/17,2,10,33
2013/04/18,2,11,36
2013/04/19,2,11,37
2013/04/20,2,10,37
2013/04/21,2,10,38
2013/04/22,2,12,41
2013/04/23,2,12,43
2013/04/24,2,12,42
2013/04/25,2,12,42
2013/04/26,2,11,42
2013/04/27,3,11,41
2013/04/28,3,11,44
2013/04/29,3,13,46
2013/04/30,3,13,47
2013/05/01,3,14,48
2013/05/02,3,16,47
2013/05/03,3,15,44
2013/05/04,3,15,48
2013/05/05,3,15,48
2013/05/06,3,15,48
2013/05/07,3,14,51
2013/05/08,3,14,49
2013/05/09,3,14,48
2013/05/10,3,14,48
2013/05/11,3,14,49
2013/05/12,3,14,50
2013/05/13,3,15,50
2013/05/14,2,15,49
2013/05/15,2,15,49
2013/05/16,2,15,49
2013/05/17,2,15,50
2013/05/18,2,14,48
2013/05/19,2,14,46
2013/05/20,2,14,46
2013/05/21,2,13,46
2013/05/22,2,14,43
2013/05/23,2,13,44
2013/05/24,2,13,42
2013/05/25,2,14,41
2013/05/26,2,15,41
2013/05/27,2,14,43
2013/05/28,2,13,43
2013/05/29,2,12,44
2013/05/30,2,12,46
2013/05/31,2,12,43
2013/06/01,2,11,42
2013/06/02,2,11,45
2013/06/03,2,11,43
2013/06/04,2,11,42
2013/06/05,2,12,43
2013/06/06,2,11,41
2013/06/07,2,11,41
2013/06/08,1,11,41
2013/06/09,1,10,40
2013/06/10,1,10,38
2013/06/11,2,10,38
2013/06/12,2,11,42
2013/06/13,1,11,43
2013/06/14,1,11,41
2013/06/15,1,11,42
2013/06/16,2,11,42
2013/06/17,2,11,42
2013/06/18,2,11,42
2013/06/19,2,10,42
2013/06/20,2,10,43
2013/06/21,2,10,43
2013/06/22,2,10,42
2013/06/23,1,10,43
2013/06/24,1,9,43
2013/06/25,1,8,41
2013/06/26,1,8,39
2013/06/27,1,8,40
2013/06/28,,8,40
2013/06/29,1,8,37
2013/06/30,1,8,37
2013/07/01,1,9,38
2013/07/02,1,9,36
2013/07/03,1,9,35
2013/07/04,1,9,36
2013/07/05,1,10,37
2013/07/06,1,10,38
2013/07/07,1,10,38
2013/07/08,1,10,39
2013/07/09,1,10,38
2013/07/10,1,11,39
2013/07/11,1,11,39
2013/07/12,1,11,38
2013/07/13,1,11,37
2013/07/14,1,12,38
2013/07/15,1,12,38
2013/07/16,1,12,40
2013/07/17,1,12,39
2013/07/18,1,12,40
2013/07/19,1,13,39
2013/07/20,1,13,39
2013/07/21,1,13,39
2013/07/22,1,14,39
2013/07/23,1,13,37
2013/07/24,1,13,38
2013/07/25,1,13,37
2013/07/26,1,13,36
2013/07/27,1,13,35
2013/07/28,2,12,35
2013/07/29,2,12,36
2013/07/30,2,12,37
2013/07/31,2,12,37
2013/08/01,1,11,38
2013/08/02,1,11,37
2013/08/03,1,11,36
2013/08/04,1,11,36
2013/08/05,1,11,37
2013/08/06,1,12,36
2013/08/07,1,12,34
2013/08/08,1,11,35
2013/08/09,1,10,34
2013/08/10,1,10,35
2013/08/11,1,10,32
2013/08/12,1,10,34
2013/08/13,1,10,34
2013/08/14,1,9,35
2013/08/15,1,9,33
2013/08/16,1,9,34
2013/08/17,1,9,34
2013/08/18,2,8,34
2013/08/19,2,8,34
2013/08/20,2,8,36
2013/08/21,2,7,35
2013/08/22,2,7,37
2013/08/23,2,7,36
2013/08/24,2,7,35
2013/08/25,2,7,35
2013/08/26,2,7,34
2013/08/27,3,7,33
2013/08/28,3,7,32
2013/08/29,3,8,32
2013/08/30,3,7,32
2013/08/31,3,7,30
2013/09/01,3,7,30
2013/09/02,3,7,30
2013/09/03,3,7,30
2013/09/04,3,6,29
2013/09/05,3,7,29
2013/09/06,3,8,29
2013/09/07,3,8,29
2013/09/08,3,7,27
2013/09/09,3,7,26
2013/09/10,2,7,26
2013/09/11,3,7,26
2013/09/12,3,7,26
2013/09/13,2,7,26
2013/09/14,2,7,26
2013/09/15,2,6,26
2013/09/16,2,6,26
2013/09/17,2,4,24
2013/09/18,1,4,25
2013/09/19,1,4,23
2013/09/20,1,4,23
2013/09/21,1,4,22
2013/09/22,2,4,23
2013/09/23,2,4,21
2013/09/24,2,5,20
2013/09/25,2,5,20
2013/09/26,1,5,20
2013/09/27,1,5,22
2013/09/28,1,5,22
2013/09/29,1,5,22
2013/09/30,1,5,23
2013/10/01,1,5,23
2013/10/02,1,5,24
2013/10/03,1,5,24
2013/10/04,1,5,24
2013/10/05,1,4,25
2013/10/06,1,4,27
2013/10/07,1,4,27
2013/10/08,1,4,27
2013/10/09,1,4,27
2013/10/10,1,4,28
2013/10/11,1,5,30
2013/10/12,2,6,30
2013/10/13,2,6,30
2013/10/14,2,6,30
2013/10/15,2,6,31
2013/10/16,2,6,29
2013/10/17,2,6,32
2013/10/18,2,6,34
2013/10/19,2,7,33
2013/10/20,2,8,34
2013/10/21,2,7,35
2013/10/22,2,7,37
2013/10/23,2,7,40
2013/10/24,2,7,41
2013/10/25,2,7,41
2013/10/26,2,7,42
2013/10/27,2,7,40
2013/10/28,2,7,41
2013/10/29,2,7,41
2013/10/30,2,8,40
2013/10/31,2,8,40
2013/11/01,2,8,39
2013/11/02,2,7,39
2013/11/03,2,7,41
2013/11/04,2,7,40
2013/11/05,2,7,38
2013/11/06,2,7,37
2013/11/07,2,7,38
2013/11/08,2,6,39
2013/11/09,2,5,40
2013/11/10,2,5,36
2013/11/11,2,5,35
2013/11/12,2,5,35
2013/11/13,2,5,36
2013/11/14,2,5,36
2013/11/15,2,5,39
2013/11/16,2,5,37
2013/11/17,2,5,36
2013/11/18,2,5,36
2013/11/19,2,5,35
2013/11/20,2,5,34
2013/11/21,2,5,34
2013/11/22,2,5,32
2013/11/23,2,5,31
2013/11/24,2,5,31
2013/11/25,2,5,30
2013/11/26,2,5,30
2013/11/27,2,5,29
2013/11/28,2,5,30
2013/11/29,2,4,30
2013/11/30,2,4,30
2013/12/01,2,5,30
2013/12/02,2,5,30
2013/12/03,2,5,32
2013/12/04,2,5,33
2013/12/05,2,5,33
2013/12/06,2,5,33
2013/12/07,2,5,33
2013/12/08,2,5,32
2013/12/09,2,5,31
2013/12/10,2,5,32
2013/12/11,2,5,32
2013/12/12,2,4,31
2013/12/13,2,4,30
2013/12/14,2,4,28
2013/12/15,2,4,28
2013/12/16,2,4,28
2013/12/17,2,4,28
2013/12/18,2,4,28
2013/12/19,2,4,27
2013/12/20,2,4,26
2013/12/21,2,4,25
2013/12/22,1,4,23
2013/12/23,1,4,23
2013/12/24,1,3,25
2013/12/25,1,3,25
2013/12/26,1,3,24
2013/12/27,1,4,27
2013/12/28,1,4,28
2013/12/29,1,4,29
2013/12/30,1,4,29
2013/12/31,1,4,30
2014/01/01,1,4,30
2014/01/02,1,3,27
2014/01/03,1,3,26
2014/01/04,1,3,27
2014/01/05,1,3,29
2014/01/06,1,3,30
2014/01/07,1,3,31
2014/01/08,1,3,30
2014/01/09,1,3,32
2014/01/10,1,3,33
2014/01/11,1,3,35
2014/01/12,1,4,39
2014/01/13,1,4,39
2014/01/14,1,4,38
2014/01/15,1,4,40
2014/01/16,1,4,39
2014/01/17,1,4,38
2014/01/18,1,4,38
2014/01/19,1,4,38
2014/01/20,1,4,39
2014/01/21,1,4,39
2014/01/22,1,4,39
2014/01/23,1,4,37
2014/01/24,1,4,41
2014/01/25,1,4,41
2014/01/26,1,4,38
2014/01/27,1,3,37
2014/01/28,1,3,37
2014/01/29,1,3,38
2014/01/30,1,3,38
2014/01/31,1,4,40
2014/02/01,1,4,40
2014/02/02,1,4,40
2014/02/03,1,4,38
2014/02/04,1,4,37
2014/02/05,1,4,37
2014/02/06,1,4,35
2014/02/07,1,4,35
2014/02/08,1,4,34
2014/02/09,1,3,31
2014/02/10,1,3,30
2014/02/11,1,3,28
2014/02/12,1,3,28
2014/02/13,1,4,30
2014/02/14,1,4,30
2014/02/15,1,4,29
2014/02/16,1,4,30
2014/02/17,1,4,29
2014/02/18,1,4,32
2014/02/19,1,4,33
2014/02/20,1,4,32
2014/02/21,1,6,33
2014/02/22,1,6,35
2014/02/23,1,6,32
2014/02/24,1,5,33
2014/02/25,1,6,36
2014/02/26,1,6,36
2014/02/27,1,6,35
2014/02/28,1,7,34
2014/03/01,1,7,34
2014/03/02,1,7,35
2014/03/03,1,7,36
2014/03/04,1,7,37
2014/03/05,,7,37
2014/03/06,1,7,37
2014/03/07,1,7,37
2014/03/08,1,7,38
2014/03/09,1,7,38
2014/03/10,1,8,38
2014/03/11,1,8,37
2014/03/12,1,8,37
2014/03/13,1,8,38
2014/03/14,1,8,39
2014/03/15,2,7,36
2014/03/16,2,7,37
2014/03/17,2,7,37
2014/03/18,2,7,36
2014/03/19,2,7,36
2014/03/20,2,7,33
2014/03/21,2,7,32
2014/03/22,2,7,31
2014/03/23,2,6,32
2014/03/24,2,6,32
2014/03/25,2,6,34
2014/03/26,2,7,35
2014/03/27,2,7,34
2014/03/28,2,6,33
2014/03/29,2,5,33
2014/03/30,2,5,30
2014/03/31,2,5,29
2014/04/01,2,5,29
2014/04/02,2,5,29
2014/04/03,2,5,28
2014/04/04,2,4,28
2014/04/05,2,4,30
2014/04/06,2,4,31
2014/04/07,2,4,31
2014/04/08,2,4,32
2014/04/09,2,4,32
2014/04/10,2,4,32
2014/04/11,2,4,32
2014/04/12,2,4,32
2014/04/13,2,4,32
2014/04/14,2,4,32
2014/04/15,2,4,26
2014/04/16,2,4,26
2014/04/17,2,5,29
2014/04/18,2,5,30
2014/04/19,2,5,31
2014/04/20,2,5,31
2014/04/21,2,6,33
2014/04/22,2,6,32
2014/04/23,2,6,34
2014/04/24,2,5,32
2014/04/25,2,5,29
2014/04/26,2,5,28
2014/04/27,2,6,29
2014/04/28,2,6,30
2014/04/29,2,6,30
2014/04/30,2,6,29
2014/05/01,2,6,28
2014/05/02,2,7,31
2014/05/03,2,7,31
2014/05/04,2,7,29
2014/05/05,2,7,27
2014/05/06,2,7,26
2014/05/07,2,7,26
2014/05/08,2,7,26
2014/05/09,2,8,28
2014/05/10,2,9,31
2014/05/11,2,8,32
2014/05/12,2,9,32
2014/05/13,2,8,34
2014/05/14,2,8,34
2014/05/15,2,9,36
2014/05/16,2,9,36
2014/05/17,2,8,34
2014/05/18,2,9,34
2014/05/19,2,9,34
2014/05/20,2,9,35
2014/05/21,2,8,34
2014/05/22,2,8,34
2014/05/23,2,8,31
2014/05/24,2,8,31
2014/05/25,2,9,31
2014/05/26,2,9,32
2014/05/27,2,9,30
2014/05/28,2,9,29
2014/05/29,2,9,28
2014/05/30,1,9,29
2014/05/31,1,9,29
2014/06/01,1,9,27
2014/06/02,1,9,28
2014/06/03,1,9,28
2014/06/04,2,9,29
2014/06/05,2,9,31
2014/06/06,3,9,30
2014/06/07,3,9,31
2014/06/08,2,9,30
2014/06/09,2,9,30
2014/06/10,2,8,30
2014/06/11,3,7,28
2014/06/12,3,7,26
2014/06/13,3,7,26
2014/06/14,2,7,24
2014/06/15,2,7,24
2014/06/16,3,7,25
2014/06/17,3,7,27
2014/06/18,3,7,28
2014/06/19,3,7,28
2014/06/20,3,7,27
2014/06/21,3,7,26
2014/06/22,3,7,26
2014/06/23,3,7,26
2014/06/24,3,6,25
2014/06/25,3,6,23
2014/06/26,3,6,25
2014/06/27,3,6,25
2014/06/28,3,6,25
2014/06/29,3,6,24
2014/06/30,3,6,26
2014/07/01,3,6,29
2014/07/02,3,6,28
2014/07/03,3,6,29
2014/07/04,3,6,29
2014/07/05,3,6,26
2014/07/06,3,7,27
2014/07/07,3,7,25
2014/07/08,3,7,25
2014/07/09,3,7,24
2014/07/10,3,7,22
2014/07/11,3,6,23
2014/07/12,3,5,21
2014/07/13,3,5,23
2014/07/14,3,5,23
2014/07/15,3,5,24
2014/07/16,3,5,23
2014/07/17,3,5,21
2014/07/18,2,5,20
2014/07/19,2,5,20
2014/07/20,2,5,20
2014/07/21,2,5,21
2014/07/22,2,5,23
2014/07/23,2,6,24
2014/07/24,2,6,25
2014/07/25,2,6,26
2014/07/26,2,7,27
2014/07/27,3,6,28
2014/07/28,3,6,28
2014/07/29,3,7,28
2014/07/30,3,7,26
2014/07/31,3,7,25
2014/08/01,3,7,25
2014/08/02,3,7,24
2014/08/03,2,7,26
2014/08/04,2,7,28
2014/08/05,2,6,28
2014/08/06,1,6,28
2014/08/07,,6,29
2014/08/08,,6,30
2014/08/09,1,6,31
2014/08/10,2,6,30
2014/08/11,2,6,31
2014/08/12,2,5,30
2014/08/13,2,7,33
2014/08/14,2,7,33
2014/08/15,2,8,33
2014/08/16,2,8,33
2014/08/17,2,8,36
2014/08/18,2,9,34
2014/08/19,2,9,36
2014/08/20,2,9,37
2014/08/21,2,9,37
2014/08/22,2,9,39
2014/08/23,2,9,42
2014/08/24,2,9,41
2014/08/25,2,8,39
2014/08/26,2,8,37
2014/08/27,2,8,40
2014/08/28,2,8,40
2014/08/29,2,9,40
2014/08/30,2,9,40
2014/08/31,2,9,39
2014/09/01,2,8,37
2014/09/02,2,8,35
2014/09/03,2,8,34
2014/09/04,2,7,35
2014/09/05,2,7,35
2014/09/06,2,7,36
2014/09/07,2,7,34
2014/09/08,2,7,33
2014/09/09,2,7,33
2014/09/10,2,6,34
2014/09/11,2,6,34
2014/09/12,2,4,31
2014/09/13,2,5,32
2014/09/14,2,5,32
2014/09/15,2,5,34
2014/09/16,3,6,33
2014/09/17,3,5,33
2014/09/18,3,5,33
2014/09/19,3,5,31
2014/09/20,3,5,31
2014/09/21,3,5,32
2014/09/22,3,5,30
2014/09/23,3,5,29
2014/09/24,3,5,29
2014/09/25,3,5,30
2014/09/26,3,5,28
2014/09/27,4,5,28
2014/09/28,4,5,28
2014/09/29,4,5,27
2014/09/30,4,5,28
2014/10/01,4,5,30
2014/10/02,4,6,31
2014/10/03,4,6,31
2014/10/04,4,6,30
2014/10/05,4,6,30
2014/10/06,4,6,30
2014/10/07,3,6,31
2014/10/08,3,6,32
2014/10/09,3,6,32
2014/10/10,3,6,32
2014/10/11,2,5,34
2014/10/12,2,5,36
2014/10/13,2,5,38
2014/10/14,3,5,40
2014/10/15,3,5,38
2014/10/16,3,5,37
2014/10/17,3,6,37
2014/10/18,3,7,38
2014/10/19,4,7,40
2014/10/20,3,7,41
2014/10/21,4,7,42
2014/10/22,4,7,42
2014/10/23,3,7,42
2014/10/24,3,7,43
2014/10/25,3,7,41
2014/10/26,3,7,41
2014/10/27,3,8,42
2014/10/28,3,8,41
2014/10/29,4,8,41
2014/10/30,4,8,41
2014/10/31,3,8,40
2014/11/01,3,7,39
2014/11/02,3,7,38
2014/11/03,3,7,38
2014/11/04,3,7,38
2014/11/05,3,7,36
2014/11/06,3,7,35
2014/11/07,3,6,33
2014/11/08,3,6,33
2014/11/09,3,6,33
2014/11/10,3,5,33
2014/11/11,3,4,31
2014/11/12,3,4,31
2014/11/13,3,5,31
2014/11/14,3,5,31
2014/11/15,3,5,31
2014/11/16,3,5,30
2014/11/17,2,5,30
2014/11/18,3,5,29
2014/11/19,3,5,27
2014/11/20,2,5,23
2014/11/21,2,5,23
2014/11/22,2,5,23
2014/11/23,1,5,23
2014/11/24,1,6,23
2014/11/25,1,6,23
2014/11/26,1,6,20
2014/11/27,1,6,21
2014/11/28,,6,21
2014/11/29,,6,21
2014/11/30,,6,21
2014/12/01,,7,23
2014/12/02,,7,24
2014/12/03,,8,23
2014/12/04,,8,23
2014/12/05,,8,23
2014/12/06,,8,23
2014/12/07,,8,25
2014/12/08,,8,25
2014/12/09,,8,25
2014/12/10,,8,25
2014/12/11,,8,25
2014/12/12,,8,23
2014/12/13,,8,24
2014/12/14,,9,27
2014/12/15,,8,27
2014/12/16,,8,27
2014/12/17,,8,26
2014/12/18,1,8,26
2014/12/19,1,8,26
2014/12/20,1,8,26
2014/12/21,1,8,26
2014/12/22,1,8,26
2014/12/23,1,8,25
2014/12/24,1,10,28
2014/12/25,1,10,29
2014/12/26,1,12,31
2014/12/27,1,13,30
2014/12/28,1,13,32
2014/12/29,1,13,32
2014/12/30,1,13,32
2014/12/31,1,13,31
2015/01/01,1,13,30
2015/01/02,,13,31
2015/01/03,,13,31
2015/01/04,,13,30
2015/01/05,,13,31
2015/01/06,,13,30
2015/01/07,,13,30
2015/01/08,,13,31
2015/01/09,1,13,30
2015/01/10,1,13,30
2015/01/11,2,13,31
2015/01/12,2,13,32
2015/01/13,2,10,30
2015/01/14,3,10,30
2015/01/15,3,9,30
2015/01/16,3,9,28
2015/01/17,3,9,28
2015/01/18,3,9,28
2015/01/19,3,9,29
2015/01/20,3,10,31
2015/01/21,3,10,33
2015/01/22,3,10,33
2015/01/23,2,8,32
2015/01/24,2,7,31
2015/01/25,2,5,29
2015/01/26,2,5,28
2015/01/27,2,5,26
2015/01/28,2,4,28
2015/01/29,2,4,26
2015/01/30,2,4,26
2015/01/31,2,4,26
2015/02/01,2,5,26
2015/02/02,2,5,26
2015/02/03,2,6,28
2015/02/04,2,6,28
2015/02/05,2,5,27
2015/02/06,2,5,28
2015/02/07,2,5,27
2015/02/08,2,6,28
2015/02/09,2,7,30
2015/02/10,2,7,29
2015/02/11,2,6,29
2015/02/12,2,6,29
2015/02/13,1,7,30
2015/02/14,1,7,30
2015/02/15,1,7,30
2015/02/16,1,7,30
2015/02/17,1,8,31
2015/02/18,1,9,31
2015/02/19,1,9,31
2015/02/20,1,10,30
2015/02/21,2,10,30
2015/02/22,2,10,29
2015/02/23,2,10,28
2015/02/24,2,10,27
2015/02/25,2,10,27
2015/02/26,2,9,26
2015/02/27,2,9,23
2015/02/28,2,9,23
2015/03/01,2,9,26
2015/03/02,2,9,27
2015/03/03,2,9,27
2015/03/04,2,8,26
2015/03/05,2,8,24
2015/03/06,2,9,24
2015/03/07,2,9,24
2015/03/08,2,9,28
2015/03/09,2,9,29
2015/03/10,2,9,28
2015/03/11,2,8,26
2015/03/12,2,8,26
2015/03/13,2,8,24
2015/03/14,2,8,25
2015/03/15,2,8,26
2015/03/16,2,8,27
2015/03/17,2,8,28
2015/03/18,2,8,28
2015/03/19,2,8,29
2015/03/20,2,7,28
2015/03/21,2,5,28
2015/03/22,2,5,26
2015/03/23,2,5,29
2015/03/24,2,5,31
2015/03/25,2,5,34
2015/03/26,2,5,34
2015/03/27,2,5,34
2015/03/28,2,5,34
2015/03/29,2,5,34
2015/03/30,2,5,34
2015/03/31,2,5,32
2015/04/01,2,5,32
2015/04/02,2,5,32
2015/04/03,1,5,33
2015/04/04,1,5,35
2015/04/05,1,3,34
2015/04/06,1,3,36
2015/04/07,1,4,33
2015/04/08,1,4,32
2015/04/09,1,6,33
2015/04/10,1,6,35
2015/04/11,1,6,34
2015/04/12,1,6,37
2015/04/13,1,6,36
2015/04/14,1,6,36
2015/04/15,1,6,35
2015/04/16,1,6,33
2015/04/17,1,6,34
2015/04/18,1,6,34
2015/04/19,1,6,35
2015/04/20,1,6,34
2015/04/21,1,6,33
2015/04/22,1,6,30
2015/04/23,1,6,28
2015/04/24,1,6,25
2015/04/25,1,6,25
2015/04/26,1,5,24
2015/04/27,1,6,26
2015/04/28,1,6,26
2015/04/29,1,6,26
2015/04/30,1,6,25
2015/05/01,1,6,24
2015/05/02,1,6,23
2015/05/03,1,5,23
2015/05/04,1,5,21
2015/05/05,1,5,20
2015/05/06,1,5,18
2015/05/07,1,6,19
2015/05/08,1,5,22
2015/05/09,1,4,23
2015/05/10,2,5,25
2015/05/11,2,5,26
2015/05/12,2,5,24
2015/05/13,2,5,24
2015/05/14,2,5,24
2015/05/15,2,5,24
2015/05/16,2,5,26
2015/05/17,2,5,25
2015/05/18,2,5,26
2015/05/19,2,5,25
2015/05/20,2,6,26
2015/05/21,1,6,29
2015/05/22,1,6,29
2015/05/23,1,6,29
2015/05/24,1,6,30
2015/05/25,1,6,31
2015/05/26,1,6,32
2015/05/27,1,5,30
2015/05/28,1,5,30
2015/05/29,1,6,30
2015/05/30,2,6,30
2015/05/31,2,6,30
2015/06/01,2,6,30
2015/06/02,2,6,29
2015/06/03,2,6,29
2015/06/04,2,6,29
2015/06/05,2,6,33
2015/06/06,2,7,33
2015/06/07,2,7,33
2015/06/08,2,7,33
2015/06/09,2,8,32
2015/06/10,1,7,32
2015/06/11,1,6,31
2015/06/12,1,6,32
2015/06/13,,5,33
2015/06/14,,4,36
2015/06/15,,4,32
2015/06/16,,4,32
2015/06/17,,5,31
2015/06/18,,5,30
2015/06/19,,4,29
2015/06/20,,4,29
2015/06/21,,4,30
2015/06/22,,4,31
2015/06/23,,4,30
2015/06/24,,4,29
2015/06/25,,4,29
2015/06/26,,4,29
2015/06/27,,4,29
2015/06/28,,4,28
2015/06/29,,4,29
2015/06/30,,5,29
2015/07/01,,5,29
2015/07/02,,5,30
2015/07/03,,5,31
2015/07/04,,5,30
2015/07/05,,5,27
2015/07/06,,4,27
2015/07/07,,4,27
2015/07/08,,4,27
2015/07/09,,3,27
2015/07/10,,3,28
2015/07/11,,4,28
2015/07/12,,4,27
2015/07/13,,4,27
2015/07/14,,6,25
2015/07/15,,6,26
2015/07/16,,6,27
2015/07/17,,6,28
2015/07/18,,7,29
2015/07/19,,6,27
2015/07/20,,6,26
2015/07/21,,6,26
2015/07/22,,6,27
2015/07/23,,6,28
2015/07/24,,6,27
2015/07/25,,5,27
2015/07/26,,5,27
2015/07/27,,6,28
2015/07/28,,6,28
2015/07/29,,6,27
2015/07/30,,5,26
2015/07/31,,5,26
2015/08/01,,5,26
