date,mlwiki (100+),mlwiki (5+),mlwiki (all)
2012/12/02,20,108,289
2012/12/03,20,105,289
2012/12/04,20,106,293
2012/12/05,21,108,296
2012/12/06,22,110,297
2012/12/07,22,111,301
2012/12/08,22,110,299
2012/12/09,24,111,300
2012/12/10,24,111,303
2012/12/11,25,109,300
2012/12/12,25,108,302
2012/12/13,25,110,303
2012/12/14,25,109,301
2012/12/15,24,113,300
2012/12/16,24,113,303
2012/12/17,24,113,299
2012/12/18,24,115,301
2012/12/19,25,115,299
2012/12/20,24,116,298
2012/12/21,25,120,302
2012/12/22,27,129,327
2012/12/23,26,135,340
2012/12/24,27,141,351
2012/12/25,26,142,359
2012/12/26,26,136,357
2012/12/27,26,137,364
2012/12/28,27,141,368
2012/12/29,27,141,374
2012/12/30,27,141,376
2012/12/31,28,142,374
2013/01/01,28,145,377
2013/01/02,29,147,378
2013/01/03,32,150,376
2013/01/04,31,149,374
2013/01/05,32,150,375
2013/01/06,33,149,374
2013/01/07,34,148,376
2013/01/08,33,148,381
2013/01/09,33,148,385
2013/01/10,33,147,387
2013/01/11,35,149,391
2013/01/12,35,154,394
2013/01/13,35,155,399
2013/01/14,35,157,402
2013/01/15,36,156,403
2013/01/16,34,160,409
2013/01/17,35,159,412
2013/01/18,37,159,412
2013/01/19,39,162,415
2013/01/20,40,161,414
2013/01/21,36,161,391
2013/01/22,36,163,380
2013/01/23,36,162,374
2013/01/24,37,163,372
2013/01/25,37,158,362
2013/01/26,36,160,357
2013/01/27,35,159,355
2013/01/28,36,156,354
2013/01/29,36,153,355
2013/01/30,36,149,355
2013/01/31,36,152,353
2013/02/01,35,152,358
2013/02/02,34,150,360
2013/02/03,35,151,364
2013/02/04,36,149,364
2013/02/05,36,149,361
2013/02/06,37,147,363
2013/02/07,37,147,355
2013/02/08,36,145,355
2013/02/09,36,141,353
2013/02/10,36,142,350
2013/02/11,35,143,345
2013/02/12,33,143,347
2013/02/13,34,141,352
2013/02/14,35,140,349
2013/02/15,35,138,342
2013/02/16,35,131,336
2013/02/17,35,131,335
2013/02/18,37,129,329
2013/02/19,35,126,324
2013/02/20,33,124,321
2013/02/21,32,119,318
2013/02/22,34,120,318
2013/02/23,34,122,314
2013/02/24,34,123,313
2013/02/25,34,121,304
2013/02/26,33,122,314
2013/02/27,33,122,317
2013/02/28,33,122,314
2013/03/01,34,124,315
2013/03/02,34,122,314
2013/03/03,33,122,306
2013/03/04,32,124,303
2013/03/05,33,122,295
2013/03/06,34,121,299
2013/03/07,33,124,303
2013/03/08,34,126,304
2013/03/09,35,124,309
2013/03/10,34,123,307
2013/03/11,34,123,302
2013/03/12,33,125,302
2013/03/13,34,127,298
2013/03/14,33,129,295
2013/03/15,33,126,287
2013/03/16,32,128,288
2013/03/17,33,129,287
2013/03/18,34,132,287
2013/03/19,33,133,288
2013/03/20,32,134,294
2013/03/21,32,136,292
2013/03/22,32,138,294
2013/03/23,32,140,292
2013/03/24,31,140,288
2013/03/25,31,138,285
2013/03/26,32,137,284
2013/03/27,33,134,280
2013/03/28,34,136,290
2013/03/29,33,136,289
2013/03/30,32,135,289
2013/03/31,32,136,288
2013/04/01,32,136,288
2013/04/02,32,135,287
2013/04/03,33,132,284
2013/04/04,32,132,281
2013/04/05,30,130,271
2013/04/06,29,121,261
2013/04/07,28,120,258
2013/04/08,27,116,254
2013/04/09,27,119,257
2013/04/10,28,118,260
2013/04/11,28,118,265
2013/04/12,27,119,267
2013/04/13,25,121,278
2013/04/14,25,119,280
2013/04/15,27,121,280
2013/04/16,28,120,281
2013/04/17,29,119,282
2013/04/18,29,118,278
2013/04/19,29,120,278
2013/04/20,29,123,282
2013/04/21,29,123,280
2013/04/22,29,125,285
2013/04/23,28,126,286
2013/04/24,27,126,286
2013/04/25,27,127,286
2013/04/26,26,126,284
2013/04/27,25,117,276
2013/04/28,28,119,282
2013/04/29,29,121,283
2013/04/30,29,122,284
2013/05/01,29,121,280
2013/05/02,26,120,278
2013/05/03,26,122,278
2013/05/04,27,125,285
2013/05/05,25,126,288
2013/05/06,26,127,292
2013/05/07,25,126,297
2013/05/08,24,129,297
2013/05/09,24,132,297
2013/05/10,25,129,292
2013/05/11,24,129,287
2013/05/12,26,129,286
2013/05/13,27,125,270
2013/05/14,27,124,270
2013/05/15,28,124,270
2013/05/16,27,125,269
2013/05/17,25,124,264
2013/05/18,24,121,263
2013/05/19,24,119,253
2013/05/20,24,113,248
2013/05/21,24,114,251
2013/05/22,24,113,245
2013/05/23,25,111,247
2013/05/24,25,111,254
2013/05/25,24,108,244
2013/05/26,25,107,240
2013/05/27,26,108,243
2013/05/28,28,108,236
2013/05/29,29,106,243
2013/05/30,29,110,247
2013/05/31,28,111,250
2013/06/01,31,112,252
2013/06/02,31,115,252
2013/06/03,30,117,253
2013/06/04,30,118,260
2013/06/05,30,117,262
2013/06/06,27,116,262
2013/06/07,27,117,262
2013/06/08,27,115,263
2013/06/09,27,117,264
2013/06/10,27,115,261
2013/06/11,27,114,260
2013/06/12,26,113,271
2013/06/13,26,116,272
2013/06/14,28,115,271
2013/06/15,28,112,268
2013/06/16,27,111,269
2013/06/17,26,110,270
2013/06/18,28,110,276
2013/06/19,28,110,275
2013/06/20,28,109,270
2013/06/21,27,110,276
2013/06/22,27,114,274
2013/06/23,27,113,270
2013/06/24,26,114,272
2013/06/25,26,114,276
2013/06/26,29,112,278
2013/06/27,28,112,277
2013/06/28,28,114,275
2013/06/29,30,112,282
2013/06/30,31,108,283
2013/07/01,32,106,277
2013/07/02,33,105,278
2013/07/03,31,106,276
2013/07/04,31,103,271
2013/07/05,31,101,266
2013/07/06,29,101,263
2013/07/07,28,106,263
2013/07/08,28,108,265
2013/07/09,29,107,262
2013/07/10,29,105,265
2013/07/11,28,110,268
2013/07/12,28,110,258
2013/07/13,27,111,267
2013/07/14,26,111,272
2013/07/15,25,113,273
2013/07/16,25,113,278
2013/07/17,25,112,276
2013/07/18,24,118,282
2013/07/19,23,118,281
2013/07/20,23,117,283
2013/07/21,22,116,280
2013/07/22,23,112,285
2013/07/23,23,114,285
2013/07/24,23,116,286
2013/07/25,24,116,284
2013/07/26,24,114,278
2013/07/27,23,111,278
2013/07/28,24,109,278
2013/07/29,24,104,273
2013/07/30,24,106,273
2013/07/31,24,104,273
2013/08/01,24,103,273
2013/08/02,24,100,275
2013/08/03,24,105,276
2013/08/04,25,106,279
2013/08/05,25,109,289
2013/08/06,25,107,291
2013/08/07,24,107,294
2013/08/08,25,106,294
2013/08/09,24,107,289
2013/08/10,24,107,284
2013/08/11,24,110,287
2013/08/12,24,106,278
2013/08/13,24,110,275
2013/08/14,23,110,280
2013/08/15,23,108,277
2013/08/16,23,110,278
2013/08/17,23,111,271
2013/08/18,22,110,270
2013/08/19,22,108,269
2013/08/20,22,107,272
2013/08/21,21,107,271
2013/08/22,21,108,272
2013/08/23,21,108,269
2013/08/24,21,107,262
2013/08/25,21,109,266
2013/08/26,20,112,271
2013/08/27,18,115,269
2013/08/28,19,117,271
2013/08/29,19,116,269
2013/08/30,19,114,263
2013/08/31,20,113,264
2013/09/01,19,112,263
2013/09/02,19,111,264
2013/09/03,19,112,264
2013/09/04,19,111,256
2013/09/05,18,109,256
2013/09/06,18,109,247
2013/09/07,18,108,247
2013/09/08,18,105,246
2013/09/09,18,102,244
2013/09/10,18,98,236
2013/09/11,19,98,232
2013/09/12,18,97,231
2013/09/13,16,97,230
2013/09/14,16,97,232
2013/09/15,16,95,231
2013/09/16,16,94,234
2013/09/17,16,96,233
2013/09/18,16,93,240
2013/09/19,16,91,242
2013/09/20,15,89,244
2013/09/21,14,88,247
2013/09/22,14,85,244
2013/09/23,14,85,246
2013/09/24,13,85,243
2013/09/25,13,90,246
2013/09/26,13,87,249
2013/09/27,12,89,244
2013/09/28,13,88,245
2013/09/29,14,86,245
2013/09/30,14,87,250
2013/10/01,14,87,246
2013/10/02,14,87,247
2013/10/03,16,86,248
2013/10/04,14,85,245
2013/10/05,13,84,242
2013/10/06,13,85,242
2013/10/07,13,84,243
2013/10/08,13,83,244
2013/10/09,14,83,238
2013/10/10,15,84,241
2013/10/11,14,85,244
2013/10/12,15,84,245
2013/10/13,16,86,241
2013/10/14,16,88,239
2013/10/15,15,87,239
2013/10/16,15,89,240
2013/10/17,15,90,241
2013/10/18,14,96,244
2013/10/19,14,93,241
2013/10/20,15,91,240
2013/10/21,14,93,238
2013/10/22,15,96,239
2013/10/23,15,98,244
2013/10/24,17,103,253
2013/10/25,16,105,250
2013/10/26,17,106,245
2013/10/27,16,105,245
2013/10/28,13,108,250
2013/10/29,13,110,252
2013/10/30,13,110,254
2013/10/31,15,109,251
2013/11/01,15,108,251
2013/11/02,15,107,256
2013/11/03,17,107,256
2013/11/04,17,109,256
2013/11/05,17,111,255
2013/11/06,17,112,257
2013/11/07,16,114,263
2013/11/08,20,116,266
2013/11/09,19,118,276
2013/11/10,19,121,280
2013/11/11,19,124,290
2013/11/12,20,131,306
2013/11/13,20,134,309
2013/11/14,21,136,313
2013/11/15,21,139,315
2013/11/16,20,140,318
2013/11/17,21,138,312
2013/11/18,22,141,316
2013/11/19,23,142,317
2013/11/20,23,142,315
2013/11/21,23,142,316
2013/11/22,25,142,317
2013/11/23,27,138,309
2013/11/24,27,136,312
2013/11/25,27,138,308
2013/11/26,26,138,318
2013/11/27,25,137,313
2013/11/28,27,138,314
2013/11/29,26,139,314
2013/11/30,26,139,312
2013/12/01,25,138,306
2013/12/02,25,136,300
2013/12/03,26,136,304
2013/12/04,25,136,309
2013/12/05,26,135,311
2013/12/06,27,138,311
2013/12/07,27,140,307
2013/12/08,24,140,307
2013/12/09,25,138,301
2013/12/10,26,140,303
2013/12/11,26,137,301
2013/12/12,26,134,295
2013/12/13,26,131,290
2013/12/14,25,128,287
2013/12/15,24,122,281
2013/12/16,23,121,277
2013/12/17,22,121,279
2013/12/18,22,118,275
2013/12/19,22,117,277
2013/12/20,22,115,275
2013/12/21,21,116,278
2013/12/22,21,115,274
2013/12/23,21,113,277
2013/12/24,20,114,277
2013/12/25,18,119,288
2013/12/26,18,118,286
2013/12/27,18,117,286
2013/12/28,17,114,289
2013/12/29,16,114,285
2013/12/30,17,113,286
2013/12/31,16,117,288
2014/01/01,17,117,287
2014/01/02,17,119,284
2014/01/03,17,117,288
2014/01/04,18,121,293
2014/01/05,17,120,290
2014/01/06,18,116,290
2014/01/07,19,121,286
2014/01/08,19,121,288
2014/01/09,18,118,280
2014/01/10,18,122,276
2014/01/11,18,122,272
2014/01/12,19,121,268
2014/01/13,18,121,264
2014/01/14,17,122,268
2014/01/15,16,125,273
2014/01/16,16,125,276
2014/01/17,16,128,278
2014/01/18,16,128,269
2014/01/19,16,128,269
2014/01/20,17,130,265
2014/01/21,17,132,272
2014/01/22,17,129,278
2014/01/23,17,128,277
2014/01/24,17,125,269
2014/01/25,18,125,274
2014/01/26,17,121,274
2014/01/27,17,117,273
2014/01/28,18,118,270
2014/01/29,17,118,269
2014/01/30,17,117,265
2014/01/31,17,116,269
2014/02/01,17,116,269
2014/02/02,16,113,269
2014/02/03,16,114,268
2014/02/04,16,115,267
2014/02/05,17,115,266
2014/02/06,17,114,270
2014/02/07,18,111,271
2014/02/08,18,109,270
2014/02/09,16,108,268
2014/02/10,19,108,272
2014/02/11,19,107,271
2014/02/12,17,106,268
2014/02/13,17,105,266
2014/02/14,16,104,258
2014/02/15,16,100,254
2014/02/16,16,100,256
2014/02/17,16,101,262
2014/02/18,16,103,266
2014/02/19,17,104,267
2014/02/20,15,101,267
2014/02/21,16,104,258
2014/02/22,16,102,255
2014/02/23,16,101,257
2014/02/24,16,102,253
2014/02/25,15,104,250
2014/02/26,14,103,249
2014/02/27,14,104,248
2014/02/28,14,105,247
2014/03/01,14,108,248
2014/03/02,13,108,248
2014/03/03,13,104,249
2014/03/04,13,103,251
2014/03/05,13,103,250
2014/03/06,14,102,251
2014/03/07,14,106,252
2014/03/08,14,104,244
2014/03/09,15,104,243
2014/03/10,15,103,244
2014/03/11,15,104,244
2014/03/12,15,103,240
2014/03/13,17,104,243
2014/03/14,17,104,246
2014/03/15,16,106,250
2014/03/16,16,108,255
2014/03/17,19,109,258
2014/03/18,19,104,257
2014/03/19,20,101,253
2014/03/20,20,100,247
2014/03/21,20,100,250
2014/03/22,19,104,249
2014/03/23,19,101,253
2014/03/24,20,102,252
2014/03/25,19,103,248
2014/03/26,18,107,246
2014/03/27,19,102,248
2014/03/28,19,105,248
2014/03/29,19,104,251
2014/03/30,19,103,248
2014/03/31,19,100,246
2014/04/01,19,100,244
2014/04/02,18,96,244
2014/04/03,18,100,241
2014/04/04,18,97,236
2014/04/05,17,96,234
2014/04/06,16,95,238
2014/04/07,16,95,238
2014/04/08,16,97,236
2014/04/09,16,97,231
2014/04/10,15,98,231
2014/04/11,15,99,236
2014/04/12,15,97,230
2014/04/13,15,96,231
2014/04/14,15,97,227
2014/04/15,15,96,222
2014/04/16,15,95,221
2014/04/17,15,94,221
2014/04/18,15,96,225
2014/04/19,16,98,229
2014/04/20,16,97,228
2014/04/21,15,93,231
2014/04/22,15,92,232
2014/04/23,13,93,231
2014/04/24,13,92,233
2014/04/25,12,90,233
2014/04/26,13,90,231
2014/04/27,14,90,234
2014/04/28,14,91,231
2014/04/29,15,89,230
2014/04/30,15,90,233
2014/05/01,15,90,234
2014/05/02,15,90,238
2014/05/03,15,86,234
2014/05/04,14,92,243
2014/05/05,15,91,240
2014/05/06,14,90,237
2014/05/07,13,93,234
2014/05/08,12,91,229
2014/05/09,12,91,231
2014/05/10,12,91,230
2014/05/11,12,89,225
2014/05/12,12,89,224
2014/05/13,13,87,223
2014/05/14,13,87,229
2014/05/15,14,86,225
2014/05/16,14,84,224
2014/05/17,14,83,226
2014/05/18,14,83,223
2014/05/19,14,82,221
2014/05/20,14,82,223
2014/05/21,14,80,220
2014/05/22,14,79,217
2014/05/23,14,80,219
2014/05/24,14,81,215
2014/05/25,14,79,213
2014/05/26,13,81,221
2014/05/27,13,81,218
2014/05/28,13,79,217
2014/05/29,13,78,216
2014/05/30,12,79,215
2014/05/31,12,80,214
2014/06/01,12,81,209
2014/06/02,11,80,206
2014/06/03,11,82,202
2014/06/04,9,83,203
2014/06/05,9,85,204
2014/06/06,10,83,203
2014/06/07,11,83,206
2014/06/08,12,84,204
2014/06/09,12,84,201
2014/06/10,12,84,202
2014/06/11,12,83,204
2014/06/12,11,83,202
2014/06/13,11,80,201
2014/06/14,11,80,198
2014/06/15,11,83,200
2014/06/16,11,84,201
2014/06/17,12,82,201
2014/06/18,12,82,200
2014/06/19,12,81,206
2014/06/20,13,82,205
2014/06/21,13,79,208
2014/06/22,12,77,205
2014/06/23,12,78,209
2014/06/24,12,81,210
2014/06/25,13,81,207
