date,novwiki (100+),novwiki (5+),novwiki (all)
2013/01/17,6,23,38
2013/01/18,6,22,37
2013/01/19,6,23,37
2013/01/20,6,22,37
2013/01/21,6,22,35
2013/01/22,6,21,34
2013/01/23,6,21,35
2013/01/24,6,21,35
2013/01/25,6,21,35
2013/01/26,6,21,35
2013/01/27,6,21,35
2013/01/28,6,21,35
2013/01/29,6,21,35
2013/01/30,5,21,35
2013/01/31,5,20,35
2013/02/01,5,20,35
2013/02/02,5,20,34
2013/02/03,5,18,35
2013/02/04,4,19,35
2013/02/05,4,19,35
2013/02/06,4,18,35
2013/02/07,4,19,36
2013/02/08,4,19,35
2013/02/09,4,19,36
2013/02/10,4,21,35
2013/02/11,4,21,33
2013/02/12,4,21,33
2013/02/13,4,20,31
2013/02/14,4,20,31
2013/02/15,4,19,31
2013/02/16,4,19,32
2013/02/17,4,19,32
2013/02/18,3,17,32
2013/02/19,3,16,33
2013/02/20,3,16,33
2013/02/21,3,16,33
2013/02/22,3,16,33
2013/02/23,3,16,33
2013/02/24,3,17,34
2013/02/25,3,16,33
2013/02/26,3,16,33
2013/02/27,3,15,33
2013/02/28,3,15,33
2013/03/01,3,15,32
2013/03/02,3,15,33
2013/03/03,4,15,31
2013/03/04,4,15,32
2013/03/05,4,15,31
2013/03/06,3,15,30
2013/03/07,3,15,29
2013/03/08,4,16,29
2013/03/09,4,16,29
2013/03/10,4,15,28
2013/03/11,4,14,27
2013/03/12,5,13,29
2013/03/13,5,13,29
2013/03/14,5,12,29
2013/03/15,4,12,28
2013/03/16,4,12,27
2013/03/17,4,11,25
2013/03/18,4,11,25
2013/03/19,4,11,25
2013/03/20,4,10,25
2013/03/21,3,10,25
2013/03/22,3,10,25
2013/03/23,3,10,25
2013/03/24,3,10,23
2013/03/25,3,10,23
2013/03/26,3,9,22
2013/03/27,3,10,21
2013/03/28,3,10,22
2013/03/29,3,10,22
2013/03/30,3,10,22
2013/03/31,2,9,22
2013/04/01,2,9,22
2013/04/02,2,9,22
2013/04/03,2,9,22
2013/04/04,2,6,19
2013/04/05,2,6,17
2013/04/06,2,5,15
2013/04/07,2,5,14
2013/04/08,1,5,15
2013/04/09,1,5,15
2013/04/10,1,5,15
2013/04/11,,5,14
2013/04/12,,5,14
2013/04/13,,6,16
2013/04/14,,6,16
2013/04/15,,6,16
2013/04/16,,6,15
2013/04/17,,6,14
2013/04/18,,6,14
2013/04/19,,6,14
2013/04/20,,6,14
2013/04/21,,6,15
2013/04/22,,6,16
2013/04/23,,6,16
2013/04/24,,6,16
2013/04/25,,6,16
2013/04/26,,5,16
2013/04/27,,5,15
2013/04/28,,5,15
2013/04/29,,5,15
2013/04/30,,5,15
2013/05/01,,5,13
2013/05/02,,4,11
2013/05/03,,2,9
2013/05/04,,2,10
2013/05/05,,1,9
2013/05/06,,2,10
2013/05/07,,2,10
2013/05/08,,2,11
2013/05/09,,2,11
2013/05/10,,2,11
2013/05/11,,2,11
2013/05/12,,2,11
2013/05/13,,1,10
2013/05/14,,1,10
2013/05/15,,,10
2013/05/16,,,10
2013/05/17,,,9
2013/05/18,,,9
2013/05/19,,,9
2013/05/20,,,9
2013/05/21,,,8
2013/05/22,,,8
2013/05/23,,,8
2013/05/24,,,8
2013/05/25,,,8
2013/05/26,,,7
2013/05/27,,,7
2013/05/28,,,7
2013/05/29,,,7
2013/05/30,,,7
2013/05/31,,,7
2013/06/01,,,8
2013/06/02,,,8
2013/06/03,,1,7
2013/06/04,,1,7
2013/06/05,,,6
2013/06/06,,,6
2013/06/07,,,6
2013/06/08,,,6
2013/06/09,,,6
2013/06/10,,,5
2013/06/11,,,6
2013/06/12,,,4
2013/06/13,,,5
2013/06/14,,,6
2013/06/15,,,6
2013/06/16,,,6
2013/06/17,,,6
2013/06/18,,,6
2013/06/19,,,6
2013/06/20,,,6
2013/06/21,,,5
2013/06/22,,,5
2013/06/23,,,5
2013/06/24,,,5
2013/06/25,,,5
2013/06/26,,,5
2013/06/27,,,6
2013/06/28,,,6
2013/06/29,,,6
2013/06/30,,,7
2013/07/01,,,7
2013/07/02,,,7
2013/07/03,,,7
2013/07/04,,,8
2013/07/05,,,8
2013/07/06,,,8
2013/07/07,,,8
2013/07/08,,,8
2013/07/09,,,8
2013/07/10,,,8
2013/07/11,,,7
2013/07/12,,,7
2013/07/13,,,7
2013/07/14,,,6
2013/07/15,,,6
2013/07/16,,,6
2013/07/17,,,6
2013/07/18,,,6
2013/07/19,,,6
2013/07/20,,,7
2013/07/21,,,7
2013/07/22,,,7
2013/07/23,,,7
2013/07/24,,,7
2013/07/25,,,7
2013/07/26,,,7
2013/07/27,,,6
2013/07/28,,,6
2013/07/29,,,6
2013/07/30,,,5
2013/07/31,,,4
2013/08/01,,,4
2013/08/02,,1,4
2013/08/03,,1,4
2013/08/04,,1,5
2013/08/05,,1,5
2013/08/06,,1,5
2013/08/07,,1,6
2013/08/08,,2,7
2013/08/09,,2,7
2013/08/10,,2,7
2013/08/11,,2,8
2013/08/12,,2,7
2013/08/13,,2,7
2013/08/14,,2,7
2013/08/15,,2,7
2013/08/16,,2,7
2013/08/17,,2,7
2013/08/18,,2,7
2013/08/19,,2,6
2013/08/20,,2,6
2013/08/21,,2,6
2013/08/22,,2,6
2013/08/23,,2,7
2013/08/24,,2,7
2013/08/25,,2,7
2013/08/26,,2,7
2013/08/27,,2,7
2013/08/28,,2,7
2013/08/29,,3,8
2013/08/30,,2,7
2013/08/31,,2,7
2013/09/01,,3,8
2013/09/02,,3,7
2013/09/03,,3,7
2013/09/04,,3,7
2013/09/05,,3,7
2013/09/06,,3,7
2013/09/07,,3,7
2013/09/08,,2,6
2013/09/09,,2,6
2013/09/10,,2,5
2013/09/11,,2,5
2013/09/12,,2,5
2013/09/13,,2,5
2013/09/14,,2,5
2013/09/15,,2,6
2013/09/16,,2,6
2013/09/17,,1,6
2013/09/18,,1,6
2013/09/19,,1,6
2013/09/20,,1,6
2013/09/21,,1,6
2013/09/22,,1,4
2013/09/23,,2,5
2013/09/24,,2,5
2013/09/25,,2,5
2013/09/26,,2,5
2013/09/27,,2,5
2013/09/28,,2,5
2013/09/29,,2,6
2013/09/30,,2,6
2013/10/01,,1,5
2013/10/02,,1,5
2013/10/03,,1,4
2013/10/04,,1,4
2013/10/05,,1,4
2013/10/06,,1,5
2013/10/07,,1,5
2013/10/08,,1,6
2013/10/09,,1,6
2013/10/10,,1,5
2013/10/11,,1,5
2013/10/12,,1,5
2013/10/13,,1,5
2013/10/14,,1,5
2013/10/15,,1,5
2013/10/16,,1,5
2013/10/17,,1,5
2013/10/18,,1,5
2013/10/19,,1,5
2013/10/20,,1,6
2013/10/21,,1,6
2013/10/22,,1,6
2013/10/23,,,7
2013/10/24,,,7
2013/10/25,,,9
2013/10/26,,,10
2013/10/27,,,10
2013/10/28,,,10
2013/10/29,,,10
2013/10/30,,1,10
2013/10/31,,1,10
2013/11/01,,1,10
2013/11/02,,1,10
2013/11/03,,1,10
2013/11/04,,1,12
2013/11/05,,3,13
2013/11/06,,3,15
2013/11/07,,3,14
2013/11/08,,3,14
2013/11/09,,3,14
2013/11/10,,3,14
2013/11/11,,3,14
2013/11/12,,3,15
2013/11/13,,3,15
2013/11/14,,3,15
2013/11/15,,3,15
2013/11/16,,3,15
2013/11/17,,3,15
2013/11/18,,3,15
2013/11/19,,3,15
2013/11/20,,3,15
2013/11/21,,3,15
2013/11/22,,3,14
2013/11/23,,3,14
2013/11/24,,3,12
2013/11/25,,3,11
2013/11/26,,3,11
2013/11/27,,3,12
2013/11/28,,3,13
2013/11/29,,3,12
2013/11/30,,3,12
2013/12/01,,3,13
2013/12/02,,3,13
2013/12/03,,3,13
2013/12/04,,3,12
2013/12/05,,2,11
2013/12/06,,2,10
2013/12/07,,,10
2013/12/08,,,10
2013/12/09,,,10
2013/12/10,,,10
2013/12/11,,,10
2013/12/12,,,9
2013/12/13,,,9
2013/12/14,,,8
2013/12/15,,,8
2013/12/16,,,9
2013/12/17,,,9
2013/12/18,,,9
2013/12/19,,,8
2013/12/20,,,7
2013/12/21,,,7
2013/12/22,,,7
2013/12/23,,,7
2013/12/24,,,7
2013/12/25,,,7
2013/12/26,,,8
2013/12/27,,,7
2013/12/28,,,6
2013/12/29,,,6
2013/12/30,,,6
2013/12/31,,,7
2014/01/01,,,7
2014/01/02,,,7
2014/01/03,,,8
2014/01/04,,,8
2014/01/05,,,7
2014/01/06,,,7
2014/01/07,,,8
2014/01/08,,,7
2014/01/09,,,8
2014/01/10,,1,8
2014/01/11,,1,9
2014/01/12,,1,9
2014/01/13,,1,9
2014/01/14,,1,10
2014/01/15,,1,9
2014/01/16,,1,9
2014/01/17,,1,11
2014/01/18,,1,11
2014/01/19,,1,12
2014/01/20,,1,11
2014/01/21,,1,11
2014/01/22,,1,11
2014/01/23,,1,11
2014/01/24,,1,12
2014/01/25,,1,12
2014/01/26,,1,13
2014/01/27,,1,13
2014/01/28,,1,13
2014/01/29,,1,13
2014/01/30,,1,11
2014/01/31,,1,11
2014/02/01,,1,12
2014/02/02,,1,11
2014/02/03,,1,11
2014/02/04,,1,11
2014/02/05,,1,11
2014/02/06,,1,12
2014/02/07,,1,13
2014/02/08,,2,12
2014/02/09,,1,11
2014/02/10,,,12
2014/02/11,,,12
2014/02/12,,,12
2014/02/13,,,11
2014/02/14,,,11
2014/02/15,,,11
2014/02/16,,,9
2014/02/17,,,10
2014/02/18,,,9
2014/02/19,,,10
2014/02/20,,,10
2014/02/21,,,10
2014/02/22,,,10
2014/02/23,,,9
2014/02/24,,,9
2014/02/25,,,9
2014/02/26,,,9
2014/02/27,,,9
2014/02/28,,,9
2014/03/01,,1,10
2014/03/02,,1,10
2014/03/03,,1,9
2014/03/04,,1,9
2014/03/05,,1,9
2014/03/06,,2,10
2014/03/07,,2,10
2014/03/08,,2,9
2014/03/09,,2,9
2014/03/10,,2,8
2014/03/11,,2,8
2014/03/12,,2,7
2014/03/13,,2,7
2014/03/14,,2,7
2014/03/15,,2,7
2014/03/16,,2,8
2014/03/17,,2,8
2014/03/18,,2,8
2014/03/19,,2,7
2014/03/20,,2,7
2014/03/21,,2,6
2014/03/22,,2,6
2014/03/23,,2,6
2014/03/24,,2,6
2014/03/25,,2,6
2014/03/26,,2,7
2014/03/27,,2,7
2014/03/28,,2,7
2014/03/29,,2,7
2014/03/30,,2,7
2014/03/31,,1,6
2014/04/01,,1,6
2014/04/02,,1,7
2014/04/03,,1,8
2014/04/04,,1,8
2014/04/05,,,6
2014/04/06,,,6
2014/04/07,,,8
2014/04/08,,,8
2014/04/09,,,8
2014/04/10,,,9
2014/04/11,,,9
2014/04/12,,,9
2014/04/13,,,9
2014/04/14,,,9
2014/04/15,,,9
2014/04/16,,,9
2014/04/17,,,9
2014/04/18,,,9
2014/04/19,,,9
2014/04/20,,,9
2014/04/21,,,9
2014/04/22,,,9
2014/04/23,,,9
2014/04/24,,,9
2014/04/25,,,8
2014/04/26,,,7
2014/04/27,,,8
2014/04/28,,,8
2014/04/29,,,8
2014/04/30,,,7
2014/05/01,,,7
2014/05/02,,,6
2014/05/03,,,5
2014/05/04,,,5
2014/05/05,,,5
2014/05/06,,,5
2014/05/07,,,4
2014/05/08,,,4
2014/05/09,,,4
2014/05/10,,,5
2014/05/11,,,5
2014/05/12,,,5
2014/05/13,,1,5
2014/05/14,,1,5
2014/05/15,,1,6
2014/05/16,,1,5
2014/05/17,,1,5
2014/05/18,,1,5
2014/05/19,,1,5
2014/05/20,,1,6
2014/05/21,,1,6
2014/05/22,,1,6
2014/05/23,,2,6
2014/05/24,,2,6
2014/05/25,,2,6
2014/05/26,,2,6
2014/05/27,,2,5
2014/05/28,,2,5
2014/05/29,,2,5
2014/05/30,,2,5
2014/05/31,,2,5
2014/06/01,,2,5
2014/06/02,,2,6
2014/06/03,,1,6
2014/06/04,,1,6
2014/06/05,,1,6
2014/06/06,,1,5
2014/06/07,,1,6
2014/06/08,,1,6
2014/06/09,,1,7
2014/06/10,,1,7
2014/06/11,,1,7
2014/06/12,,,6
2014/06/13,,,6
2014/06/14,,,5
2014/06/15,,,5
2014/06/16,,,6
2014/06/17,,,6
2014/06/18,,,6
2014/06/19,,,7
2014/06/20,,,7
2014/06/21,,,8
2014/06/22,,,7
2014/06/23,,,8
2014/06/24,,,8
2014/06/25,,,7
2014/06/26,,,8
2014/06/27,,,9
2014/06/28,,,9
2014/06/29,,,10
2014/06/30,,,11
2014/07/01,,,11
2014/07/02,,,10
2014/07/03,,,10
2014/07/04,1,1,10
2014/07/05,1,1,10
2014/07/06,1,1,10
2014/07/07,1,1,9
2014/07/08,1,1,10
2014/07/09,1,2,10
2014/07/10,1,2,10
2014/07/11,1,2,10
2014/07/12,1,2,10
2014/07/13,1,2,11
2014/07/14,1,2,11
2014/07/15,1,2,11
2014/07/16,1,2,10
2014/07/17,1,2,10
2014/07/18,1,2,10
2014/07/19,1,2,9
2014/07/20,1,2,9
2014/07/21,1,2,7
2014/07/22,1,2,7
2014/07/23,1,2,6
2014/07/24,1,2,6
2014/07/25,1,2,6
2014/07/26,1,2,5
2014/07/27,1,2,6
2014/07/28,1,2,6
2014/07/29,1,2,6
2014/07/30,1,2,5
2014/07/31,1,2,5
2014/08/01,1,2,5
2014/08/02,1,2,6
2014/08/03,,1,5
2014/08/04,,1,5
2014/08/05,,1,5
2014/08/06,,1,6
2014/08/07,,,6
2014/08/08,,,6
2014/08/09,,,6
2014/08/10,,,6
2014/08/11,,,6
2014/08/12,,,6
2014/08/13,,,7
2014/08/14,,,7
2014/08/15,,,7
2014/08/16,,,7
2014/08/17,,,7
2014/08/18,,,7
2014/08/19,,,7
2014/08/20,,,7
2014/08/21,,,7
2014/08/22,,,7
2014/08/23,,,8
2014/08/24,,,8
2014/08/25,,,8
2014/08/26,,,7
2014/08/27,,,7
2014/08/28,,,7
2014/08/29,,,7
2014/08/30,,,7
2014/08/31,,,7
2014/09/01,,,6
2014/09/02,,,6
2014/09/03,,,6
2014/09/04,,,6
2014/09/05,,,6
2014/09/06,,,6
2014/09/07,,,6
2014/09/08,,,6
2014/09/09,,,6
2014/09/10,,,6
2014/09/11,,,6
2014/09/12,,,5
2014/09/13,,,5
2014/09/14,,,5
2014/09/15,,,5
2014/09/16,,,6
2014/09/17,,,5
2014/09/18,,,5
2014/09/19,,,5
2014/09/20,,,5
2014/09/21,,,5
2014/09/22,,,5
2014/09/23,,,6
2014/09/24,,,6
2014/09/25,,,6
2014/09/26,,,7
2014/09/27,,,7
2014/09/28,,,8
2014/09/29,,,8
2014/09/30,,1,9
2014/10/01,,1,10
2014/10/02,,1,10
2014/10/03,,1,11
2014/10/04,,1,11
2014/10/05,,1,11
2014/10/06,,1,12
2014/10/07,,1,12
2014/10/08,,1,11
2014/10/09,,1,11
2014/10/10,,1,11
2014/10/11,,1,12
2014/10/12,,1,12
2014/10/13,,1,13
2014/10/14,,1,13
2014/10/15,,1,13
2014/10/16,,1,12
2014/10/17,,1,12
2014/10/18,,1,12
2014/10/19,,1,12
2014/10/20,,2,13
2014/10/21,1,2,13
2014/10/22,1,2,13
2014/10/23,1,2,12
2014/10/24,1,2,12
2014/10/25,1,2,12
2014/10/26,1,2,11
2014/10/27,1,2,11
2014/10/28,1,2,10
2014/10/29,1,2,11
2014/10/30,1,1,10
2014/10/31,1,1,9
2014/11/01,1,1,9
2014/11/02,1,1,8
2014/11/03,1,1,8
2014/11/04,1,1,7
2014/11/05,1,1,5
2014/11/06,1,1,5
2014/11/07,1,1,5
2014/11/08,1,1,5
2014/11/09,1,1,6
2014/11/10,1,1,6
2014/11/11,1,1,6
2014/11/12,1,1,5
2014/11/13,1,1,5
2014/11/14,1,1,5
2014/11/15,1,1,5
2014/11/16,1,1,5
2014/11/17,1,1,5
2014/11/18,1,1,5
2014/11/19,1,1,5
2014/11/20,1,1,5
2014/11/21,1,1,5
2014/11/22,1,1,5
2014/11/23,1,1,5
2014/11/24,1,1,5
2014/11/25,1,1,5
2014/11/26,1,1,5
2014/11/27,1,1,5
2014/11/28,1,1,4
2014/11/29,1,1,4
2014/11/30,1,1,4
2014/12/01,1,1,3
2014/12/02,1,1,3
2014/12/03,1,1,3
2014/12/04,1,1,3
2014/12/05,1,1,3
2014/12/06,1,1,3
2014/12/07,1,1,3
2014/12/08,1,1,3
2014/12/09,1,1,2
2014/12/10,1,1,2
2014/12/11,1,1,2
2014/12/12,1,1,2
2014/12/13,1,1,3
2014/12/14,1,1,3
2014/12/15,1,1,2
2014/12/16,,1,2
2014/12/17,,1,2
2014/12/18,,1,2
2014/12/19,,1,3
2014/12/20,,1,3
2014/12/21,,1,3
2014/12/22,,1,3
2014/12/23,,1,3
2014/12/24,,,4
2014/12/25,,,4
2014/12/26,,,4
2014/12/27,,,4
2014/12/28,,,4
2014/12/29,,,4
2014/12/30,,,5
2014/12/31,,,5
2015/01/01,,,5
2015/01/02,,,5
2015/01/03,,,5
2015/01/04,,,5
2015/01/05,,,5
2015/01/06,,,5
2015/01/07,,,5
2015/01/08,,,5
2015/01/09,,,6
2015/01/10,,,6
2015/01/11,,,6
2015/01/12,,,5
2015/01/13,,,5
2015/01/14,,,5
2015/01/15,,,5
2015/01/16,,,5
2015/01/17,,,5
2015/01/18,,,5
2015/01/19,,,6
2015/01/20,,,6
2015/01/21,,,6
2015/01/22,,,6
2015/01/23,,,5
2015/01/24,,,5
2015/01/25,,,5
2015/01/26,,,5
2015/01/27,,1,7
2015/01/28,,1,8
2015/01/29,,1,7
2015/01/30,,1,7
2015/01/31,,1,8
2015/02/01,,1,8
2015/02/02,,1,8
2015/02/03,,1,8
2015/02/04,,1,7
2015/02/05,,1,7
2015/02/06,,1,7
2015/02/07,,1,7
2015/02/08,,1,6
2015/02/09,,1,6
2015/02/10,,1,6
2015/02/11,,1,6
2015/02/12,,1,6
2015/02/13,,1,6
2015/02/14,,1,7
2015/02/15,,1,7
2015/02/16,,1,7
2015/02/17,,1,7
2015/02/18,,1,6
2015/02/19,,1,6
2015/02/20,,1,7
2015/02/21,,1,7
2015/02/22,,1,7
2015/02/23,,1,7
2015/02/24,,1,7
2015/02/25,,1,7
2015/02/26,,,5
2015/02/27,,,4
2015/02/28,,,4
2015/03/01,,,4
2015/03/02,,,3
2015/03/03,,,3
2015/03/04,,,3
2015/03/05,,,3
2015/03/06,,,3
2015/03/07,,,3
2015/03/08,,1,3
2015/03/09,,1,3
2015/03/10,,1,4
2015/03/11,,1,4
2015/03/12,,1,4
2015/03/13,,1,4
2015/03/14,,2,5
2015/03/15,,2,5
2015/03/16,,2,5
2015/03/17,,4,7
2015/03/18,,4,7
2015/03/19,,4,7
2015/03/20,,4,7
2015/03/21,,4,7
2015/03/22,,4,6
2015/03/23,,4,6
2015/03/24,,4,6
2015/03/25,,4,7
2015/03/26,,4,7
2015/03/27,,4,7
2015/03/28,,4,7
2015/03/29,,4,7
2015/03/30,,4,7
2015/03/31,,4,7
2015/04/01,,4,7
2015/04/02,,4,7
2015/04/03,,4,7
2015/04/04,,4,6
2015/04/05,,4,6
2015/04/06,,4,6
2015/04/07,,3,6
2015/04/08,,3,6
2015/04/09,,3,5
2015/04/10,,3,5
2015/04/11,,3,5
2015/04/12,,3,6
2015/04/13,,3,7
2015/04/14,,3,8
2015/04/15,,3,8
2015/04/16,,,5
2015/04/17,,,5
2015/04/18,,,5
2015/04/19,,,5
2015/04/20,,,6
2015/04/21,,,6
2015/04/22,,,6
2015/04/23,,,6
2015/04/24,,,6
2015/04/25,,,6
2015/04/26,,,6
2015/04/27,,,7
2015/04/28,,,7
2015/04/29,,,7
2015/04/30,,,7
2015/05/01,,,7
2015/05/02,,,7
2015/05/03,,,8
2015/05/04,,,10
2015/05/05,,,10
2015/05/06,,,10
2015/05/07,,,9
2015/05/08,,,9
2015/05/09,,,9
2015/05/10,,,9
2015/05/11,,,10
2015/05/12,,,9
2015/05/13,,,10
2015/05/14,,,9
2015/05/15,,,9
2015/05/16,,,9
2015/05/17,,,9
2015/05/18,,,9
2015/05/19,,,9
2015/05/20,,,8
2015/05/21,,,8
2015/05/22,,,8
2015/05/23,,,8
2015/05/24,,,7
2015/05/25,,,7
2015/05/26,,,7
2015/05/27,,,6
2015/05/28,,,6
2015/05/29,,,6
2015/05/30,,,6
2015/05/31,,,6
2015/06/01,,,6
2015/06/02,,,5
2015/06/03,,,4
2015/06/04,,,4
2015/06/05,,,4
2015/06/06,,,4
2015/06/07,,,4
2015/06/08,,,4
2015/06/09,,,5
2015/06/10,,,4
2015/06/11,,,4
2015/06/12,,,3
2015/06/13,,,3
2015/06/14,,,3
2015/06/15,,,2
2015/06/16,,,2
2015/06/17,,,2
2015/06/18,,,2
2015/06/19,,,2
2015/06/20,,,2
2015/06/21,,,2
2015/06/22,,,2
2015/06/23,,,2
2015/06/24,,,2
2015/06/25,,,1
2015/06/26,,,1
2015/06/27,,,1
2015/06/28,,,1
2015/06/29,,,1
2015/06/30,,,1
2015/07/01,,,1
2015/07/02,,,1
2015/07/03,,,1
2015/07/04,,,1
2015/07/05,,,1
2015/07/06,,,1
2015/07/07,,,1
2015/07/08,,,1
2015/07/11,,,1
2015/07/12,,,1
2015/07/13,,,2
2015/07/14,,,2
2015/07/15,,,2
2015/07/16,,,2
2015/07/17,,,2
2015/07/18,,,2
2015/07/19,,,2
2015/07/20,,,2
2015/07/21,,,2
2015/07/22,,,2
2015/07/23,,,2
2015/07/24,,,2
2015/07/25,,,2
2015/07/26,,,2
2015/07/27,,,2
2015/07/28,,,2
2015/07/29,,,2
2015/07/30,,,2
2015/07/31,,,2
2015/08/01,,,2
2015/08/02,,,2
2015/08/03,,,2
2015/08/04,,,2
2015/08/05,,,2
2015/08/06,,,2
2015/08/07,,,2
2015/08/08,,,2
2015/08/09,,,2
2015/08/10,,,3
2015/08/11,,,4
2015/08/12,,,4
2015/08/13,,,4
2015/08/14,,,4
2015/08/15,,,4
2015/08/16,,,4
2015/08/17,,,4
2015/08/18,,,4
2015/08/19,,,3
2015/08/20,,,3
2015/08/21,,,4
2015/08/22,,,5
2015/08/23,,,5
2015/08/24,,,5
2015/08/25,,,5
2015/08/26,,,6
2015/08/27,,,6
2015/08/28,,,7
2015/08/29,,,8
2015/08/30,,,9
2015/08/31,,,9
2015/09/01,,,10
2015/09/02,,,10
2015/09/03,,,12
2015/09/04,,,12
2015/09/05,,,12
2015/09/06,,,12
2015/09/07,,,12
2015/09/08,,,12
2015/09/09,,,12
2015/09/10,,,11
2015/09/11,,,10
2015/09/12,,,10
2015/09/13,,,11
2015/09/14,,,11
2015/09/15,,,11
2015/09/16,,,11
2015/09/17,,,11
2015/09/18,,,11
2015/09/19,,,11
2015/09/20,,,11
2015/09/21,,,10
2015/09/22,,,10
2015/09/23,,,10
2015/09/24,,,10
2015/09/25,,,9
2015/09/26,,,9
2015/09/27,,,9
2015/09/28,,,8
2015/09/29,,,7
2015/09/30,,,7
2015/10/01,,,6
2015/10/02,,,5
2015/10/03,,,2
2015/10/04,,,2
2015/10/05,,,2
2015/10/06,,,1
2015/10/07,,,1
2015/10/08,,,1
2015/10/09,,,1
2015/10/10,,,2
2015/10/11,,,3
2015/10/12,,1,3
2015/10/13,,1,2
2015/10/14,,1,2
2015/10/15,,1,3
2015/10/16,,1,3
2015/10/17,,1,3
2015/10/18,,1,4
2015/10/19,,1,5
2015/10/20,,1,6
2015/10/21,,1,6
2015/10/22,,1,7
2015/10/23,,1,7
2015/10/24,,1,7
2015/10/25,,1,7
2015/10/26,,1,7
2015/10/27,,1,7
2015/10/28,,1,7
2015/10/29,,1,7
2015/10/30,,2,8
2015/10/31,,2,8
2015/11/01,,2,8
2015/11/02,,2,8
2015/11/03,,2,8
2015/11/04,,2,9
2015/11/05,,2,9
2015/11/06,,2,9
2015/11/07,,2,9
