date,cewiki (100+),cewiki (5+),cewiki (all)
2013/04/17,2,15,30
2013/04/18,3,16,31
2013/04/19,3,16,32
2013/04/20,3,16,31
2013/04/21,3,16,31
2013/04/22,3,17,32
2013/04/23,3,17,32
2013/04/24,3,17,32
2013/04/25,3,17,32
2013/04/26,3,17,32
2013/04/27,3,17,32
2013/04/28,3,19,32
2013/04/29,4,19,33
2013/04/30,4,19,33
2013/05/01,4,19,33
2013/05/02,4,18,30
2013/05/03,3,15,27
2013/05/04,3,15,27
2013/05/05,3,15,28
2013/05/06,3,15,27
2013/05/07,3,14,27
2013/05/08,3,14,25
2013/05/09,3,14,24
2013/05/10,3,15,24
2013/05/11,3,14,23
2013/05/12,3,14,22
2013/05/13,3,13,22
2013/05/14,3,13,22
2013/05/15,3,12,22
2013/05/16,2,12,20
2013/05/17,2,13,19
2013/05/18,2,10,19
2013/05/19,2,10,18
2013/05/20,2,10,18
2013/05/21,2,10,18
2013/05/22,2,8,16
2013/05/23,2,8,16
2013/05/24,2,8,15
2013/05/25,2,8,17
2013/05/26,2,8,18
2013/05/27,2,8,18
2013/05/28,2,7,18
2013/05/29,2,7,18
2013/05/30,2,7,18
2013/05/31,2,7,18
2013/06/01,2,7,19
2013/06/02,2,7,19
2013/06/03,2,7,19
2013/06/04,2,6,18
2013/06/05,2,6,18
2013/06/06,2,6,19
2013/06/07,2,6,19
2013/06/08,2,7,20
2013/06/09,2,7,19
2013/06/10,2,6,20
2013/06/11,2,5,19
2013/06/12,2,5,19
2013/06/13,2,5,19
2013/06/14,2,5,19
2013/06/15,2,5,18
2013/06/16,2,5,21
2013/06/17,2,5,22
2013/06/18,2,5,22
2013/06/19,2,5,22
2013/06/20,2,5,21
2013/06/21,2,5,23
2013/06/22,2,4,22
2013/06/23,2,4,23
2013/06/24,2,4,22
2013/06/25,2,4,21
2013/06/26,2,4,21
2013/06/27,2,4,20
2013/06/28,2,4,19
2013/06/29,2,4,19
2013/06/30,2,4,19
2013/07/01,2,4,18
2013/07/02,2,4,20
2013/07/03,2,4,21
2013/07/04,2,4,22
2013/07/05,2,4,22
2013/07/06,2,4,21
2013/07/07,2,4,21
2013/07/08,2,3,20
2013/07/09,2,3,21
2013/07/10,2,3,20
2013/07/11,2,3,19
2013/07/12,2,3,19
2013/07/13,2,3,20
2013/07/14,2,3,19
2013/07/15,2,3,19
2013/07/16,2,3,16
2013/07/17,2,3,16
2013/07/18,2,2,17
2013/07/19,2,2,17
2013/07/20,2,2,16
2013/07/21,2,2,13
2013/07/22,2,3,13
2013/07/23,2,3,12
2013/07/24,2,3,12
2013/07/25,2,3,13
2013/07/26,2,3,13
2013/07/27,2,3,13
2013/07/28,2,3,13
2013/07/29,2,3,13
2013/07/30,2,3,14
2013/07/31,2,4,14
2013/08/01,2,4,12
2013/08/02,2,4,11
2013/08/03,2,4,11
2013/08/04,2,4,11
2013/08/05,2,4,12
2013/08/06,2,4,12
2013/08/07,2,4,12
2013/08/08,2,4,11
2013/08/09,2,4,11
2013/08/10,2,4,12
2013/08/11,2,4,12
2013/08/12,2,4,11
2013/08/13,2,4,12
2013/08/14,2,4,12
2013/08/15,2,4,12
2013/08/16,2,4,12
2013/08/17,2,5,13
2013/08/18,2,6,13
2013/08/19,2,6,13
2013/08/20,2,6,13
2013/08/21,2,6,13
2013/08/22,2,6,13
2013/08/23,2,6,13
2013/08/24,2,6,12
2013/08/25,2,6,12
2013/08/26,2,6,13
2013/08/27,2,6,13
2013/08/28,2,6,13
2013/08/29,2,7,13
2013/08/30,2,6,13
2013/08/31,2,6,14
2013/09/01,2,6,14
2013/09/02,2,6,14
2013/09/03,2,7,14
2013/09/04,2,6,14
2013/09/05,2,6,14
2013/09/06,2,6,14
2013/09/07,2,6,14
2013/09/08,2,5,13
2013/09/09,2,5,12
2013/09/10,2,5,12
2013/09/11,2,5,12
2013/09/12,2,5,11
2013/09/13,2,5,11
2013/09/14,2,5,11
2013/09/15,2,5,11
2013/09/16,2,4,10
2013/09/17,2,4,9
2013/09/18,2,4,10
2013/09/19,2,4,10
2013/09/20,2,4,10
2013/09/21,2,4,11
2013/09/22,2,4,13
2013/09/23,2,4,13
2013/09/24,2,5,14
2013/09/25,2,5,14
2013/09/26,2,4,13
2013/09/27,2,4,13
2013/09/28,2,4,14
2013/09/29,2,3,14
2013/09/30,2,3,12
2013/10/01,2,3,12
2013/10/02,2,3,13
2013/10/03,2,3,15
2013/10/04,2,3,16
2013/10/05,2,3,16
2013/10/06,2,3,16
2013/10/07,2,3,16
2013/10/08,2,3,16
2013/10/09,2,3,16
2013/10/10,2,3,15
2013/10/11,2,3,15
2013/10/12,2,3,15
2013/10/13,2,3,15
2013/10/14,2,3,15
2013/10/15,2,3,16
2013/10/16,2,3,17
2013/10/17,2,3,17
2013/10/18,2,3,18
2013/10/19,2,3,18
2013/10/20,2,3,18
2013/10/21,2,3,17
2013/10/22,2,3,16
2013/10/23,2,3,15
2013/10/24,2,2,14
2013/10/25,2,2,16
2013/10/26,2,2,17
2013/10/27,2,2,17
2013/10/28,2,2,17
2013/10/29,2,2,17
2013/10/30,2,2,17
2013/10/31,2,2,17
2013/11/01,2,2,17
2013/11/02,2,2,16
2013/11/03,2,2,16
2013/11/04,2,2,16
2013/11/05,2,2,16
2013/11/06,2,2,17
2013/11/07,2,2,18
2013/11/08,2,2,20
2013/11/09,2,2,21
2013/11/10,2,2,21
2013/11/11,2,2,21
2013/11/12,2,2,21
2013/11/13,2,2,22
2013/11/14,2,2,21
2013/11/15,2,2,22
2013/11/16,2,2,22
2013/11/17,2,2,20
2013/11/18,2,2,21
2013/11/19,2,2,21
2013/11/20,2,2,21
2013/11/21,2,2,21
2013/11/22,2,2,21
2013/11/23,2,2,21
2013/11/24,2,4,18
2013/11/25,2,4,17
2013/11/26,2,5,18
2013/11/27,2,5,19
2013/11/28,2,5,20
2013/11/29,2,5,20
2013/11/30,2,5,19
2013/12/01,2,5,18
2013/12/02,2,5,19
2013/12/03,2,5,20
2013/12/04,2,6,20
2013/12/05,2,6,20
2013/12/06,2,6,21
2013/12/07,2,6,20
2013/12/08,2,6,19
2013/12/09,2,7,21
2013/12/10,2,7,21
2013/12/11,2,8,22
2013/12/12,2,9,22
2013/12/13,2,9,22
2013/12/14,2,9,22
2013/12/15,2,10,20
2013/12/16,2,10,20
2013/12/17,2,10,20
2013/12/18,2,10,20
2013/12/19,2,10,19
2013/12/20,2,10,20
2013/12/21,2,10,20
2013/12/22,2,10,20
2013/12/23,2,10,20
2013/12/24,2,10,20
2013/12/25,2,10,20
2013/12/26,2,9,20
2013/12/27,2,9,22
2013/12/28,2,9,22
2013/12/29,2,9,23
2013/12/30,2,9,23
2013/12/31,2,9,23
2014/01/01,2,9,22
2014/01/02,2,9,21
2014/01/03,2,9,21
2014/01/04,2,9,21
2014/01/05,2,9,21
2014/01/06,2,10,20
2014/01/07,2,10,20
2014/01/08,2,8,20
2014/01/09,2,8,20
2014/01/10,2,7,20
2014/01/11,2,6,21
2014/01/12,2,6,21
2014/01/13,2,6,20
2014/01/14,2,5,21
2014/01/15,2,5,21
2014/01/16,2,5,22
2014/01/17,2,5,23
2014/01/18,2,5,23
2014/01/19,2,6,25
2014/01/20,2,6,25
2014/01/21,2,6,25
2014/01/22,2,6,25
2014/01/23,2,7,26
2014/01/24,2,7,28
2014/01/25,2,7,28
2014/01/26,2,6,28
2014/01/27,2,6,27
2014/01/28,2,6,27
2014/01/29,2,6,27
2014/01/30,2,6,27
2014/01/31,2,6,27
2014/02/01,2,6,27
2014/02/02,2,5,26
2014/02/03,2,5,28
2014/02/04,2,5,29
2014/02/05,2,5,29
2014/02/06,2,5,29
2014/02/07,2,5,29
2014/02/08,2,5,28
2014/02/09,2,5,27
2014/02/10,2,5,27
2014/02/11,2,5,27
2014/02/12,2,6,29
2014/02/13,2,6,28
2014/02/14,2,6,28
2014/02/15,2,6,26
2014/02/16,2,6,26
2014/02/17,2,6,25
2014/02/18,2,6,23
2014/02/19,2,6,23
2014/02/20,2,6,25
2014/02/21,2,5,25
2014/02/22,2,5,23
2014/02/23,2,4,22
2014/02/24,2,3,21
2014/02/25,2,3,21
2014/02/26,2,4,22
2014/02/27,2,3,20
2014/02/28,2,3,20
2014/03/01,2,3,21
2014/03/02,2,3,21
2014/03/03,2,4,19
2014/03/04,2,4,19
2014/03/05,2,4,17
2014/03/06,2,4,16
2014/03/07,2,4,16
2014/03/08,2,4,18
2014/03/09,2,4,18
2014/03/10,2,4,18
2014/03/11,2,4,18
2014/03/12,2,3,18
2014/03/13,2,3,19
2014/03/14,2,3,17
2014/03/15,2,3,20
2014/03/16,2,3,21
2014/03/17,2,3,21
2014/03/18,2,3,20
2014/03/19,2,3,20
2014/03/20,2,3,22
2014/03/21,2,3,22
2014/03/22,2,3,21
2014/03/23,2,4,23
2014/03/24,2,5,23
2014/03/25,2,4,22
2014/03/26,2,4,22
2014/03/27,2,4,23
2014/03/28,2,5,23
2014/03/29,2,6,26
2014/03/30,2,6,26
2014/03/31,2,6,28
2014/04/01,2,6,29
2014/04/02,2,6,29
2014/04/03,2,6,30
2014/04/04,2,6,30
2014/04/05,2,6,30
2014/04/06,2,6,32
2014/04/07,2,6,30
2014/04/08,2,6,31
2014/04/09,2,7,31
2014/04/10,2,7,30
2014/04/11,2,7,30
2014/04/12,2,7,30
2014/04/13,2,7,30
2014/04/14,2,7,27
2014/04/15,2,7,27
2014/04/16,2,7,27
2014/04/17,2,7,29
2014/04/18,2,7,29
2014/04/19,2,7,28
2014/04/20,2,7,28
2014/04/21,2,7,27
2014/04/22,2,6,25
2014/04/23,2,6,24
2014/04/24,2,6,24
2014/04/25,2,6,25
2014/04/26,2,6,24
2014/04/27,2,5,25
2014/04/28,2,5,23
2014/04/29,2,5,25
2014/04/30,2,5,24
2014/05/01,2,5,23
2014/05/02,2,5,23
2014/05/03,2,4,23
2014/05/04,2,4,25
2014/05/05,2,4,27
2014/05/06,2,4,26
2014/05/07,2,4,26
2014/05/08,2,4,25
2014/05/09,2,4,24
2014/05/10,2,4,24
2014/05/11,2,4,23
2014/05/12,2,4,23
2014/05/13,2,4,24
2014/05/14,2,4,25
2014/05/15,2,4,27
2014/05/16,2,4,27
2014/05/17,2,4,27
2014/05/18,2,4,29
2014/05/19,2,4,27
2014/05/20,2,3,27
2014/05/21,2,3,28
2014/05/22,2,3,28
2014/05/23,2,3,32
2014/05/24,2,2,31
2014/05/25,2,3,31
2014/05/26,2,3,31
2014/05/27,2,3,29
2014/05/28,2,3,30
2014/05/29,2,3,29
2014/05/30,2,3,27
2014/05/31,2,3,28
2014/06/01,2,3,31
2014/06/02,2,3,31
2014/06/03,2,4,30
2014/06/04,2,4,28
2014/06/05,2,3,28
2014/06/06,2,3,28
2014/06/07,2,3,30
2014/06/08,1,3,32
2014/06/09,1,3,32
2014/06/10,1,3,31
2014/06/11,1,3,31
2014/06/12,1,3,30
2014/06/13,1,3,28
2014/06/14,1,4,27
2014/06/15,1,4,27
2014/06/16,1,4,27
2014/06/17,1,4,25
2014/06/18,1,5,25
2014/06/19,1,5,26
2014/06/20,1,4,25
2014/06/21,1,4,26
2014/06/22,1,4,24
2014/06/23,1,3,25
2014/06/24,1,3,23
2014/06/25,1,3,23
2014/06/26,1,3,25
2014/06/27,1,3,25
2014/06/28,1,3,25
2014/06/29,1,3,25
2014/06/30,1,3,24
2014/07/01,1,3,21
2014/07/02,1,4,22
2014/07/03,1,4,22
2014/07/04,2,5,23
2014/07/05,2,6,24
2014/07/06,2,7,24
2014/07/07,2,7,22
2014/07/08,2,7,21
2014/07/09,2,7,22
2014/07/10,2,7,22
2014/07/11,2,7,22
2014/07/12,2,7,22
2014/07/13,2,6,22
2014/07/14,2,5,23
2014/07/15,2,5,23
2014/07/16,2,5,22
2014/07/17,2,5,23
2014/07/18,2,5,22
2014/07/19,2,6,23
2014/07/20,2,6,23
2014/07/21,2,6,23
2014/07/22,2,6,20
2014/07/23,2,6,19
2014/07/24,2,6,19
2014/07/25,2,6,19
2014/07/26,2,6,18
2014/07/27,2,6,18
2014/07/28,2,6,21
2014/07/29,2,6,22
2014/07/30,2,6,24
2014/07/31,2,6,24
2014/08/01,2,6,24
2014/08/02,2,6,25
2014/08/03,1,5,24
2014/08/04,1,5,22
2014/08/05,1,4,22
2014/08/06,1,4,23
2014/08/07,1,4,22
2014/08/08,1,3,22
2014/08/09,1,3,22
2014/08/10,1,3,20
2014/08/11,1,4,22
2014/08/12,1,4,22
2014/08/13,1,4,22
2014/08/14,1,4,23
2014/08/15,1,4,24
2014/08/16,1,4,23
2014/08/17,1,4,24
2014/08/18,1,2,23
2014/08/19,1,2,24
2014/08/20,1,2,23
2014/08/21,1,2,23
2014/08/22,1,2,23
2014/08/23,1,2,25
2014/08/24,1,2,26
2014/08/25,1,3,26
2014/08/26,1,4,26
2014/08/27,1,4,25
2014/08/28,1,4,24
2014/08/29,1,4,23
2014/08/30,1,5,24
2014/08/31,1,5,23
2014/09/01,1,5,23
2014/09/02,1,5,25
2014/09/03,1,5,25
2014/09/04,1,5,25
2014/09/05,2,5,24
2014/09/06,2,5,24
2014/09/07,2,5,24
2014/09/08,2,5,25
2014/09/09,2,5,26
2014/09/10,2,5,24
2014/09/11,2,5,24
2014/09/12,2,5,23
2014/09/13,2,5,22
2014/09/14,2,6,22
2014/09/15,2,6,22
2014/09/16,2,6,21
2014/09/17,2,6,21
2014/09/18,2,7,22
2014/09/19,2,7,22
