date,nowiki (100+),nowiki (5+),nowiki (all)
2013/03/09,81,559,1994
2013/03/10,82,561,1965
2013/03/11,81,560,1951
2013/03/12,80,580,1980
2013/03/13,75,587,2007
2013/03/14,75,581,2004
2013/03/15,75,590,2006
2013/03/16,77,588,1997
2013/03/17,76,585,1997
2013/03/18,78,581,1977
2013/03/19,76,585,1984
2013/03/20,76,583,1989
2013/03/21,76,581,1975
2013/03/22,75,581,1960
2013/03/23,75,582,1951
2013/03/24,74,579,1947
2013/03/25,74,575,1958
2013/03/26,73,577,1965
2013/03/27,74,577,1973
2013/03/28,75,576,1955
2013/03/29,74,564,1928
2013/03/30,75,564,1904
2013/03/31,77,566,1873
2013/04/01,75,562,1853
2013/04/02,78,559,1850
2013/04/03,75,564,1879
2013/04/04,75,558,1894
2013/04/05,72,559,1876
2013/04/06,71,551,1861
2013/04/07,73,543,1845
2013/04/08,75,541,1869
2013/04/09,75,547,1909
2013/04/10,79,555,1933
2013/04/11,78,550,1916
2013/04/12,78,536,1887
2013/04/13,78,551,1899
2013/04/14,78,543,1872
2013/04/15,77,532,1870
2013/04/16,75,529,1886
2013/04/17,74,541,1896
2013/04/18,75,545,1901
2013/04/19,73,543,1905
2013/04/20,75,545,1890
2013/04/21,76,549,1865
2013/04/22,77,541,1861
2013/04/23,77,550,1873
2013/04/24,78,551,1900
2013/04/25,79,552,1894
2013/04/26,79,549,1909
2013/04/27,79,553,1932
2013/04/28,80,544,1930
2013/04/29,80,544,1929
2013/04/30,78,563,1973
2013/05/01,78,571,1993
2013/05/02,78,571,1988
2013/05/03,78,580,1965
2013/05/04,79,574,1960
2013/05/05,79,564,1955
2013/05/06,76,566,1930
2013/05/07,76,561,1930
2013/05/08,77,560,1928
2013/05/09,76,558,1893
2013/05/10,75,561,1874
2013/05/11,76,560,1869
2013/05/12,78,562,1862
2013/05/13,79,558,1849
2013/05/14,80,567,1877
2013/05/15,82,576,1894
2013/05/16,82,575,1898
2013/05/17,81,566,1893
2013/05/18,80,555,1854
2013/05/19,81,553,1832
2013/05/20,81,558,1834
2013/05/21,83,564,1850
2013/05/22,86,575,1859
2013/05/23,84,578,1851
2013/05/24,85,579,1851
2013/05/25,86,589,1838
2013/05/26,86,591,1826
2013/05/27,87,588,1804
2013/05/28,86,598,1824
2013/05/29,85,598,1845
2013/05/30,84,578,1808
2013/05/31,84,590,1812
2013/06/01,84,583,1816
2013/06/02,84,574,1792
2013/06/03,86,570,1773
2013/06/04,86,569,1794
2013/06/05,85,571,1802
2013/06/06,83,576,1821
2013/06/07,84,577,1813
2013/06/08,84,573,1792
2013/06/09,83,561,1783
2013/06/10,81,553,1775
2013/06/11,86,553,1767
2013/06/12,82,545,1747
2013/06/13,83,539,1721
2013/06/14,82,540,1714
2013/06/15,82,527,1705
2013/06/16,83,527,1698
2013/06/17,84,534,1711
2013/06/18,84,530,1711
2013/06/19,82,519,1703
2013/06/20,82,512,1697
2013/06/21,82,511,1681
2013/06/22,81,509,1667
2013/06/23,78,502,1650
2013/06/24,76,492,1651
2013/06/25,77,498,1655
2013/06/26,77,501,1656
2013/06/27,76,496,1642
2013/06/28,74,481,1621
2013/06/29,72,476,1619
2013/06/30,71,464,1587
2013/07/01,71,460,1572
2013/07/02,70,461,1572
2013/07/03,74,459,1583
2013/07/04,72,456,1561
2013/07/05,70,458,1542
2013/07/06,69,454,1510
2013/07/07,67,445,1479
2013/07/08,67,442,1462
2013/07/09,66,436,1465
2013/07/10,61,427,1458
2013/07/11,59,421,1450
2013/07/12,60,419,1439
2013/07/13,60,427,1435
2013/07/14,63,424,1420
2013/07/15,63,426,1412
2013/07/16,65,422,1408
2013/07/17,67,423,1411
2013/07/18,67,426,1412
2013/07/19,68,431,1419
2013/07/20,71,432,1409
2013/07/21,69,430,1397
2013/07/22,72,423,1384
2013/07/23,69,426,1378
2013/07/24,66,421,1375
2013/07/25,68,413,1355
2013/07/26,68,414,1332
2013/07/27,65,409,1327
2013/07/28,66,414,1329
2013/07/29,66,420,1321
2013/07/30,70,422,1331
2013/07/31,72,428,1344
2013/08/01,72,427,1349
2013/08/02,73,424,1339
2013/08/03,75,416,1333
2013/08/04,75,420,1310
2013/08/05,72,422,1312
2013/08/06,74,434,1328
2013/08/07,74,435,1353
2013/08/08,72,440,1357
2013/08/09,73,445,1362
2013/08/10,74,444,1361
2013/08/11,73,442,1357
2013/08/12,77,444,1368
2013/08/13,76,451,1385
2013/08/14,77,462,1399
2013/08/15,76,449,1408
2013/08/16,76,443,1421
2013/08/17,77,444,1425
2013/08/18,73,444,1423
2013/08/19,72,444,1435
2013/08/20,72,448,1446
2013/08/21,68,454,1458
2013/08/22,67,455,1468
2013/08/23,68,456,1495
2013/08/24,68,453,1515
2013/08/25,69,450,1509
2013/08/26,71,453,1516
2013/08/27,70,459,1533
2013/08/28,68,469,1574
2013/08/29,68,474,1592
2013/08/30,67,464,1595
2013/08/31,64,464,1589
2013/09/01,64,465,1583
2013/09/02,64,464,1582
2013/09/03,63,467,1607
2013/09/04,64,466,1608
2013/09/05,64,460,1616
2013/09/06,63,461,1620
2013/09/07,63,462,1617
2013/09/08,62,457,1624
2013/09/09,64,459,1622
2013/09/10,62,458,1628
2013/09/11,63,456,1628
2013/09/12,64,455,1636
2013/09/13,63,450,1638
2013/09/14,62,451,1644
2013/09/15,68,456,1642
2013/09/16,67,454,1635
2013/09/17,68,455,1656
2013/09/18,69,448,1650
2013/09/19,69,455,1653
2013/09/20,70,451,1650
2013/09/21,73,446,1659
2013/09/22,75,445,1634
2013/09/23,72,450,1629
2013/09/24,77,451,1636
2013/09/25,76,452,1640
2013/09/26,75,443,1644
2013/09/27,75,439,1622
2013/09/28,76,441,1615
2013/09/29,76,443,1594
2013/09/30,75,442,1594
2013/10/01,75,449,1612
2013/10/02,74,447,1615
2013/10/03,74,454,1627
2013/10/04,72,450,1629
2013/10/05,74,445,1623
2013/10/06,73,442,1616
2013/10/07,73,437,1608
2013/10/08,74,448,1630
2013/10/09,74,453,1652
2013/10/10,72,453,1680
2013/10/11,69,452,1684
2013/10/12,71,452,1662
2013/10/13,70,452,1654
2013/10/14,71,454,1665
2013/10/15,74,460,1671
2013/10/16,71,463,1684
2013/10/17,69,469,1703
2013/10/18,69,471,1708
2013/10/19,68,472,1716
2013/10/20,68,473,1704
2013/10/21,70,476,1681
2013/10/22,71,487,1720
2013/10/23,70,487,1739
2013/10/24,70,495,1768
2013/10/25,71,502,1769
2013/10/26,71,506,1770
2013/10/27,72,507,1765
2013/10/28,72,502,1774
2013/10/29,72,501,1784
2013/10/30,68,501,1801
2013/10/31,68,517,1818
2013/11/01,71,520,1832
2013/11/02,72,519,1831
2013/11/03,74,516,1834
2013/11/04,75,523,1828
2013/11/05,75,523,1854
2013/11/06,73,523,1861
2013/11/07,76,528,1869
2013/11/08,76,532,1886
2013/11/09,76,535,1922
2013/11/10,74,543,1931
2013/11/11,73,538,1939
2013/11/12,74,546,1982
2013/11/13,75,544,1989
2013/11/14,76,547,2004
2013/11/15,79,553,2002
2013/11/16,75,541,1965
2013/11/17,74,538,1947
2013/11/18,76,537,1938
2013/11/19,77,537,1969
2013/11/20,74,541,1991
2013/11/21,75,529,1979
2013/11/22,74,528,1964
2013/11/23,76,528,1968
2013/11/24,76,530,1968
2013/11/25,75,525,1957
2013/11/26,75,528,1978
2013/11/27,75,532,1992
2013/11/28,77,531,2006
2013/11/29,74,518,2003
2013/11/30,75,496,1988
2013/12/01,73,479,1962
2013/12/02,75,472,1943
2013/12/03,76,476,1967
2013/12/04,74,469,1961
2013/12/05,75,469,1937
2013/12/06,75,474,1932
2013/12/07,73,474,1909
2013/12/08,75,470,1878
2013/12/09,76,473,1823
2013/12/10,78,479,1821
2013/12/11,77,476,1826
2013/12/12,75,482,1820
2013/12/13,75,489,1810
2013/12/14,75,492,1799
2013/12/15,75,487,1785
2013/12/16,74,487,1773
2013/12/17,75,493,1792
2013/12/18,75,500,1808
2013/12/19,72,504,1798
2013/12/20,72,497,1791
2013/12/21,72,490,1775
2013/12/22,72,487,1745
2013/12/23,68,485,1718
2013/12/24,68,481,1722
2013/12/25,68,481,1714
2013/12/26,68,471,1694
2013/12/27,65,468,1663
2013/12/28,65,460,1632
2013/12/29,65,462,1612
2013/12/30,64,458,1578
2013/12/31,61,459,1587
2014/01/01,58,463,1576
2014/01/02,61,461,1561
2014/01/03,64,462,1562
2014/01/04,65,464,1567
2014/01/05,66,461,1552
2014/01/06,67,459,1567
2014/01/07,67,466,1577
2014/01/08,69,465,1588
2014/01/09,67,466,1594
2014/01/10,67,461,1606
2014/01/11,68,465,1588
2014/01/12,65,454,1577
2014/01/13,66,449,1561
2014/01/14,68,461,1588
2014/01/15,68,476,1618
2014/01/16,71,477,1615
2014/01/17,70,490,1659
2014/01/18,72,515,1677
2014/01/19,71,514,1663
2014/01/20,70,525,1690
2014/01/21,74,524,1714
2014/01/22,74,544,1758
2014/01/23,76,552,1778
2014/01/24,78,567,1822
2014/01/25,77,573,1851
2014/01/26,77,574,1878
2014/01/27,75,575,1879
2014/01/28,78,582,1909
2014/01/29,78,591,1937
2014/01/30,77,594,1941
2014/01/31,77,592,1975
2014/02/01,78,591,1981
2014/02/02,76,586,1974
2014/02/03,77,589,1952
2014/02/04,78,588,1962
2014/02/05,78,586,1962
2014/02/06,76,584,1988
2014/02/07,77,582,1996
2014/02/08,77,581,2000
2014/02/09,78,574,1971
2014/02/10,76,573,1962
2014/02/11,76,579,1987
2014/02/12,77,583,2006
2014/02/13,77,582,2013
2014/02/14,75,580,2001
2014/02/15,75,577,2007
2014/02/16,77,565,1975
2014/02/17,77,537,1930
2014/02/18,78,534,1949
2014/02/19,78,535,1969
2014/02/20,78,536,1961
2014/02/21,77,524,1939
2014/02/22,77,522,1908
2014/02/23,78,507,1874
2014/02/24,75,494,1867
2014/02/25,80,496,1869
2014/02/26,82,494,1887
2014/02/27,79,497,1872
2014/02/28,79,489,1868
2014/03/01,79,493,1877
2014/03/02,78,492,1839
2014/03/03,82,495,1834
2014/03/04,80,501,1848
2014/03/05,79,498,1865
2014/03/06,77,493,1866
2014/03/07,78,492,1870
2014/03/08,82,492,1839
2014/03/09,79,486,1822
2014/03/10,81,487,1803
2014/03/11,81,495,1836
2014/03/12,83,492,1851
2014/03/13,85,485,1848
2014/03/14,85,483,1848
2014/03/15,82,487,1853
2014/03/16,78,484,1826
2014/03/17,82,486,1827
2014/03/18,79,495,1855
2014/03/19,78,505,1860
2014/03/20,77,505,1859
2014/03/21,78,502,1843
2014/03/22,78,498,1847
2014/03/23,78,493,1836
2014/03/24,80,498,1854
2014/03/25,78,502,1863
2014/03/26,77,502,1872
2014/03/27,73,511,1889
2014/03/28,73,506,1888
2014/03/29,75,500,1884
2014/03/30,74,495,1859
2014/03/31,74,492,1831
2014/04/01,76,506,1865
2014/04/02,76,508,1877
2014/04/03,77,515,1890
2014/04/04,73,512,1886
2014/04/05,74,510,1888
2014/04/06,74,503,1853
2014/04/07,73,500,1845
2014/04/08,74,501,1858
2014/04/09,73,504,1867
2014/04/10,70,499,1875
2014/04/11,68,501,1879
2014/04/12,67,501,1863
2014/04/13,70,498,1837
2014/04/14,72,496,1811
2014/04/15,73,497,1812
2014/04/16,74,496,1798
2014/04/17,76,495,1774
2014/04/18,76,484,1759
2014/04/19,77,481,1744
2014/04/20,79,472,1712
2014/04/21,75,470,1703
2014/04/22,74,468,1706
2014/04/23,78,478,1705
2014/04/24,79,476,1714
2014/04/25,79,484,1714
2014/04/26,80,474,1689
2014/04/27,80,463,1668
2014/04/28,80,460,1651
2014/04/29,82,469,1653
2014/04/30,80,469,1677
2014/05/01,80,464,1670
2014/05/02,80,461,1660
2014/05/03,80,456,1648
2014/05/04,78,442,1618
2014/05/05,80,437,1608
2014/05/06,79,450,1636
2014/05/07,77,453,1656
2014/05/08,78,455,1661
2014/05/09,76,452,1644
2014/05/10,75,459,1629
2014/05/11,76,454,1603
2014/05/12,76,446,1586
2014/05/13,75,455,1603
2014/05/14,73,458,1624
2014/05/15,75,466,1639
2014/05/16,75,468,1653
2014/05/17,72,472,1650
2014/05/18,72,467,1634
2014/05/19,72,467,1646
2014/05/20,73,477,1690
2014/05/21,75,481,1727
2014/05/22,73,481,1739
2014/05/23,74,487,1724
2014/05/24,73,486,1691
2014/05/25,74,474,1659
2014/05/26,77,465,1646
2014/05/27,77,473,1672
2014/05/28,76,479,1670
2014/05/29,75,470,1668
2014/05/30,74,469,1645
2014/05/31,73,464,1627
2014/06/01,71,465,1611
2014/06/02,71,460,1606
2014/06/03,73,464,1610
2014/06/04,72,469,1626
2014/06/05,72,458,1627
2014/06/06,71,458,1609
2014/06/07,73,452,1601
2014/06/08,74,451,1575
2014/06/09,72,445,1556
2014/06/10,71,448,1559
2014/06/11,70,453,1562
2014/06/12,70,447,1561
2014/06/13,71,451,1554
2014/06/14,67,445,1535
2014/06/15,67,444,1513
2014/06/16,67,444,1512
2014/06/17,66,452,1532
2014/06/18,64,450,1532
2014/06/19,65,453,1519
2014/06/20,65,438,1477
2014/06/21,65,440,1473
2014/06/22,66,431,1463
2014/06/23,68,434,1459
2014/06/24,67,436,1458
2014/06/25,66,433,1461
2014/06/26,67,418,1423
2014/06/27,67,420,1431
2014/06/28,66,417,1423
2014/06/29,64,420,1426
2014/06/30,64,419,1418
2014/07/01,65,425,1438
2014/07/02,67,427,1434
2014/07/03,67,427,1441
2014/07/04,67,422,1414
2014/07/05,68,424,1395
2014/07/06,67,419,1382
2014/07/07,67,422,1374
2014/07/08,67,426,1382
2014/07/09,67,427,1386
2014/07/10,66,418,1380
2014/07/11,68,412,1372
2014/07/12,68,400,1355
2014/07/13,66,397,1355
2014/07/14,65,389,1345
2014/07/15,65,387,1338
2014/07/16,64,394,1350
2014/07/17,66,389,1358
2014/07/18,67,389,1355
2014/07/19,67,381,1349
2014/07/20,69,388,1348
2014/07/21,70,388,1320
2014/07/22,70,387,1329
2014/07/23,69,387,1325
2014/07/24,67,389,1322
2014/07/25,69,389,1317
2014/07/26,70,397,1323
2014/07/27,72,392,1308
2014/07/28,71,388,1314
2014/07/29,69,384,1311
2014/07/30,68,374,1297
2014/07/31,63,379,1285
2014/08/01,65,379,1281
2014/08/02,62,371,1274
2014/08/03,62,367,1265
2014/08/04,63,369,1268
2014/08/05,61,376,1280
2014/08/06,57,374,1286
2014/08/07,57,364,1290
2014/08/08,57,365,1293
2014/08/09,58,373,1309
2014/08/10,59,374,1315
2014/08/11,58,377,1318
2014/08/12,60,376,1327
2014/08/13,64,382,1335
2014/08/14,65,384,1342
2014/08/15,68,377,1337
2014/08/16,70,384,1376
2014/08/17,70,380,1366
2014/08/18,70,376,1352
2014/08/19,69,377,1372
2014/08/20,69,382,1409
2014/08/21,73,385,1411
2014/08/22,72,386,1422
2014/08/23,71,380,1447
2014/08/24,71,379,1446
2014/08/25,73,384,1453
2014/08/26,74,387,1483
2014/08/27,74,389,1476
2014/08/28,73,391,1477
2014/08/29,77,395,1508
2014/08/30,79,391,1496
2014/08/31,82,397,1500
2014/09/01,83,397,1491
2014/09/02,82,404,1514
2014/09/03,81,400,1533
2014/09/04,80,399,1525
2014/09/05,81,400,1535
2014/09/06,82,399,1552
2014/09/07,78,403,1553
2014/09/08,77,396,1547
2014/09/09,79,400,1560
2014/09/10,79,401,1566
2014/09/11,78,400,1554
2014/09/12,78,396,1536
2014/09/13,79,405,1543
2014/09/14,79,406,1549
2014/09/15,75,399,1510
2014/09/16,76,402,1530
2014/09/17,75,402,1545
2014/09/18,74,400,1544
2014/09/19,74,408,1539
2014/09/20,74,413,1532
2014/09/21,71,414,1535
2014/09/22,71,415,1529
2014/09/23,68,412,1543
2014/09/24,69,412,1540
2014/09/25,72,417,1536
2014/09/26,69,418,1546
2014/09/27,69,413,1542
2014/09/28,68,403,1527
2014/09/29,67,411,1533
2014/09/30,69,416,1537
2014/10/01,68,420,1547
2014/10/02,68,419,1545
2014/10/03,70,418,1515
2014/10/04,70,418,1505
2014/10/05,70,420,1507
2014/10/06,70,416,1493
2014/10/07,70,417,1501
2014/10/08,71,421,1521
2014/10/09,70,417,1513
2014/10/10,70,413,1524
2014/10/11,70,415,1514
2014/10/12,70,411,1512
2014/10/13,69,404,1519
2014/10/14,69,410,1560
2014/10/15,71,414,1601
2014/10/16,69,419,1596
2014/10/17,68,424,1583
2014/10/18,68,424,1576
2014/10/19,66,416,1562
2014/10/20,66,412,1549
2014/10/21,66,414,1566
2014/10/22,66,421,1584
2014/10/23,64,416,1586
2014/10/24,63,426,1600
2014/10/25,61,418,1603
2014/10/26,62,417,1584
2014/10/27,63,415,1583
2014/10/28,62,423,1605
2014/10/29,61,422,1617
2014/10/30,61,421,1622
2014/10/31,61,424,1658
2014/11/01,61,434,1664
2014/11/02,60,427,1659
2014/11/03,59,425,1652
2014/11/04,59,426,1666
2014/11/05,59,428,1677
2014/11/06,58,429,1677
2014/11/07,57,435,1671
2014/11/08,58,442,1688
2014/11/09,57,445,1676
2014/11/10,57,439,1674
2014/11/11,55,450,1695
2014/11/12,57,454,1700
2014/11/13,56,458,1691
2014/11/14,57,454,1665
2014/11/15,57,460,1653
2014/11/16,57,451,1636
2014/11/17,54,449,1634
2014/11/18,55,451,1642
2014/11/19,57,455,1663
2014/11/20,59,457,1658
2014/11/21,59,447,1650
2014/11/22,60,450,1643
2014/11/23,60,443,1625
2014/11/24,60,441,1605
2014/11/25,59,449,1628
2014/11/26,60,445,1627
2014/11/27,60,451,1620
2014/11/28,60,449,1608
2014/11/29,62,439,1591
2014/11/30,59,431,1562
2014/12/01,60,422,1540
2014/12/02,63,431,1548
2014/12/03,61,431,1548
2014/12/04,60,424,1538
2014/12/05,59,426,1537
2014/12/06,61,433,1546
2014/12/07,61,424,1544
2014/12/08,63,420,1527
2014/12/09,63,421,1542
2014/12/10,63,426,1550
2014/12/11,64,423,1537
2014/12/12,66,421,1517
2014/12/13,66,413,1503
2014/12/14,65,405,1501
2014/12/15,66,399,1504
2014/12/16,66,402,1504
2014/12/17,64,398,1516
2014/12/18,65,399,1525
2014/12/19,66,393,1514
2014/12/20,67,385,1505
2014/12/21,68,386,1492
2014/12/22,68,385,1497
2014/12/23,70,387,1494
2014/12/24,71,385,1482
2014/12/25,71,374,1447
2014/12/26,67,376,1434
2014/12/27,65,376,1409
2014/12/28,64,376,1396
2014/12/29,64,380,1398
2014/12/30,66,381,1402
2014/12/31,66,379,1412
2015/01/01,60,378,1405
2015/01/02,62,378,1404
2015/01/03,63,382,1410
2015/01/04,68,378,1394
2015/01/05,68,373,1386
2015/01/06,69,377,1388
2015/01/07,70,386,1416
2015/01/08,70,388,1431
2015/01/09,70,393,1443
2015/01/10,69,390,1450
2015/01/11,71,396,1448
2015/01/12,70,399,1432
2015/01/13,73,401,1435
2015/01/14,72,407,1464
2015/01/15,72,420,1500
2015/01/16,71,421,1511
2015/01/17,70,421,1516
2015/01/18,70,420,1519
2015/01/19,71,422,1523
2015/01/20,72,425,1550
2015/01/21,71,423,1562
2015/01/22,72,427,1587
2015/01/23,75,428,1614
2015/01/24,76,440,1646
2015/01/25,77,451,1655
2015/01/26,77,452,1672
2015/01/27,78,455,1700
2015/01/28,80,460,1714
2015/01/29,78,459,1730
2015/01/30,80,461,1748
2015/01/31,80,464,1768
2015/02/01,80,464,1761
2015/02/02,81,463,1766
2015/02/03,80,466,1781
2015/02/04,79,475,1784
2015/02/05,79,473,1797
2015/02/06,82,470,1786
2015/02/07,79,468,1780
2015/02/08,78,468,1775
2015/02/09,76,465,1773
2015/02/10,76,465,1816
2015/02/11,77,478,1849
2015/02/12,75,472,1868
2015/02/13,73,469,1864
2015/02/14,71,461,1853
2015/02/15,71,454,1844
2015/02/16,73,456,1835
2015/02/17,70,459,1842
2015/02/18,71,461,1856
2015/02/19,72,465,1852
2015/02/20,75,458,1845
2015/02/21,74,466,1853
2015/02/22,72,457,1841
2015/02/23,73,451,1834
2015/02/24,73,451,1853
2015/02/25,74,451,1857
2015/02/26,72,449,1857
2015/02/27,72,445,1866
2015/02/28,76,445,1860
2015/03/01,76,440,1853
2015/03/02,78,437,1844
2015/03/03,78,450,1866
2015/03/04,78,458,1905
2015/03/05,79,455,1915
2015/03/06,79,455,1926
2015/03/07,77,453,1919
2015/03/08,75,460,1917
2015/03/09,76,462,1920
2015/03/10,77,474,1936
2015/03/11,81,476,1935
2015/03/12,83,487,1926
2015/03/13,83,487,1905
2015/03/14,85,489,1893
2015/03/15,85,485,1883
2015/03/16,85,484,1865
2015/03/17,87,490,1887
2015/03/18,85,489,1900
2015/03/19,86,488,1906
2015/03/20,87,495,1926
2015/03/21,87,496,1920
2015/03/22,84,491,1907
2015/03/23,85,482,1908
2015/03/24,86,488,1921
2015/03/25,83,490,1922
2015/03/26,84,487,1927
2015/03/27,80,486,1913
2015/03/28,80,484,1914
2015/03/29,80,483,1902
2015/03/30,85,492,1904
2015/03/31,82,488,1896
2015/04/01,82,487,1894
2015/04/02,82,485,1864
2015/04/03,81,484,1805
2015/04/04,80,477,1767
2015/04/05,80,469,1756
2015/04/06,79,474,1733
2015/04/07,82,470,1726
2015/04/08,83,476,1737
2015/04/09,80,467,1721
2015/04/10,78,473,1708
2015/04/11,79,465,1681
2015/04/12,76,455,1666
2015/04/13,75,455,1645
2015/04/14,74,458,1652
2015/04/15,75,469,1664
2015/04/16,75,469,1661
2015/04/17,75,467,1660
2015/04/18,77,464,1651
2015/04/19,76,459,1606
2015/04/20,72,452,1592
2015/04/21,71,456,1602
2015/04/22,70,456,1602
2015/04/23,73,458,1587
2015/04/24,73,460,1561
2015/04/25,74,463,1555
2015/04/26,76,463,1537
2015/04/27,77,465,1526
2015/04/28,76,459,1541
2015/04/29,74,457,1544
2015/04/30,76,458,1550
2015/05/01,77,457,1557
2015/05/02,79,454,1563
2015/05/03,79,459,1574
2015/05/04,78,460,1592
2015/05/05,76,455,1626
2015/05/06,75,457,1631
2015/05/07,75,467,1633
2015/05/08,75,463,1615
2015/05/09,75,464,1606
2015/05/10,74,467,1599
2015/05/11,73,465,1591
