date,csbwiki (100+),csbwiki (5+),csbwiki (all)
2013/05/11,,3,12
2013/05/12,,3,12
2013/05/13,,3,12
2013/05/14,,3,12
2013/05/15,,3,12
2013/05/16,,3,12
2013/05/17,,3,13
2013/05/18,,3,13
2013/05/19,,3,13
2013/05/20,,3,12
2013/05/21,,3,12
2013/05/22,,3,11
2013/05/23,,3,13
2013/05/24,,3,13
2013/05/25,,3,13
2013/05/26,,3,13
2013/05/27,,3,13
2013/05/28,1,3,14
2013/05/29,1,3,14
2013/05/30,1,3,14
2013/05/31,1,3,15
2013/06/01,1,3,15
2013/06/02,1,3,14
2013/06/03,1,3,14
2013/06/04,1,3,14
2013/06/05,1,2,14
2013/06/06,1,2,14
2013/06/07,1,2,14
2013/06/08,1,2,13
2013/06/09,1,2,13
2013/06/10,1,2,12
2013/06/11,1,2,12
2013/06/12,1,2,12
2013/06/13,1,2,12
2013/06/14,1,2,11
2013/06/15,1,2,11
2013/06/16,1,2,10
2013/06/17,1,2,10
2013/06/18,1,2,11
2013/06/19,1,2,11
2013/06/20,1,2,11
2013/06/21,1,2,11
2013/06/22,1,2,10
2013/06/23,1,2,11
2013/06/24,1,2,11
2013/06/25,1,2,11
2013/06/26,,2,11
2013/06/27,,2,10
2013/06/28,,2,10
2013/06/29,,2,10
2013/06/30,,2,10
2013/07/01,,2,10
2013/07/02,,2,11
2013/07/03,,2,12
2013/07/04,,2,12
2013/07/05,,2,12
2013/07/06,,2,13
2013/07/07,,2,13
2013/07/08,,2,13
2013/07/09,,2,13
2013/07/10,,2,13
2013/07/11,,2,14
2013/07/12,,2,13
2013/07/13,,2,13
2013/07/14,,2,13
2013/07/15,,2,13
2013/07/16,,2,12
2013/07/17,,1,12
2013/07/18,,1,12
2013/07/19,,2,12
2013/07/20,,2,12
2013/07/21,,2,13
2013/07/22,,2,12
2013/07/23,,1,11
2013/07/24,,1,12
2013/07/25,,1,12
2013/07/26,,1,12
2013/07/27,,1,13
2013/07/28,,1,13
2013/07/29,,1,13
2013/07/30,,1,12
2013/07/31,,1,12
2013/08/01,,1,11
2013/08/02,,,10
2013/08/03,,,10
2013/08/04,,,9
2013/08/05,,,9
2013/08/06,,,9
2013/08/07,,,9
2013/08/08,,1,9
2013/08/09,,1,9
2013/08/10,,3,11
2013/08/11,,3,11
2013/08/12,,4,15
2013/08/13,,4,15
2013/08/14,,4,16
2013/08/15,,5,16
2013/08/16,,5,16
2013/08/17,,5,15
2013/08/18,,5,15
2013/08/19,,5,15
2013/08/20,,5,14
2013/08/21,,6,14
2013/08/22,,6,14
2013/08/23,,6,14
2013/08/24,,6,14
2013/08/25,,6,14
2013/08/26,,6,13
2013/08/27,,6,12
2013/08/28,,6,12
2013/08/29,,7,13
2013/08/30,,6,13
2013/08/31,,6,13
2013/09/01,,6,13
2013/09/02,,6,13
2013/09/03,,6,13
2013/09/04,,6,13
2013/09/05,,6,13
2013/09/06,,6,13
2013/09/07,,6,12
2013/09/08,,5,13
2013/09/09,,3,11
2013/09/10,,3,11
2013/09/11,,3,8
2013/09/12,,3,8
2013/09/13,,3,7
2013/09/14,,2,5
2013/09/15,,2,5
2013/09/16,,2,5
2013/09/17,,2,5
2013/09/18,,2,5
2013/09/19,,2,6
2013/09/20,,1,6
2013/09/21,,1,6
2013/09/22,,,5
2013/09/23,,,5
2013/09/24,,,5
2013/09/25,,,6
2013/09/26,,,6
2013/09/27,,,6
2013/09/28,,,6
2013/09/29,,,5
2013/09/30,,,6
2013/10/01,,,6
2013/10/02,,,6
2013/10/03,,,6
2013/10/04,,,7
2013/10/05,,,7
2013/10/06,,,8
2013/10/07,,,9
2013/10/08,,,8
2013/10/09,,,8
2013/10/10,,,9
2013/10/11,,,9
2013/10/12,,,9
2013/10/13,,,9
2013/10/14,,,9
2013/10/15,,,9
2013/10/16,,,9
2013/10/17,,,9
2013/10/18,,,9
2013/10/19,,,10
2013/10/20,,,10
2013/10/21,,,10
2013/10/22,,,10
2013/10/23,,,10
2013/10/24,,,10
2013/10/25,,,10
2013/10/26,,,10
2013/10/27,,,10
2013/10/28,,,10
2013/10/29,,,11
2013/10/30,,,11
2013/10/31,,,11
2013/11/01,,,12
2013/11/02,,,12
2013/11/03,,,13
2013/11/04,,,15
2013/11/05,,,15
2013/11/06,,,14
2013/11/07,,,13
2013/11/08,,,13
2013/11/09,,,12
2013/11/10,,,11
2013/11/11,,,11
2013/11/12,,,11
2013/11/13,,,12
2013/11/14,,,13
2013/11/15,,1,13
2013/11/16,,1,15
2013/11/17,,1,15
2013/11/18,,1,14
2013/11/19,,1,15
2013/11/20,,2,16
2013/11/21,,2,17
2013/11/22,,2,17
2013/11/23,,2,17
2013/11/24,,2,16
2013/11/25,,2,15
2013/11/26,,2,15
2013/11/27,,2,15
2013/11/28,,1,15
2013/11/29,,1,14
2013/11/30,,1,14
2013/12/01,,1,13
2013/12/02,,1,13
2013/12/03,,1,12
2013/12/04,,,11
2013/12/05,,,11
2013/12/06,,,11
2013/12/07,,,11
2013/12/08,,,11
2013/12/09,,,11
2013/12/10,,,12
2013/12/11,,,12
2013/12/12,,,12
2013/12/13,,,11
2013/12/14,,,10
2013/12/15,,,10
2013/12/16,,,10
2013/12/17,,,10
2013/12/18,,,10
2013/12/19,,,10
2013/12/20,,,8
2013/12/21,,,7
2013/12/22,,,6
2013/12/23,,,6
2013/12/24,,,7
2013/12/25,,,7
2013/12/26,,,7
2013/12/27,,,7
2013/12/28,,,7
2013/12/29,,,8
2013/12/30,,,8
2013/12/31,,,8
2014/01/01,,,8
2014/01/02,,,8
2014/01/03,,,11
2014/01/04,,1,12
2014/01/05,,1,12
2014/01/06,,1,12
2014/01/07,,1,12
2014/01/08,,1,13
2014/01/09,,1,13
2014/01/10,,,13
2014/01/11,,,13
2014/01/12,,,14
2014/01/13,,,14
2014/01/14,,,14
2014/01/15,,,13
2014/01/16,,,13
2014/01/17,,,13
2014/01/18,,,13
2014/01/19,,,13
2014/01/20,,,13
2014/01/21,,,13
2014/01/22,,,14
2014/01/23,,,13
2014/01/24,,,14
2014/01/25,,,14
2014/01/26,,,15
2014/01/27,,,16
2014/01/28,,,15
2014/01/29,,,15
2014/01/30,,,15
2014/01/31,,,15
2014/02/01,,,15
2014/02/02,,,12
2014/02/03,,,10
2014/02/04,,,10
2014/02/05,,,10
2014/02/06,,,11
2014/02/07,,,11
2014/02/08,,,10
2014/02/09,,,9
2014/02/10,,,9
2014/02/11,,,8
2014/02/12,,,8
2014/02/13,,,8
2014/02/14,,,8
2014/02/15,,,8
2014/02/16,,,8
2014/02/17,,,8
2014/02/18,,,8
2014/02/19,,,8
2014/02/20,,,9
2014/02/21,,,8
2014/02/22,,,8
2014/02/23,,,6
2014/02/24,,,7
2014/02/25,,,6
2014/02/26,,,6
2014/02/27,,,6
2014/02/28,,,7
2014/03/01,,,7
2014/03/02,,,7
2014/03/03,,,7
2014/03/04,,,7
2014/03/05,,,7
2014/03/06,,,7
2014/03/07,,,8
2014/03/08,,,8
2014/03/09,,,8
2014/03/10,,,8
2014/03/11,,,8
2014/03/12,,,7
2014/03/13,,,7
2014/03/14,,,7
2014/03/15,,,7
2014/03/16,,,8
2014/03/17,,,8
2014/03/18,,,8
2014/03/19,,1,9
2014/03/20,,1,9
2014/03/21,,1,10
2014/03/22,,1,9
2014/03/23,,1,9
2014/03/24,,2,9
2014/03/25,,2,9
2014/03/26,,1,14
2014/03/27,,1,15
2014/03/28,,1,14
2014/03/29,,1,13
2014/03/30,,1,13
2014/03/31,,1,13
2014/04/01,,1,13
2014/04/02,,1,13
2014/04/03,,1,13
2014/04/04,,1,13
2014/04/05,,1,16
2014/04/06,,1,16
2014/04/07,,1,17
2014/04/08,,1,17
2014/04/09,,1,18
2014/04/10,,1,18
2014/04/11,,2,18
2014/04/12,,2,19
2014/04/13,,2,20
2014/04/14,,2,21
2014/04/15,,2,20
2014/04/16,,3,21
2014/04/17,,3,21
2014/04/18,,2,22
2014/04/19,,2,23
2014/04/20,,2,23
2014/04/21,,2,23
2014/04/22,,2,23
2014/04/23,,2,23
2014/04/24,,2,22
2014/04/25,,2,19
2014/04/26,,2,18
2014/04/27,,2,18
2014/04/28,,2,18
2014/04/29,,2,17
2014/04/30,,2,17
2014/05/01,,2,17
2014/05/02,,2,17
2014/05/03,,2,18
2014/05/04,,2,18
2014/05/05,,2,17
2014/05/06,,2,17
2014/05/07,,2,16
2014/05/08,,2,15
2014/05/09,,2,14
2014/05/10,,2,14
2014/05/11,,1,14
2014/05/12,,1,14
2014/05/13,,1,13
2014/05/14,,1,12
2014/05/15,,1,12
2014/05/16,,,11
2014/05/17,,,11
2014/05/18,,,9
2014/05/19,,,8
2014/05/20,,,8
2014/05/21,,,8
2014/05/22,,,8
2014/05/23,,,9
2014/05/24,,,9
2014/05/25,,,9
2014/05/26,,,6
2014/05/27,,,7
2014/05/28,,,8
2014/05/29,,,8
2014/05/30,,,8
2014/05/31,,,7
2014/06/01,,,9
2014/06/02,,,8
2014/06/03,,,8
2014/06/04,,,8
2014/06/05,,,11
2014/06/06,,,10
2014/06/07,,,10
2014/06/08,,,11
2014/06/09,,,11
2014/06/10,,,11
2014/06/11,,,10
2014/06/12,,,10
2014/06/13,,,10
2014/06/14,,,11
2014/06/15,,,11
2014/06/16,,,11
2014/06/17,,,12
2014/06/18,,,13
2014/06/19,,,13
2014/06/20,,,13
2014/06/21,,,13
2014/06/22,,,12
2014/06/23,,,12
2014/06/24,,,12
2014/06/25,,,13
2014/06/26,,,13
2014/06/27,,,14
2014/06/28,,,14
2014/06/29,,,14
2014/06/30,,,14
2014/07/01,,,13
2014/07/02,,,13
2014/07/03,,,13
2014/07/04,,,13
2014/07/05,,,10
2014/07/06,,,10
2014/07/07,,,10
2014/07/08,,,9
2014/07/09,,,9
2014/07/10,,,9
2014/07/11,,,9
2014/07/12,,,11
2014/07/13,,,11
2014/07/14,,,10
2014/07/15,,1,10
2014/07/16,,1,11
2014/07/17,,1,10
2014/07/18,,1,10
2014/07/19,,1,10
2014/07/20,,1,10
2014/07/21,,1,11
2014/07/22,,1,11
2014/07/23,,1,11
2014/07/24,,1,12
2014/07/25,,1,11
2014/07/26,,1,11
2014/07/27,,1,10
2014/07/28,,3,12
2014/07/29,1,4,13
2014/07/30,1,4,13
2014/07/31,1,4,13
2014/08/01,1,4,14
2014/08/02,1,4,14
2014/08/03,1,3,14
2014/08/04,1,3,15
2014/08/05,1,3,16
2014/08/06,1,3,17
2014/08/07,1,3,17
2014/08/08,1,3,17
2014/08/09,1,4,18
2014/08/10,1,4,19
2014/08/11,1,4,18
2014/08/12,1,4,19
2014/08/13,1,4,20
2014/08/14,1,5,20
2014/08/15,1,5,19
2014/08/16,1,5,18
2014/08/17,1,5,17
2014/08/18,1,5,17
2014/08/19,1,5,18
2014/08/20,1,5,18
2014/08/21,1,5,18
2014/08/22,1,5,19
2014/08/23,1,5,19
2014/08/24,1,5,18
2014/08/25,1,4,17
2014/08/26,1,4,17
2014/08/27,1,3,18
2014/08/28,,2,18
2014/08/29,,2,18
2014/08/30,,2,17
2014/08/31,,2,16
2014/09/01,,2,17
2014/09/02,,2,18
2014/09/03,,2,17
2014/09/04,,2,17
2014/09/05,,1,15
2014/09/06,,1,16
2014/09/07,,1,15
2014/09/08,,1,13
2014/09/09,,1,12
2014/09/10,,1,14
2014/09/11,,1,14
2014/09/12,,1,13
2014/09/13,,1,13
2014/09/14,,1,13
2014/09/15,,1,13
2014/09/16,,1,12
2014/09/17,,1,12
2014/09/18,,1,11
2014/09/19,,1,11
2014/09/20,,1,11
2014/09/21,,1,11
2014/09/22,,1,11
2014/09/23,,1,11
