date,crwiki (100+),crwiki (5+),crwiki (all)
2012/11/11,,8,21
2012/11/12,,8,21
2012/11/13,,9,21
2012/11/14,,10,21
2012/11/15,,10,21
2012/11/16,,10,20
2012/11/17,,10,20
2012/11/18,,10,20
2012/11/19,,10,20
2012/11/20,,10,19
2012/11/21,,10,19
2012/11/22,,10,20
2012/11/23,,10,20
2012/11/24,,9,19
2012/11/25,,9,19
2012/11/26,,9,19
2012/11/27,,9,19
2012/11/28,,8,18
2012/11/29,,9,19
2012/11/30,,9,19
2012/12/01,,9,19
2012/12/02,,8,19
2012/12/03,,8,17
2012/12/04,,8,17
2012/12/05,,8,16
2012/12/06,,8,16
2012/12/07,,8,16
2012/12/08,,8,17
2012/12/09,,9,17
2012/12/10,,9,17
2012/12/11,,9,17
2012/12/12,,9,17
2012/12/13,,9,17
2012/12/14,,8,18
2012/12/15,,8,18
2012/12/16,,8,18
2012/12/17,,8,17
2012/12/18,,8,17
2012/12/19,,8,19
2012/12/20,,8,19
2012/12/21,,8,19
2012/12/22,,8,18
2012/12/23,,8,19
2012/12/24,,8,19
2012/12/25,,7,19
2012/12/26,,8,19
2012/12/27,,8,19
2012/12/28,,8,19
2012/12/29,,7,18
2012/12/30,,6,17
2012/12/31,,6,18
2013/01/01,,6,18
2013/01/02,,6,18
2013/01/03,,6,19
2013/01/04,,6,19
2013/01/05,,7,19
2013/01/06,,7,19
2013/01/07,,7,18
2013/01/08,,6,18
2013/01/09,,6,17
2013/01/10,,6,17
2013/01/11,,6,17
2013/01/12,,7,16
2013/01/13,,7,16
2013/01/14,,7,17
2013/01/15,,7,18
2013/01/16,,7,18
2013/01/17,,7,18
2013/01/18,,7,19
2013/01/19,,7,19
2013/01/20,,7,19
2013/01/21,,7,20
2013/01/22,,6,19
2013/01/23,,6,19
2013/01/24,,6,19
2013/01/25,,6,20
2013/01/26,,6,20
2013/01/27,,6,20
2013/01/28,,6,20
2013/01/29,,6,21
2013/01/30,,6,19
2013/01/31,,5,19
2013/02/01,,5,19
2013/02/02,,4,19
2013/02/03,,4,19
2013/02/04,,4,19
2013/02/05,,4,21
2013/02/06,,4,21
2013/02/07,,4,21
2013/02/08,,4,21
2013/02/09,,5,21
2013/02/10,,5,21
2013/02/11,,5,20
2013/02/12,,5,20
2013/02/13,,5,20
2013/02/14,,5,20
2013/02/15,,5,19
2013/02/16,,5,20
2013/02/17,,6,18
2013/02/18,,6,18
2013/02/19,,6,18
2013/02/20,,6,17
2013/02/21,,6,18
2013/02/22,,6,18
2013/02/23,,6,17
2013/02/24,,6,17
2013/02/25,,6,16
2013/02/26,,6,17
2013/02/27,,6,17
2013/02/28,,6,17
2013/03/01,,6,17
2013/03/02,,6,17
2013/03/03,,6,17
2013/03/04,,5,18
2013/03/05,,5,19
2013/03/06,,5,19
2013/03/07,,6,19
2013/03/08,1,6,17
2013/03/09,1,6,17
2013/03/10,1,6,17
2013/03/11,1,5,17
2013/03/12,1,6,18
2013/03/13,1,6,18
2013/03/14,1,6,18
2013/03/15,1,6,17
2013/03/16,1,6,16
2013/03/17,1,6,16
2013/03/18,1,6,15
2013/03/19,1,6,15
2013/03/20,1,4,15
2013/03/21,1,4,15
2013/03/22,1,4,15
2013/03/23,1,4,14
2013/03/24,1,3,14
2013/03/25,1,3,14
2013/03/26,1,3,14
2013/03/27,1,3,14
2013/03/28,1,2,12
2013/03/29,1,2,12
2013/03/30,1,2,11
2013/03/31,1,2,11
2013/04/01,1,2,11
2013/04/02,1,2,10
2013/04/03,1,2,8
2013/04/04,1,2,6
2013/04/05,1,2,6
2013/04/06,,2,4
2013/04/07,,1,3
2013/04/08,,1,2
2013/04/09,,1,2
2013/04/10,,1,2
2013/04/11,,,2
2013/04/12,,,2
2013/04/13,,,2
2013/04/14,,,2
2013/04/15,,,1
2013/04/16,,,2
2013/04/17,,,2
2013/04/18,,,2
2013/04/19,,,2
2013/04/20,,,2
2013/04/21,,,2
2013/04/22,,,3
2013/04/23,,,3
2013/04/24,,,3
2013/04/25,,,3
2013/04/26,,,3
2013/04/27,,,3
2013/04/28,,,3
2013/04/29,,2,6
2013/04/30,,2,6
2013/05/01,,2,6
2013/05/02,,2,6
2013/05/03,,2,5
2013/05/04,,2,5
2013/05/05,1,3,6
2013/05/06,1,3,6
2013/05/07,1,3,6
2013/05/08,1,4,6
2013/05/09,1,4,8
2013/05/10,1,4,8
2013/05/11,1,4,8
2013/05/12,1,4,8
2013/05/13,1,4,8
2013/05/14,1,4,9
2013/05/15,1,4,9
2013/05/16,1,4,8
2013/05/17,1,4,8
2013/05/18,1,4,8
2013/05/19,1,4,10
2013/05/20,1,4,10
2013/05/21,1,4,10
2013/05/22,1,5,10
2013/05/23,1,5,10
2013/05/24,1,5,10
2013/05/25,1,5,10
2013/05/26,1,5,10
2013/05/27,1,5,10
2013/05/28,1,5,10
2013/05/29,1,5,10
2013/05/30,1,5,10
2013/05/31,1,5,10
2013/06/01,1,4,10
2013/06/02,1,4,10
2013/06/03,1,4,10
2013/06/04,1,3,9
2013/06/05,1,3,11
2013/06/06,1,3,11
2013/06/07,1,3,11
2013/06/08,1,4,10
2013/06/09,1,4,10
2013/06/10,1,4,10
2013/06/11,1,4,12
2013/06/12,1,8,15
2013/06/13,1,8,14
2013/06/14,1,8,14
2013/06/15,1,8,14
2013/06/16,1,8,14
2013/06/17,1,8,14
2013/06/18,1,8,14
2013/06/19,1,8,15
2013/06/20,1,8,15
2013/06/21,,8,15
2013/06/22,,8,15
2013/06/23,,8,15
2013/06/24,,8,17
2013/06/25,,8,17
2013/06/26,,8,17
2013/06/27,,8,17
2013/06/28,,8,17
2013/06/29,,7,17
2013/06/30,,7,16
2013/07/01,,7,16
2013/07/02,,7,16
2013/07/03,,7,16
2013/07/04,,7,16
2013/07/05,,7,16
2013/07/06,,7,15
2013/07/07,,7,15
2013/07/08,,6,13
2013/07/09,,6,14
2013/07/10,,6,14
2013/07/11,,6,13
2013/07/12,,3,9
2013/07/13,,1,9
2013/07/14,,1,8
2013/07/15,,1,8
2013/07/16,,1,8
2013/07/17,,1,8
2013/07/18,,1,7
2013/07/19,,1,6
2013/07/20,,1,6
2013/07/21,,,5
2013/07/22,,,5
2013/07/23,,,6
2013/07/24,,,4
2013/07/25,,,4
2013/07/26,,,4
2013/07/27,,,4
2013/07/28,,,4
2013/07/29,,,4
2013/07/30,,,4
2013/07/31,,,4
2013/08/01,,,4
2013/08/02,,,4
2013/08/03,,,4
2013/08/04,,,4
2013/08/05,,,4
2013/08/06,,,4
2013/08/07,,,4
2013/08/08,,,3
2013/08/09,,,3
2013/08/10,,,3
2013/08/11,,,3
2013/08/12,,,2
2013/08/13,,,2
2013/08/14,,,2
2013/08/15,,,2
2013/08/16,,,3
2013/08/17,,,3
2013/08/18,,,3
2013/08/19,,,3
2013/08/20,,,3
2013/08/21,,,4
2013/08/22,,,3
2013/08/23,,,2
2013/08/24,,,2
2013/08/25,,,2
2013/08/26,,,2
2013/08/27,,,2
2013/08/28,,,2
2013/08/29,,,2
2013/08/30,,,2
2013/08/31,,,2
2013/09/01,,,2
2013/09/02,,,2
2013/09/03,,,2
2013/09/04,,,2
2013/09/05,,,2
2013/09/06,,,2
2013/09/07,,,2
2013/09/08,,,2
2013/09/09,,,2
2013/09/10,,,2
2013/09/11,,,3
2013/09/12,,,3
2013/09/13,,,3
2013/09/14,,,4
2013/09/15,,,3
2013/09/16,,,3
2013/09/17,,,4
2013/09/18,,,4
2013/09/19,,,4
2013/09/20,,,3
2013/09/21,,,3
2013/09/22,,,3
2013/09/23,,,3
2013/09/24,,,3
2013/09/25,,,4
2013/09/26,,,4
2013/09/27,,,4
2013/09/28,,,4
2013/09/29,,,6
2013/09/30,,,6
2013/10/01,,,6
2013/10/02,,,6
2013/10/03,,,6
2013/10/04,,,6
2013/10/05,,,6
2013/10/06,,,6
2013/10/07,,,7
2013/10/08,,,7
2013/10/09,,,7
2013/10/10,,,7
2013/10/11,,,6
2013/10/12,,,6
2013/10/13,,,6
2013/10/14,,,5
2013/10/15,,,5
2013/10/16,,,5
2013/10/17,,,4
2013/10/18,,,5
2013/10/19,,,6
2013/10/20,,,6
2013/10/21,,,6
2013/10/22,,,6
2013/10/23,,,6
2013/10/24,,,7
2013/10/25,,,6
2013/10/26,,,6
2013/10/27,,,6
2013/10/28,,,6
2013/10/29,,,4
2013/10/30,,,6
2013/10/31,,,6
2013/11/01,,2,11
2013/11/02,,2,11
2013/11/03,,2,13
2013/11/04,,2,13
2013/11/05,,2,13
2013/11/06,,2,12
2013/11/07,,2,12
2013/11/08,,2,12
2013/11/09,,2,12
2013/11/10,,2,12
2013/11/11,,2,12
2013/11/12,,2,12
2013/11/13,,2,13
2013/11/14,,2,15
2013/11/15,,2,16
2013/11/16,,2,16
2013/11/17,,2,17
2013/11/18,,2,16
2013/11/19,,2,16
2013/11/20,,2,16
2013/11/21,,2,16
2013/11/22,,2,16
2013/11/23,,2,16
2013/11/24,,2,16
2013/11/25,,2,16
2013/11/26,,5,21
2013/11/27,,5,21
2013/11/28,,5,21
2013/11/29,,5,20
2013/11/30,,5,20
2013/12/01,,2,17
2013/12/02,,2,17
2013/12/03,,2,15
2013/12/04,,4,20
2013/12/05,,4,21
2013/12/06,,4,22
2013/12/07,,4,22
2013/12/08,,4,22
2013/12/09,,4,22
2013/12/10,,3,21
2013/12/11,,3,21
2013/12/12,,3,21
2013/12/13,,3,21
2013/12/14,,3,19
2013/12/15,,3,18
2013/12/16,,3,18
2013/12/17,,3,17
2013/12/18,,3,18
2013/12/19,,3,18
2013/12/20,,3,18
2013/12/21,,3,18
2013/12/22,,3,18
2013/12/23,,3,18
2013/12/24,,3,18
2013/12/25,,3,18
2013/12/26,,2,12
2013/12/27,,2,12
2013/12/28,,2,12
2013/12/29,,2,12
2013/12/30,,2,12
2013/12/31,,2,12
2014/01/01,,2,12
2014/01/02,,3,13
2014/01/03,,2,7
2014/01/04,,1,6
2014/01/05,,1,5
2014/01/06,,1,5
2014/01/07,,1,5
2014/01/08,,1,5
2014/01/09,,1,5
2014/01/10,,1,5
2014/01/11,,1,5
2014/01/12,,1,4
2014/01/13,,1,4
2014/01/14,,4,7
2014/01/15,,4,7
2014/01/16,,4,7
2014/01/17,,4,6
2014/01/18,,4,6
2014/01/19,,4,6
2014/01/20,,4,6
2014/01/21,,4,6
2014/01/22,,4,6
2014/01/23,,4,6
2014/01/24,,4,6
2014/01/25,,4,6
2014/01/26,,4,6
2014/01/27,,4,6
2014/01/28,,4,6
2014/01/29,,4,6
2014/01/30,,4,6
2014/01/31,,4,6
2014/02/01,,3,5
2014/02/02,,3,5
2014/02/03,,3,5
2014/02/04,,3,5
2014/02/05,,3,5
2014/02/06,,3,7
2014/02/07,,3,7
2014/02/08,,3,7
2014/02/09,,2,7
2014/02/10,,2,7
2014/02/11,,2,7
2014/02/12,,2,7
2014/02/13,,,4
2014/02/14,,,4
2014/02/15,,,4
2014/02/16,,,4
2014/02/17,,,3
2014/02/18,,,9
2014/02/19,,,9
2014/02/20,,2,14
2014/02/21,,2,13
2014/02/22,,2,13
2014/02/23,,2,13
2014/02/24,,2,13
2014/02/25,,2,13
2014/02/26,,2,13
2014/02/27,,2,13
2014/02/28,,2,13
2014/03/01,,2,13
2014/03/02,,2,13
2014/03/03,,2,13
2014/03/04,,2,13
2014/03/05,,2,13
2014/03/06,,2,13
2014/03/07,,2,13
2014/03/08,,2,11
2014/03/09,,2,11
2014/03/10,,2,11
2014/03/11,,2,11
2014/03/12,,3,13
2014/03/13,,3,13
2014/03/14,,3,13
2014/03/15,,3,13
2014/03/16,,3,13
2014/03/17,,3,13
2014/03/18,,3,15
2014/03/19,,3,15
2014/03/20,,2,13
2014/03/21,,6,15
2014/03/22,,6,15
2014/03/23,,6,15
2014/03/24,,6,15
2014/03/25,,7,16
2014/03/26,,7,16
2014/03/27,,7,16
2014/03/28,,7,16
2014/03/29,,7,16
2014/03/30,,7,16
2014/03/31,,7,16
2014/04/01,,8,17
2014/04/02,,8,17
2014/04/03,,8,17
2014/04/04,,8,17
2014/04/05,,8,17
2014/04/06,,8,17
2014/04/07,,8,17
2014/04/08,,8,17
2014/04/09,,8,17
2014/04/10,,8,17
2014/04/11,,10,16
2014/04/12,,10,16
2014/04/13,,10,16
2014/04/14,,10,16
2014/04/15,,10,16
2014/04/16,,10,16
2014/04/17,,10,15
2014/04/18,,10,15
2014/04/19,,10,14
2014/04/20,,6,10
2014/04/21,,6,10
2014/04/22,,6,10
2014/04/23,,6,10
2014/04/24,,5,8
2014/04/25,,5,10
2014/04/26,,8,14
2014/04/27,,8,15
2014/04/28,,8,15
2014/04/29,,8,15
2014/04/30,,8,15
2014/05/01,,7,14
2014/05/02,,7,15
2014/05/03,,7,15
2014/05/04,,7,16
2014/05/05,,7,17
2014/05/06,,7,17
2014/05/07,,7,17
2014/05/08,,7,18
2014/05/09,,7,18
2014/05/10,,7,18
2014/05/11,,2,18
2014/05/12,,2,18
2014/05/13,,3,18
2014/05/14,,10,19
2014/05/15,,10,20
2014/05/16,,10,20
2014/05/17,,10,20
2014/05/18,,10,20
2014/05/19,,10,20
2014/05/20,,10,20
2014/05/21,,10,20
2014/05/22,,10,20
2014/05/23,,10,20
2014/05/24,,10,20
2014/05/25,,10,18
2014/05/26,,4,15
2014/05/27,,4,15
2014/05/28,,4,15
2014/05/29,,4,15
2014/05/30,,4,15
2014/05/31,,4,15
2014/06/01,,4,14
2014/06/02,,4,14
2014/06/03,,4,13
2014/06/04,,4,15
2014/06/05,,4,15
2014/06/06,,4,15
2014/06/07,,3,15
2014/06/08,,3,15
2014/06/09,,3,15
2014/06/10,,3,15
2014/06/11,,3,14
2014/06/12,,3,13
2014/06/13,,,5
2014/06/14,,,4
2014/06/15,,,4
2014/06/16,,,4
2014/06/17,,,4
2014/06/18,,,4
