date,kowiki (100+),kowiki (5+),kowiki (all)
2013/01/09,105,746,1840
2013/01/10,107,740,1840
2013/01/11,106,746,1845
2013/01/12,106,742,1850
2013/01/13,110,730,1812
2013/01/14,111,719,1820
2013/01/15,111,728,1808
2013/01/16,115,733,1810
2013/01/17,113,737,1817
2013/01/18,115,739,1820
2013/01/19,115,747,1836
2013/01/20,114,756,1832
2013/01/21,115,755,1829
2013/01/22,116,757,1835
2013/01/23,118,761,1849
2013/01/24,117,769,1873
2013/01/25,117,771,1883
2013/01/26,115,771,1892
2013/01/27,115,765,1869
2013/01/28,114,764,1877
2013/01/29,115,774,1895
2013/01/30,113,775,1911
2013/01/31,114,781,1935
2013/02/01,110,781,1960
2013/02/02,112,783,1960
2013/02/03,109,778,1958
2013/02/04,108,774,1959
2013/02/05,106,777,1958
2013/02/06,107,777,1950
2013/02/07,107,780,1948
2013/02/08,109,775,1945
2013/02/09,108,772,1937
2013/02/10,108,768,1916
2013/02/11,106,767,1891
2013/02/12,107,773,1893
2013/02/13,106,770,1904
2013/02/14,105,778,1905
2013/02/15,107,777,1911
2013/02/16,108,783,1917
2013/02/17,105,781,1923
2013/02/18,107,768,1918
2013/02/19,105,767,1925
2013/02/20,103,771,1922
2013/02/21,104,778,1929
2013/02/22,102,783,1917
2013/02/23,105,775,1913
2013/02/24,110,770,1908
2013/02/25,111,761,1904
2013/02/26,111,768,1921
2013/02/27,107,778,1927
2013/02/28,109,775,1918
2013/03/01,110,771,1912
2013/03/02,113,776,1897
2013/03/03,112,779,1886
2013/03/04,115,777,1883
2013/03/05,114,777,1886
2013/03/06,112,764,1870
2013/03/07,114,764,1865
2013/03/08,116,771,1879
2013/03/09,113,764,1875
2013/03/10,115,761,1879
2013/03/11,116,759,1878
2013/03/12,117,760,1905
2013/03/13,117,755,1915
2013/03/14,117,756,1910
2013/03/15,117,761,1909
2013/03/16,114,760,1907
2013/03/17,111,767,1908
2013/03/18,110,765,1904
2013/03/19,109,767,1915
2013/03/20,108,771,1901
2013/03/21,110,770,1894
2013/03/22,110,767,1895
2013/03/23,108,766,1904
2013/03/24,111,764,1910
2013/03/25,105,770,1899
2013/03/26,105,784,1919
2013/03/27,106,788,1925
2013/03/28,108,789,1918
2013/03/29,106,781,1905
2013/03/30,104,772,1903
2013/03/31,104,772,1900
2013/04/01,104,763,1876
2013/04/02,100,753,1851
2013/04/03,99,752,1858
2013/04/04,102,748,1861
2013/04/05,103,754,1870
2013/04/06,104,747,1868
2013/04/07,103,749,1874
2013/04/08,100,756,1885
2013/04/09,103,759,1912
2013/04/10,106,758,1911
2013/04/11,106,766,1913
2013/04/12,107,764,1913
2013/04/13,108,770,1918
2013/04/14,108,770,1907
2013/04/15,108,770,1907
2013/04/16,108,764,1896
2013/04/17,108,760,1897
2013/04/18,107,763,1893
2013/04/19,107,758,1891
2013/04/20,106,760,1898
2013/04/21,108,758,1907
2013/04/22,111,761,1903
2013/04/23,113,753,1887
2013/04/24,111,746,1864
2013/04/25,112,735,1842
2013/04/26,114,733,1819
2013/04/27,115,727,1803
2013/04/28,119,723,1799
2013/04/29,119,727,1802
2013/04/30,119,724,1796
2013/05/01,119,720,1795
2013/05/02,119,714,1795
2013/05/03,115,714,1790
2013/05/04,112,724,1793
2013/05/05,111,728,1812
2013/05/06,109,730,1807
2013/05/07,108,723,1792
2013/05/08,108,724,1789
2013/05/09,111,725,1797
2013/05/10,109,732,1792
2013/05/11,111,734,1800
2013/05/12,109,745,1813
2013/05/13,109,749,1803
2013/05/14,110,747,1802
2013/05/15,112,740,1802
2013/05/16,108,752,1808
2013/05/17,110,756,1815
2013/05/18,114,751,1807
2013/05/19,113,760,1821
2013/05/20,114,754,1818
2013/05/21,113,748,1828
2013/05/22,113,750,1822
2013/05/23,110,751,1843
2013/05/24,110,753,1858
2013/05/25,113,744,1839
2013/05/26,112,736,1851
2013/05/27,113,730,1857
2013/05/28,108,734,1861
2013/05/29,109,739,1871
2013/05/30,110,738,1879
2013/05/31,110,739,1879
2013/06/01,108,748,1863
2013/06/02,107,752,1865
2013/06/03,107,744,1856
2013/06/04,103,739,1828
2013/06/05,104,733,1830
2013/06/06,104,740,1821
2013/06/07,105,735,1824
2013/06/08,106,724,1787
2013/06/09,108,719,1783
2013/06/10,103,722,1770
2013/06/11,101,713,1774
2013/06/12,104,698,1774
2013/06/13,99,697,1774
2013/06/14,103,712,1779
2013/06/15,103,713,1771
2013/06/16,101,713,1769
2013/06/17,100,707,1767
2013/06/18,101,715,1762
2013/06/19,103,719,1766
2013/06/20,106,722,1764
2013/06/21,105,719,1754
2013/06/22,107,713,1741
2013/06/23,107,718,1740
2013/06/24,109,728,1751
2013/06/25,107,737,1754
2013/06/26,109,736,1749
2013/06/27,111,743,1766
2013/06/28,116,738,1755
2013/06/29,117,745,1750
2013/06/30,118,733,1763
2013/07/01,116,733,1783
2013/07/02,114,730,1781
2013/07/03,115,738,1788
2013/07/04,115,738,1793
2013/07/05,113,742,1800
2013/07/06,111,747,1803
2013/07/07,110,743,1798
2013/07/08,110,741,1795
2013/07/09,110,736,1810
2013/07/10,109,733,1811
2013/07/11,106,735,1801
2013/07/12,102,738,1800
2013/07/13,102,736,1782
2013/07/14,101,727,1771
2013/07/15,101,727,1760
2013/07/16,99,729,1775
2013/07/17,98,728,1769
2013/07/18,101,722,1762
2013/07/19,100,722,1750
2013/07/20,100,717,1752
2013/07/21,100,725,1747
2013/07/22,104,720,1757
2013/07/23,103,718,1757
2013/07/24,100,719,1764
2013/07/25,98,710,1760
2013/07/26,100,716,1768
2013/07/27,99,715,1774
2013/07/28,100,719,1778
2013/07/29,100,719,1768
2013/07/30,99,718,1753
2013/07/31,98,712,1752
2013/08/01,98,714,1755
2013/08/02,96,704,1756
2013/08/03,97,705,1766
2013/08/04,96,709,1765
2013/08/05,98,701,1765
2013/08/06,97,707,1769
2013/08/07,100,708,1775
2013/08/08,97,711,1770
2013/08/09,99,716,1763
2013/08/10,98,721,1771
2013/08/11,101,721,1761
2013/08/12,101,723,1772
2013/08/13,103,728,1792
2013/08/14,104,737,1797
2013/08/15,103,735,1800
2013/08/16,102,726,1797
2013/08/17,99,722,1803
2013/08/18,99,719,1817
2013/08/19,100,721,1816
2013/08/20,100,710,1803
2013/08/21,103,716,1791
2013/08/22,102,714,1781
2013/08/23,97,705,1772
2013/08/24,93,706,1779
2013/08/25,88,705,1772
2013/08/26,90,702,1752
2013/08/27,88,708,1742
2013/08/28,90,705,1745
2013/08/29,90,700,1755
2013/08/30,90,697,1738
2013/08/31,91,691,1733
2013/09/01,88,694,1735
2013/09/02,84,697,1744
2013/09/03,84,696,1744
2013/09/04,85,704,1747
2013/09/05,86,697,1737
2013/09/06,86,701,1741
2013/09/07,83,697,1753
2013/09/08,84,690,1749
2013/09/09,88,690,1740
2013/09/10,87,681,1729
2013/09/11,86,679,1738
2013/09/12,82,680,1737
2013/09/13,84,685,1745
2013/09/14,83,676,1749
2013/09/15,85,680,1767
2013/09/16,86,688,1771
2013/09/17,85,685,1766
2013/09/18,86,677,1770
2013/09/19,82,680,1787
2013/09/20,83,676,1790
2013/09/21,83,678,1801
2013/09/22,83,684,1807
2013/09/23,83,696,1809
2013/09/24,81,704,1819
2013/09/25,82,715,1825
2013/09/26,85,721,1848
2013/09/27,88,710,1857
2013/09/28,86,708,1855
2013/09/29,87,707,1864
2013/09/30,90,712,1895
2013/10/01,88,711,1894
2013/10/02,92,711,1899
2013/10/03,93,717,1907
2013/10/04,91,723,1911
2013/10/05,87,731,1911
2013/10/06,87,739,1909
2013/10/07,87,741,1908
2013/10/08,88,745,1931
2013/10/09,90,750,1953
2013/10/10,88,757,1966
2013/10/11,87,755,1971
2013/10/12,89,757,1964
2013/10/13,94,749,1962
2013/10/14,95,743,1940
2013/10/15,94,738,1948
2013/10/16,92,732,1946
2013/10/17,94,739,1948
2013/10/18,96,758,1964
2013/10/19,98,751,1960
2013/10/20,99,762,1976
2013/10/21,99,769,1977
2013/10/22,100,770,1979
2013/10/23,101,762,1967
2013/10/24,104,768,1966
2013/10/25,104,764,1972
2013/10/26,108,755,1956
2013/10/27,109,753,1935
2013/10/28,109,754,1947
2013/10/29,108,756,1940
2013/10/30,106,760,1947
2013/10/31,105,760,1949
2013/11/01,103,761,1939
2013/11/02,104,754,1939
2013/11/03,106,759,1956
2013/11/04,104,762,1969
2013/11/05,103,764,1950
2013/11/06,101,767,1965
2013/11/07,101,769,1951
2013/11/08,101,762,1933
2013/11/09,103,765,1929
2013/11/10,103,766,1926
2013/11/11,102,770,1943
2013/11/12,101,769,1947
2013/11/13,99,767,1960
2013/11/14,98,766,1955
2013/11/15,97,772,1939
2013/11/16,95,765,1949
2013/11/17,94,755,1933
2013/11/18,97,771,1956
2013/11/19,97,788,1965
2013/11/20,99,777,1965
2013/11/21,99,789,1973
2013/11/22,97,785,1965
2013/11/23,100,775,1972
2013/11/24,103,777,1969
2013/11/25,100,776,1968
2013/11/26,100,776,1972
2013/11/27,101,776,1977
2013/11/28,101,778,1994
2013/11/29,99,771,1969
2013/11/30,100,777,1975
2013/12/01,102,778,1986
2013/12/02,100,780,1992
2013/12/03,103,764,1974
2013/12/04,102,765,1980
2013/12/05,103,774,1997
2013/12/06,100,789,2027
2013/12/07,98,790,2041
2013/12/08,103,793,2050
2013/12/09,106,793,2050
2013/12/10,106,794,2067
2013/12/11,107,796,2056
2013/12/12,108,796,2045
2013/12/13,104,798,2045
2013/12/14,109,794,2028
2013/12/15,109,787,2029
2013/12/16,108,794,2046
2013/12/17,109,812,2082
2013/12/18,108,807,2059
2013/12/19,107,799,2055
2013/12/20,109,798,2053
2013/12/21,111,804,2038
2013/12/22,113,803,2030
2013/12/23,112,812,2020
2013/12/24,110,809,2035
2013/12/25,110,795,2007
2013/12/26,108,797,1996
2013/12/27,110,802,1996
2013/12/28,111,807,1999
2013/12/29,114,805,1993
2013/12/30,112,806,1974
2013/12/31,112,800,1989
2014/01/01,108,801,1999
2014/01/02,110,806,1998
2014/01/03,111,809,2015
2014/01/04,111,808,2013
2014/01/05,108,803,2012
2014/01/06,110,801,2029
2014/01/07,110,805,2034
2014/01/08,108,802,2050
2014/01/09,111,792,2049
2014/01/10,111,797,2054
2014/01/11,107,803,2067
2014/01/12,107,804,2059
2014/01/13,107,804,2067
2014/01/14,105,826,2084
2014/01/15,107,828,2077
2014/01/16,109,823,2101
2014/01/17,112,830,2110
2014/01/18,111,828,2107
2014/01/19,118,838,2096
2014/01/20,119,834,2088
2014/01/21,121,846,2099
2014/01/22,122,845,2114
2014/01/23,121,849,2128
2014/01/24,121,865,2166
2014/01/25,120,876,2192
2014/01/26,120,869,2191
2014/01/27,120,879,2187
2014/01/28,121,893,2193
2014/01/29,119,898,2202
2014/01/30,116,907,2211
2014/01/31,116,909,2202
2014/02/01,113,904,2180
2014/02/02,114,903,2159
2014/02/03,118,897,2169
2014/02/04,120,892,2175
2014/02/05,119,889,2177
2014/02/06,119,891,2203
2014/02/07,118,888,2199
2014/02/08,119,893,2174
2014/02/09,121,889,2152
2014/02/10,123,873,2142
2014/02/11,123,877,2163
2014/02/12,124,882,2159
2014/02/13,123,870,2155
2014/02/14,120,873,2161
2014/02/15,117,867,2135
2014/02/16,118,861,2130
2014/02/17,122,865,2140
2014/02/18,120,859,2152
2014/02/19,116,862,2169
2014/02/20,118,862,2163
2014/02/21,118,861,2155
2014/02/22,116,863,2165
2014/02/23,120,861,2161
2014/02/24,122,857,2149
2014/02/25,126,866,2148
2014/02/26,127,857,2144
2014/02/27,126,861,2144
2014/02/28,124,866,2158
2014/03/01,125,864,2159
2014/03/02,123,869,2163
2014/03/03,122,877,2184
2014/03/04,117,873,2179
2014/03/05,117,876,2165
2014/03/06,117,874,2160
2014/03/07,116,874,2136
2014/03/08,118,875,2113
2014/03/09,119,872,2111
2014/03/10,117,877,2117
2014/03/11,116,877,2117
2014/03/12,116,880,2111
2014/03/13,114,885,2101
2014/03/14,116,877,2105
2014/03/15,114,869,2101
2014/03/16,115,866,2110
2014/03/17,117,869,2118
2014/03/18,120,877,2126
2014/03/19,116,875,2129
2014/03/20,115,872,2134
2014/03/21,110,867,2123
2014/03/22,111,863,2122
2014/03/23,112,854,2128
2014/03/24,111,851,2125
2014/03/25,106,848,2124
2014/03/26,103,844,2114
2014/03/27,99,841,2113
2014/03/28,103,829,2103
2014/03/29,105,824,2081
2014/03/30,108,813,2060
2014/03/31,111,811,2065
2014/04/01,107,808,2067
2014/04/02,106,799,2060
2014/04/03,106,804,2054
2014/04/04,106,804,2067
2014/04/05,107,809,2072
2014/04/06,105,815,2098
2014/04/07,107,815,2122
2014/04/08,108,810,2109
2014/04/09,109,806,2116
2014/04/10,110,821,2122
2014/04/11,107,818,2123
2014/04/12,108,823,2116
2014/04/13,108,821,2108
2014/04/14,110,825,2112
2014/04/15,106,827,2100
2014/04/16,100,821,2083
2014/04/17,101,812,2071
2014/04/18,101,810,2069
2014/04/19,104,802,2049
2014/04/20,103,790,2040
2014/04/21,104,788,2040
2014/04/22,104,790,2037
2014/04/23,104,790,2018
2014/04/24,102,785,2012
2014/04/25,103,792,2013
2014/04/26,102,790,2006
2014/04/27,103,799,2021
2014/04/28,102,799,2042
2014/04/29,104,805,2063
2014/04/30,107,810,2073
2014/05/01,106,807,2068
2014/05/02,107,813,2086
2014/05/03,106,815,2109
2014/05/04,104,811,2105
2014/05/05,107,824,2118
2014/05/06,106,829,2110
2014/05/07,106,827,2106
2014/05/08,108,827,2111
2014/05/09,111,835,2127
2014/05/10,114,832,2125
2014/05/11,111,837,2153
2014/05/12,116,847,2163
2014/05/13,115,848,2167
2014/05/14,117,852,2162
2014/05/15,117,861,2170
2014/05/16,116,855,2173
2014/05/17,117,858,2175
2014/05/18,115,854,2194
2014/05/19,116,852,2196
2014/05/20,115,852,2208
2014/05/21,113,854,2217
2014/05/22,112,849,2220
2014/05/23,114,852,2227
2014/05/24,114,864,2271
2014/05/25,117,862,2290
2014/05/26,112,862,2297
2014/05/27,112,852,2290
2014/05/28,108,849,2265
2014/05/29,108,851,2265
2014/05/30,105,858,2260
2014/05/31,106,863,2264
2014/06/01,107,865,2252
2014/06/02,105,865,2253
2014/06/03,105,875,2276
2014/06/04,102,875,2274
2014/06/05,98,877,2276
2014/06/06,101,880,2291
2014/06/07,108,887,2310
2014/06/08,110,885,2288
2014/06/09,111,889,2297
2014/06/10,110,885,2270
2014/06/11,104,889,2292
2014/06/12,102,895,2290
2014/06/13,100,896,2285
2014/06/14,102,898,2276
2014/06/15,103,895,2268
2014/06/16,104,904,2285
2014/06/17,103,895,2273
2014/06/18,98,895,2260
2014/06/19,96,897,2271
2014/06/20,96,891,2260
2014/06/21,99,893,2249
2014/06/22,96,895,2249
2014/06/23,98,903,2240
2014/06/24,96,893,2236
2014/06/25,95,887,2246
2014/06/26,97,876,2231
2014/06/27,95,883,2241
2014/06/28,94,894,2262
2014/06/29,94,900,2282
2014/06/30,98,898,2290
2014/07/01,95,901,2305
2014/07/02,96,904,2317
2014/07/03,99,899,2302
2014/07/04,99,896,2302
2014/07/05,97,891,2305
2014/07/06,96,891,2306
2014/07/07,100,890,2321
2014/07/08,95,895,2325
2014/07/09,93,893,2320
2014/07/10,91,895,2346
2014/07/11,99,897,2349
2014/07/12,97,901,2346
2014/07/13,96,910,2346
2014/07/14,93,913,2373
2014/07/15,95,915,2376
2014/07/16,95,926,2380
2014/07/17,97,928,2398
2014/07/18,97,927,2405
2014/07/19,101,935,2413
2014/07/20,100,927,2415
2014/07/21,105,927,2424
2014/07/22,105,926,2435
2014/07/23,102,909,2416
2014/07/24,103,900,2409
2014/07/25,101,900,2389
2014/07/26,97,906,2403
2014/07/27,101,903,2397
2014/07/28,105,897,2383
2014/07/29,106,898,2384
2014/07/30,106,900,2390
2014/07/31,105,894,2400
2014/08/01,104,897,2393
2014/08/02,102,904,2409
2014/08/03,103,912,2420
2014/08/04,100,925,2427
2014/08/05,102,919,2418
2014/08/06,99,917,2428
2014/08/07,101,915,2420
2014/08/08,99,922,2418
2014/08/09,99,920,2423
2014/08/10,102,916,2428
2014/08/11,104,912,2426
2014/08/12,103,912,2427
2014/08/13,98,921,2441
2014/08/14,102,932,2462
2014/08/15,102,929,2461
2014/08/16,102,920,2453
2014/08/17,104,923,2455
2014/08/18,101,925,2473
2014/08/19,100,932,2472
2014/08/20,102,935,2470
2014/08/21,104,936,2468
2014/08/22,105,937,2491
2014/08/23,106,931,2488
2014/08/24,108,941,2488
2014/08/25,104,928,2509
2014/08/26,106,926,2524
2014/08/27,102,928,2534
2014/08/28,101,933,2526
2014/08/29,101,938,2517
2014/08/30,99,942,2500
2014/08/31,96,927,2500
2014/09/01,97,920,2487
2014/09/02,95,909,2479
2014/09/03,95,909,2464
2014/09/04,98,910,2447
2014/09/05,98,917,2452
2014/09/06,95,912,2434
2014/09/07,94,915,2440
2014/09/08,95,917,2427
2014/09/09,97,907,2407
2014/09/10,99,909,2414
2014/09/11,100,907,2407
2014/09/12,99,886,2360
2014/09/13,98,878,2332
2014/09/14,96,867,2326
2014/09/15,96,867,2373
2014/09/16,97,871,2370
2014/09/17,98,870,2373
2014/09/18,97,870,2377
2014/09/19,97,871,2369
2014/09/20,96,862,2359
2014/09/21,96,844,2331
2014/09/22,97,841,2348
2014/09/23,96,842,2348
2014/09/24,89,833,2312
2014/09/25,89,833,2306
2014/09/26,89,827,2291
2014/09/27,94,823,2276
2014/09/28,93,826,2283
2014/09/29,96,821,2280
2014/09/30,96,817,2260
2014/10/01,97,815,2262
2014/10/02,99,822,2244
2014/10/03,100,832,2245
2014/10/04,103,838,2253
2014/10/05,103,839,2241
2014/10/06,103,844,2238
2014/10/07,100,852,2228
2014/10/08,101,839,2221
2014/10/09,103,846,2229
2014/10/10,103,839,2229
2014/10/11,108,839,2222
2014/10/12,111,840,2221
2014/10/13,112,846,2229
2014/10/14,107,842,2230
