date,lvwiki (100+),lvwiki (5+),lvwiki (all)
2012/11/15,22,85,267
2012/11/16,22,85,258
2012/11/17,22,84,254
2012/11/18,22,85,255
2012/11/19,21,86,251
2012/11/20,21,87,257
2012/11/21,20,87,260
2012/11/22,21,88,255
2012/11/23,20,87,252
2012/11/24,20,86,251
2012/11/25,19,85,244
2012/11/26,19,83,246
2012/11/27,19,84,246
2012/11/28,18,90,249
2012/11/29,20,87,244
2012/11/30,18,89,246
2012/12/01,18,87,247
2012/12/02,18,85,249
2012/12/03,18,87,251
2012/12/04,20,88,250
2012/12/05,21,89,253
2012/12/06,21,86,246
2012/12/07,21,84,250
2012/12/08,21,86,256
2012/12/09,21,89,260
2012/12/10,21,88,259
2012/12/11,21,87,260
2012/12/12,21,84,260
2012/12/13,21,85,264
2012/12/14,21,87,275
2012/12/15,21,85,270
2012/12/16,22,85,265
2012/12/17,22,85,270
2012/12/18,23,86,273
2012/12/19,23,89,273
2012/12/20,23,87,271
2012/12/21,23,88,269
2012/12/22,23,86,266
2012/12/23,22,85,264
2012/12/24,23,90,266
2012/12/25,23,88,263
2012/12/26,23,87,260
2012/12/27,24,86,265
2012/12/28,25,85,263
2012/12/29,25,88,273
2012/12/30,26,91,275
2012/12/31,27,91,276
2013/01/01,27,91,279
2013/01/02,28,92,270
2013/01/03,28,91,271
2013/01/04,26,96,270
2013/01/05,26,96,272
2013/01/06,26,93,270
2013/01/07,26,96,270
2013/01/08,26,98,274
2013/01/09,25,99,278
2013/01/10,25,103,284
2013/01/11,27,105,290
2013/01/12,27,105,287
2013/01/13,27,105,281
2013/01/14,27,105,286
2013/01/15,28,105,291
2013/01/16,28,105,292
2013/01/17,28,105,296
2013/01/18,27,104,294
2013/01/19,27,104,288
2013/01/20,27,103,289
2013/01/21,26,105,290
2013/01/22,26,105,294
2013/01/23,25,104,293
2013/01/24,24,104,298
2013/01/25,24,105,298
2013/01/26,24,106,300
2013/01/27,24,108,299
2013/01/28,24,109,297
2013/01/29,24,106,296
2013/01/30,24,105,297
2013/01/31,23,107,297
2013/02/01,23,106,300
2013/02/02,23,105,301
2013/02/03,22,104,301
2013/02/04,22,102,300
2013/02/05,22,102,298
2013/02/06,22,99,300
2013/02/07,23,97,295
2013/02/08,23,94,292
2013/02/09,22,93,287
2013/02/10,23,92,283
2013/02/11,23,93,282
2013/02/12,23,94,288
2013/02/13,23,94,286
2013/02/14,22,94,286
2013/02/15,21,94,282
2013/02/16,20,93,276
2013/02/17,22,92,278
2013/02/18,22,95,279
2013/02/19,22,95,276
2013/02/20,22,95,286
2013/02/21,22,94,286
2013/02/22,21,94,288
2013/02/23,22,91,281
2013/02/24,22,88,278
2013/02/25,21,86,269
2013/02/26,21,84,277
2013/02/27,21,83,273
2013/02/28,20,83,277
2013/03/01,21,78,276
2013/03/02,21,78,272
2013/03/03,21,79,269
2013/03/04,20,81,270
2013/03/05,20,82,268
2013/03/06,20,83,271
2013/03/07,20,86,268
2013/03/08,21,89,267
2013/03/09,20,90,267
2013/03/10,22,90,269
2013/03/11,25,89,269
2013/03/12,24,88,271
2013/03/13,22,90,273
2013/03/14,22,87,266
2013/03/15,22,88,271
2013/03/16,21,87,274
2013/03/17,22,85,269
2013/03/18,24,86,268
2013/03/19,23,86,267
2013/03/20,24,86,266
2013/03/21,24,88,268
2013/03/22,24,88,261
2013/03/23,24,88,262
2013/03/24,24,87,259
2013/03/25,25,89,257
2013/03/26,25,89,261
2013/03/27,25,89,263
2013/03/28,24,86,258
2013/03/29,25,86,261
2013/03/30,24,82,259
2013/03/31,24,83,261
2013/04/01,23,87,260
2013/04/02,25,88,264
2013/04/03,24,89,264
2013/04/04,23,87,258
2013/04/05,23,86,257
2013/04/06,23,83,258
2013/04/07,24,85,254
2013/04/08,24,88,254
2013/04/09,24,87,254
2013/04/10,22,87,255
2013/04/11,22,88,253
2013/04/12,21,86,254
2013/04/13,21,85,257
2013/04/14,21,84,249
2013/04/15,21,83,245
2013/04/16,21,84,247
2013/04/17,20,85,246
2013/04/18,20,84,244
2013/04/19,19,84,243
2013/04/20,18,83,239
2013/04/21,18,83,240
2013/04/22,19,85,246
2013/04/23,20,88,246
2013/04/24,19,85,245
2013/04/25,18,88,241
2013/04/26,18,91,237
2013/04/27,17,91,238
2013/04/28,17,93,242
2013/04/29,17,93,242
2013/04/30,16,93,243
2013/05/01,16,91,248
2013/05/02,18,91,243
2013/05/03,20,93,245
2013/05/04,20,93,248
2013/05/05,19,94,250
2013/05/06,18,94,252
2013/05/07,18,95,255
2013/05/08,19,97,255
2013/05/09,19,99,255
2013/05/10,20,102,252
2013/05/11,20,100,253
2013/05/12,21,102,260
2013/05/13,21,104,262
2013/05/14,21,102,263
2013/05/15,21,107,266
2013/05/16,20,108,264
2013/05/17,21,107,272
2013/05/18,20,107,274
2013/05/19,20,108,273
2013/05/20,20,107,276
2013/05/21,19,108,273
2013/05/22,18,104,262
2013/05/23,18,103,264
2013/05/24,18,99,267
2013/05/25,19,98,263
2013/05/26,19,95,259
2013/05/27,20,96,257
2013/05/28,18,97,262
2013/05/29,17,98,261
2013/05/30,19,97,262
2013/05/31,20,96,262
2013/06/01,20,99,265
2013/06/02,22,97,257
2013/06/03,21,100,263
2013/06/04,21,98,258
2013/06/05,21,96,257
2013/06/06,20,94,255
2013/06/07,20,93,253
2013/06/08,19,93,250
2013/06/09,19,90,248
2013/06/10,19,92,245
2013/06/11,19,90,245
2013/06/12,20,89,241
2013/06/13,21,92,244
2013/06/14,20,94,240
2013/06/15,20,92,240
2013/06/16,20,91,234
2013/06/17,20,88,232
2013/06/18,20,92,237
2013/06/19,20,92,230
2013/06/20,21,91,229
2013/06/21,21,92,227
2013/06/22,21,91,226
2013/06/23,21,93,222
2013/06/24,21,95,223
2013/06/25,21,95,223
2013/06/26,21,96,219
2013/06/27,20,93,214
2013/06/28,20,92,215
2013/06/29,19,92,208
2013/06/30,19,90,205
2013/07/01,18,91,199
2013/07/02,18,88,204
2013/07/03,20,84,208
2013/07/04,19,87,206
2013/07/05,19,88,209
2013/07/06,19,83,208
2013/07/07,18,84,209
2013/07/08,17,84,212
2013/07/09,16,85,217
2013/07/10,20,85,216
2013/07/11,19,82,214
2013/07/12,18,82,210
2013/07/13,18,79,208
2013/07/14,17,78,201
2013/07/15,17,78,194
2013/07/16,17,77,194
2013/07/17,17,78,199
2013/07/18,17,77,197
2013/07/19,16,77,195
2013/07/20,15,73,189
2013/07/21,14,72,187
2013/07/22,14,71,188
2013/07/23,14,72,189
2013/07/24,14,73,194
2013/07/25,15,74,194
2013/07/26,14,74,193
2013/07/27,14,73,198
2013/07/28,14,72,200
2013/07/29,14,72,203
2013/07/30,14,73,206
2013/07/31,14,70,203
2013/08/01,14,72,203
2013/08/02,14,74,195
2013/08/03,15,72,191
2013/08/04,15,72,187
2013/08/05,15,71,193
2013/08/06,15,74,194
2013/08/07,15,74,195
2013/08/08,16,74,194
2013/08/09,15,74,193
2013/08/10,13,75,194
2013/08/11,13,73,191
2013/08/12,14,70,191
2013/08/13,14,70,189
2013/08/14,14,70,193
2013/08/15,14,69,193
2013/08/16,14,69,195
2013/08/17,15,69,194
2013/08/18,15,69,194
2013/08/19,15,68,196
2013/08/20,15,69,204
2013/08/21,15,70,202
2013/08/22,15,68,201
2013/08/23,15,67,194
2013/08/24,15,67,197
2013/08/25,15,65,198
2013/08/26,15,67,195
2013/08/27,15,67,195
2013/08/28,15,66,196
2013/08/29,15,65,199
2013/08/30,14,65,203
2013/08/31,13,66,196
2013/09/01,13,66,196
2013/09/02,15,67,193
2013/09/03,15,67,191
2013/09/04,15,66,190
2013/09/05,16,64,188
2013/09/06,16,64,184
2013/09/07,16,63,184
2013/09/08,16,62,185
2013/09/09,16,61,186
2013/09/10,16,62,189
2013/09/11,16,63,193
2013/09/12,16,63,194
2013/09/13,16,68,195
2013/09/14,16,69,192
2013/09/15,16,68,195
2013/09/16,15,68,195
2013/09/17,15,70,196
2013/09/18,16,70,197
2013/09/19,16,71,191
2013/09/20,16,73,192
2013/09/21,16,74,190
2013/09/22,15,74,191
2013/09/23,15,77,195
2013/09/24,14,80,207
2013/09/25,14,81,207
2013/09/26,14,81,208
2013/09/27,14,80,205
2013/09/28,13,76,205
2013/09/29,13,75,202
2013/09/30,13,75,204
2013/10/01,13,77,207
2013/10/02,13,77,209
2013/10/03,13,77,209
2013/10/04,13,79,210
2013/10/05,14,79,212
2013/10/06,13,80,213
2013/10/07,12,80,212
2013/10/08,14,78,209
2013/10/09,13,78,209
2013/10/10,14,78,210
2013/10/11,14,79,212
2013/10/12,14,78,218
2013/10/13,14,74,215
2013/10/14,14,71,215
2013/10/15,14,73,218
2013/10/16,14,73,219
2013/10/17,14,73,214
2013/10/18,14,73,210
2013/10/19,14,69,207
2013/10/20,14,67,204
2013/10/21,14,68,206
2013/10/22,14,68,205
2013/10/23,14,66,207
2013/10/24,14,66,200
2013/10/25,14,65,196
2013/10/26,15,64,197
2013/10/27,15,67,201
2013/10/28,14,67,201
2013/10/29,14,66,204
2013/10/30,14,67,203
2013/10/31,13,66,202
2013/11/01,13,65,199
2013/11/02,13,64,199
2013/11/03,13,65,199
2013/11/04,13,66,195
2013/11/05,13,66,194
2013/11/06,13,68,193
2013/11/07,13,71,196
2013/11/08,14,71,198
2013/11/09,13,72,196
2013/11/10,13,71,192
2013/11/11,13,70,193
2013/11/12,13,72,197
2013/11/13,13,73,200
2013/11/14,13,71,198
2013/11/15,14,70,197
2013/11/16,14,69,194
2013/11/17,15,72,200
2013/11/18,15,74,206
2013/11/19,15,76,212
2013/11/20,15,74,208
2013/11/21,16,76,211
2013/11/22,16,76,209
2013/11/23,16,76,212
2013/11/24,16,76,211
2013/11/25,16,76,218
2013/11/26,16,75,224
2013/11/27,16,77,229
2013/11/28,16,90,253
2013/11/29,17,95,256
2013/11/30,17,101,259
2013/12/01,17,105,265
2013/12/02,17,111,276
2013/12/03,17,116,291
2013/12/04,17,128,322
2013/12/05,18,140,339
2013/12/06,17,144,340
2013/12/07,17,143,340
2013/12/08,16,145,343
2013/12/09,16,148,350
2013/12/10,15,149,355
2013/12/11,15,153,352
2013/12/12,15,155,349
2013/12/13,16,157,348
2013/12/14,16,154,345
2013/12/15,16,156,344
2013/12/16,17,157,345
2013/12/17,17,156,346
2013/12/18,17,158,346
2013/12/19,17,160,342
2013/12/20,17,160,345
2013/12/21,17,159,343
2013/12/22,17,159,342
2013/12/23,18,156,335
2013/12/24,17,157,335
2013/12/25,17,157,332
2013/12/26,16,154,326
2013/12/27,16,154,326
2013/12/28,15,144,318
2013/12/29,13,140,314
2013/12/30,13,135,310
2013/12/31,12,132,302
2014/01/01,12,125,292
2014/01/02,13,122,286
2014/01/03,13,103,255
2014/01/04,13,90,245
2014/01/05,13,89,240
2014/01/06,14,91,249
2014/01/07,13,92,251
2014/01/08,14,92,250
2014/01/09,15,95,248
2014/01/10,14,94,240
2014/01/11,15,94,240
2014/01/12,14,94,244
2014/01/13,15,95,242
2014/01/14,15,99,248
2014/01/15,15,99,248
2014/01/16,14,101,251
2014/01/17,14,99,257
2014/01/18,15,99,252
2014/01/19,15,98,249
2014/01/20,16,99,258
2014/01/21,16,99,258
2014/01/22,16,100,262
2014/01/23,16,99,264
2014/01/24,18,100,274
2014/01/25,19,102,278
2014/01/26,17,102,276
2014/01/27,18,104,282
2014/01/28,20,105,285
2014/01/29,19,106,285
2014/01/30,20,106,283
2014/01/31,20,106,293
2014/02/01,20,105,291
2014/02/02,20,105,292
2014/02/03,20,103,289
2014/02/04,19,105,296
2014/02/05,19,103,299
2014/02/06,19,100,298
2014/02/07,19,100,301
2014/02/08,19,99,304
2014/02/09,19,96,303
2014/02/10,19,99,297
2014/02/11,19,97,295
2014/02/12,19,99,298
2014/02/13,19,95,296
2014/02/14,19,94,291
2014/02/15,19,93,286
2014/02/16,19,91,280
2014/02/17,20,92,282
2014/02/18,20,93,284
2014/02/19,20,91,277
2014/02/20,17,91,284
2014/02/21,17,91,285
2014/02/22,16,89,280
2014/02/23,16,90,272
2014/02/24,16,91,276
2014/02/25,15,91,282
2014/02/26,15,92,285
2014/02/27,15,91,286
2014/02/28,15,93,282
2014/03/01,16,93,285
2014/03/02,16,93,280
2014/03/03,17,95,281
2014/03/04,17,93,275
2014/03/05,17,88,274
2014/03/06,17,88,274
2014/03/07,18,88,274
2014/03/08,18,89,269
2014/03/09,19,87,259
2014/03/10,19,85,253
2014/03/11,19,87,245
2014/03/12,18,90,249
2014/03/13,18,91,248
2014/03/14,16,86,248
2014/03/15,16,86,244
2014/03/16,16,86,255
2014/03/17,17,87,255
2014/03/18,16,88,257
2014/03/19,18,88,255
2014/03/20,17,89,254
2014/03/21,17,87,253
2014/03/22,17,86,247
2014/03/23,17,88,244
2014/03/24,16,89,244
2014/03/25,17,89,242
2014/03/26,18,88,243
2014/03/27,17,87,238
2014/03/28,17,84,230
2014/03/29,17,86,229
2014/03/30,17,84,222
2014/03/31,18,86,227
2014/04/01,17,85,220
2014/04/02,17,84,226
2014/04/03,16,82,225
2014/04/04,16,83,223
2014/04/05,17,81,227
2014/04/06,18,82,222
2014/04/07,18,82,224
2014/04/08,17,83,225
2014/04/09,17,83,228
2014/04/10,17,81,229
2014/04/11,16,79,226
2014/04/12,16,79,221
2014/04/13,16,78,223
2014/04/14,17,77,224
2014/04/15,17,76,217
2014/04/16,16,77,217
2014/04/17,16,78,219
2014/04/18,16,78,222
2014/04/19,17,76,215
2014/04/20,16,75,213
2014/04/21,18,71,210
2014/04/22,18,68,207
2014/04/23,17,67,209
2014/04/24,17,65,211
2014/04/25,17,65,207
2014/04/26,16,66,208
2014/04/27,16,68,215
2014/04/28,17,70,217
2014/04/29,17,68,216
2014/04/30,16,69,215
2014/05/01,16,71,216
2014/05/02,16,71,209
2014/05/03,15,70,207
2014/05/04,15,73,214
2014/05/05,16,75,212
2014/05/06,16,73,212
2014/05/07,17,72,212
2014/05/08,18,70,212
2014/05/09,18,68,207
2014/05/10,18,67,206
2014/05/11,18,69,206
2014/05/12,18,69,209
2014/05/13,18,72,211
2014/05/14,18,74,216
2014/05/15,18,73,216
2014/05/16,16,72,216
2014/05/17,17,72,221
2014/05/18,18,72,220
2014/05/19,18,72,220
2014/05/20,18,71,222
2014/05/21,18,76,223
2014/05/22,18,76,222
2014/05/23,17,76,226
2014/05/24,16,77,222
2014/05/25,16,77,220
2014/05/26,16,78,218
2014/05/27,16,77,217
2014/05/28,15,76,217
2014/05/29,16,76,218
2014/05/30,15,74,219
2014/05/31,15,74,227
2014/06/01,15,73,229
2014/06/02,15,70,230
2014/06/03,14,68,227
2014/06/04,14,67,226
2014/06/05,14,67,229
2014/06/06,14,67,225
2014/06/07,13,66,225
2014/06/08,13,66,223
2014/06/09,14,68,223
2014/06/10,15,70,227
2014/06/11,16,71,229
2014/06/12,17,70,224
2014/06/13,17,71,224
2014/06/14,17,72,219
2014/06/15,17,71,212
2014/06/16,16,71,206
2014/06/17,16,71,208
2014/06/18,17,71,204
2014/06/19,18,72,202
2014/06/20,17,69,204
2014/06/21,16,69,203
2014/06/22,16,70,200
2014/06/23,17,69,202
2014/06/24,17,69,202
2014/06/25,18,69,199
2014/06/26,17,69,200
2014/06/27,17,69,201
2014/06/28,19,68,197
2014/06/29,20,66,192
2014/06/30,19,68,188
2014/07/01,19,66,186
2014/07/02,19,68,186
2014/07/03,17,67,187
2014/07/04,17,69,183
2014/07/05,17,70,178
2014/07/06,17,69,180
2014/07/07,17,71,177
2014/07/08,17,70,178
2014/07/09,17,70,177
2014/07/10,17,68,169
2014/07/11,17,69,164
2014/07/12,16,66,163
2014/07/13,16,64,157
2014/07/14,15,63,163
2014/07/15,14,62,164
2014/07/16,12,62,163
2014/07/17,12,60,165
2014/07/18,12,60,169
2014/07/19,12,64,171
2014/07/20,11,63,170
2014/07/21,11,63,171
2014/07/22,11,64,168
2014/07/23,11,64,169
2014/07/24,11,63,170
2014/07/25,11,65,174
2014/07/26,11,63,174
2014/07/27,11,61,175
2014/07/28,11,61,177
2014/07/29,10,62,181
2014/07/30,10,61,182
2014/07/31,10,60,180
2014/08/01,10,60,184
2014/08/02,10,59,180
2014/08/03,10,60,181
2014/08/04,9,61,184
2014/08/05,9,60,188
2014/08/06,9,59,187
2014/08/07,9,61,190
2014/08/08,9,60,191
2014/08/09,9,60,187
2014/08/10,10,56,185
2014/08/11,11,56,186
2014/08/12,11,60,188
2014/08/13,13,61,185
2014/08/14,13,60,186
2014/08/15,13,60,190
2014/08/16,13,59,191
2014/08/17,13,59,194
2014/08/18,12,57,191
2014/08/19,12,57,189
2014/08/20,12,58,189
2014/08/21,12,58,190
2014/08/22,12,58,196
2014/08/23,12,58,194
2014/08/24,11,56,186
2014/08/25,11,54,185
2014/08/26,11,53,182
2014/08/27,11,53,189
2014/08/28,13,54,187
2014/08/29,13,54,185
2014/08/30,13,55,185
2014/08/31,13,56,181
2014/09/01,13,58,178
2014/09/02,13,59,179
2014/09/03,13,57,176
2014/09/04,14,57,174
2014/09/05,13,57,171
2014/09/06,14,57,175
2014/09/07,15,58,175
2014/09/08,16,58,173
2014/09/09,16,61,174
2014/09/10,16,61,180
2014/09/11,15,61,183
2014/09/12,14,59,181
2014/09/13,13,61,180
2014/09/14,12,62,180
2014/09/15,12,61,181
2014/09/16,12,62,180
2014/09/17,11,62,181
2014/09/18,10,63,187
2014/09/19,10,63,191
2014/09/20,10,65,197
2014/09/21,10,63,201
2014/09/22,11,64,204
2014/09/23,11,62,205
2014/09/24,12,64,204
2014/09/25,11,64,201
2014/09/26,11,64,199
2014/09/27,10,65,199
2014/09/28,13,66,200
2014/09/29,11,64,200
2014/09/30,12,64,198
2014/10/01,12,63,201
2014/10/02,12,66,201
2014/10/03,12,66,206
2014/10/04,12,66,209
2014/10/05,12,66,208
2014/10/06,12,67,209
2014/10/07,12,66,212
2014/10/08,12,64,214
2014/10/09,13,64,218
2014/10/10,12,62,220
2014/10/11,12,61,220
2014/10/12,13,62,216
2014/10/13,13,63,218
2014/10/14,13,63,218
2014/10/15,13,66,216
2014/10/16,14,66,219
2014/10/17,13,68,222
2014/10/18,13,67,222
2014/10/19,13,66,220
2014/10/20,14,66,217
2014/10/21,14,69,217
2014/10/22,14,67,212
2014/10/23,14,66,209
2014/10/24,14,65,208
2014/10/25,14,65,213
2014/10/26,14,65,206
2014/10/27,14,64,211
2014/10/28,15,63,207
2014/10/29,15,62,211
2014/10/30,15,64,210
2014/10/31,15,63,211
2014/11/01,15,64,212
2014/11/02,15,66,210
2014/11/03,15,66,211
2014/11/04,15,66,211
2014/11/05,14,65,208
2014/11/06,13,70,212
2014/11/07,13,73,215
2014/11/08,13,75,218
2014/11/09,14,76,218
2014/11/10,14,74,218
2014/11/11,13,74,216
2014/11/12,14,74,217
2014/11/13,14,75,220
2014/11/14,14,74,219
2014/11/15,15,74,222
2014/11/16,14,74,217
2014/11/17,14,76,213
2014/11/18,14,76,213
2014/11/19,13,75,211
2014/11/20,13,75,211
2014/11/21,13,75,216
2014/11/22,13,75,212
2014/11/23,13,74,214
2014/11/24,14,73,211
2014/11/25,14,73,213
2014/11/26,14,76,211
2014/11/27,12,79,214
2014/11/28,12,78,214
2014/11/29,14,81,211
2014/11/30,14,81,213
2014/12/01,13,81,216
2014/12/02,13,84,219
2014/12/03,12,83,221
2014/12/04,12,86,221
2014/12/05,12,85,217
2014/12/06,12,84,215
2014/12/07,14,81,211
2014/12/08,15,79,204
2014/12/09,15,81,204
2014/12/10,13,81,209
2014/12/11,13,82,210
2014/12/12,13,83,212
2014/12/13,13,82,210
2014/12/14,13,81,212
2014/12/15,14,82,210
2014/12/16,14,81,219
2014/12/17,14,82,224
2014/12/18,14,83,226
2014/12/19,14,82,226
2014/12/20,15,81,224
2014/12/21,16,79,225
2014/12/22,16,81,227
2014/12/23,15,81,234
2014/12/24,15,84,236
2014/12/25,15,82,235
2014/12/26,16,79,234
2014/12/27,16,78,234
2014/12/28,17,78,230
2014/12/29,18,76,236
2014/12/30,19,77,237
2014/12/31,20,79,238
2015/01/01,20,77,230
2015/01/02,20,78,230
2015/01/03,20,78,225
2015/01/04,21,79,229
2015/01/05,21,79,231
2015/01/06,22,81,230
2015/01/07,23,84,241
2015/01/08,23,86,241
2015/01/09,23,84,241
2015/01/10,24,83,238
2015/01/11,23,83,240
2015/01/12,23,85,243
2015/01/13,23,86,241
2015/01/14,24,82,241
2015/01/15,24,84,242
2015/01/16,24,83,243
2015/01/17,24,87,246
2015/01/18,24,90,254
2015/01/19,24,90,255
2015/01/20,24,91,255
2015/01/21,25,91,257
2015/01/22,25,93,258
2015/01/23,24,94,259
2015/01/24,24,94,256
2015/01/25,24,96,260
2015/01/26,22,97,274
2015/01/27,22,98,276
2015/01/28,22,99,277
2015/01/29,20,100,274
2015/01/30,20,102,271
2015/01/31,21,102,274
2015/02/01,20,100,275
2015/02/02,19,104,281
2015/02/03,19,103,280
2015/02/04,18,104,280
2015/02/05,18,105,277
2015/02/06,17,105,269
2015/02/07,17,104,266
2015/02/08,17,104,260
2015/02/09,17,103,261
2015/02/10,17,103,263
2015/02/11,16,102,261
2015/02/12,15,99,261
2015/02/13,15,98,269
2015/02/14,15,97,267
2015/02/15,15,95,263
2015/02/16,19,93,261
2015/02/17,18,91,258
2015/02/18,18,90,260
2015/02/19,18,95,261
2015/02/20,18,97,266
2015/02/21,17,98,272
2015/02/22,16,98,270
2015/02/23,18,100,275
2015/02/24,17,98,274
2015/02/25,16,97,269
2015/02/26,17,98,271
2015/02/27,18,99,267
2015/02/28,18,98,268
2015/03/01,18,94,270
2015/03/02,19,94,269
2015/03/03,18,96,270
2015/03/04,18,93,270
2015/03/05,20,92,265
2015/03/06,19,92,270
2015/03/07,19,90,268
2015/03/08,19,88,271
2015/03/09,19,87,271
2015/03/10,18,87,268
2015/03/11,18,89,267
2015/03/12,19,89,268
2015/03/13,19,92,269
2015/03/14,19,93,269
2015/03/15,20,94,267
2015/03/16,20,95,264
2015/03/17,20,95,265
2015/03/18,20,95,267
2015/03/19,21,93,264
2015/03/20,22,93,266
2015/03/21,23,94,263
2015/03/22,22,93,261
2015/03/23,22,93,254
2015/03/24,22,91,260
2015/03/25,22,92,253
2015/03/26,22,90,258
2015/03/27,22,92,254
2015/03/28,22,94,253
2015/03/29,22,93,253
2015/03/30,22,93,257
2015/03/31,22,93,256
2015/04/01,23,93,256
2015/04/02,24,95,253
2015/04/03,22,92,250
2015/04/04,22,92,250
2015/04/05,24,91,246
2015/04/06,24,91,252
2015/04/07,23,92,252
2015/04/08,24,92,255
2015/04/09,23,92,254
2015/04/10,23,91,255
2015/04/11,23,91,261
2015/04/12,22,89,262
2015/04/13,22,91,265
2015/04/14,23,95,267
2015/04/15,23,104,280
2015/04/16,23,104,279
2015/04/17,23,104,283
2015/04/18,23,102,283
2015/04/19,23,102,284
2015/04/20,22,101,289
2015/04/21,21,100,286
2015/04/22,19,102,293
2015/04/23,19,103,291
2015/04/24,20,103,297
2015/04/25,19,102,297
2015/04/26,20,100,296
2015/04/27,20,98,293
2015/04/28,20,97,292
2015/04/29,18,97,286
2015/04/30,18,98,278
2015/05/01,18,98,278
2015/05/02,18,99,284
2015/05/03,18,100,289
2015/05/04,18,100,295
2015/05/05,18,106,294
2015/05/06,18,104,293
2015/05/07,18,104,295
2015/05/08,18,104,294
2015/05/09,18,103,299
2015/05/10,19,105,298
2015/05/11,19,103,301
2015/05/12,18,104,297
2015/05/13,17,104,296
2015/05/14,16,102,292
2015/05/15,16,95,279
2015/05/16,16,96,270
2015/05/17,17,93,268
2015/05/18,17,98,270
2015/05/19,17,93,265
2015/05/20,17,94,264
2015/05/21,16,95,262
2015/05/22,16,93,260
2015/05/23,16,94,261
2015/05/24,17,92,255
2015/05/25,17,94,258
2015/05/26,16,96,257
2015/05/27,15,98,256
2015/05/28,15,98,260
2015/05/29,15,98,258
2015/05/30,14,97,255
2015/05/31,13,94,254
2015/06/01,13,98,251
2015/06/02,12,96,247
2015/06/03,12,93,244
2015/06/04,12,93,246
2015/06/05,12,95,248
2015/06/06,14,94,244
2015/06/07,13,94,245
2015/06/08,13,97,240
2015/06/09,13,94,236
2015/06/10,12,94,230
2015/06/11,12,93,232
2015/06/12,12,91,225
2015/06/13,12,91,227
2015/06/14,12,90,227
2015/06/15,13,88,226
2015/06/16,13,88,228
2015/06/17,12,89,220
2015/06/18,12,90,216
2015/06/19,13,86,211
2015/06/20,13,85,210
2015/06/21,12,80,211
2015/06/22,12,84,208
2015/06/23,11,83,206
2015/06/24,12,81,204
2015/06/25,13,82,206
2015/06/26,13,79,204
2015/06/27,13,80,204
2015/06/28,14,82,208
2015/06/29,15,84,211
2015/06/30,14,81,207
2015/07/01,13,82,205
2015/07/02,13,84,199
2015/07/03,14,84,199
2015/07/04,13,82,196
2015/07/05,14,82,190
2015/07/06,14,80,192
2015/07/07,14,80,196
2015/07/08,15,82,198
2015/07/09,13,81,203
2015/07/10,13,80,208
2015/07/11,14,81,211
2015/07/12,14,82,211
2015/07/13,14,82,208
2015/07/14,17,82,209
2015/07/15,17,81,212
2015/07/16,17,80,213
2015/07/17,16,80,215
2015/07/18,16,81,211
2015/07/19,17,79,215
2015/07/20,17,79,216
2015/07/21,17,77,220
2015/07/22,16,78,219
2015/07/23,17,79,224
2015/07/24,17,80,223
2015/07/25,18,79,227
2015/07/26,19,79,226
