date,cywiki (100+),cywiki (5+),cywiki (all)
2013/02/23,14,46,137
2013/02/24,13,45,137
2013/02/25,13,43,133
2013/02/26,13,42,138
2013/02/27,14,41,133
2013/02/28,14,42,130
2013/03/01,14,43,131
2013/03/02,14,43,133
2013/03/03,14,44,134
2013/03/04,13,45,136
2013/03/05,13,46,135
2013/03/06,14,46,130
2013/03/07,14,47,128
2013/03/08,14,46,121
2013/03/09,14,46,124
2013/03/10,13,46,125
2013/03/11,12,47,126
2013/03/12,13,48,128
2013/03/13,13,47,124
2013/03/14,13,47,123
2013/03/15,12,48,120
2013/03/16,12,48,120
2013/03/17,12,45,125
2013/03/18,12,45,123
2013/03/19,12,42,120
2013/03/20,12,40,115
2013/03/21,12,39,113
2013/03/22,12,39,113
2013/03/23,12,39,112
2013/03/24,11,39,111
2013/03/25,11,40,113
2013/03/26,11,39,111
2013/03/27,11,39,109
2013/03/28,11,38,108
2013/03/29,10,38,112
2013/03/30,10,37,116
2013/03/31,10,37,119
2013/04/01,8,34,113
2013/04/02,8,34,113
2013/04/03,7,34,108
2013/04/04,7,33,104
2013/04/05,7,31,104
2013/04/06,6,28,99
2013/04/07,6,28,96
2013/04/08,6,28,93
2013/04/09,6,29,97
2013/04/10,6,26,96
2013/04/11,6,27,94
2013/04/12,6,27,93
2013/04/13,6,29,93
2013/04/14,6,28,94
2013/04/15,7,28,94
2013/04/16,7,29,89
2013/04/17,7,30,89
2013/04/18,7,31,88
2013/04/19,7,31,90
2013/04/20,7,32,91
2013/04/21,7,32,93
2013/04/22,7,33,94
2013/04/23,7,34,93
2013/04/24,7,33,94
2013/04/25,7,33,91
2013/04/26,7,33,94
2013/04/27,7,33,94
2013/04/28,7,32,93
2013/04/29,7,33,89
2013/04/30,7,32,86
2013/05/01,7,32,89
2013/05/02,7,30,86
2013/05/03,6,30,84
2013/05/04,6,31,85
2013/05/05,6,30,87
2013/05/06,7,30,86
2013/05/07,7,30,85
2013/05/08,7,30,86
2013/05/09,7,31,83
2013/05/10,7,30,82
2013/05/11,7,28,80
2013/05/12,8,29,79
2013/05/13,9,29,81
2013/05/14,9,29,81
2013/05/15,8,28,83
2013/05/16,8,28,83
2013/05/17,8,28,83
2013/05/18,8,28,84
2013/05/19,8,28,83
2013/05/20,8,28,83
2013/05/21,8,29,82
2013/05/22,8,28,82
2013/05/23,8,28,83
2013/05/24,8,28,80
2013/05/25,8,29,81
2013/05/26,8,29,81
2013/05/27,8,27,79
2013/05/28,8,26,79
2013/05/29,8,24,77
2013/05/30,8,23,80
2013/05/31,8,23,79
2013/06/01,8,22,79
2013/06/02,8,22,79
2013/06/03,8,22,79
2013/06/04,8,22,79
2013/06/05,7,21,81
2013/06/06,6,22,81
2013/06/07,6,23,82
2013/06/08,6,22,82
2013/06/09,6,22,79
2013/06/10,6,22,76
2013/06/11,6,23,77
2013/06/12,5,23,76
2013/06/13,5,23,77
2013/06/14,5,23,78
2013/06/15,5,23,79
2013/06/16,4,23,79
2013/06/17,4,24,80
2013/06/18,4,25,83
2013/06/19,4,26,86
2013/06/20,4,24,84
2013/06/21,4,25,82
2013/06/22,4,26,81
2013/06/23,4,27,82
2013/06/24,4,26,83
2013/06/25,4,27,88
2013/06/26,4,28,90
2013/06/27,4,27,92
2013/06/28,4,26,93
2013/06/29,4,27,90
2013/06/30,4,28,92
2013/07/01,4,28,89
2013/07/02,4,27,91
2013/07/03,4,29,91
2013/07/04,4,27,91
2013/07/05,4,27,91
2013/07/06,4,28,87
2013/07/07,6,26,90
2013/07/08,6,29,94
2013/07/09,6,29,96
2013/07/10,6,28,93
2013/07/11,6,29,95
2013/07/12,6,29,94
2013/07/13,6,28,94
2013/07/14,6,28,91
2013/07/15,6,28,90
2013/07/16,6,27,93
2013/07/17,6,26,89
2013/07/18,6,26,89
2013/07/19,6,24,85
2013/07/20,6,23,89
2013/07/21,6,23,91
2013/07/22,6,22,92
2013/07/23,5,23,94
2013/07/24,5,24,99
2013/07/25,5,27,94
2013/07/26,5,28,93
2013/07/27,5,28,91
2013/07/28,5,28,91
2013/07/29,5,27,90
2013/07/30,5,27,91
2013/07/31,6,28,94
2013/08/01,6,31,97
2013/08/02,6,32,96
2013/08/03,6,33,95
2013/08/04,6,32,94
2013/08/05,6,31,95
2013/08/06,6,32,92
2013/08/07,6,29,92
2013/08/08,5,29,93
2013/08/09,5,29,92
2013/08/10,5,29,89
2013/08/11,5,30,94
2013/08/12,5,30,96
2013/08/13,5,30,98
2013/08/14,4,30,96
2013/08/15,5,30,95
2013/08/16,5,30,95
2013/08/17,5,31,93
2013/08/18,5,31,95
2013/08/19,5,30,96
2013/08/20,5,29,95
2013/08/21,6,30,97
2013/08/22,6,29,95
2013/08/23,6,28,91
2013/08/24,6,26,85
2013/08/25,6,26,87
2013/08/26,6,27,87
2013/08/27,7,25,90
2013/08/28,7,25,91
2013/08/29,7,27,91
2013/08/30,6,25,87
2013/08/31,6,24,83
2013/09/01,5,24,86
2013/09/02,6,23,86
2013/09/03,6,23,86
2013/09/04,6,25,88
2013/09/05,6,27,92
2013/09/06,6,28,92
2013/09/07,6,31,94
2013/09/08,7,32,97
2013/09/09,7,32,102
2013/09/10,7,32,98
2013/09/11,7,32,95
2013/09/12,7,32,93
2013/09/13,7,32,94
2013/09/14,7,33,95
2013/09/15,6,33,96
2013/09/16,6,35,97
2013/09/17,7,34,95
2013/09/18,8,35,92
2013/09/19,8,34,90
2013/09/20,7,33,88
2013/09/21,7,32,90
2013/09/22,7,33,95
2013/09/23,7,33,96
2013/09/24,7,33,94
2013/09/25,7,33,97
2013/09/26,8,32,92
2013/09/27,7,33,92
2013/09/28,8,32,90
2013/09/29,8,31,87
2013/09/30,8,32,89
2013/10/01,8,30,89
2013/10/02,8,32,93
2013/10/03,8,33,92
2013/10/04,7,33,90
2013/10/05,7,30,84
2013/10/06,7,30,81
2013/10/07,7,28,80
2013/10/08,6,27,79
2013/10/09,6,28,75
2013/10/10,6,27,75
2013/10/11,7,26,74
2013/10/12,7,26,74
2013/10/13,7,26,75
2013/10/14,7,27,76
2013/10/15,7,28,77
2013/10/16,7,28,78
2013/10/17,7,27,84
2013/10/18,7,28,83
2013/10/19,7,29,83
2013/10/20,7,29,82
2013/10/21,7,29,81
2013/10/22,7,28,80
2013/10/23,7,27,80
2013/10/24,7,28,82
2013/10/25,7,28,81
2013/10/26,7,28,80
2013/10/27,7,27,81
2013/10/28,7,26,81
2013/10/29,7,26,83
2013/10/30,7,25,82
2013/10/31,7,25,82
2013/11/01,7,23,79
2013/11/02,7,22,80
2013/11/03,7,22,81
2013/11/04,7,22,80
2013/11/05,7,22,83
2013/11/06,6,24,82
2013/11/07,6,23,81
2013/11/08,6,23,84
2013/11/09,6,23,85
2013/11/10,6,23,87
2013/11/11,6,25,87
2013/11/12,6,26,89
2013/11/13,5,25,93
2013/11/14,5,25,93
2013/11/15,5,27,94
2013/11/16,4,27,88
2013/11/17,4,25,90
2013/11/18,5,26,91
2013/11/19,5,25,93
2013/11/20,5,27,91
2013/11/21,5,27,90
2013/11/22,5,27,89
2013/11/23,6,26,86
2013/11/24,6,26,83
2013/11/25,6,26,84
2013/11/26,6,27,82
2013/11/27,6,29,79
2013/11/28,6,30,79
2013/11/29,6,29,79
2013/11/30,6,28,79
2013/12/01,7,27,79
2013/12/02,7,27,82
2013/12/03,7,28,79
2013/12/04,8,28,84
2013/12/05,8,29,89
2013/12/06,8,30,93
2013/12/07,8,31,93
2013/12/08,8,33,88
2013/12/09,10,36,91
2013/12/10,10,36,91
2013/12/11,10,36,89
2013/12/12,10,37,88
2013/12/13,10,37,87
2013/12/14,10,35,85
2013/12/15,10,33,82
2013/12/16,10,33,87
2013/12/17,10,33,85
2013/12/18,9,31,84
2013/12/19,9,32,84
2013/12/20,9,32,83
2013/12/21,9,31,83
2013/12/22,9,31,85
2013/12/23,9,31,84
2013/12/24,9,31,83
2013/12/25,9,31,84
2013/12/26,9,30,87
2013/12/27,9,30,87
2013/12/28,9,28,88
2013/12/29,9,28,88
2013/12/30,9,28,87
2013/12/31,9,28,90
2014/01/01,9,29,89
2014/01/02,9,28,91
2014/01/03,8,27,87
2014/01/04,8,26,83
2014/01/05,8,24,78
2014/01/06,7,24,78
2014/01/07,7,23,76
2014/01/08,6,24,75
2014/01/09,6,24,69
2014/01/10,6,24,70
2014/01/11,6,23,71
2014/01/12,6,23,73
2014/01/13,5,23,74
2014/01/14,5,23,74
2014/01/15,5,23,71
2014/01/16,5,24,72
2014/01/17,5,24,69
2014/01/18,5,26,69
2014/01/19,5,26,71
2014/01/20,5,26,70
2014/01/21,5,25,68
2014/01/22,5,27,71
2014/01/23,5,28,75
2014/01/24,5,27,75
2014/01/25,5,27,73
2014/01/26,5,27,73
2014/01/27,5,27,73
2014/01/28,5,28,73
2014/01/29,6,29,75
2014/01/30,6,29,74
2014/01/31,6,31,76
2014/02/01,6,30,74
2014/02/02,6,30,76
2014/02/03,6,30,77
2014/02/04,6,29,76
2014/02/05,6,29,84
2014/02/06,6,30,85
2014/02/07,6,30,87
2014/02/08,6,29,88
2014/02/09,6,32,87
2014/02/10,7,31,82
2014/02/11,7,29,82
2014/02/12,7,29,85
2014/02/13,7,29,85
2014/02/14,7,29,85
2014/02/15,7,27,85
2014/02/16,6,28,86
2014/02/17,6,29,90
2014/02/18,6,27,90
2014/02/19,6,27,90
2014/02/20,6,29,89
2014/02/21,6,28,88
2014/02/22,6,28,86
2014/02/23,6,27,85
2014/02/24,6,26,85
2014/02/25,6,25,85
2014/02/26,6,25,87
2014/02/27,5,26,90
2014/02/28,5,28,90
2014/03/01,5,28,89
2014/03/02,4,28,89
2014/03/03,4,29,90
2014/03/04,4,30,87
2014/03/05,3,30,86
2014/03/06,3,30,89
2014/03/07,3,31,88
2014/03/08,3,30,87
2014/03/09,3,30,87
2014/03/10,3,30,86
2014/03/11,3,30,88
2014/03/12,3,30,90
2014/03/13,3,29,91
2014/03/14,3,29,91
2014/03/15,4,29,94
2014/03/16,4,29,94
2014/03/17,4,28,97
2014/03/18,5,29,99
2014/03/19,5,28,93
2014/03/20,5,28,93
2014/03/21,5,28,93
2014/03/22,4,27,91
2014/03/23,4,27,89
2014/03/24,4,27,87
2014/03/25,4,26,87
2014/03/26,4,27,86
2014/03/27,4,29,89
2014/03/28,5,30,91
2014/03/29,4,30,89
2014/03/30,4,26,86
2014/03/31,4,27,86
2014/04/01,4,27,93
2014/04/02,4,26,96
2014/04/03,3,27,95
2014/04/04,3,29,95
2014/04/05,3,28,94
2014/04/06,4,27,92
2014/04/07,4,28,96
2014/04/08,4,32,98
2014/04/09,3,33,98
2014/04/10,3,33,98
2014/04/11,3,33,96
2014/04/12,3,33,95
2014/04/13,3,32,95
2014/04/14,3,33,93
2014/04/15,3,34,94
2014/04/16,3,35,92
2014/04/17,3,34,93
2014/04/18,3,35,95
2014/04/19,4,35,97
2014/04/20,4,35,96
2014/04/21,4,35,97
2014/04/22,4,36,98
2014/04/23,4,37,99
2014/04/24,4,37,99
2014/04/25,4,37,98
2014/04/26,3,37,102
2014/04/27,3,35,102
2014/04/28,3,36,103
2014/04/29,3,36,105
2014/04/30,3,34,108
2014/05/01,3,33,106
2014/05/02,3,32,106
2014/05/03,3,30,103
2014/05/04,3,29,101
2014/05/05,4,31,103
2014/05/06,5,31,103
2014/05/07,5,32,99
2014/05/08,5,30,100
2014/05/09,5,30,98
2014/05/10,5,30,97
2014/05/11,4,30,102
2014/05/12,3,33,102
2014/05/13,4,33,102
2014/05/14,4,29,99
2014/05/15,4,31,99
2014/05/16,5,34,104
2014/05/17,4,34,103
2014/05/18,5,33,102
2014/05/19,5,34,102
2014/05/20,5,35,103
2014/05/21,5,41,108
2014/05/22,5,41,113
2014/05/23,5,40,113
2014/05/24,5,42,114
2014/05/25,6,41,115
2014/05/26,6,41,113
2014/05/27,6,41,112
2014/05/28,6,40,111
2014/05/29,6,40,110
2014/05/30,6,40,113
2014/05/31,6,39,112
2014/06/01,5,42,109
2014/06/02,5,43,109
2014/06/03,5,43,107
2014/06/04,5,41,104
2014/06/05,4,44,103
2014/06/06,3,42,101
2014/06/07,3,42,100
2014/06/08,3,42,103
2014/06/09,3,42,103
2014/06/10,3,43,103
2014/06/11,3,41,101
2014/06/12,3,41,101
2014/06/13,3,43,101
2014/06/14,3,42,102
2014/06/15,3,40,96
2014/06/16,3,38,96
2014/06/17,3,38,96
2014/06/18,3,35,94
2014/06/19,4,36,92
2014/06/20,4,30,86
2014/06/21,4,28,82
2014/06/22,4,27,80
2014/06/23,4,28,80
2014/06/24,4,27,78
2014/06/25,4,27,77
2014/06/26,4,27,78
2014/06/27,4,26,83
2014/06/28,4,26,82
2014/06/29,4,25,79
2014/06/30,4,23,80
2014/07/01,4,23,78
2014/07/02,4,22,77
2014/07/03,3,22,79
2014/07/04,3,22,79
2014/07/05,3,21,77
2014/07/06,3,22,78
2014/07/07,3,22,77
2014/07/08,3,23,73
2014/07/09,3,23,72
2014/07/10,3,22,73
2014/07/11,3,23,70
2014/07/12,3,25,70
2014/07/13,3,26,76
2014/07/14,4,26,72
2014/07/15,4,26,72
2014/07/16,4,25,74
2014/07/17,4,27,76
2014/07/18,4,28,76
2014/07/19,4,29,76
2014/07/20,3,29,78
2014/07/21,4,30,78
2014/07/22,4,31,78
2014/07/23,4,30,80
2014/07/24,4,29,82
2014/07/25,4,29,79
2014/07/26,4,29,78
2014/07/27,4,29,76
2014/07/28,4,29,78
2014/07/29,4,28,79
2014/07/30,4,28,79
2014/07/31,4,28,79
2014/08/01,4,28,80
2014/08/02,4,28,81
2014/08/03,4,30,83
2014/08/04,4,30,85
2014/08/05,4,30,83
2014/08/06,3,32,88
2014/08/07,3,31,92
2014/08/08,3,28,93
2014/08/09,3,27,92
2014/08/10,3,27,90
2014/08/11,3,28,92
2014/08/12,3,26,89
2014/08/13,3,27,91
2014/08/14,3,28,91
2014/08/15,3,28,89
2014/08/16,3,27,86
2014/08/17,4,26,87
2014/08/18,5,26,87
2014/08/19,5,26,86
2014/08/20,5,26,88
2014/08/21,5,26,88
2014/08/22,5,25,86
2014/08/23,5,25,83
2014/08/24,5,26,84
2014/08/25,5,27,82
2014/08/26,5,27,81
2014/08/27,5,27,81
2014/08/28,5,26,79
2014/08/29,5,26,78
2014/08/30,5,25,79
2014/08/31,6,25,79
2014/09/01,6,25,78
2014/09/02,6,24,80
2014/09/03,6,25,78
2014/09/04,5,25,77
2014/09/05,5,26,77
2014/09/06,5,25,73
2014/09/07,5,26,72
2014/09/08,5,27,71
2014/09/09,5,27,71
2014/09/10,4,27,69
2014/09/11,4,28,67
2014/09/12,5,29,66
2014/09/13,5,28,66
2014/09/14,4,28,66
2014/09/15,4,28,67
2014/09/16,3,28,66
2014/09/17,3,28,67
2014/09/18,4,28,66
2014/09/19,4,28,64
2014/09/20,4,28,65
2014/09/21,4,28,66
2014/09/22,5,28,68
2014/09/23,5,26,69
2014/09/24,5,26,72
2014/09/25,5,26,72
2014/09/26,5,26,71
2014/09/27,5,26,72
2014/09/28,5,25,73
2014/09/29,5,23,72
2014/09/30,5,23,73
2014/10/01,5,23,73
2014/10/02,5,25,71
2014/10/03,5,24,73
2014/10/04,5,24,77
2014/10/05,5,25,78
2014/10/06,5,25,77
2014/10/07,5,25,75
2014/10/08,5,25,75
2014/10/09,5,25,79
2014/10/10,5,25,82
2014/10/11,5,24,83
2014/10/12,5,23,83
2014/10/13,5,23,84
2014/10/14,5,22,84
2014/10/15,5,21,85
2014/10/16,4,22,84
2014/10/17,4,23,86
2014/10/18,4,23,85
2014/10/19,4,21,85
2014/10/20,4,20,83
2014/10/21,4,20,84
2014/10/22,4,21,84
2014/10/23,4,20,82
2014/10/24,4,20,79
2014/10/25,4,21,77
2014/10/26,4,21,78
2014/10/27,4,21,82
2014/10/28,4,21,80
2014/10/29,4,21,78
2014/10/30,5,21,78
2014/10/31,5,21,76
2014/11/01,6,23,78
2014/11/02,7,25,77
2014/11/03,7,26,72
2014/11/04,7,26,69
2014/11/05,7,27,70
2014/11/06,7,28,70
2014/11/07,7,28,71
2014/11/08,7,26,67
2014/11/09,7,25,67
2014/11/10,7,25,70
2014/11/11,7,24,68
2014/11/12,7,23,67
2014/11/13,8,23,67
2014/11/14,7,23,68
2014/11/15,8,22,68
2014/11/16,8,20,65
2014/11/17,8,20,65
2014/11/18,8,21,65
2014/11/19,8,21,67
2014/11/20,8,21,68
2014/11/21,8,20,68
2014/11/22,8,20,67
2014/11/23,8,22,67
2014/11/24,8,21,67
2014/11/25,8,23,68
2014/11/26,7,23,66
2014/11/27,7,23,65
2014/11/28,7,23,65
2014/11/29,7,23,66
2014/11/30,8,25,68
2014/12/01,6,25,67
2014/12/02,5,24,67
2014/12/03,6,24,67
2014/12/04,6,23,70
2014/12/05,6,22,70
2014/12/06,6,23,73
2014/12/07,6,21,72
2014/12/08,6,21,73
2014/12/09,6,22,72
2014/12/10,6,22,71
2014/12/11,6,23,70
2014/12/12,6,23,72
2014/12/13,6,23,73
2014/12/14,6,23,73
2014/12/15,6,25,76
2014/12/16,7,25,77
2014/12/17,7,25,77
2014/12/18,6,24,77
2014/12/19,6,24,78
2014/12/20,6,25,78
2014/12/21,6,25,75
2014/12/22,6,25,77
2014/12/23,6,25,80
2014/12/24,6,25,81
2014/12/25,6,25,82
2014/12/26,6,25,82
2014/12/27,7,25,84
2014/12/28,7,26,83
2014/12/29,7,27,84
2014/12/30,7,25,84
2014/12/31,6,25,83
2015/01/01,6,25,82
2015/01/02,7,25,83
2015/01/03,7,25,84
2015/01/04,7,25,89
2015/01/05,8,25,85
2015/01/06,7,24,84
2015/01/07,7,24,85
2015/01/08,8,25,86
2015/01/09,8,25,88
2015/01/10,8,25,91
2015/01/11,8,24,89
2015/01/12,8,24,92
2015/01/13,8,26,91
2015/01/14,8,25,92
2015/01/15,8,25,94
2015/01/16,8,25,96
2015/01/17,8,25,96
2015/01/18,8,25,94
2015/01/19,8,26,95
2015/01/20,7,26,94
2015/01/21,7,24,95
2015/01/22,7,24,94
2015/01/23,7,24,94
2015/01/24,7,24,97
2015/01/25,7,25,99
2015/01/26,7,27,103
2015/01/27,6,28,104
2015/01/28,7,29,106
2015/01/29,7,29,106
2015/01/30,8,29,108
2015/01/31,7,29,109
2015/02/01,7,30,105
2015/02/02,7,30,108
2015/02/03,6,31,105
2015/02/04,7,31,106
2015/02/05,6,31,105
2015/02/06,6,31,104
2015/02/07,7,31,107
2015/02/08,6,31,105
2015/02/09,6,30,101
2015/02/10,6,30,103
2015/02/11,6,30,100
2015/02/12,6,29,102
2015/02/13,6,30,100
2015/02/14,6,30,98
2015/02/15,6,30,97
2015/02/16,6,30,98
2015/02/17,6,30,99
2015/02/18,6,29,98
2015/02/19,8,29,100
2015/02/20,8,29,102
2015/02/21,8,29,105
2015/02/22,8,29,111
2015/02/23,7,30,113
2015/02/24,7,30,113
2015/02/25,6,28,110
2015/02/26,6,28,106
2015/02/27,6,27,103
2015/02/28,5,27,103
2015/03/01,4,28,102
2015/03/02,4,27,101
2015/03/03,3,26,100
2015/03/04,4,25,95
2015/03/05,5,24,93
2015/03/06,4,25,91
2015/03/07,4,25,90
2015/03/08,4,27,93
2015/03/09,4,28,92
2015/03/10,4,28,93
2015/03/11,4,28,92
2015/03/12,4,29,94
2015/03/13,4,28,93
2015/03/14,4,29,95
2015/03/15,4,30,93
2015/03/16,4,30,92
2015/03/17,4,29,91
2015/03/18,4,29,94
2015/03/19,4,29,93
2015/03/20,4,30,94
2015/03/21,4,30,96
2015/03/22,4,31,93
2015/03/23,4,31,89
2015/03/24,4,29,87
2015/03/25,5,27,81
2015/03/26,5,27,79
2015/03/27,5,26,78
2015/03/28,6,26,79
2015/03/29,6,28,80
2015/03/30,5,28,77
2015/03/31,6,27,78
2015/04/01,5,27,79
2015/04/02,5,28,79
2015/04/03,4,28,80
2015/04/04,4,28,80
2015/04/05,4,29,84
2015/04/06,4,28,85
2015/04/07,4,24,83
2015/04/08,4,23,81
2015/04/09,4,23,77
2015/04/10,4,23,82
2015/04/11,3,22,86
2015/04/12,4,22,86
2015/04/13,4,21,83
2015/04/14,3,22,87
2015/04/15,4,22,88
2015/04/16,4,22,90
2015/04/17,4,22,88
2015/04/18,4,21,92
2015/04/19,4,21,94
2015/04/20,4,21,91
2015/04/21,4,21,92
2015/04/22,4,22,95
2015/04/23,4,22,93
2015/04/24,3,25,98
2015/04/25,3,26,97
2015/04/26,3,26,96
2015/04/27,4,26,96
2015/04/28,4,27,96
2015/04/29,4,25,97
2015/04/30,4,25,95
2015/05/01,4,24,94
2015/05/02,4,23,95
2015/05/03,4,22,97
2015/05/04,4,22,96
2015/05/05,4,22,92
2015/05/06,4,25,91
2015/05/07,4,24,90
2015/05/08,4,25,90
2015/05/09,4,25,91
2015/05/10,4,25,90
2015/05/11,4,23,84
