date,ocwiki (100+),ocwiki (5+),ocwiki (all)
2012/12/05,16,43,103
2012/12/06,16,42,104
2012/12/07,16,41,105
2012/12/08,16,42,104
2012/12/09,15,42,102
2012/12/10,15,42,105
2012/12/11,17,43,105
2012/12/12,16,41,105
2012/12/13,16,40,105
2012/12/14,16,40,104
2012/12/15,16,38,105
2012/12/16,16,36,106
2012/12/17,16,36,108
2012/12/18,16,36,108
2012/12/19,16,35,107
2012/12/20,16,35,108
2012/12/21,15,36,107
2012/12/22,15,35,107
2012/12/23,15,36,107
2012/12/24,16,36,110
2012/12/25,16,37,113
2012/12/26,14,36,111
2012/12/27,13,37,113
2012/12/28,13,37,112
2012/12/29,13,36,112
2012/12/30,13,36,112
2012/12/31,13,36,116
2013/01/01,12,36,115
2013/01/02,10,38,115
2013/01/03,10,38,112
2013/01/04,10,37,117
2013/01/05,11,37,116
2013/01/06,9,36,117
2013/01/07,9,36,118
2013/01/08,9,36,116
2013/01/09,9,35,113
2013/01/10,9,33,118
2013/01/11,9,33,117
2013/01/12,9,32,116
2013/01/13,9,36,120
2013/01/14,10,39,123
2013/01/15,10,41,124
2013/01/16,9,41,124
2013/01/17,9,41,126
2013/01/18,9,43,129
2013/01/19,9,45,130
2013/01/20,9,43,125
2013/01/21,9,44,123
2013/01/22,9,43,128
2013/01/23,9,42,129
2013/01/24,9,43,131
2013/01/25,10,44,135
2013/01/26,10,44,134
2013/01/27,11,44,135
2013/01/28,11,43,135
2013/01/29,11,42,136
2013/01/30,11,41,135
2013/01/31,11,41,137
2013/02/01,11,40,132
2013/02/02,11,39,130
2013/02/03,11,41,131
2013/02/04,10,41,131
2013/02/05,10,42,133
2013/02/06,10,41,133
2013/02/07,10,40,130
2013/02/08,10,41,129
2013/02/09,10,40,125
2013/02/10,11,39,124
2013/02/11,11,39,123
2013/02/12,11,38,121
2013/02/13,10,40,123
2013/02/14,10,37,123
2013/02/15,11,37,122
2013/02/16,11,37,124
2013/02/17,11,37,124
2013/02/18,11,34,123
2013/02/19,11,36,127
2013/02/20,11,36,127
2013/02/21,11,36,125
2013/02/22,11,36,124
2013/02/23,11,37,127
2013/02/24,11,38,125
2013/02/25,11,37,124
2013/02/26,11,39,126
2013/02/27,11,39,125
2013/02/28,12,38,125
2013/03/01,12,40,122
2013/03/02,12,40,121
2013/03/03,12,40,124
2013/03/04,12,40,125
2013/03/05,12,39,128
2013/03/06,11,39,125
2013/03/07,10,40,119
2013/03/08,11,39,116
2013/03/09,10,40,118
2013/03/10,10,40,117
2013/03/11,10,40,115
2013/03/12,10,42,116
2013/03/13,10,42,119
2013/03/14,10,43,120
2013/03/15,9,41,118
2013/03/16,9,40,115
2013/03/17,9,38,118
2013/03/18,9,38,116
2013/03/19,9,37,113
2013/03/20,7,36,110
2013/03/21,7,35,110
2013/03/22,7,35,109
2013/03/23,7,35,108
2013/03/24,6,34,105
2013/03/25,7,32,102
2013/03/26,7,33,103
2013/03/27,7,32,103
2013/03/28,7,31,104
2013/03/29,7,30,104
2013/03/30,7,30,101
2013/03/31,7,29,100
2013/04/01,7,28,97
2013/04/02,7,27,96
2013/04/03,7,27,95
2013/04/04,7,28,91
2013/04/05,7,25,89
2013/04/06,7,25,87
2013/04/07,7,24,87
2013/04/08,7,23,86
2013/04/09,7,23,88
2013/04/10,7,24,89
2013/04/11,7,23,88
2013/04/12,8,23,87
2013/04/13,8,22,86
2013/04/14,7,22,88
2013/04/15,7,21,87
2013/04/16,7,21,87
2013/04/17,7,22,87
2013/04/18,7,22,88
2013/04/19,7,22,88
2013/04/20,7,22,91
2013/04/21,7,25,92
2013/04/22,7,24,90
2013/04/23,7,25,93
2013/04/24,7,25,91
2013/04/25,7,26,91
2013/04/26,7,27,94
2013/04/27,7,28,91
2013/04/28,7,28,91
2013/04/29,7,27,91
2013/04/30,7,27,92
2013/05/01,6,27,91
2013/05/02,6,27,91
2013/05/03,6,26,92
2013/05/04,6,24,92
2013/05/05,6,26,89
2013/05/06,6,27,89
2013/05/07,6,27,87
2013/05/08,6,26,86
2013/05/09,5,26,85
2013/05/10,5,24,83
2013/05/11,5,25,84
2013/05/12,4,25,82
2013/05/13,4,25,85
2013/05/14,4,24,84
2013/05/15,4,27,87
2013/05/16,6,29,86
2013/05/17,7,30,86
2013/05/18,7,30,87
2013/05/19,8,30,90
2013/05/20,8,30,89
2013/05/21,8,30,90
2013/05/22,8,31,91
2013/05/23,7,31,95
2013/05/24,7,31,97
2013/05/25,7,30,99
2013/05/26,7,30,96
2013/05/27,7,28,98
2013/05/28,7,30,98
2013/05/29,7,30,99
2013/05/30,7,31,101
2013/05/31,7,32,98
2013/06/01,7,31,100
2013/06/02,7,31,102
2013/06/03,7,30,102
2013/06/04,7,29,98
2013/06/05,8,28,97
2013/06/06,9,28,96
2013/06/07,9,29,95
2013/06/08,9,29,96
2013/06/09,9,28,95
2013/06/10,9,28,94
2013/06/11,9,28,97
2013/06/12,9,29,95
2013/06/13,9,29,94
2013/06/14,9,27,89
2013/06/15,9,27,88
2013/06/16,9,24,90
2013/06/17,9,24,91
2013/06/18,8,23,89
2013/06/19,8,24,89
2013/06/20,8,23,87
2013/06/21,8,23,89
2013/06/22,8,24,82
2013/06/23,8,25,85
2013/06/24,8,24,81
2013/06/25,7,24,83
2013/06/26,8,24,83
2013/06/27,9,24,84
2013/06/28,9,23,86
2013/06/29,9,22,83
2013/06/30,9,22,82
2013/07/01,9,22,79
2013/07/02,10,23,78
2013/07/03,10,24,80
2013/07/04,9,24,81
2013/07/05,9,24,80
2013/07/06,8,25,79
2013/07/07,8,27,82
2013/07/08,7,29,83
2013/07/09,7,29,86
2013/07/10,7,29,88
2013/07/11,7,30,89
2013/07/12,7,28,94
2013/07/13,8,28,94
2013/07/14,8,29,94
2013/07/15,8,30,96
2013/07/16,8,30,96
2013/07/17,8,32,93
2013/07/18,7,31,94
2013/07/19,7,34,94
2013/07/20,7,35,96
2013/07/21,7,37,97
2013/07/22,6,37,100
2013/07/23,6,36,95
2013/07/24,5,34,93
2013/07/25,5,35,94
2013/07/26,5,34,92
2013/07/27,6,34,92
2013/07/28,6,34,91
2013/07/29,6,33,92
2013/07/30,6,32,94
2013/07/31,6,31,97
2013/08/01,6,31,100
2013/08/02,6,30,96
2013/08/03,6,30,96
2013/08/04,6,30,97
2013/08/05,6,31,98
2013/08/06,5,29,101
2013/08/07,5,29,102
2013/08/08,5,29,99
2013/08/09,5,29,98
2013/08/10,5,28,95
2013/08/11,5,28,92
2013/08/12,4,28,92
2013/08/13,4,27,91
2013/08/14,5,27,90
2013/08/15,5,28,91
2013/08/16,5,26,90
2013/08/17,6,26,87
2013/08/18,4,28,89
2013/08/19,4,27,86
2013/08/20,4,25,83
2013/08/21,4,25,80
2013/08/22,4,26,81
2013/08/23,5,26,81
2013/08/24,5,26,81
2013/08/25,5,26,80
2013/08/26,5,27,81
2013/08/27,5,26,84
2013/08/28,5,27,85
2013/08/29,5,28,87
2013/08/30,5,27,86
2013/08/31,5,25,83
2013/09/01,5,26,86
2013/09/02,5,26,87
2013/09/03,5,25,89
2013/09/04,5,25,89
2013/09/05,5,25,85
2013/09/06,5,25,83
2013/09/07,4,23,82
2013/09/08,3,22,82
2013/09/09,3,24,80
2013/09/10,3,25,82
2013/09/11,3,26,80
2013/09/12,3,26,80
2013/09/13,4,28,80
2013/09/14,4,29,84
2013/09/15,4,28,85
2013/09/16,4,29,85
2013/09/17,4,29,83
2013/09/18,5,29,85
2013/09/19,5,29,84
2013/09/20,5,30,88
2013/09/21,5,30,90
2013/09/22,5,30,88
2013/09/23,5,29,87
2013/09/24,5,30,87
2013/09/25,5,29,88
2013/09/26,5,29,88
2013/09/27,6,29,88
2013/09/28,6,30,85
2013/09/29,6,31,81
2013/09/30,7,31,81
2013/10/01,7,29,82
2013/10/02,7,28,81
2013/10/03,8,27,79
2013/10/04,8,27,77
2013/10/05,8,27,75
2013/10/06,8,28,79
2013/10/07,8,28,80
2013/10/08,8,28,82
2013/10/09,8,26,84
2013/10/10,7,26,87
2013/10/11,7,26,87
2013/10/12,7,27,89
2013/10/13,7,27,90
2013/10/14,7,25,87
2013/10/15,8,25,86
2013/10/16,7,26,88
2013/10/17,7,26,92
2013/10/18,7,25,88
2013/10/19,7,27,93
2013/10/20,7,26,91
2013/10/21,6,24,89
2013/10/22,6,24,91
2013/10/23,6,24,90
2013/10/24,6,25,89
2013/10/25,6,26,88
2013/10/26,5,26,87
2013/10/27,5,25,90
2013/10/28,5,25,89
2013/10/29,5,26,92
2013/10/30,5,25,93
2013/10/31,4,26,96
2013/11/01,4,27,96
2013/11/02,4,27,95
2013/11/03,4,27,98
2013/11/04,4,27,98
2013/11/05,4,25,96
2013/11/06,4,28,95
2013/11/07,4,29,93
2013/11/08,4,29,97
2013/11/09,4,28,98
2013/11/10,4,28,97
2013/11/11,4,27,98
2013/11/12,4,27,100
2013/11/13,4,29,97
2013/11/14,4,29,99
2013/11/15,4,29,101
2013/11/16,4,29,97
2013/11/17,5,28,98
2013/11/18,5,29,93
2013/11/19,5,28,91
2013/11/20,5,29,93
2013/11/21,5,29,92
2013/11/22,5,31,91
2013/11/23,5,32,90
2013/11/24,5,31,88
2013/11/25,5,30,89
2013/11/26,4,31,90
2013/11/27,4,31,89
2013/11/28,5,28,86
2013/11/29,4,28,87
2013/11/30,5,28,85
2013/12/01,4,27,84
2013/12/02,4,26,85
2013/12/03,4,25,87
2013/12/04,4,25,84
2013/12/05,4,25,83
2013/12/06,4,23,85
2013/12/07,4,24,88
2013/12/08,4,23,88
2013/12/09,5,21,88
2013/12/10,5,21,87
2013/12/11,5,21,88
2013/12/12,5,21,89
2013/12/13,5,20,89
2013/12/14,5,20,89
2013/12/15,5,19,89
2013/12/16,5,19,89
2013/12/17,4,20,88
2013/12/18,4,20,88
2013/12/19,4,20,86
2013/12/20,4,20,83
2013/12/21,4,20,83
2013/12/22,4,20,78
2013/12/23,5,21,80
2013/12/24,5,21,83
2013/12/25,5,21,85
2013/12/26,5,21,82
2013/12/27,5,20,85
2013/12/28,5,20,84
2013/12/29,5,21,84
2013/12/30,5,20,88
2013/12/31,5,20,87
2014/01/01,5,20,85
2014/01/02,5,20,82
2014/01/03,5,20,85
2014/01/04,5,21,86
2014/01/05,5,20,85
2014/01/06,5,19,82
2014/01/07,5,19,80
2014/01/08,5,19,77
2014/01/09,5,18,74
2014/01/10,5,19,73
2014/01/11,5,18,71
2014/01/12,5,18,70
2014/01/13,6,17,71
2014/01/14,6,19,73
2014/01/15,6,19,71
2014/01/16,6,20,71
2014/01/17,6,19,72
2014/01/18,6,20,74
2014/01/19,6,21,75
2014/01/20,6,20,74
2014/01/21,6,20,77
2014/01/22,6,19,77
2014/01/23,5,18,75
2014/01/24,5,20,75
2014/01/25,5,20,77
2014/01/26,5,21,76
2014/01/27,5,21,76
2014/01/28,5,21,75
2014/01/29,5,22,75
2014/01/30,5,23,75
2014/01/31,5,24,76
2014/02/01,5,24,79
2014/02/02,5,24,78
2014/02/03,5,23,77
2014/02/04,5,23,76
2014/02/05,5,21,76
2014/02/06,5,21,80
2014/02/07,5,22,79
2014/02/08,5,21,81
2014/02/09,6,22,82
2014/02/10,6,21,83
2014/02/11,6,21,86
2014/02/12,6,23,87
2014/02/13,4,22,86
2014/02/14,4,22,85
2014/02/15,4,23,86
2014/02/16,5,23,84
2014/02/17,5,22,86
2014/02/18,5,22,86
2014/02/19,5,23,89
2014/02/20,4,23,90
2014/02/21,5,22,90
2014/02/22,4,22,90
2014/02/23,4,22,92
2014/02/24,4,22,90
2014/02/25,4,22,92
2014/02/26,4,23,93
2014/02/27,4,23,91
2014/02/28,4,21,92
2014/03/01,4,21,90
2014/03/02,4,21,88
2014/03/03,4,24,88
2014/03/04,4,25,87
2014/03/05,4,24,86
2014/03/06,4,25,87
2014/03/07,5,25,89
2014/03/08,5,26,92
2014/03/09,4,27,92
2014/03/10,4,28,92
2014/03/11,4,27,89
2014/03/12,5,27,87
2014/03/13,5,27,85
2014/03/14,5,25,84
2014/03/15,5,25,86
2014/03/16,4,25,87
2014/03/17,4,24,89
2014/03/18,5,27,94
2014/03/19,5,27,91
2014/03/20,5,27,90
2014/03/21,5,27,86
2014/03/22,5,27,83
2014/03/23,5,25,82
2014/03/24,5,27,85
2014/03/25,5,27,80
2014/03/26,5,27,82
2014/03/27,5,27,82
2014/03/28,5,28,79
2014/03/29,5,29,79
2014/03/30,5,29,79
2014/03/31,5,29,80
2014/04/01,5,28,83
2014/04/02,5,26,84
2014/04/03,5,27,86
2014/04/04,5,27,87
2014/04/05,5,27,91
2014/04/06,5,27,93
2014/04/07,4,26,88
2014/04/08,4,26,88
2014/04/09,3,26,89
2014/04/10,3,27,91
2014/04/11,3,27,89
2014/04/12,3,27,91
2014/04/13,4,27,88
2014/04/14,4,27,89
2014/04/15,4,27,89
2014/04/16,4,27,88
2014/04/17,4,23,86
2014/04/18,4,23,87
2014/04/19,4,23,86
2014/04/20,4,22,90
2014/04/21,4,23,91
2014/04/22,4,25,94
2014/04/23,4,24,97
2014/04/24,4,26,99
2014/04/25,4,26,96
2014/04/26,4,26,99
2014/04/27,4,25,102
2014/04/28,4,25,104
2014/04/29,4,25,108
2014/04/30,4,25,109
2014/05/01,4,26,107
2014/05/02,5,27,104
2014/05/03,5,27,100
2014/05/04,5,27,106
2014/05/05,5,26,102
2014/05/06,4,26,99
2014/05/07,4,27,101
2014/05/08,5,28,101
2014/05/09,5,28,99
2014/05/10,5,27,99
2014/05/11,5,27,101
2014/05/12,4,27,100
2014/05/13,4,27,101
2014/05/14,4,27,100
2014/05/15,4,26,100
2014/05/16,4,26,104
2014/05/17,6,26,103
2014/05/18,6,27,102
2014/05/19,5,26,100
2014/05/20,5,26,95
2014/05/21,4,26,92
2014/05/22,4,24,91
2014/05/23,4,24,92
2014/05/24,5,26,93
2014/05/25,5,26,93
2014/05/26,5,27,92
2014/05/27,6,26,91
2014/05/28,6,27,90
2014/05/29,6,27,87
2014/05/30,6,27,89
2014/05/31,6,27,91
2014/06/01,5,28,93
2014/06/02,5,28,95
2014/06/03,5,28,91
2014/06/04,5,29,92
2014/06/05,5,29,93
2014/06/06,5,27,91
2014/06/07,6,25,90
2014/06/08,6,25,88
2014/06/09,6,26,88
2014/06/10,6,26,89
2014/06/11,6,27,85
2014/06/12,5,27,84
2014/06/13,5,26,83
2014/06/14,5,26,83
2014/06/15,5,24,76
2014/06/16,5,21,73
2014/06/17,5,20,72
2014/06/18,5,20,73
2014/06/19,5,21,75
2014/06/20,6,20,76
2014/06/21,6,20,76
2014/06/22,6,21,74
2014/06/23,6,22,71
2014/06/24,6,23,73
2014/06/25,6,21,72
2014/06/26,5,21,72
2014/06/27,5,20,73
2014/06/28,5,20,74
2014/06/29,5,21,74
2014/06/30,5,21,74
2014/07/01,5,20,71
2014/07/02,6,21,74
2014/07/03,5,22,79
2014/07/04,6,20,77
2014/07/05,5,19,76
2014/07/06,5,19,76
2014/07/07,5,20,78
2014/07/08,5,19,79
2014/07/09,5,19,76
2014/07/10,5,19,75
2014/07/11,5,20,74
2014/07/12,4,20,74
2014/07/13,4,19,77
2014/07/14,4,18,78
2014/07/15,4,18,80
2014/07/16,4,18,79
2014/07/17,4,18,79
2014/07/18,4,18,79
2014/07/19,4,18,77
2014/07/20,4,18,74
2014/07/21,4,19,75
2014/07/22,4,19,75
2014/07/23,4,19,76
2014/07/24,4,18,75
2014/07/25,4,18,75
2014/07/26,4,18,76
2014/07/27,4,18,75
2014/07/28,4,18,75
2014/07/29,4,17,77
2014/07/30,4,17,73
2014/07/31,4,18,74
2014/08/01,4,18,71
2014/08/02,4,17,67
2014/08/03,4,17,66
2014/08/04,4,17,66
2014/08/05,4,17,69
2014/08/06,4,16,69
2014/08/07,4,16,70
2014/08/08,4,16,71
2014/08/09,4,15,72
2014/08/10,4,14,71
2014/08/11,4,15,68
2014/08/12,4,15,69
2014/08/13,4,16,71
2014/08/14,4,17,71
2014/08/15,4,17,72
2014/08/16,4,17,73
2014/08/17,4,17,74
2014/08/18,4,16,74
2014/08/19,4,15,73
2014/08/20,4,15,70
2014/08/21,4,16,75
2014/08/22,4,16,75
2014/08/23,4,15,72
2014/08/24,4,15,75
2014/08/25,4,15,73
2014/08/26,4,16,73
2014/08/27,4,16,74
2014/08/28,5,16,75
2014/08/29,5,16,73
2014/08/30,5,16,74
2014/08/31,5,16,73
2014/09/01,5,17,74
2014/09/02,5,18,77
2014/09/03,5,18,75
2014/09/04,5,17,74
2014/09/05,5,17,77
2014/09/06,5,16,80
2014/09/07,6,16,81
2014/09/08,6,16,83
2014/09/09,6,16,85
2014/09/10,6,16,86
2014/09/11,5,15,85
2014/09/12,5,15,82
2014/09/13,5,15,79
2014/09/14,5,15,80
2014/09/15,5,15,79
2014/09/16,5,14,80
2014/09/17,5,14,79
2014/09/18,5,15,83
2014/09/19,5,15,84
2014/09/20,5,16,75
2014/09/21,5,16,74
2014/09/22,5,16,73
2014/09/23,5,15,69
2014/09/24,5,15,70
2014/09/25,5,15,69
2014/09/26,5,16,68
2014/09/27,5,16,66
2014/09/28,5,16,68
2014/09/29,5,16,69
2014/09/30,5,16,71
2014/10/01,5,15,71
2014/10/02,5,13,71
2014/10/03,5,13,71
2014/10/04,5,12,70
2014/10/05,5,13,69
2014/10/06,5,15,70
2014/10/07,5,16,71
2014/10/08,5,17,70
2014/10/09,5,17,73
2014/10/10,5,16,73
2014/10/11,4,16,73
2014/10/12,5,16,72
2014/10/13,4,17,73
2014/10/14,5,16,73
2014/10/15,5,16,73
2014/10/16,5,17,75
2014/10/17,4,18,75
2014/10/18,4,18,73
2014/10/19,4,20,73
2014/10/20,4,20,72
2014/10/21,4,20,73
2014/10/22,4,20,74
2014/10/23,5,20,75
2014/10/24,5,20,74
2014/10/25,5,20,76
2014/10/26,5,21,74
2014/10/27,5,21,77
2014/10/28,5,21,77
2014/10/29,5,21,75
2014/10/30,5,22,72
2014/10/31,5,22,75
2014/11/01,5,22,75
2014/11/02,5,20,77
2014/11/03,5,20,77
2014/11/04,5,20,83
2014/11/05,5,17,79
2014/11/06,5,17,77
2014/11/07,5,17,76
2014/11/08,5,16,74
2014/11/09,5,15,78
2014/11/10,5,14,77
2014/11/11,5,14,78
2014/11/12,6,15,76
2014/11/13,7,15,76
2014/11/14,6,16,77
2014/11/15,6,15,76
2014/11/16,6,15,77
2014/11/17,6,15,75
2014/11/18,6,13,71
2014/11/19,6,13,72
2014/11/20,6,13,76
2014/11/21,6,13,72
2014/11/22,6,12,72
2014/11/23,6,12,75
2014/11/24,6,12,72
2014/11/25,6,12,70
2014/11/26,7,11,69
2014/11/27,7,12,68
2014/11/28,7,14,70
2014/11/29,7,15,71
2014/11/30,7,15,68
2014/12/01,7,15,67
2014/12/02,7,15,68
2014/12/03,7,14,71
2014/12/04,7,14,66
2014/12/05,7,15,66
2014/12/06,7,15,66
2014/12/07,7,16,69
2014/12/08,7,16,68
2014/12/09,7,16,65
2014/12/10,7,17,66
2014/12/11,6,17,67
2014/12/12,6,17,68
2014/12/13,6,18,68
2014/12/14,6,18,71
2014/12/15,6,18,69
2014/12/16,6,18,70
2014/12/17,6,20,72
2014/12/18,6,20,72
2014/12/19,6,20,76
2014/12/20,6,20,74
2014/12/21,6,21,76
2014/12/22,7,22,75
2014/12/23,6,22,71
2014/12/24,6,22,71
2014/12/25,6,22,72
2014/12/26,6,22,75
2014/12/27,5,23,75
2014/12/28,5,22,71
2014/12/29,5,22,72
2014/12/30,5,23,72
2014/12/31,5,23,73
2015/01/01,4,22,73
2015/01/02,4,21,73
2015/01/03,5,20,72
2015/01/04,5,21,75
2015/01/05,5,21,75
2015/01/06,5,20,76
2015/01/07,4,21,78
2015/01/08,4,22,78
2015/01/09,4,21,79
2015/01/10,4,21,78
2015/01/11,5,23,79
2015/01/12,5,23,80
2015/01/13,4,22,80
2015/01/14,4,22,78
2015/01/15,4,22,79
2015/01/16,4,21,79
2015/01/17,4,20,77
2015/01/18,4,20,74
2015/01/19,5,20,74
2015/01/20,5,20,72
2015/01/21,4,19,73
2015/01/22,4,18,77
2015/01/23,4,18,76
2015/01/24,4,19,79
2015/01/25,4,19,81
2015/01/26,4,19,80
2015/01/27,4,19,86
2015/01/28,4,19,84
2015/01/29,4,18,87
2015/01/30,4,18,86
2015/01/31,4,18,87
2015/02/01,4,19,87
2015/02/02,4,20,87
2015/02/03,4,20,87
2015/02/04,4,19,87
2015/02/05,4,20,87
2015/02/06,4,20,86
2015/02/07,5,20,83
2015/02/08,6,20,81
2015/02/09,5,21,81
2015/02/10,5,21,81
2015/02/11,5,20,79
2015/02/12,5,22,77
2015/02/13,5,23,78
2015/02/14,5,23,79
2015/02/15,5,23,80
2015/02/16,6,22,81
2015/02/17,6,26,95
2015/02/18,6,27,92
2015/02/19,6,27,90
2015/02/20,6,27,91
2015/02/21,6,27,92
2015/02/22,6,26,95
2015/02/23,6,26,92
2015/02/24,6,26,92
2015/02/25,5,26,93
2015/02/26,5,24,89
2015/02/27,5,24,88
2015/02/28,5,24,82
2015/03/01,5,24,83
2015/03/02,5,24,81
2015/03/03,5,23,79
2015/03/04,5,22,81
2015/03/05,5,22,78
2015/03/06,6,22,79
2015/03/07,6,21,80
2015/03/08,6,21,81
2015/03/09,6,21,82
2015/03/10,6,22,84
2015/03/11,5,23,83
2015/03/12,5,24,82
2015/03/13,5,24,84
2015/03/14,7,23,87
2015/03/15,7,23,88
2015/03/16,8,25,93
2015/03/17,8,25,91
2015/03/18,8,26,88
2015/03/19,8,23,76
2015/03/20,8,25,78
2015/03/21,8,25,77
2015/03/22,8,25,76
2015/03/23,8,25,76
2015/03/24,8,25,75
2015/03/25,8,26,76
2015/03/26,8,27,74
2015/03/27,8,27,73
2015/03/28,8,27,73
2015/03/29,8,27,73
2015/03/30,8,27,72
2015/03/31,7,27,74
2015/04/01,7,26,74
2015/04/02,6,26,76
2015/04/03,6,25,74
2015/04/04,6,26,77
2015/04/05,6,26,77
2015/04/06,6,26,79
2015/04/07,6,27,84
2015/04/08,5,25,83
2015/04/09,5,25,83
2015/04/10,5,26,83
2015/04/11,5,26,84
2015/04/12,5,28,87
2015/04/13,5,29,87
2015/04/14,5,29,87
2015/04/15,4,26,84
2015/04/16,4,25,86
2015/04/17,3,26,89
2015/04/18,3,26,87
2015/04/19,3,27,86
2015/04/20,4,27,88
2015/04/21,5,29,89
2015/04/22,4,28,89
2015/04/23,5,28,90
2015/04/24,5,28,91
2015/04/25,5,28,89
2015/04/26,5,28,92
2015/04/27,5,28,94
2015/04/28,5,27,92
2015/04/29,5,27,92
2015/04/30,5,27,92
2015/05/01,5,28,89
2015/05/02,6,30,88
2015/05/03,6,30,86
2015/05/04,6,31,86
2015/05/05,6,30,87
2015/05/06,6,30,86
2015/05/07,6,30,83
2015/05/08,7,31,84
2015/05/09,7,32,84
2015/05/10,7,31,84
2015/05/11,7,31,87
2015/05/12,7,32,86
2015/05/13,7,30,84
2015/05/14,7,32,85
2015/05/15,7,31,83
2015/05/16,7,31,81
2015/05/17,7,31,80
2015/05/18,7,32,83
2015/05/19,6,32,86
2015/05/20,7,30,85
2015/05/21,7,29,89
2015/05/22,7,29,89
2015/05/23,7,26,89
2015/05/24,7,23,87
2015/05/25,6,23,90
2015/05/26,6,24,89
2015/05/27,6,22,88
2015/05/28,6,23,84
2015/05/29,6,24,85
2015/05/30,6,25,83
2015/05/31,6,24,83
2015/06/01,6,22,83
2015/06/02,6,23,85
2015/06/03,6,23,84
2015/06/04,6,23,82
2015/06/05,6,23,80
2015/06/06,6,22,81
2015/06/07,5,21,82
2015/06/08,6,22,87
2015/06/09,6,23,89
2015/06/10,6,24,90
2015/06/11,7,22,90
2015/06/12,7,22,87
2015/06/13,7,23,87
2015/06/14,7,22,86
2015/06/15,7,22,85
2015/06/16,7,21,83
2015/06/17,7,20,82
2015/06/18,7,21,82
2015/06/19,6,21,81
2015/06/20,6,21,80
2015/06/21,6,21,79
2015/06/22,6,21,78
2015/06/23,6,21,79
2015/06/24,5,23,81
2015/06/25,5,23,82
2015/06/26,5,21,83
2015/06/27,6,21,81
2015/06/28,6,22,80
2015/06/29,6,24,82
2015/06/30,5,24,83
2015/07/01,5,23,83
2015/07/02,5,22,82
2015/07/03,5,22,81
2015/07/04,5,22,81
2015/07/05,5,22,81
2015/07/06,5,22,81
2015/07/07,5,22,81
2015/07/08,5,20,77
2015/07/09,5,21,77
2015/07/10,5,22,73
2015/07/11,5,21,70
2015/07/12,5,21,72
2015/07/13,5,20,76
2015/07/14,5,20,77
2015/07/15,5,19,77
2015/07/16,5,18,79
2015/07/17,5,19,81
2015/07/18,5,20,81
2015/07/19,5,20,82
2015/07/20,5,21,84
2015/07/21,5,21,88
2015/07/22,5,22,89
2015/07/23,5,22,91
2015/07/24,5,24,90
2015/07/25,5,23,91
2015/07/26,5,22,89
