date,kywiki (100+),kywiki (5+),kywiki (all)
2013/02/23,5,48,98
2013/02/24,5,48,99
2013/02/25,5,46,97
2013/02/26,5,46,95
2013/02/27,5,45,95
2013/02/28,5,45,94
2013/03/01,5,46,92
2013/03/02,5,46,93
2013/03/03,5,46,91
2013/03/04,5,47,90
2013/03/05,5,48,86
2013/03/06,5,48,88
2013/03/07,5,47,90
2013/03/08,6,47,89
2013/03/09,6,47,91
2013/03/10,6,45,91
2013/03/11,6,44,90
2013/03/12,7,44,90
2013/03/13,7,44,92
2013/03/14,7,43,92
2013/03/15,6,42,92
2013/03/16,6,42,92
2013/03/17,6,40,90
2013/03/18,5,38,88
2013/03/19,5,36,85
2013/03/20,5,36,80
2013/03/21,5,33,76
2013/03/22,4,34,74
2013/03/23,4,32,75
2013/03/24,3,29,68
2013/03/25,3,30,71
2013/03/26,3,28,70
2013/03/27,3,28,71
2013/03/28,3,28,71
2013/03/29,3,29,71
2013/03/30,3,28,71
2013/03/31,3,25,71
2013/04/01,3,25,69
2013/04/02,3,25,68
2013/04/03,3,23,66
2013/04/04,3,21,61
2013/04/05,3,19,54
2013/04/06,2,17,50
2013/04/07,2,18,48
2013/04/08,1,16,47
2013/04/09,1,16,47
2013/04/10,1,16,49
2013/04/11,1,16,49
2013/04/12,1,17,45
2013/04/13,1,17,45
2013/04/14,,15,43
2013/04/15,,16,43
2013/04/16,1,16,46
2013/04/17,1,16,46
2013/04/18,1,15,47
2013/04/19,1,15,47
2013/04/20,1,15,47
2013/04/21,1,15,48
2013/04/22,1,15,50
2013/04/23,1,14,50
2013/04/24,1,14,46
2013/04/25,1,14,45
2013/04/26,1,14,45
2013/04/27,1,14,45
2013/04/28,1,14,46
2013/04/29,1,13,44
2013/04/30,1,13,45
2013/05/01,1,15,46
2013/05/02,1,15,43
2013/05/03,1,14,42
2013/05/04,1,15,44
2013/05/05,1,15,45
2013/05/06,1,14,46
2013/05/07,2,14,46
2013/05/08,2,14,45
2013/05/09,2,14,46
2013/05/10,2,16,46
2013/05/11,2,16,46
2013/05/12,2,15,46
2013/05/13,2,15,46
2013/05/14,2,15,45
2013/05/15,2,15,46
2013/05/16,2,17,45
2013/05/17,2,16,44
2013/05/18,2,16,43
2013/05/19,2,14,42
2013/05/20,2,14,40
2013/05/21,2,17,42
2013/05/22,2,17,39
2013/05/23,1,17,41
2013/05/24,1,17,41
2013/05/25,1,16,40
2013/05/26,1,17,42
2013/05/27,1,16,43
2013/05/28,,15,42
2013/05/29,,16,43
2013/05/30,,15,41
2013/05/31,,15,40
2013/06/01,,15,41
2013/06/02,,15,41
2013/06/03,,14,39
2013/06/04,,15,40
2013/06/05,,15,40
2013/06/06,,15,40
2013/06/07,,15,38
2013/06/08,,15,38
2013/06/09,,15,38
2013/06/10,,15,39
2013/06/11,,15,40
2013/06/12,,15,38
2013/06/13,,14,39
2013/06/14,,15,37
2013/06/15,,14,37
2013/06/16,,15,37
2013/06/17,,16,35
2013/06/18,,17,35
2013/06/19,,17,36
2013/06/20,,17,36
2013/06/21,,18,37
2013/06/22,,18,38
2013/06/23,,17,37
2013/06/24,,20,40
2013/06/25,,20,40
2013/06/26,,20,41
2013/06/27,,20,40
2013/06/28,,20,41
2013/06/29,,21,42
2013/06/30,,21,41
2013/07/01,,21,40
2013/07/02,,21,41
2013/07/03,,21,43
2013/07/04,,21,44
2013/07/05,,21,48
2013/07/06,,21,48
2013/07/07,,20,48
2013/07/08,,20,48
2013/07/09,,19,49
2013/07/10,,18,48
2013/07/11,,18,47
2013/07/12,,18,47
2013/07/13,,15,45
2013/07/14,,16,47
2013/07/15,1,18,47
2013/07/16,1,18,49
2013/07/17,1,17,48
2013/07/18,1,15,46
2013/07/19,1,15,45
2013/07/20,1,15,47
2013/07/21,1,16,47
2013/07/22,1,17,47
2013/07/23,1,17,48
2013/07/24,1,14,47
2013/07/25,1,15,45
2013/07/26,1,14,45
2013/07/27,1,15,46
2013/07/28,1,16,46
2013/07/29,1,16,46
2013/07/30,1,16,47
2013/07/31,1,16,47
2013/08/01,1,16,44
2013/08/02,1,14,41
2013/08/03,,14,40
2013/08/04,,14,35
2013/08/05,,15,34
2013/08/06,,14,33
2013/08/07,1,14,34
2013/08/08,1,14,33
2013/08/09,1,14,33
2013/08/10,1,13,34
2013/08/11,1,13,35
2013/08/12,2,14,35
2013/08/13,2,13,32
2013/08/14,2,13,33
2013/08/15,2,12,33
2013/08/16,2,12,34
2013/08/17,2,12,33
2013/08/18,2,12,32
2013/08/19,2,11,29
2013/08/20,2,10,30
2013/08/21,2,10,27
2013/08/22,2,10,26
2013/08/23,2,11,27
2013/08/24,2,11,28
2013/08/25,2,11,26
2013/08/26,2,11,24
2013/08/27,2,10,24
2013/08/28,2,9,23
2013/08/29,2,10,24
2013/08/30,2,9,23
2013/08/31,2,9,23
2013/09/01,2,10,24
2013/09/02,2,10,24
2013/09/03,2,10,25
2013/09/04,2,9,26
2013/09/05,1,10,28
2013/09/06,2,10,27
2013/09/07,2,10,26
2013/09/08,2,10,28
2013/09/09,2,10,27
2013/09/10,1,10,26
2013/09/11,,10,27
2013/09/12,,10,27
2013/09/13,,11,30
2013/09/14,,11,29
2013/09/15,,12,28
2013/09/16,,11,29
2013/09/17,,11,28
2013/09/18,,11,28
2013/09/19,,12,26
2013/09/20,,11,26
2013/09/21,,11,26
2013/09/22,,11,25
2013/09/23,,11,24
2013/09/24,,11,24
2013/09/25,,11,25
2013/09/26,,11,25
2013/09/27,,11,25
2013/09/28,,11,25
2013/09/29,,11,25
2013/09/30,,13,26
2013/10/01,,13,27
2013/10/02,,14,28
2013/10/03,,14,27
2013/10/04,1,13,26
2013/10/05,1,12,25
2013/10/06,1,11,26
2013/10/07,1,11,27
2013/10/08,1,11,25
2013/10/09,1,10,25
2013/10/10,1,10,26
2013/10/11,1,10,26
2013/10/12,1,10,26
2013/10/13,1,9,23
2013/10/14,1,9,23
2013/10/15,1,9,23
2013/10/16,1,9,24
2013/10/17,1,9,24
2013/10/18,1,9,27
2013/10/19,1,9,26
2013/10/20,1,10,27
2013/10/21,1,10,28
2013/10/22,1,10,28
2013/10/23,1,9,29
2013/10/24,1,9,29
2013/10/25,1,9,29
2013/10/26,1,9,29
2013/10/27,1,10,29
2013/10/28,1,11,29
2013/10/29,1,11,29
2013/10/30,1,10,28
2013/10/31,1,10,26
2013/11/01,1,10,26
2013/11/02,1,10,26
2013/11/03,,10,28
2013/11/04,,10,27
2013/11/05,,11,27
2013/11/06,,11,25
2013/11/07,,11,26
2013/11/08,,11,27
2013/11/09,,11,26
2013/11/10,,12,25
2013/11/11,,12,24
2013/11/12,,10,23
2013/11/13,,10,24
2013/11/14,,11,26
2013/11/15,,10,27
2013/11/16,,10,27
2013/11/17,,11,25
2013/11/18,,12,27
2013/11/19,,12,28
2013/11/20,,11,28
2013/11/21,,11,29
2013/11/22,,11,28
2013/11/23,,11,28
2013/11/24,,11,29
2013/11/25,,10,30
2013/11/26,,9,30
2013/11/27,,8,31
2013/11/28,,8,32
2013/11/29,,8,35
2013/11/30,,8,35
2013/12/01,,9,35
2013/12/02,,9,35
2013/12/03,,10,35
2013/12/04,,10,35
2013/12/05,,9,34
2013/12/06,,10,35
2013/12/07,,10,35
2013/12/08,,9,34
2013/12/09,,9,36
2013/12/10,,9,38
2013/12/11,,10,39
2013/12/12,,11,39
2013/12/13,,10,38
2013/12/14,,9,36
2013/12/15,,9,35
2013/12/16,,9,37
2013/12/17,,9,36
2013/12/18,,8,34
2013/12/19,,8,34
2013/12/20,,9,33
2013/12/21,,9,33
2013/12/22,,8,32
2013/12/23,,8,33
2013/12/24,,9,33
2013/12/25,,9,35
2013/12/26,1,9,34
2013/12/27,1,10,37
2013/12/28,1,11,37
2013/12/29,1,11,35
2013/12/30,1,11,35
2013/12/31,1,11,36
2014/01/01,1,11,37
2014/01/02,1,11,34
2014/01/03,1,11,34
2014/01/04,1,11,35
2014/01/05,1,10,37
2014/01/06,2,11,37
2014/01/07,2,11,37
2014/01/08,2,11,35
2014/01/09,3,10,35
2014/01/10,3,9,34
2014/01/11,3,8,33
2014/01/12,3,9,35
2014/01/13,3,10,36
2014/01/14,3,9,35
2014/01/15,3,9,34
2014/01/16,3,10,35
2014/01/17,3,10,35
2014/01/18,3,10,35
2014/01/19,3,10,34
2014/01/20,3,10,32
2014/01/21,3,10,32
2014/01/22,3,10,31
2014/01/23,3,9,30
2014/01/24,3,9,30
2014/01/25,4,11,31
2014/01/26,4,10,31
2014/01/27,4,10,29
2014/01/28,4,10,31
2014/01/29,4,11,33
2014/01/30,4,12,32
2014/01/31,4,13,31
2014/02/01,4,13,31
2014/02/02,4,13,31
2014/02/03,4,13,31
2014/02/04,4,13,30
2014/02/05,3,13,30
2014/02/06,2,13,31
2014/02/07,2,13,31
2014/02/08,2,13,31
2014/02/09,2,14,31
2014/02/10,2,14,30
2014/02/11,2,13,29
2014/02/12,2,14,32
2014/02/13,2,14,32
2014/02/14,2,14,32
2014/02/15,2,13,33
2014/02/16,2,13,33
2014/02/17,2,12,32
2014/02/18,2,12,31
2014/02/19,2,12,32
2014/02/20,2,12,31
2014/02/21,2,12,32
2014/02/22,2,12,31
2014/02/23,2,13,31
2014/02/24,3,13,29
2014/02/25,3,13,28
2014/02/26,3,13,28
2014/02/27,3,12,28
2014/02/28,3,10,28
2014/03/01,3,11,30
2014/03/02,2,13,31
2014/03/03,2,13,32
2014/03/04,2,13,33
2014/03/05,2,13,33
2014/03/06,2,12,32
2014/03/07,2,12,32
2014/03/08,2,12,33
2014/03/09,2,12,33
2014/03/10,2,13,35
2014/03/11,2,13,32
2014/03/12,2,13,34
2014/03/13,2,13,34
2014/03/14,2,12,32
2014/03/15,2,14,34
2014/03/16,3,13,35
2014/03/17,3,12,33
2014/03/18,3,12,35
2014/03/19,3,12,34
2014/03/20,3,12,35
2014/03/21,3,12,35
2014/03/22,3,13,35
2014/03/23,3,13,36
2014/03/24,3,13,37
2014/03/25,3,14,36
2014/03/26,2,13,42
2014/03/27,2,13,45
2014/03/28,2,15,48
2014/03/29,2,16,48
2014/03/30,2,16,49
2014/03/31,2,16,49
2014/04/01,2,15,48
2014/04/02,2,16,50
2014/04/03,2,17,52
2014/04/04,2,18,53
2014/04/05,2,18,54
2014/04/06,2,19,53
2014/04/07,2,19,53
2014/04/08,2,19,54
2014/04/09,2,19,52
2014/04/10,2,17,52
2014/04/11,2,16,49
2014/04/12,2,15,49
2014/04/13,2,15,46
2014/04/14,2,15,45
2014/04/15,1,15,43
2014/04/16,1,15,44
2014/04/17,1,15,44
2014/04/18,1,14,46
2014/04/19,1,14,48
2014/04/20,1,14,48
2014/04/21,1,13,50
2014/04/22,1,13,50
2014/04/23,1,12,47
2014/04/24,1,11,46
2014/04/25,1,10,42
2014/04/26,1,9,42
2014/04/27,1,8,42
2014/04/28,1,7,43
2014/04/29,1,7,42
2014/04/30,1,7,42
2014/05/01,1,7,44
2014/05/02,1,6,42
2014/05/03,1,6,40
2014/05/04,1,6,42
2014/05/05,1,6,43
2014/05/06,1,6,43
2014/05/07,1,6,42
2014/05/08,1,6,41
2014/05/09,1,6,42
2014/05/10,1,6,41
2014/05/11,1,6,42
2014/05/12,1,6,41
2014/05/13,1,6,41
2014/05/14,1,6,43
2014/05/15,1,6,45
2014/05/16,1,7,45
2014/05/17,1,7,44
2014/05/18,1,7,43
2014/05/19,1,7,42
2014/05/20,1,8,43
2014/05/21,1,8,42
2014/05/22,1,8,40
2014/05/23,1,9,43
2014/05/24,1,9,44
2014/05/25,1,9,44
2014/05/26,1,9,43
2014/05/27,,9,41
2014/05/28,,9,40
2014/05/29,,9,40
2014/05/30,,9,40
2014/05/31,,9,37
2014/06/01,,9,38
2014/06/02,,9,38
2014/06/03,,9,34
2014/06/04,,9,32
2014/06/05,,9,32
2014/06/06,1,8,33
2014/06/07,1,8,34
2014/06/08,1,8,34
2014/06/09,1,8,34
2014/06/10,1,9,34
2014/06/11,1,9,34
2014/06/12,1,8,33
2014/06/13,1,9,32
2014/06/14,1,9,30
2014/06/15,1,9,30
2014/06/16,1,9,31
2014/06/17,1,8,29
2014/06/18,1,8,28
2014/06/19,1,6,26
2014/06/20,1,7,25
2014/06/21,1,7,27
2014/06/22,,7,24
2014/06/23,,7,23
2014/06/24,,7,24
2014/06/25,,7,23
2014/06/26,,7,26
2014/06/27,,8,26
2014/06/28,,8,26
2014/06/29,,9,26
2014/06/30,,9,26
2014/07/01,,9,24
2014/07/02,,11,23
2014/07/03,,12,26
2014/07/04,,12,27
2014/07/05,,12,27
2014/07/06,,12,28
2014/07/07,,11,29
2014/07/08,,12,30
2014/07/09,,12,31
2014/07/10,,11,29
2014/07/11,,11,29
2014/07/12,,11,30
2014/07/13,,10,30
2014/07/14,,10,31
2014/07/15,,10,32
2014/07/16,,10,32
2014/07/17,,10,31
2014/07/18,,10,31
2014/07/19,,10,30
2014/07/20,,9,29
2014/07/21,,9,29
2014/07/22,,9,29
2014/07/23,,9,30
2014/07/24,,8,31
2014/07/25,,9,32
2014/07/26,,9,30
2014/07/27,,9,31
2014/07/28,,9,31
2014/07/29,,9,29
2014/07/30,,10,28
2014/07/31,,9,28
2014/08/01,,8,28
2014/08/02,,7,27
2014/08/03,,7,28
2014/08/04,,7,29
2014/08/05,,8,27
2014/08/06,,7,26
2014/08/07,,6,26
2014/08/08,,5,26
2014/08/09,,5,26
2014/08/10,,5,26
2014/08/11,,5,26
2014/08/12,,6,26
2014/08/13,,6,26
2014/08/14,,6,26
2014/08/15,,6,26
2014/08/16,,6,26
2014/08/17,,6,26
2014/08/18,,6,26
2014/08/19,,5,25
2014/08/20,,7,26
2014/08/21,,6,26
2014/08/22,,6,27
2014/08/23,,5,28
2014/08/24,,4,30
2014/08/25,,5,31
2014/08/26,1,5,30
2014/08/27,1,5,29
2014/08/28,1,5,29
2014/08/29,1,6,29
2014/08/30,1,7,29
2014/08/31,1,8,29
2014/09/01,1,8,27
2014/09/02,1,8,25
2014/09/03,1,8,24
2014/09/04,1,7,26
2014/09/05,1,7,26
2014/09/06,1,7,24
2014/09/07,1,9,24
2014/09/08,1,9,24
2014/09/09,1,9,25
2014/09/10,1,10,25
2014/09/11,1,10,26
2014/09/12,1,10,26
2014/09/13,1,10,25
2014/09/14,1,10,25
2014/09/15,2,11,28
2014/09/16,2,10,28
2014/09/17,2,10,27
2014/09/18,2,10,30
2014/09/19,2,10,30
