date,sowiki (100+),sowiki (5+),sowiki (all)
2013/03/15,6,21,61
2013/03/16,5,20,59
2013/03/17,5,18,57
2013/03/18,5,18,58
2013/03/19,5,18,57
2013/03/20,5,18,57
2013/03/21,4,18,56
2013/03/22,4,18,53
2013/03/23,4,18,52
2013/03/24,4,19,53
2013/03/25,4,20,52
2013/03/26,4,20,51
2013/03/27,4,19,51
2013/03/28,3,19,49
2013/03/29,3,20,52
2013/03/30,3,20,52
2013/03/31,2,19,54
2013/04/01,2,19,54
2013/04/02,2,19,56
2013/04/03,2,19,52
2013/04/04,2,17,46
2013/04/05,3,15,45
2013/04/06,3,14,42
2013/04/07,3,14,42
2013/04/08,3,14,45
2013/04/09,2,14,47
2013/04/10,2,15,48
2013/04/11,1,15,49
2013/04/12,1,14,45
2013/04/13,1,14,46
2013/04/14,1,14,49
2013/04/15,1,12,49
2013/04/16,1,13,50
2013/04/17,1,13,47
2013/04/18,1,14,47
2013/04/19,1,14,46
2013/04/20,1,14,48
2013/04/21,1,13,49
2013/04/22,1,14,48
2013/04/23,1,13,48
2013/04/24,1,13,49
2013/04/25,1,14,50
2013/04/26,1,14,50
2013/04/27,1,14,50
2013/04/28,,13,50
2013/04/29,,13,49
2013/04/30,1,12,49
2013/05/01,,11,51
2013/05/02,,11,53
2013/05/03,,10,52
2013/05/04,,10,52
2013/05/05,,10,50
2013/05/06,,10,47
2013/05/07,,10,48
2013/05/08,,9,44
2013/05/09,,9,44
2013/05/10,,10,44
2013/05/11,,10,43
2013/05/12,,10,43
2013/05/13,,10,41
2013/05/14,,10,42
2013/05/15,,11,42
2013/05/16,,9,42
2013/05/17,,9,43
2013/05/18,,7,43
2013/05/19,,7,45
2013/05/20,,7,46
2013/05/21,,7,45
2013/05/22,,8,46
2013/05/23,,8,47
2013/05/24,,8,45
2013/05/25,,8,43
2013/05/26,,7,43
2013/05/27,,7,42
2013/05/28,,7,41
2013/05/29,,7,43
2013/05/30,,7,42
2013/05/31,,8,38
2013/06/01,,8,35
2013/06/02,,7,37
2013/06/03,,7,37
2013/06/04,,7,38
2013/06/05,,6,38
2013/06/06,,6,38
2013/06/07,,6,39
2013/06/08,,7,39
2013/06/09,,7,39
2013/06/10,,8,37
2013/06/11,,8,38
2013/06/12,,8,41
2013/06/13,,8,40
2013/06/14,,6,41
2013/06/15,,7,41
2013/06/16,,6,41
2013/06/17,,6,44
2013/06/18,,6,42
2013/06/19,,6,42
2013/06/20,,6,43
2013/06/21,,6,42
2013/06/22,,5,41
2013/06/23,,5,41
2013/06/24,,6,41
2013/06/25,,6,39
2013/06/26,,6,39
2013/06/27,,5,39
2013/06/28,,5,37
2013/06/29,,5,37
2013/06/30,,4,40
2013/07/01,,4,41
2013/07/02,,5,39
2013/07/03,,6,40
2013/07/04,,6,38
2013/07/05,,6,38
2013/07/06,,6,37
2013/07/07,,6,35
2013/07/08,,6,35
2013/07/09,,7,34
2013/07/10,,5,34
2013/07/11,,5,34
2013/07/12,,5,31
2013/07/13,,6,31
2013/07/14,,6,30
2013/07/15,,4,29
2013/07/16,,3,27
2013/07/17,,3,25
2013/07/18,,3,27
2013/07/19,,3,27
2013/07/20,,3,27
2013/07/21,,3,27
2013/07/22,,3,27
2013/07/23,,3,27
2013/07/24,,3,28
2013/07/25,,3,28
2013/07/26,,3,28
2013/07/27,,3,29
2013/07/28,,3,29
2013/07/29,,4,29
2013/07/30,,4,25
2013/07/31,,4,25
2013/08/01,,4,29
2013/08/02,,5,27
2013/08/03,,6,27
2013/08/04,,7,31
2013/08/05,,7,32
2013/08/06,,7,31
2013/08/07,,8,31
2013/08/08,,7,31
2013/08/09,,7,33
2013/08/10,,8,34
2013/08/11,,8,35
2013/08/12,,8,35
2013/08/13,,8,35
2013/08/14,,8,35
2013/08/15,,8,35
2013/08/16,,9,35
2013/08/17,,9,33
2013/08/18,,9,34
2013/08/19,,11,34
2013/08/20,,11,34
2013/08/21,,11,34
2013/08/22,,11,34
2013/08/23,,11,32
2013/08/24,,11,32
2013/08/25,,11,31
2013/08/26,,12,34
2013/08/27,,12,34
2013/08/28,,12,32
2013/08/29,,13,32
2013/08/30,,13,32
2013/08/31,,13,29
2013/09/01,,13,30
2013/09/02,,12,29
2013/09/03,,12,29
2013/09/04,,10,29
2013/09/05,,8,29
2013/09/06,,8,30
2013/09/07,,8,29
2013/09/08,,8,26
2013/09/09,,8,24
2013/09/10,,8,23
2013/09/11,,8,23
2013/09/12,,8,24
2013/09/13,,8,26
2013/09/14,,8,27
2013/09/15,,8,25
2013/09/16,,7,25
2013/09/17,,7,24
2013/09/18,,6,23
2013/09/19,,6,23
2013/09/20,,6,24
2013/09/21,,5,24
2013/09/22,,6,26
2013/09/23,,6,25
2013/09/24,,6,27
2013/09/25,,5,24
2013/09/26,,5,25
2013/09/27,,4,25
2013/09/28,,4,25
2013/09/29,,4,25
2013/09/30,,4,25
2013/10/01,,4,26
2013/10/02,,3,27
2013/10/03,,3,27
2013/10/04,,3,26
2013/10/05,,3,27
2013/10/06,,3,27
2013/10/07,,3,28
2013/10/08,,3,29
2013/10/09,,3,30
2013/10/10,,3,31
2013/10/11,,3,31
2013/10/12,,3,30
2013/10/13,,3,28
2013/10/14,,3,29
2013/10/15,,3,29
2013/10/16,,3,30
2013/10/17,,3,29
2013/10/18,,4,30
2013/10/19,,4,30
2013/10/20,,4,30
2013/10/21,,4,29
2013/10/22,,3,28
2013/10/23,,4,29
2013/10/24,,4,30
2013/10/25,,4,29
2013/10/26,,6,32
2013/10/27,,7,32
2013/10/28,,8,35
2013/10/29,,8,35
2013/10/30,,7,36
2013/10/31,,7,34
2013/11/01,,7,35
2013/11/02,,6,34
2013/11/03,,6,35
2013/11/04,,6,35
2013/11/05,,7,36
2013/11/06,,8,36
2013/11/07,,8,35
2013/11/08,,9,36
2013/11/09,,9,34
2013/11/10,,10,35
2013/11/11,,10,36
2013/11/12,,9,37
2013/11/13,,9,39
2013/11/14,,9,38
2013/11/15,,9,38
2013/11/16,,9,38
2013/11/17,,9,37
2013/11/18,,8,39
2013/11/19,,9,37
2013/11/20,,9,37
2013/11/21,,8,37
2013/11/22,,8,36
2013/11/23,,8,34
2013/11/24,,9,34
2013/11/25,,8,29
2013/11/26,,8,29
2013/11/27,,8,27
2013/11/28,,8,28
2013/11/29,,8,27
2013/11/30,,8,28
2013/12/01,,8,26
2013/12/02,,8,27
2013/12/03,,9,29
2013/12/04,,9,31
2013/12/05,,8,31
2013/12/06,,7,33
2013/12/07,,8,34
2013/12/08,,7,33
2013/12/09,,7,32
2013/12/10,,7,33
2013/12/11,,7,33
2013/12/12,,7,33
2013/12/13,,8,34
2013/12/14,,8,35
2013/12/15,,7,35
2013/12/16,,8,36
2013/12/17,,9,36
2013/12/18,,9,36
2013/12/19,1,9,37
2013/12/20,1,9,39
2013/12/21,1,9,40
2013/12/22,1,9,41
2013/12/23,1,10,45
2013/12/24,1,10,47
2013/12/25,1,9,49
2013/12/26,1,9,50
2013/12/27,1,9,50
2013/12/28,1,11,50
2013/12/29,2,12,54
2013/12/30,2,12,54
2013/12/31,2,12,56
2014/01/01,2,12,57
2014/01/02,2,12,54
2014/01/03,2,13,53
2014/01/04,2,13,53
2014/01/05,2,14,50
2014/01/06,2,14,53
2014/01/07,2,14,54
2014/01/08,2,14,56
2014/01/09,2,14,57
2014/01/10,2,14,57
2014/01/11,2,14,56
2014/01/12,2,14,58
2014/01/13,2,15,57
2014/01/14,2,15,56
2014/01/15,2,13,57
2014/01/16,2,13,57
2014/01/17,3,14,57
2014/01/18,3,14,59
2014/01/19,3,15,58
2014/01/20,3,15,57
2014/01/21,3,15,56
2014/01/22,3,16,55
2014/01/23,4,15,52
2014/01/24,4,15,52
2014/01/25,4,16,55
2014/01/26,4,16,55
2014/01/27,4,16,54
2014/01/28,4,16,51
2014/01/29,4,17,50
2014/01/30,4,16,48
2014/01/31,4,17,47
2014/02/01,4,17,48
2014/02/02,4,16,44
2014/02/03,4,16,41
2014/02/04,4,15,40
2014/02/05,4,15,40
2014/02/06,4,15,39
2014/02/07,4,14,39
2014/02/08,4,14,38
2014/02/09,4,14,39
2014/02/10,4,14,39
2014/02/11,4,14,38
2014/02/12,4,13,37
2014/02/13,4,13,37
2014/02/14,4,12,37
2014/02/15,4,12,37
2014/02/16,3,11,35
2014/02/17,3,10,34
2014/02/18,3,10,34
2014/02/19,3,10,36
2014/02/20,3,10,36
2014/02/21,2,12,38
2014/02/22,2,13,39
2014/02/23,2,13,37
2014/02/24,2,13,35
2014/02/25,2,12,37
2014/02/26,2,12,38
2014/02/27,1,12,35
2014/02/28,1,12,38
2014/03/01,1,13,39
2014/03/02,1,13,38
2014/03/03,1,13,37
2014/03/04,1,12,37
2014/03/05,1,12,37
2014/03/06,1,12,37
2014/03/07,1,11,38
2014/03/08,1,11,38
2014/03/09,1,11,35
2014/03/10,,11,32
2014/03/11,,11,29
2014/03/12,,10,28
2014/03/13,,8,27
2014/03/14,,8,27
2014/03/15,,8,27
2014/03/16,,8,27
2014/03/17,,8,28
2014/03/18,,9,30
2014/03/19,,9,28
2014/03/20,,10,28
2014/03/21,,10,26
2014/03/22,,11,27
2014/03/23,,10,27
2014/03/24,,10,29
2014/03/25,,10,29
2014/03/26,,9,36
2014/03/27,,8,38
2014/03/28,,8,38
2014/03/29,,7,39
2014/03/30,,8,41
2014/03/31,,9,40
2014/04/01,,10,42
2014/04/02,,10,43
2014/04/03,,10,45
2014/04/04,,10,48
2014/04/05,,10,48
2014/04/06,,10,47
2014/04/07,,10,48
2014/04/08,,10,49
2014/04/09,,10,49
2014/04/10,,10,48
2014/04/11,,11,48
2014/04/12,,12,48
2014/04/13,,12,47
2014/04/14,,12,47
2014/04/15,,12,47
2014/04/16,,13,47
2014/04/17,,12,47
2014/04/18,,12,48
2014/04/19,,12,49
2014/04/20,,12,49
2014/04/21,,11,50
2014/04/22,,12,51
2014/04/23,,11,51
2014/04/24,,11,52
2014/04/25,,10,47
2014/04/26,,10,46
2014/04/27,,10,44
2014/04/28,,10,44
2014/04/29,,7,41
2014/04/30,,7,40
2014/05/01,,5,39
2014/05/02,,5,39
2014/05/03,,6,40
2014/05/04,,6,39
2014/05/05,1,7,41
2014/05/06,1,7,40
2014/05/07,1,7,40
2014/05/08,1,7,41
2014/05/09,1,7,41
2014/05/10,1,8,41
2014/05/11,1,7,40
2014/05/12,1,7,40
2014/05/13,1,7,40
2014/05/14,1,7,41
2014/05/15,1,7,41
2014/05/16,1,6,40
2014/05/17,1,7,38
2014/05/18,1,7,36
2014/05/19,1,7,33
2014/05/20,1,7,34
2014/05/21,1,8,34
2014/05/22,1,7,33
2014/05/23,1,7,34
2014/05/24,2,6,34
2014/05/25,2,6,35
2014/05/26,2,7,36
2014/05/27,2,7,34
2014/05/28,2,7,33
2014/05/29,2,7,33
2014/05/30,2,7,32
2014/05/31,2,7,32
2014/06/01,2,7,31
2014/06/02,2,7,30
2014/06/03,2,7,27
2014/06/04,2,7,26
2014/06/05,1,6,27
2014/06/06,1,6,27
2014/06/07,1,7,26
2014/06/08,1,7,26
2014/06/09,1,7,27
2014/06/10,1,7,28
2014/06/11,1,7,31
2014/06/12,1,8,32
2014/06/13,1,8,30
2014/06/14,1,8,29
2014/06/15,1,8,29
2014/06/16,1,8,29
2014/06/17,1,8,29
2014/06/18,1,8,29
2014/06/19,1,8,29
2014/06/20,,8,30
2014/06/21,,8,30
2014/06/22,,8,29
2014/06/23,,7,30
2014/06/24,,7,29
2014/06/25,,6,28
2014/06/26,,6,27
2014/06/27,,5,26
2014/06/28,,5,27
2014/06/29,,5,28
2014/06/30,,4,28
2014/07/01,,4,31
2014/07/02,,3,28
2014/07/03,,3,30
2014/07/04,,3,29
2014/07/05,,3,29
2014/07/06,,3,30
2014/07/07,,2,29
2014/07/08,,2,29
2014/07/09,,2,28
2014/07/10,,1,27
2014/07/11,,,24
2014/07/12,,,23
2014/07/13,,,24
2014/07/14,,,28
2014/07/15,,,29
2014/07/16,,,28
2014/07/17,,,28
2014/07/18,,,28
2014/07/19,,,28
2014/07/20,,,26
2014/07/21,,,26
2014/07/22,,,25
2014/07/23,,,26
2014/07/24,,,25
2014/07/25,,,26
2014/07/26,,,23
2014/07/27,,,29
2014/07/28,,,27
2014/07/29,,,27
2014/07/30,,,27
2014/07/31,,,24
2014/08/01,,1,26
2014/08/02,,1,24
2014/08/03,,1,24
2014/08/04,,1,25
2014/08/05,,2,24
2014/08/06,,2,25
2014/08/07,,2,27
2014/08/08,,2,27
2014/08/09,,3,28
2014/08/10,,3,28
2014/08/11,,3,28
2014/08/12,,3,28
2014/08/13,,3,26
2014/08/14,,3,26
2014/08/15,,3,28
2014/08/16,,3,29
2014/08/17,,4,32
2014/08/18,,4,31
2014/08/19,,4,33
2014/08/20,,4,33
2014/08/21,,4,30
2014/08/22,,5,31
2014/08/23,,5,31
2014/08/24,,5,31
2014/08/25,,5,32
2014/08/26,,5,28
2014/08/27,,5,29
2014/08/28,,5,29
2014/08/29,,5,29
2014/08/30,,5,30
2014/08/31,,5,32
2014/09/01,,5,33
2014/09/02,,5,34
2014/09/03,,4,35
2014/09/04,,3,35
2014/09/05,,3,34
2014/09/06,,3,32
2014/09/07,,4,32
2014/09/08,,4,32
2014/09/09,,4,33
2014/09/10,,4,34
2014/09/11,,4,34
2014/09/12,,5,36
2014/09/13,,5,39
2014/09/14,,5,38
2014/09/15,,5,38
2014/09/16,,4,36
2014/09/17,,4,37
2014/09/18,,4,37
2014/09/19,,4,36
2014/09/20,,3,35
2014/09/21,,2,33
2014/09/22,,2,33
2014/09/23,,2,33
2014/09/24,,2,33
2014/09/25,,2,32
2014/09/26,,2,32
2014/09/27,,2,29
2014/09/28,,2,30
2014/09/29,,2,29
2014/09/30,,2,27
2014/10/01,,1,26
2014/10/02,,1,24
2014/10/03,,2,24
2014/10/04,,2,26
2014/10/05,,3,29
2014/10/06,,3,28
2014/10/07,,3,31
2014/10/08,,3,31
2014/10/09,,3,31
2014/10/10,,3,30
2014/10/11,,3,30
2014/10/12,,4,30
2014/10/13,,4,27
2014/10/14,,4,27
2014/10/15,,4,27
2014/10/16,,4,26
2014/10/17,,4,27
2014/10/18,,4,30
2014/10/19,,3,29
2014/10/20,,3,29
2014/10/21,,3,30
2014/10/22,,3,30
2014/10/23,,3,30
2014/10/24,,3,28
2014/10/25,,3,28
2014/10/26,,4,30
2014/10/27,,4,30
2014/10/28,,4,31
2014/10/29,,5,32
2014/10/30,,5,32
2014/10/31,,5,31
2014/11/01,,5,32
2014/11/02,,4,31
2014/11/03,,4,33
2014/11/04,,3,31
2014/11/05,,3,32
2014/11/06,,3,31
2014/11/07,,3,30
2014/11/08,,3,31
2014/11/09,,3,31
2014/11/10,,3,32
2014/11/11,,2,33
2014/11/12,,2,35
2014/11/13,,2,36
2014/11/14,,2,35
2014/11/15,,2,35
2014/11/16,,2,34
2014/11/17,,2,32
2014/11/18,,2,32
2014/11/19,,3,30
2014/11/20,,3,30
2014/11/21,,3,31
2014/11/22,,3,33
2014/11/23,,5,35
2014/11/24,,5,35
2014/11/25,,5,36
2014/11/26,,5,37
2014/11/27,,6,37
2014/11/28,,4,34
2014/11/29,,4,35
2014/11/30,,4,35
2014/12/01,,4,34
2014/12/02,,3,34
2014/12/03,,4,33
2014/12/04,,4,35
2014/12/05,,4,36
2014/12/06,,4,35
2014/12/07,,4,36
2014/12/08,,4,37
2014/12/09,,5,39
2014/12/10,,5,38
2014/12/11,,5,39
2014/12/12,,5,39
2014/12/13,,6,39
2014/12/14,,6,44
2014/12/15,,6,46
2014/12/16,,6,46
2014/12/17,,8,48
2014/12/18,,8,51
2014/12/19,,8,52
2014/12/20,,8,52
2014/12/21,,9,53
2014/12/22,,10,51
2014/12/23,,10,50
2014/12/24,,10,49
2014/12/25,,9,50
2014/12/26,,9,50
2014/12/27,,9,48
2014/12/28,,9,48
2014/12/29,,10,46
2014/12/30,,11,48
2014/12/31,,12,53
2015/01/01,,12,53
2015/01/02,,12,54
2015/01/03,,12,54
2015/01/04,,12,52
2015/01/05,,12,52
2015/01/06,,13,54
2015/01/07,,12,54
2015/01/08,,11,52
2015/01/09,,11,54
2015/01/10,,11,53
2015/01/11,,11,52
2015/01/12,,10,51
2015/01/13,,10,50
2015/01/14,,9,49
2015/01/15,,9,49
2015/01/16,,8,46
2015/01/17,,8,45
2015/01/18,,7,46
2015/01/19,,8,48
2015/01/20,,7,48
2015/01/21,,6,47
2015/01/22,,6,46
2015/01/23,,6,46
2015/01/24,,7,46
2015/01/25,,7,48
2015/01/26,,8,49
2015/01/27,,7,51
2015/01/28,,7,52
2015/01/29,,7,52
2015/01/30,,8,49
2015/01/31,,8,49
2015/02/01,,8,50
2015/02/02,,9,49
2015/02/03,,10,52
2015/02/04,,11,53
2015/02/05,,11,51
2015/02/06,,10,49
2015/02/07,,11,50
2015/02/08,,11,48
2015/02/09,,11,49
2015/02/10,,10,53
2015/02/11,,10,54
2015/02/12,,10,55
2015/02/13,,11,57
2015/02/14,,11,59
2015/02/15,,11,60
2015/02/16,,11,59
2015/02/17,,10,62
2015/02/18,,11,64
2015/02/19,,12,64
2015/02/20,,12,64
2015/02/21,,12,65
2015/02/22,,14,65
2015/02/23,,12,62
2015/02/24,,12,63
2015/02/25,,13,66
2015/02/26,,13,63
2015/02/27,,13,60
2015/02/28,,13,60
2015/03/01,,15,63
2015/03/02,,15,66
2015/03/03,,14,64
2015/03/04,,15,64
2015/03/05,,15,65
2015/03/06,,15,64
2015/03/07,,13,61
2015/03/08,,14,63
2015/03/09,,13,62
2015/03/10,,13,62
2015/03/11,,13,60
2015/03/12,,13,55
2015/03/13,,13,55
2015/03/14,,13,55
2015/03/15,,13,53
2015/03/16,,13,50
2015/03/17,,13,48
2015/03/18,,13,50
2015/03/19,,13,47
2015/03/20,,12,43
2015/03/21,,12,40
2015/03/22,,12,43
2015/03/23,,12,44
2015/03/24,,12,44
2015/03/25,,11,44
2015/03/26,,11,41
2015/03/27,,10,40
2015/03/28,,12,41
2015/03/29,,14,45
2015/03/30,,15,48
2015/03/31,,12,46
2015/04/01,,12,41
2015/04/02,,12,41
2015/04/03,,12,40
2015/04/04,,11,40
2015/04/05,,12,43
2015/04/06,1,11,42
2015/04/07,1,11,42
2015/04/08,1,12,42
2015/04/09,1,12,41
2015/04/10,1,12,41
2015/04/11,1,12,45
2015/04/12,1,12,45
2015/04/13,1,12,46
2015/04/14,1,12,46
2015/04/15,1,12,45
2015/04/16,1,12,47
2015/04/17,1,13,45
2015/04/18,1,13,45
2015/04/19,1,13,45
2015/04/20,1,13,45
2015/04/21,1,13,41
2015/04/22,1,13,42
2015/04/23,1,12,42
2015/04/24,1,11,41
2015/04/25,1,11,40
2015/04/26,1,11,41
2015/04/27,1,11,43
2015/04/28,2,10,42
2015/04/29,2,10,40
2015/04/30,2,11,42
2015/05/01,2,11,43
2015/05/02,2,11,45
2015/05/03,2,12,47
2015/05/04,2,10,47
2015/05/05,1,10,46
2015/05/06,1,10,46
2015/05/07,1,10,43
2015/05/08,1,11,45
2015/05/09,1,11,47
2015/05/10,1,11,48
2015/05/11,1,11,48
2015/05/12,1,11,48
2015/05/13,1,11,48
2015/05/14,1,11,49
2015/05/15,1,11,49
2015/05/16,1,9,50
2015/05/17,1,9,50
2015/05/18,1,9,50
2015/05/19,1,10,54
2015/05/20,1,10,56
2015/05/21,1,11,57
2015/05/22,1,11,55
2015/05/23,1,11,55
2015/05/24,1,10,56
2015/05/25,1,11,58
2015/05/26,1,11,55
2015/05/27,1,8,53
2015/05/28,,8,52
2015/05/29,,7,50
2015/05/30,,6,48
2015/05/31,,7,49
2015/06/01,,7,48
2015/06/02,,7,47
2015/06/03,,7,45
2015/06/04,,7,44
2015/06/05,,5,47
2015/06/06,,5,48
2015/06/07,,6,45
2015/06/08,,7,44
2015/06/09,,7,43
2015/06/10,,7,42
2015/06/11,,8,42
2015/06/12,,8,42
2015/06/13,,8,42
2015/06/14,,8,42
2015/06/15,,8,41
2015/06/16,,8,41
2015/06/17,,8,42
2015/06/18,,7,40
2015/06/19,,7,39
2015/06/20,,7,37
2015/06/21,,7,38
2015/06/22,,7,40
2015/06/23,,7,40
2015/06/24,,8,41
2015/06/25,,8,42
2015/06/26,,8,46
2015/06/27,,7,45
2015/06/28,,6,44
2015/06/29,,7,44
2015/06/30,,7,44
2015/07/01,,7,42
2015/07/02,,6,42
2015/07/03,,6,42
2015/07/04,,6,44
2015/07/05,,6,40
2015/07/06,,6,40
2015/07/07,,5,40
2015/07/08,,4,38
2015/07/09,,4,39
2015/07/10,,4,41
2015/07/11,,4,43
2015/07/12,,4,44
2015/07/13,,3,43
2015/07/14,,3,43
2015/07/15,,3,43
2015/07/16,,3,43
2015/07/17,,4,43
2015/07/18,,4,40
2015/07/19,,4,40
2015/07/20,,4,41
2015/07/21,,4,40
2015/07/22,,4,39
2015/07/23,,4,39
2015/07/24,,3,37
2015/07/25,,4,37
2015/07/26,,5,37
2015/07/27,,5,37
2015/07/28,,5,38
2015/07/29,,4,38
2015/07/30,,4,38
2015/07/31,,4,39
2015/08/01,,4,39
2015/08/02,,4,39
2015/08/03,,4,38
2015/08/04,,4,40
2015/08/05,,4,40
2015/08/06,,4,40
2015/08/07,,4,41
2015/08/08,,5,40
2015/08/09,,6,40
2015/08/10,,6,42
2015/08/11,,6,39
2015/08/12,,6,42
2015/08/13,,6,45
2015/08/14,,6,46
2015/08/15,,6,47
2015/08/16,,6,46
2015/08/17,,7,48
2015/08/18,,7,48
2015/08/19,,7,45
2015/08/20,,8,45
2015/08/21,,8,43
2015/08/22,1,8,45
2015/08/23,1,9,46
2015/08/24,1,9,45
2015/08/25,1,8,44
2015/08/26,1,8,44
2015/08/27,1,9,45
2015/08/28,1,8,45
2015/08/29,1,8,45
2015/08/30,1,8,46
2015/08/31,1,8,46
2015/09/01,1,8,46
2015/09/02,1,9,46
2015/09/03,1,9,46
2015/09/04,1,10,46
2015/09/05,1,10,46
2015/09/06,1,10,46
2015/09/07,1,9,47
2015/09/08,1,10,46
2015/09/09,1,11,44
2015/09/10,1,11,44
2015/09/11,1,11,43
2015/09/12,1,11,40
2015/09/13,1,12,39
2015/09/14,1,11,38
2015/09/15,1,11,39
2015/09/16,1,9,38
2015/09/17,1,9,40
